COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.001199987
01;2009;01;02;30278728.644100007
01;2009;02;01;17101159.395999998
01;2009;02;02;22166337.714800004
01;2009;03;01;42865112.44799999
01;2009;03;02;69373982.77640004
01;2010;01;01;22023525.434700005
01;2010;01;02;30025422.640399996
01;2010;02;01;17236486.128900006
01;2010;02;02;21974465.785299998
01;2010;03;01;43217455.019299984
01;2010;03;02;68860015.90800002
01;2010;04;01;1541398.511000001
01;2010;04;02;1804326.0071999994
01;2011;01;01;22201576.749500003
01;2011;01;02;29772420.840600014
01;2011;02;01;17371774.805200007
01;2011;02;02;21782713.33860002
01;2011;03;01;43570346.27539998
01;2011;03;02;68345720.28879999
01;2011;04;01;3123946.3263000003
01;2011;04;02;3617656.1614999995
01;2012;01;01;22379428.0005
01;2012;01;02;29519727.034699988
01;2012;02;01;17507020.8307
01;2012;02;02;21591084.850300003
01;2012;03;01;43923738.73560001
01;2012;03;02;67831150.48009998
01;2012;04;01;4748116.355800003
01;2012;04;02;5440348.598899997
01;2013;01;01;22557075.29730001
01;2013;01;02;29267344.954399996
01;2013;02;01;17642164.314699993
01;2013;02;02;21399640.095900018
01;2013;03;01;44277680.03830004
01;2013;03;02;67316262.91310002
01;2013;04;01;6414391.1401999965
01;2013;04;02;7272764.959799999
01;2014;01;01;22734348.65179999
01;2014;01;02;29015444.43669999
01;2014;02;01;17777256.8612
01;2014;02;02;21208327.349900015
01;2014;03;01;44632131.34320001
01;2014;03;02;66801091.9131
01;2014;04;01;8123263.7047000015
01;2014;04;02;9115271.299799994
01;2015;01;01;22911408.472500004
01;2015;01;02;28763864.915499996
01;2015;02;01;17912294.0597
01;2015;02;02;21017150.912699997
01;2015;03;01;44987122.41730003
01;2015;03;02;66285616.13400002
01;2015;04;01;9875236.716499995
01;2015;04;02;10968237.013900008
01;2016;01;01;23071593.103900008
01;2016;01;02;28492061.69450001
01;2016;02;01;18034258.78230001
01;2016;02;02;20811098.5889
01;2016;03;01;45309734.056299984
01;2016;03;02;65722626.09270001
01;2016;04;01;9984919.086900001
01;2016;04;02;10858554.645299999
01;2016;05;01;1137433.0299
01;2016;05;02;1063512.0681000005
01;2017;01;01;23231289.50110001
01;2017;01;02;28220986.493399993
01;2017;02;01;18155974.412000008
01;2017;02;02;20605476.9883
01;2017;03;01;45632250.544900015
01;2017;03;02;65160230.50680002
01;2017;04;01;10093504.633800002
01;2017;04;02;10749969.099600004
01;2017;05;01;2294514.273
01;2017;05;02;2124816.354
01;2018;01;01;23390523.081299998
01;2018;01;02;27950612.857699998
01;2018;02;01;18277425.85260001
01;2018;02;02;20400300.81379999
01;2018;03;01;45954424.768
01;2018;03;02;64598677.18140001
01;2018;04;01;10201004.323799996
01;2018;04;02;10642469.411400001
01;2018;05;01;3471315.501999998
01;2018;05;02;3184022.6851999983
01;2019;01;01;23549289.874200005
01;2019;01;02;27680947.178500004
01;2019;02;01;18398620.67199999
01;2019;02;02;20195562.106699996
01;2019;03;01;46276395.88959995
01;2019;03;02;64037833.9226
01;2019;04;01;10307429.0195
01;2019;04;02;10536044.717399998
01;2019;05;01;4667910.376200002
01;2019;05;02;4241240.530300002
01;2020;01;01;23707452.81509998
01;2020;01;02;27412121.037299998
01;2020;02;01;18519555.131599985
01;2020;02;02;19991264.21459999
01;2020;03;01;46597805.68130003
01;2020;03;02;63478038.39159999
01;2020;04;01;10412789.467999997
01;2020;04;02;10430684.271499999
01;2020;05;01;5884374.696700001
01;2020;05;02;5296579.242799997
01;2021;01;01;23760677.26869998
01;2021;01;02;27248471.975800008
01;2021;02;01;18559889.22399999
01;2021;02;02;19867746.753200013
01;2021;03;01;46708006.06309999
01;2021;03;02;63129941.2779
01;2021;04;01;10464942.8906
01;2021;04;02;10378530.850200005
01;2021;05;01;5910857.5962000005
01;2021;05;02;5270096.3440999985
01;2021;06;01;1279225.4760000003
01;2021;06;02;1009775.4916999997
01;2022;01;01;23814242.543400005
01;2022;01;02;27084723.191500016
01;2022;02;01;18600533.515600003
01;2022;02;02;19744098.769300014
01;2022;03;01;46819232.39930001
01;2022;03;02;62781291.35560002
01;2022;04;01;10516835.544799997
01;2022;04;02;10326638.197000004
01;2022;05;01;5937208.078299997
01;2022;05;02;5243745.862499998
01;2022;06;01;2573753.668599998
01;2022;06;02;2022596.1256999993
01;2023;01;01;23868041.54980001
01;2023;01;02;26920972.926000003
01;2023;02;01;18641480.675500005
01;2023;02;02;19620327.202900007
01;2023;03;01;46931524.44149999
01;2023;03;02;62432116.06960001
01;2023;04;01;10568468.735400006
01;2023;04;02;10275005.007700004
01;2023;05;01;5963426.808900002
01;2023;05;02;5217527.133000001
01;2023;06;01;3883706.2245
01;2023;06;02;3038530.6802999987
01;2024;01;01;23922176.177500006
01;2024;01;02;26757132.52959999
01;2024;02;01;18682726.7479
01;2024;02;02;19496435.62299999
01;2024;03;01;47044866.232300006
01;2024;03;02;62082382.09179997
01;2024;04;01;10619843.759699995
01;2024;04;02;10223629.9836
01;2024;05;01;5989514.444599999
01;2024;05;02;5191439.497799999
01;2024;06;01;5209206.1789
01;2024;06;02;4057648.4141
01;2025;01;01;23976631.493800007
01;2025;01;02;26593203.963400017
01;2025;02;01;18724266.2319
01;2025;02;02;19372429.155400008
01;2025;03;01;47159137.5741
01;2025;03;02;61732221.43860004
01;2025;04;01;10670961.911700005
01;2025;04;02;10172511.833099991
01;2025;05;01;6015471.6439000005
01;2025;05;02;5165482.299399996
01;2025;06;01;6550377.985299999
01;2025;06;02;5080019.089800004
01;2026;01;01;24031390.462500002
01;2026;01;02;26429207.340800002
01;2026;02;01;18766089.866900004
01;2026;02;02;19248316.659700003
01;2026;03;01;47274345.6696
01;2026;03;02;61381568.05729998
01;2026;04;01;10721824.470000003
01;2026;04;02;10121649.275500005
01;2026;05;01;6041299.059299998
01;2026;05;02;5139654.884900002
01;2026;06;01;7907347.361399996
01;2026;06;02;6105712.836600002
01;2027;01;01;24086429.794400007
01;2027;01;02;26265163.327699985
01;2027;02;01;18808191.938699983
01;2027;02;02;19124103.4791
01;2027;03;01;47390517.66709999
01;2027;03;02;61030436.29210005
01;2027;04;01;10772432.7155
01;2027;04;02;10071041.030699996
01;2027;05;01;6066997.334299998
01;2027;05;02;5113956.611100008
01;2027;06;01;9280241.210999997
01;2027;06;02;7134800.101099999
01;2028;01;01;24141759.377900008
01;2028;01;02;26101061.1908
01;2028;02;01;18850570.9047
01;2028;02;02;18999790.759500008
01;2028;03;01;47507587.23230004
01;2028;03;02;60678860.72239994
01;2028;04;01;10822787.91900001
01;2028;04;02;10020685.827899996
01;2028;05;01;6092567.117400002
01;2028;05;02;5088386.828699997
01;2028;06;01;10669188.069499996
01;2028;06;02;8167351.983199997
01;2029;01;01;24197381.167099997
01;2029;01;02;25936903.8971
01;2029;02;01;18893221.6607
01;2029;02;02;18875383.225699995
01;2029;03;01;47625489.220100015
01;2029;03;02;60326943.79920003
01;2029;04;01;10872891.349100001
01;2029;04;02;9970582.398500005
01;2029;05;01;6118009.053300002
01;2029;05;02;5062944.893600002
01;2029;06;01;12074317.8704
01;2029;06;02;9203440.0477
01;2030;01;01;24253294.430899993
01;2030;01;02;25772680.761799976
01;2030;02;01;18936132.575599987
01;2030;02;02;18750892.127499998
01;2030;03;01;47744157.295899965
01;2030;03;02;59974668.64650003
01;2030;04;01;10922744.260100013
01;2030;04;02;9920729.488099985
01;2030;05;01;6143323.777000002
01;2030;05;02;5037630.170699999
01;2030;06;01;13495762.068499995
01;2030;06;02;10243136.432100005
01;2031;01;01;24244297.628299996
01;2031;01;02;25673552.67749999
01;2031;02;01;18928858.83559999
01;2031;02;02;18676757.402200006
01;2031;03;01;47729913.254399985
01;2031;03;02;59755690.798500046
01;2031;04;01;10942585.720900005
01;2031;04;02;9900888.027400002
01;2031;05;01;6153399.0375999985
01;2031;05;02;5027554.910499998
01;2031;06;01;13516248.341900004
01;2031;06;02;10222650.1593
01;2031;07;01;1008561.9755000006
01;2031;07;02;727669.6883999999
01;2032;01;01;24235630.30889999
01;2032;01;02;25574343.318899997
01;2032;02;01;18921840.650500014
01;2032;02;02;18602542.088899985
01;2032;03;01;47716350.50730003
01;2032;03;02;59536415.803900026
01;2032;04;01;10962387.496499997
01;2032;04;02;9881086.252100008
01;2032;05;01;6163454.147300006
01;2032;05;02;5017499.800999998
01;2032;06;01;13536693.641899996
01;2032;06;02;10202204.859800009
01;2032;07;01;2023852.8978000004
01;2032;07;02;1457688.9053999996
01;2033;01;01;24227225.686000004
01;2033;01;02;25475023.146300014
01;2033;02;01;18915059.3061
01;2033;02;02;18528243.6416
01;2033;03;01;47703362.91679996
01;2033;03;02;59316711.414900005
01;2033;04;01;10982149.6679
01;2033;04;02;9861324.081400005
01;2033;05;01;6173489.147199996
01;2033;05;02;5007464.801500001
01;2033;06;01;13557098.052400019
01;2033;06;02;10181800.449799998
01;2033;07;01;3045917.2794000003
01;2033;07;02;2190081.6737
01;2034;01;01;24221670.191
01;2034;01;02;25378256.1511
01;2034;02;01;18909735.218300004
01;2034;02;02;18454670.418799996
01;2034;03;01;47699590.7164
01;2034;03;02;59101754.644400045
01;2034;04;01;11001872.316900002
01;2034;04;02;9841601.432600008
01;2034;05;01;6183504.0781000005
01;2034;05;02;4997449.871200001
01;2034;06;01;13577461.655199997
01;2034;06;02;10161436.847800009
01;2034;07;01;4074798.3245999985
01;2034;07;02;2924870.9977000006
01;2035;01;01;24215569.28009999
01;2035;01;02;25279540.151599996
01;2035;02;01;18905166.076500002
01;2035;02;02;18381220.056100003
01;2035;03;01;47698217.58550001
01;2035;03;02;58889776.58039996
01;2035;04;01;11021555.517300002
01;2035;04;02;9821918.226300005
01;2035;05;01;6193498.975299998
01;2035;05;02;4987454.974199996
01;2035;06;01;13597784.529700004
01;2035;06;02;10141113.973899994
01;2035;07;01;5110624.372099999
01;2035;07;02;3662141.2184999986
01;2036;01;01;24209003.798600003
01;2036;01;02;25181193.425299987
01;2036;02;01;18900252.025099996
01;2036;02;02;18308041.3027
01;2036;03;01;47696608.654800005
01;2036;03;02;58678435.77609997
01;2036;04;01;11041199.329900006
01;2036;04;02;9802274.369700002
01;2036;05;01;6203473.885500001
01;2036;05;02;4977480.064300001
01;2036;06;01;13618066.759600008
01;2036;06;02;10120831.744200002
01;2036;07;01;6153453.2816
01;2036;07;02;4401925.540000001
01;2037;01;01;24202066.235700015
01;2037;01;02;25083055.211999986
01;2037;02;01;18894901.415199995
01;2037;02;02;18235139.667199995
01;2037;03;01;47695325.788300015
01;2037;03;02;58469025.0683
01;2037;04;01;11060803.879799994
01;2037;04;02;9782669.82430001
01;2037;05;01;6213428.845499997
01;2037;05;02;4967525.104600002
01;2037;06;01;13638308.423700005
01;2037;06;02;10100590.0809
01;2037;07;01;7203329.310699998
01;2037;07;02;5144247.2382
01;2038;01;01;24195066.9544
01;2038;01;02;24985490.4999
01;2038;02;01;18889643.862199992
01;2038;02;02;18162498.584599994
01;2038;03;01;47693479.606599994
01;2038;03;02;58260373.0697
01;2038;04;01;11080369.244500017
01;2038;04;02;9763104.506199997
01;2038;05;01;6223363.896900001
01;2038;05;02;4957590.0535999965
01;2038;06;01;13658509.6052
01;2038;06;02;10080388.900200007
01;2038;07;01;8260303.7328999955
01;2038;07;02;5889134.5715
01;2039;01;01;24188574.085200004
01;2039;01;02;24888944.79819999
01;2039;02;01;18884341.0605
01;2039;02;02;18090141.9713
01;2039;03;01;47690562.411599986
01;2039;03;02;58052393.36480001
01;2039;04;01;11099895.4261
01;2039;04;02;9743578.274300002
01;2039;05;01;6233279.076600002
01;2039;05;02;4947674.873899996
01;2039;06;01;13678670.383100001
01;2039;06;02;10060228.122799998
01;2039;07;01;9324424.727699995
01;2039;07;02;6636613.467800005
01;2040;01;01;24182082.4742
01;2040;01;02;24793293.07
01;2040;02;01;18878901.2216
01;2040;02;02;18018072.968500003
01;2040;03;01;47686852.75199998
01;2040;03;02;57844856.42349997
01;2040;04;01;11119382.571600001
01;2040;04;02;9724091.109200004
01;2040;05;01;6243174.4259000085
01;2040;05;02;4937779.5248
01;2040;06;01;13698790.841299988
01;2040;06;02;10040107.6652
01;2040;07;01;10395742.09919999
01;2040;07;02;7386710.936499996
01;2041;01;01;24175184.755200014
01;2041;01;02;24698056.35529999
01;2041;02;01;18873122.441999998
01;2041;02;02;17946250.984199997
01;2041;03;01;47683917.7158
01;2041;03;02;57639446.686900005
01;2041;04;01;11138830.753499992
01;2041;04;02;9704642.927399999
01;2041;05;01;6253049.989800003
01;2041;05;02;4927903.970900002
01;2041;06;01;13718871.0586
01;2041;06;02;10020027.448500011
01;2041;07;01;10410515.5203
01;2041;07;02;7371937.515800004
01;2041;08;01;1063787.7826000005
01;2041;08;02;767514.6819999999
01;2042;01;01;24168075.651999984
01;2042;01;02;24603147.9115
01;2042;02;01;18867178.90170001
01;2042;02;02;17874692.171399992
01;2042;03;01;47681005.06049997
01;2042;03;02;57434673.85610001
01;2042;04;01;11158240.039
01;2042;04;02;9685233.6421
01;2042;05;01;6262905.798400002
01;2042;05;02;4918048.163000002
01;2042;06;01;13738911.114000004
01;2042;06;02;9999987.393600004
01;2042;07;01;10425259.396599993
01;2042;07;02;7357193.639799999
01;2042;08;01;2134905.1854000003
01;2042;08;02;1537675.0869000002
01;2043;01;01;24160658.634700008
01;2043;01;02;24508419.246099997
01;2043;02;01;18861069.1802
01;2043;02;02;17803411.908800006
01;2043;03;01;47679249.63649995
01;2043;03;02;57231038.74639998
01;2043;04;01;11177610.506900003
01;2043;04;02;9665863.1743
01;2043;05;01;6272741.880499997
01;2043;05;02;4908212.055999998
01;2043;06;01;13758911.089400003
01;2043;06;02;9979987.418900006
01;2043;07;01;10439973.783900002
01;2043;07;02;7342479.253100002
01;2043;08;01;3213401.0257999976
01;2043;08;02;2310507.327200001
01;2044;01;01;24153010.637399998
01;2044;01;02;24413996.819900002
01;2044;02;01;18854801.430400006
01;2044;02;02;17732407.8523
01;2044;03;01;47676364.95110003
01;2044;03;02;57028466.350899994
01;2044;04;01;11196942.2334
01;2044;04;02;9646531.447900001
01;2044;05;01;6282558.320700005
01;2044;05;02;4898395.6417000005
01;2044;06;01;13778871.0646
01;2044;06;02;9960027.444500003
01;2044;07;01;10454658.743599996
01;2044;07;02;7327794.2936999975
01;2044;08;01;4299330.2837000005
01;2044;08;02;3086041.8722
01;2045;01;01;24145110.738499984
01;2045;01;02;24319843.034799997
01;2045;02;01;18848375.3783
01;2045;02;02;17661683.922299992
01;2045;03;01;47673273.0439
01;2045;03;02;56827089.99539998
01;2045;04;01;11216235.297200002
01;2045;04;02;9627238.384599999
01;2045;05;01;6292355.1259
01;2045;05;02;4888598.858499999
01;2045;06;01;13798791.121999998
01;2045;06;02;9940107.387699993
01;2045;07;01;10469314.333400004
01;2045;07;02;7313138.704199999
01;2045;08;01;5392739.457799999
01;2045;08;02;3864302.9699999997
01;2046;01;01;24136644.67090001
01;2046;01;02;24225632.530799992
01;2046;02;01;18841647.797400005
01;2046;02;02;17591152.50490001
01;2046;03;01;47668739.0207
01;2046;03;02;56625247.411199965
01;2046;04;01;11235489.774899999
01;2046;04;02;9607983.9071
01;2046;05;01;6302132.324599999
01;2046;05;02;4878821.660100002
01;2046;06;01;13818671.334000016
01;2046;06;02;9920227.1734
01;2046;07;01;10483940.611900004
01;2046;07;02;7298512.426099998
01;2046;08;01;6493679.5625
01;2046;08;02;4645318.033600002
01;2047;01;01;24128003.94800003
01;2047;01;02;24131760.78000001
01;2047;02;01;18834776.07869999
01;2047;02;02;17520894.658
01;2047;03;01;47663182.761199996
01;2047;03;02;56423776.12219998
01;2047;04;01;11254705.742600003
01;2047;04;02;9588767.939899998
01;2047;05;01;6311889.9678
01;2047;05;02;4869064.016900002
01;2047;06;01;13838511.777899997
01;2047;06;02;9900386.715400007
01;2047;07;01;10498537.635999998
01;2047;07;02;7283915.402399999
01;2047;08;01;7602186.7605000045
01;2047;08;02;5429103.674500001
01;2048;01;01;24119164.9783
01;2048;01;02;24038268.913999997
01;2048;02;01;18827748.136899993
01;2048;02;02;17450912.397799995
01;2048;03;01;47656745.75369998
01;2048;03;02;56222630.90890001
01;2048;04;01;11273883.2796
01;2048;04;02;9569590.403200002
01;2048;05;01;6321628.0966
01;2048;05;02;4859325.888099998
01;2048;06;01;13858312.526899992
01;2048;06;02;9880585.926899998
01;2048;07;01;10513105.467100002
01;2048;07;02;7269347.5719
01;2048;08;01;8718306.706599994
01;2048;08;02;6215683.283599996
01;2049;01;01;24110131.085700013
01;2049;01;02;23945150.65840001
01;2049;02;01;18820571.607899986
