COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.00119999
01;2009;01;02;30278728.644100003
01;2009;02;01;17101159.395999998
01;2009;02;02;22166337.7148
01;2009;03;01;42865112.44799999
01;2009;03;02;69373982.77640003
01;2010;01;01;22023525.434700005
01;2010;01;02;30025422.640399996
01;2010;02;01;17236486.128900006
01;2010;02;02;21974465.785299994
01;2010;03;01;43217455.019299984
01;2010;03;02;68860015.90800002
01;2010;04;01;1541398.5110000006
01;2010;04;02;1804326.0071999994
01;2011;01;01;22201576.749500003
01;2011;01;02;29772420.840600014
01;2011;02;01;17371774.805200003
01;2011;02;02;21782713.33860002
01;2011;03;01;43570346.27539997
01;2011;03;02;68345720.28879999
01;2011;04;01;3123946.3263
01;2011;04;02;3617656.1614999995
01;2012;01;01;22379428.0005
01;2012;01;02;29519727.034699988
01;2012;02;01;17507020.830699995
01;2012;02;02;21591084.850300003
01;2012;03;01;43923738.735600024
01;2012;03;02;67831150.48009998
01;2012;04;01;4748116.355800003
01;2012;04;02;5440348.598899997
01;2013;01;01;22557075.29730001
01;2013;01;02;29267344.954399996
01;2013;02;01;17642164.31469999
01;2013;02;02;21399640.095900018
01;2013;03;01;44277680.03830003
01;2013;03;02;67316262.91310002
01;2013;04;01;6414391.1401999965
01;2013;04;02;7272764.959799999
01;2014;01;01;22734348.651799995
01;2014;01;02;29015444.43669999
01;2014;02;01;17777256.8612
01;2014;02;02;21208327.349900015
01;2014;03;01;44632131.34320001
01;2014;03;02;66801091.9131
01;2014;04;01;8123263.7047000015
01;2014;04;02;9115271.299799994
01;2015;01;01;22911408.472500004
01;2015;01;02;28763864.915499996
01;2015;02;01;17912294.059700005
01;2015;02;02;21017150.912699997
01;2015;03;01;44987122.41730002
01;2015;03;02;66285616.13400002
01;2015;04;01;9875236.716499994
01;2015;04;02;10968237.013900008
01;2016;01;01;23071593.103900008
01;2016;01;02;28492061.69450001
01;2016;02;01;18034258.78230001
01;2016;02;02;20811098.588899996
01;2016;03;01;45309734.056299984
01;2016;03;02;65722626.092700005
01;2016;04;01;9984919.086900003
01;2016;04;02;10858554.645299999
01;2016;05;01;1137433.0299
01;2016;05;02;1063512.0681000005
01;2017;01;01;23231289.501100007
01;2017;01;02;28220986.493399993
01;2017;02;01;18155974.412000004
01;2017;02;02;20605476.9883
01;2017;03;01;45632250.544900015
01;2017;03;02;65160230.50680001
01;2017;04;01;10093504.633800002
01;2017;04;02;10749969.099600004
01;2017;05;01;2294514.2730000005
01;2017;05;02;2124816.3540000003
01;2018;01;01;23390523.081299994
01;2018;01;02;27950612.8577
01;2018;02;01;18277425.85260001
01;2018;02;02;20400300.813799992
01;2018;03;01;45954424.768000014
01;2018;03;02;64598677.18139999
01;2018;04;01;10201004.323799996
01;2018;04;02;10642469.411400001
01;2018;05;01;3471315.5019999975
01;2018;05;02;3184022.6851999983
01;2019;01;01;23549289.874200005
01;2019;01;02;27680947.178500004
01;2019;02;01;18398620.67199999
01;2019;02;02;20195562.106699996
01;2019;03;01;46276395.88959996
01;2019;03;02;64037833.9226
01;2019;04;01;10307429.019499999
01;2019;04;02;10536044.717399998
01;2019;05;01;4667910.376200002
01;2019;05;02;4241240.530300002
01;2020;01;01;23707452.815099988
01;2020;01;02;27412121.037299998
01;2020;02;01;18519555.13159998
01;2020;02;02;19991264.21459999
01;2020;03;01;46597805.681300014
01;2020;03;02;63478038.39159999
01;2020;04;01;10412789.467999997
01;2020;04;02;10430684.2715
01;2020;05;01;5884374.696700003
01;2020;05;02;5296579.242799998
01;2021;01;01;23760677.26869999
01;2021;01;02;27248471.975799996
01;2021;02;01;18559889.224000003
01;2021;02;02;19867746.753200006
01;2021;03;01;46708006.0643
01;2021;03;02;63129941.2793
01;2021;04;01;10464942.890600001
01;2021;04;02;10378530.850200005
01;2021;05;01;5910857.5962000005
01;2021;05;02;5270096.3440999985
01;2021;06;01;1279225.4760000005
01;2021;06;02;1009775.4916999997
01;2022;01;01;23814239.819600012
01;2022;01;02;27084725.038100015
01;2022;02;01;18600533.20680001
01;2022;02;02;19744099.07800001
01;2022;03;01;46819102.89140008
01;2022;03;02;62781427.93499998
01;2022;04;01;10516835.544799997
01;2022;04;02;10326638.197000004
01;2022;05;01;5937208.078299999
01;2022;05;02;5243745.862499998
01;2022;06;01;2573753.668599998
01;2022;06;02;2022596.1256999995
01;2023;01;01;23868129.581900004
01;2023;01;02;26920882.037399996
01;2023;02;01;18641480.05700001
01;2023;02;02;19620327.079600003
01;2023;03;01;46931222.69459994
01;2023;03;02;62432423.0285
01;2023;04;01;10568468.735400008
01;2023;04;02;10275005.007700004
01;2023;05;01;5963426.808900002
01;2023;05;02;5217527.133
01;2023;06;01;3883706.2586
01;2023;06;02;3038530.7076999987
01;2024;01;01;23922352.214600008
01;2024;01;02;26756952.185300004
01;2024;02;01;18682725.678900003
01;2024;02;02;19496434.410499997
01;2024;03;01;47044333.23570001
01;2024;03;02;62082925.22929999
01;2024;04;01;10619843.759699995
01;2024;04;02;10223629.9836
01;2024;05;01;5989514.444599999
01;2024;05;02;5191439.497799999
01;2024;06;01;5209206.223000001
01;2024;06;02;4057648.4492000015
01;2025;01;01;23976875.992000002
01;2025;01;02;26592950.69119999
01;2025;02;01;18724264.092499994
01;2025;02;02;19372426.715400007
01;2025;03;01;47158343.22249999
01;2025;03;02;61733029.88920003
01;2025;04;01;10670961.911700005
01;2025;04;02;10172511.833099991
01;2025;05;01;6015471.6439000005
01;2025;05;02;5165482.299399997
01;2025;06;01;6550378.050699995
01;2025;06;02;5080019.1399
01;2026;01;01;24031708.289499983
01;2026;01;02;26428876.56990001
01;2026;02;01;18766089.986999992
01;2026;02;02;19248308.655900005
01;2026;03;01;47273324.025199965
01;2026;03;02;61382638.19389996
01;2026;04;01;10721824.470000003
01;2026;04;02;10121649.275500005
01;2026;05;01;6041299.059299997
01;2026;05;02;5139654.884900002
01;2026;06;01;7907347.431099999
01;2026;06;02;6105712.891400002
01;2027;01;01;24086842.4287
01;2027;01;02;26264724.628599986
01;2027;02;01;18808195.13069999
01;2027;02;02;19124086.667899996
01;2027;03;01;47389239.6671
01;2027;03;02;61031808.01690002
01;2027;04;01;10772432.7155
01;2027;04;02;10071041.030699998
01;2027;05;01;6066997.334299998
01;2027;05;02;5113956.611100007
01;2027;06;01;9280241.433000004
01;2027;06;02;7134800.276399996
01;2028;01;01;24142257.597700033
01;2028;01;02;26100522.39860001
01;2028;02;01;18850575.4919
01;2028;02;02;18999766.938899998
01;2028;03;01;47506073.02709999
01;2028;03;02;60680498.57790003
01;2028;04;01;10822787.91900001
01;2028;04;02;10020685.827899994
01;2028;05;01;6092567.117400003
01;2028;05;02;5088386.828699997
01;2028;06;01;10669188.591799997
01;2028;06;02;8167352.396499996
01;2029;01;01;24197960.761400007
01;2029;01;02;25936265.152199995
01;2029;02;01;18893225.938600007
01;2029;02;02;18875353.911800005
01;2029;03;01;47623827.279899985
01;2029;03;02;60328752.544400014
01;2029;04;01;10872891.349100001
01;2029;04;02;9970582.398500005
01;2029;05;01;6118009.053300002
01;2029;05;02;5062944.893600002
01;2029;06;01;12074318.752099995
01;2029;06;02;9203440.741700003
01;2030;01;01;24253950.34160001
01;2030;01;02;25771945.922699995
01;2030;02;01;18936140.701800004
01;2030;02;02;18750852.6444
01;2030;03;01;47742425.97940002
01;2030;03;02;59976581.26189995
01;2030;04;01;10922744.260100013
01;2030;04;02;9920729.488099987
01;2030;05;01;6143323.777000003
01;2030;05;02;5037630.170699999
01;2030;06;01;13495763.308199998
01;2030;06;02;10243137.403000003
01;2031;01;01;24244965.846699998
01;2031;01;02;25672763.877199993
01;2031;02;01;18928865.3955
01;2031;02;02;18676707.347500004
01;2031;03;01;47728167.93180001
01;2031;03;02;59757658.40809996
01;2031;04;01;10942585.720900005
01;2031;04;02;9900888.027400002
01;2031;05;01;6153399.037599998
01;2031;05;02;5027554.910499999
01;2031;06;01;13516249.584700007
01;2031;06;02;10222651.12719999
01;2031;07;01;1008562.2711000002
01;2031;07;02;727669.9005000002
01;2032;01;01;24236306.20679998
01;2032;01;02;25573507.772499993
01;2032;02;01;18921845.32130001
01;2032;02;02;18602483.174999993
01;2032;03;01;47714581.75109999
01;2032;03;02;59538388.80320001
01;2032;04;01;10962387.496499995
01;2032;04;02;9881086.252100008
01;2032;05;01;6163454.147300007
01;2032;05;02;5017499.800999998
01;2032;06;01;13536694.886600003
01;2032;06;02;10202205.825999998
01;2032;07;01;2023853.4380999994
01;2032;07;02;1457689.2929999996
01;2033;01;01;24227870.758199997
01;2033;01;02;25474133.638600007
01;2033;02;01;18915051.704300005
01;2033;02;02;18528169.526499998
01;2033;03;01;47701565.42690001
01;2033;03;02;59318660.00530004
01;2033;04;01;10982149.6679
01;2033;04;02;9861324.081400005
01;2033;05;01;6173489.147199996
01;2033;05;02;5007464.801500001
01;2033;06;01;13557099.2984
01;2033;06;02;10181801.414900001
01;2033;07;01;3045917.793800002
01;2033;07;02;2190082.042500001
01;2034;01;01;24222425.982600007
01;2034;01;02;25378942.381400004
01;2034;02;01;18909803.362099994
01;2034;02;02;18454659.640300002
01;2034;03;01;47700357.56780003
01;2034;03;02;59107165.597600006
01;2034;04;01;11001872.316900002
01;2034;04;02;9841601.432600008
01;2034;05;01;6183504.078099999
01;2034;05;02;4997449.871200001
01;2034;06;01;13577462.902900005
01;2034;06;02;10161437.810800008
01;2034;07;01;4074798.1503999988
01;2034;07;02;2924870.8654000005
01;2035;01;01;24218057.350300018
01;2035;01;02;25284246.087899987
01;2035;02;01;18905233.257400006
01;2035;02;02;18381210.128999997
01;2035;03;01;47702353.0581
01;2035;03;02;58898864.8246
01;2035;04;01;11021555.516200002
01;2035;04;02;9821918.2256
01;2035;05;01;6193498.975299998
