branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;1.0;8412635.699;8400521.026;8388423.511;8376344.155;8364280.948000001;8352236.899;8340209.999;8322194.3719999995;8304218.097000001;8286281.154;8268382.552999999;8250521.324000001;8232696.527000001;8214914.961;8197170.7360000005;8179464.843;8161797.29;8144168.069;8126573.629;8109015.86;8091499.761;8074020.683;8056568.325999999;8039159.350000001;8021778.064;8004726.698999999;7987434.995;7970180.41;7952963.026;7935780.842;7918743.588;7901773.533;7884849.897999999;7867946.5430000005;7851039.048;7834156.633;7817285.407;7800415.66;7783575.412;7766751.414;7749967.725000001;7733215.324
01;01;01;01;Cuisson;Cuisson;1.0;3500591.331;3349692.671;3205298.107;3067128.244;2934914.2609999995;2808399.45;2687338.7860000003;2569561.711;2456946.9809999997;2349267.722;2246306.536;2147857.799;2053723.814;1963716.0140000002;1877652.999;1795361.713;1716676.958;1641440.588;1569501.1879999998;1500714.5029999998;1434943.2049999998;1372054.416;1311920.108;1254422.188;1199442.689;1146933.304;1096666.982;1048603.74;1002646.7319999998;958703.4330000001;916704.7059999999;876550.677;838156.954;801442.7010000001;766330.6240000001;732755.4180000001;700647.642;669942.3479999999;640581.8219999999;612505.7842;585660.7984999999;559991.6408
01;01;01;02;Autre;Autre;2.58;2.08005643E8;2.077061604E8;2.0740702170000002E8;2.0710831720000002E8;2.068100769E8;2.0651226970000002E8;2.062149064E8;2.057694672E8;2.053250464E8;2.048815541E8;2.044389701E8;2.0399736570000002E8;2.035566576E8;2.031170389E8;2.026783287E8;2.022405269E8;2.018036434E8;2.013677884E8;2.0093274360000002E8;2.004986104E8;2.0006545839999998E8;1.9963331689999998E8;1.992018197E8;1.9877135079999998E8;1.983415364E8;1.979198304E8;1.974923276E8;1.970657371E8;1.96640053E8;1.962152032E8;1.957938817E8;1.953742295E8;1.949556877E8;1.9453767720000002E8;1.941196529E8;1.93702236E8;1.932850844E8;1.928679691E8;1.92451586E8;1.920356193E8;1.9162066070000002E8;1.912064795E8
01;01;01;02;Bureautique;Electricité Spécifique;2.58;3.206753307E8;3.2342025529999995E8;3.261886975E8;3.289809187E8;3.3179699129999995E8;3.3463719620000005E8;3.375016856E8;3.401476776E8;3.428144832E8;3.455021227E8;3.4821088759999996E8;3.509408362E8;3.53692064E8;3.564649945E8;3.592596461E8;3.620762011E8;3.649149011E8;3.677758075E8;3.7065902059999996E8;3.73564829E8;3.764935591E8;3.794452164E8;3.7862513340000004E8;3.7780701790000004E8;3.76990126E8;3.7618868440000004E8;3.753760244E8;3.745651398E8;3.737560346E8;3.729485688E8;3.721478046E8;3.713502406E8;3.70554747E8;3.697603338E8;3.689657531E8;3.681722897E8;3.673793047E8;3.66586416E8;3.657950007E8;3.6500434659999996E8;3.64215547E8;3.634283015E8
01;01;01;02;Cuisson;Cuisson;2.58;2.135047235E7;2.206696849E7;2.275021711E7;2.340166075E7;2.402267141E7;2.461457153E7;2.5178619000000004E7;2.5697879790000003E7;2.619087882E7;2.6658770290000003E7;2.71026618E7;2.752361413E7;2.792263431E7;2.830071139E7;2.8658758179999996E7;2.899766119E7;2.931827085E7;2.962139027E7;2.990778028E7;3.01781895E7;3.043334479E7;3.067390381E7;3.0900490759999998E7;3.1113762470000003E7;3.131426306E7;3.150373882E7;3.168050927E7;3.184617016E7;3.2001218179999996E7;3.214610027E7;3.228173239E7;3.240823859E7;3.252593635E7;3.263512169E7;3.273606501E7;3.282924727E7;3.2914952830000002E7;3.299346679E7;3.306523306E7;3.313049614E7;3.318963686E7;3.324290765E7
01;01;01;02;Froid_alimentaire;Electricité Spécifique;2.58;5720154.539;5673783.2659;5627787.4636;5582164.84;5536911.7529;5492025.729200001;5447503.8444;5399420.347800001;5351761.5637;5304523.1196;5257701.9304;5211292.5336;5165292.2695;5119699.9103;5074509.927999999;5029718.7316;4985323.2004;4941319.668300001;4897701.771300001;4854469.0727;4811619.8268;4769148.7945;4758840.2676;4748556.9775;4738289.8390999995;4728216.7032;4718003.4336;4707812.0967999995;4697642.701800001;4687493.5144;4677429.414700001;4667405.055300001;4657407.3264;4647422.691;4637435.404399999;4627462.7393;4617496.7606;4607531.294299999;4597583.565899999;4587646.047799999;4577732.2398;4567837.1471
01;01;01;02;Process;Electricité Spécifique;2.58;4593456.563;4586841.209000001;4580236.139;4573640.153999999;4567054.252;4560477.635;4553910.101;4544073.526999999;4534258.147;4524463.648999999;4514690.436000001;4504937.926;4495206.009000001;4485496.6559999995;4475808.296;4466140.909;4456494.515000001;4446868.004;4437260.425;4427673.459;4418109.114000001;4408565.573;4399037.294000001;4389531.216999999;4380040.392;4370729.228000001;4361287.898000001;4351867.217999999;4342467.159;4333085.402000001;4323782.706;4314516.262;4305275.0479999995;4296045.436000001;4286812.946;4277593.556;4268381.166;4259168.895999999;4249973.597;4240787.6389999995;4231623.340000001;4222476.002
01;01;01;03;Cuisson;Cuisson;1.0;762516.7215;729647.1199999999;698194.5266999999;668097.6846;639298.2276999999;611740.2421;585370.1853;559715.3482;535184.9199999999;511729.5559;489302.19049999997;467857.6185;447352.77509999997;427746.7709;409000.03599999996;391074.9292;373935.4712;357547.1998;341876.89660000004;326893.3269;312566.6494;298867.82129999995;285769.01170000003;273244.4402;261268.513;249826.87019999998;238877.73959999997;228408.49440000003;218398.05320000002;208826.3382;199676.8766;190929.033;182564.66580000002;174566.4264;166917.6392;159603.85510000002;152609.94;145921.837;139526.6992;133411.47840000002;127564.34800000003;121973.4641
01;01;01;04;Autre;Autre;1.0;476274.74689999997;475588.87630000006;474904.075;474220.142;473537.2682;472855.3638;472174.40760000004;471154.54170000006;470136.8559;469121.36020000005;468108.05470000004;467096.80819999997;466087.69570000004;465080.94130000006;464076.37600000005;463073.98059999995;462073.77530000004;461075.75909999997;460079.5839;459085.54760000005;458093.89729999995;457104.30610000005;456116.2558;455130.6633;454146.4968;453179.07329999993;452200.14369999996;451223.3699;450248.6482;449275.9372;448310.5541;447348.74679999996;446389.39450000005;445431.48990000004;444473.62529999996;443517.2134;442561.6224;441606.42829999997;440652.9739;439700.6442;438750.5323000001;437802.2682
01;01;01;04;Cuisson;Cuisson;1.0;1.157032846E7;1.1071569767E7;1.0594314029E7;1.0137627434E7;9700627.347;9282462.546;8882328.401999999;8493046.197;8120826.274999999;7764916.734;7424606.172;7099208.512999999;6788070.936;6490572.844;6206113.179;5934119.427;5674046.91;5425372.374;5187593.382;4960235.512;4742844.7069999995;4534980.674;4336220.6620000005;4146174.685;3964451.9269999997;3790821.0420000004;3624681.969;3465823.9329999997;3313927.494;3168687.864;3029850.046;2897106.4310000003;2770181.142;2648811.8869999996;2532749.279;2421768.658;2315644.226;2214161.228;2117123.462;2024334.963;1935613.4600000002;1850779.44
