branche;occupation;periodeSimple;energieUsage;usage;usageSimple;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;01;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Bureautique;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Froid_alimentaire;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Process;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;03;Cuisson;Cuisson;2.0664203152649996E8;1.9773436951999998E8;1.8921071673569998E8;1.810544725266E8;1.7324981970670003E8;1.657816056091E8;1.586353202163E8;1.5168285936219996E8;1.4503511332E8;1.386787096489E8;1.326008936255E8;1.2678941461349998E8;1.212326020521E8;1.159193749139E8;1.1083900975600001E8;1.059813058132E8;1.013365129391E8;9.68952913897E7;9.264865006250001E7;8.85881021318E7;8.470555599830002E7;8.09931565102E7;7.74433710328E7;7.40492161942E7;7.0803738026E7;6.77013943343E7;6.473416720470001E7;6.18969946824E7;5.91841559032E7;5.65901612472E7;5.4109830603599995E7;5.1738125161E7;4.947037054879999E7;4.73020349424E7;4.5228719849199995E7;4.3246331787099995E7;4.13506868413E7;3.9538150034600005E7;3.78050225422E7;3.6147880794E7;3.45633838207E7;3.30483572367E7
01;01;01;04;Autre;Autre;9.76363231145E7;9.749571964149998E7;9.735533537499999E7;9.721512911000003E7;9.7075139981E7;9.693534957900001E7;9.679575355800001E7;9.658668104849999E7;9.63780554595E7;9.6169878841E7;9.59621512135E7;9.5754845681E7;9.554797761850001E7;9.53415929665E7;9.513565708000001E7;9.4930166023E7;9.472512393649998E7;9.452053059499998E7;9.4316325954E7;9.41125485125E7;9.390924134099999E7;9.37063564695E7;9.350379631799999E7;9.33017521105E7;9.30999947185E7;9.28997669955E7;9.269899436199999E7;9.249866001849999E7;9.22987368845E7;9.209915546499999E7;9.189997928950001E7;9.170111325850001E7;9.15026514465E7;9.130466193399999E7;9.1107084451E7;9.09099704115E7;9.07130734465E7;9.05166169855E7;9.0320508758E7;9.012485950500001E7;8.992965483549999E7;8.97348773245E7
01;01;01;04;Cuisson;Cuisson;2.3719173342999997E9;2.269671802235E9;2.1718343759449997E9;2.0782136239699998E9;1.988628606135E9;1.90290482193E9;1.8208773224099998E9;1.7410744703850002E9;1.6647693863750002E9;1.59180793047E9;1.52204426526E9;1.455337745165E9;1.39155454188E9;1.3305674350700002E9;1.2722532039499998E9;1.21649448479E9;1.1631796186E9;1.1122013389250002E9;1.06345677656E9;1.0168484070600001E9;9.72283084985E8;9.2967077167E8;8.889248769599999E8;8.49965502925E8;8.1271231273E8;7.77101361955E8;7.430427945899999E8;7.104768478050001E8;6.7933799376E8;6.495632402600001E8;6.21093277115E8;5.938704322900001E8;5.67840643595E8;5.4295182217E8;5.1915401013E8;4.9639947732500005E8;4.74641037265E8;4.5383643207E8;4.33943236785E8;4.1492238374E8;3.9673520972999996E8;3.79345250585E8
