branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.7886868709999997E7;2.6729174729999997E7;2.5575103029999997E7;2.442463369E7;2.3277753939999998E7;2.21344493E7;2.0994709000000004E7;1.9796165030300003E7;1.8489715311399996E7;1.72090478269E7;1.59545377039E7;1.48203432245E7;1.3691935822499998E7;1.2574642376499997E7;1.1468364827200001E7;1.0372994847E7;9291767.0799;8224760.904499999;7168753.082700001;6123614.1534;5089102.3749;4065467.2027000003;3123981.5347;2692707.5525999996;2460400.8233999996;2280958.1561;3369445.4461;4529546.972499999;5770820.0004;7052279.8922999995;8342688.6226;9668993.256800001;1.10116883899E7;1.2397863754499998E7;1.38330473835E7;1.5293471989899997E7;1.6801385195800003E7;1.8362142079200003E7;1.99478150708E7;2.1552812363399997E7;2.3238621426E7;2.490712381269999E7
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;1951195.9708999998;1869016.2602000001;1786836.5473999996;1704656.8317;1622477.8158;1540298.4960000003;1453879.6065;1367460.8088999998;1281042.3094999997;1194623.6140999997;1108204.7778;1018394.188;928583.4162;838772.6643999999;748961.9334000001;713881.9757;678802.018;643722.0623000001;608642.1078;573562.1553;538482.2057999999;506965.7919;475449.95040000003;443935.4007;412421.57070000004;380910.7932;352793.2012;324680.0327999999;296571.30689999997;268466.75480000005;257240.00149999998;245740.016;234246.326;222755.4987;211267.58759999997;199782.72170000002;189043.50630000004;178356.92169999998;167651.7042;156949.29530000003;146244.1553
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.747;1482903.8104000003;1419031.8548;1355344.4328;1291841.0732999998;1228521.3329;1165384.7584;1099356.2982999997;1026242.0847000001;955628.5853;886243.2796;823498.6341999999;761431.4014000001;699875.1838000001;638831.385;578292.8936000001;518256.34010000003;458715.9833999999;399672.0294;341117.59410000005;283054.51869999996;225479.25890000002;168247.3274;111592.4652;55511.5734;2547.6841999999997;5689.5308;9078.7909;12663.232;16441.3921;20255.9031;27931.4024;35296.681899999996;47252.329399999995;60851.27589999999;78122.7945;96698.5752;116665.67900000002;137769.0749;160059.2976;184478.64599999998;210457.1616
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.3485262524000002E7;1.35497465247E7;1.3516536094400002E7;1.3590076247299997E7;1.3849040230600001E7;1.4171462163199998E7;1.4404310759499999E7;1.4574759712299999E7;1.4701381955999998E7;1.4826225723400002E7;1.5026153881899998E7;1.5065501513E7;1.5094964751100004E7;1.51006252066E7;1.50898342952E7;1.50449639383E7;1.4807372219999999E7;1.4515912337899998E7;1.41801650583E7;1.3807084118700001E7;1.3389508383800002E7;1.3005641072600001E7;1.2614333967100004E7;1.2224675657100001E7;1.18298640544E7;1.1329089647900002E7;1.0881381038900001E7;1.05026367393E7;1.0026680032E7;9396700.369000003;8710863.9896;8002396.763899998;7300916.553099999;6628981.0912;5956443.9478;5299338.9021000005;4771046.655100002;4252273.5276999995;3750827.3776000007;3268498.3652000003;2800342.4921
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5768349.973699999;5516503.965899999;5265712.3157;5015967.0394;4767260.3537;4519584.527300001;4231164.117200001;3935611.2327000005;3648057.2047;3368323.4073999994;3116121.1292000003;2868930.2737000003;2625722.4535;2386447.0482;2151053.5379000003;1919492.5783000004;1690005.0277999996;1464706.87;1243538.3619;1026440.469;812536.7831;605640.8883;401268.3218;199395.7671;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1585039.4005999998;1516695.0396000003;1448555.1886;1380619.2112000003;1312886.5017999997;1245356.4471000002;1174424.5092;1097455.1940000001;1021584.8065;947249.5258000001;880275.1802000001;813502.7869000001;747387.4802999999;683275.8788000001;619783.2952;556843.288;494486.3551;433861.18189999997;377411.34650000004;325834.06370000006;279020.77470000007;234673.558;194228.6892;155949.0399;120197.30070000002;151505.1746;186221.3649;225061.93809999994;266191.6678;308416.93270000006;352892.95540000004;399195.63560000004;448797.14989999996;502827.85730000003;560370.4481999999;621331.2770000001;687435.7572999999;757061.2481;829706.6858999999;905381.2474;982272.4246999999
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;962058.959;920520.9778;879112.6397;837833.4569;796682.9631;755660.6889000001;712523.063;665501.4195;619407.6385;574255.1483;533433.0744999999;492819.87820000004;452606.3931;412789.14280000003;373364.14060000004;334455.46359999996;296066.4936;258073.98539999998;220473.1109;183255.2874;146429.47429999997;112695.8468;98198.88810000001;91205.42289999999;86185.3673;127316.01330000002;171153.2602;218060.11860000005;266486.61730000004;315254.11449999997;365380.30929999996;416129.10079999996;468520.1409;522764.5084;577964.7151;635032.9192;694119.2155;754195.4816999999;815004.0909999998;879178.7419;942692.2315999998
01;01;01;02;Chauffage;Chauffage;2.58;1.3977260778E8;1.4505568765000004E8;1.5170395032000002E8;1.6019530192E8;1.6660904307E8;1.6943762020000002E8;1.7098397498999998E8;1.7102236962399998E8;1.700911378261E8;1.695696606676E8;1.689556559578E8;1.696777290783E8;1.730463530713E8;1.7653032510259998E8;1.8031509223880005E8;1.843415134485E8;1.886564804419E8;1.964424206915E8;2.050878322571E8;2.1407450403810006E8;2.2351475087419996E8;2.3354733939790002E8;2.4315242207689998E8;2.5238118371269998E8;2.613384182536E8;2.701924705149E8;2.731509190804E8;2.7491810058169997E8;2.751425373448E8;2.771454793665E8;2.82109886808E8;2.880322117167E8;2.9452916087E8;3.006650593431E8;3.0624139514509994E8;3.116249957349E8;3.165522130319E8;3.188389620337E8;3.2078014218680006E8;3.222037805822E8;3.2314496593689996E8;3.2373629356560004E8
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.437296083572E8;1.4318325776610002E8;1.4264543728E8;1.42116339129E8;1.414334362718E8;1.406745002205E8;1.3983854828579998E8;1.3892462539560002E8;1.379317247107E8;1.360374194817E8;1.340532494243E8;1.3197796892249998E8;1.2981034160269998E8;1.2917917669319999E8;1.2861102717289999E8;1.281063922873E8;1.276658637834E8;1.272900421548E8;1.269795359743E8;1.266309773205E8;1.262667541528E8;1.2588663523550001E8;1.2549038345869999E8;1.2507776235759999E8;1.2532135887959999E8;1.25556408185E8;1.257827760648E8;1.2600032575059998E8;1.2621616086809999E8;1.2584021295079999E8;1.254529614658E8;1.250542405318E8;1.246438827465E8;1.2422172155499999E8;1.24427773353E8;1.24635279253E8;1.2484425368E8;1.2505471045499998E8;1.25266665345E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.5658690344E7;2.5745799258E7;2.5832918083000004E7;2.5920027007999998E7;2.6007142033E7;2.6094255727999993E7;2.5947998402E7;2.5801581379000004E7;2.5655004097999997E7;2.5508429014E7;2.5361854130000003E7;2.4981642210999995E7;2.4667265204E7;2.4352888097E7;2.4038371619000003E7;2.3604401247999996E7;2.3170403522E7;2.2736377339999996E7;2.2535694356E7;2.2335003911E7;2.2134304124E7;2.1814626973999996E7;2.1494958349499997E7;2.14088714419E7;2.13126011772E7;2.1216297723500002E7;2.11200980263E7;2.10319267133E7;2.09437279318E7;2.0855615024699997E7;2.07440701484E7;2.05130886661E7;2.0282227476699997E7;2.0170300763499998E7;2.00584166819E7;1.9946589362299997E7;1.9825609293E7;1.97054402656E7;1.9585026030500002E7;1.94726440554E7;1.9360265133E7
