branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.672917473E7;2.5575103029999997E7;2.442463369E7;2.327775394E7;2.21344493E7;2.0994709000000004E7;1.9796152775400005E7;1.848969081E7;1.72089999279E7;1.59544764491E7;1.4820165230200002E7;1.36917600913E7;1.25744813861E7;1.14682155658E7;1.0372859808300002E7;9291748.452300001;8224839.477600001;7169215.063600001;6124515.924400001;5090352.929900001;4067052.1785000004;3051989.4459999995;2093867.8179000001;1347703.1705999998;678928.683;1034825.3030999999;1422532.0958;1848933.7988;2239553.9666000004;2584869.6878;2920078.6807999997;3245826.6207;3568318.336;3893679.9365;4212088.6899999995;4528697.913799999;4874074.7025;5206240.9234;5531790.9925;5845345.7553;6128363.5226
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;1951195.9708999998;1869016.2602000001;1786836.5473999996;1704656.8317;1622477.8158;1540298.4960000003;1453879.6065;1367460.8088999998;1281042.3094999997;1194623.6140999997;1108204.7778;1018394.188;928583.4162;838772.6643999999;748961.9334000001;713881.9757;678802.018;643722.0623000001;608642.1078;573562.1553;538485.4674999999;506972.9929;475466.3384;443963.324;412463.623;380964.5015;352858.4496;324749.9888;296642.9437;268540.5772;257314.0682;245815.3063;234325.1223;222836.28269999998;211352.99959999995;199870.5932;189205.69920000003;178537.97229999996;167834.76730000004;157125.63009999998;146421.69160000002
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.747;1482903.8104000003;1419031.8548;1355344.4327999998;1291841.0732999998;1228521.3328999998;1165384.7584;1099357.9501999996;1026245.1982000001;955635.0987000001;886407.3031000001;823797.7062;761709.3917;700131.9434999999;639065.7342000001;578505.0188999999;518446.4331;458880.18270000006;399809.02570000006;341230.71880000003;283144.14759999997;225548.80539999998;168296.81850000002;111625.0098;55525.37779999999;361.9706;358.2698;354.9706;2203.0568;4796.7309000000005;6836.1907;8637.775599999999;10263.0038;12053.2768;14118.6003;18291.1554;22627.408799999997;27804.869200000005;33141.4962;38564.0145;44016.5234;49416.864199999996
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.3485262524000002E7;1.3549746524699999E7;1.35165360944E7;1.3590076247299997E7;1.3849040225400003E7;1.41714621406E7;1.43987241105E7;1.4565963126599997E7;1.4691459962900002E7;1.48149480955E7;1.5014465904999997E7;1.5091145418100003E7;1.51652217042E7;1.5242882323199995E7;1.53252881998E7;1.5413129699099999E7;1.5500103555600002E7;1.5568887763500003E7;1.5635092384300001E7;1.5689907083300002E7;1.5727752494E7;1.5793237252000002E7;1.5867576740399998E7;1.5949476498000002E7;1.6038658993800001E7;1.59621157614E7;1.59602533057E7;1.60521747552E7;1.6062757561900003E7;1.59281442952E7;1.57519336434E7;1.5555827097100005E7;1.5393209771600004E7;1.5274007193199998E7;1.51620577829E7;1.5072644471599998E7;1.5112224297199994E7;1.5161264309899997E7;1.5214620139499998E7;1.5269652018100003E7;1.53329916829E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5768349.973699999;5516503.965899999;5265712.3157;5015967.0394;4767260.3537;4519584.527300001;4231164.117200001;3935611.2260999996;3648057.1982;3368323.402;3116121.1249000006;2874697.0075;2636288.8861000002;2398458.682;2164053.2713;1933033.8704;1705351.8099000002;1480981.6265999998;1259885.6541999998;1042026.1908999999;827366.6133000001;617312.5283000001;409411.23939999996;203645.9512;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1585039.4005999998;1516695.0396000003;1448555.1886;1380619.2112000003;1312886.5018;1245356.4471000002;1175800.719;1099826.7661;1024276.5408000001;950319.6923999999;883476.1977;818351.9593000003;753876.0358000002;689883.9992;626371.7077;563405.8925;500918.1644;439049.2462;381219.07509999996;324252.0985;268160.5723;215796.8716;167677.5741;121006.83570000001;75928.74979999999;93765.27549999999;112571.97530000002;132223.6435;152669.274;173645.59949999998;195249.1075;215955.22369999997;237263.90879999998;260410.6164;283889.81309999997;307856.4058;330494.43999999994;353494.1432;376911.55329999997;400737.3764;424216.05059999996
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;962058.959;920520.9778;879112.6397000002;837833.4569;796682.9631;755660.6889000001;712522.6143;665500.5247999999;619405.8941000002;574252.9173;533426.6365999999;492813.5081999999;452600.59579999995;412783.7107;373359.2711;334454.9771;296069.8846;258091.68800000002;220507.31109999996;183302.7496;146489.74239999996;109973.7987;75581.3103;49164.4627;25649.226199999997;39087.810900000004;53728.7071;69834.0025;84587.16369999999;97628.0516;110287.372;122590.8441;134771.82780000003;147061.41600000003;159089.18519999998;171050.11470000003;184102.311;196668.09930000003;208984.88619999998;220849.02439999997;231561.2616
01;01;01;02;Chauffage;Chauffage;2.58;1.3977260778E8;1.4505568765000004E8;1.5170395032E8;1.6019530192E8;1.6660904307E8;1.6943762024000004E8;1.7098397592E8;1.7106228349550003E8;1.701441713101E8;1.696269918931E8;1.6901509180070004E8;1.697319761887E8;1.7290039765139997E8;1.76048964966E8;1.7907542123640004E8;1.819584398785E8;1.846834966737E8;1.8736546094849998E8;1.9003410220779994E8;1.9253116518220004E8;1.9515527657600006E8;1.9800693125699994E8;2.0035860279500002E8;2.0232949757579994E8;2.0393133229600003E8;2.0527088654339996E8;2.0210268485790002E8;1.9747830111580002E8;1.909993401558E8;1.8610309565000004E8;1.840657039152E8;1.828827505427E8;1.821954588162E8;1.8117126679750004E8;1.7948582600359997E8;1.7763616374659997E8;1.7536999836510003E8;1.7076064767820004E8;1.6599426501149997E8;1.61163241159E8;1.563166735045E8;1.5137976664100003E8
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.437296083572E8;1.4318325776610002E8;1.4264543728E8;1.42116339129E8;1.414334362718E8;1.406745002205E8;1.3983854828579998E8;1.3892462539560002E8;1.379317247107E8;1.360374194817E8;1.340532494243E8;1.3197796892249998E8;1.2981034160269998E8;1.2917917669319999E8;1.2861102717289999E8;1.281063922873E8;1.276658637834E8;1.272900421548E8;1.269795359743E8;1.266309773205E8;1.262667541528E8;1.2588663523550001E8;1.2549038345869999E8;1.2507776235759999E8;1.2532135887959999E8;1.25556408185E8;1.257827760648E8;1.2600032575059998E8;1.2621616086809999E8;1.2584021295079999E8;1.254529614658E8;1.250542405318E8;1.246438827465E8;1.2422172155499999E8;1.24427773353E8;1.24635279253E8;1.2484425368E8;1.2505471045499998E8;1.25266665345E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.5658690344E7;2.5745799258E7;2.5832918083000004E7;2.5920027007999998E7;2.6007142033E7;2.6094255727999993E7;2.5947998402E7;2.5801581379000004E7;2.5655004097999997E7;2.5508429014E7;2.5361854130000003E7;2.4981642210999995E7;2.4667265204E7;2.4352888097E7;2.4038510990000002E7;2.3604597531999998E7;2.3170684274E7;2.2736770916E7;2.2536229001999997E7;2.2335705193E7;2.21352463102E7;2.1815835478299998E7;2.14965102408E7;2.14108030202E7;2.13149510647E7;2.12190286993E7;2.1123200126000002E7;2.10353033048E7;2.0947427699100003E7;2.08596208954E7;2.07481268518E7;2.05171871486E7;2.02864074106E7;2.0174562007999998E7;2.00628263036E7;1.99511572054E7;1.98314096304E7;1.97116870911E7;1.95914816087E7;1.9479179171899997E7;1.9366951106399998E7
01;01;01;02;Eclairage;Electricité Spécifique;2.58;1.8927689708E8;1.88373453427E8;1.8747227922030002E8;1.865733420961E8;1.856766867625E8;1.8478230008529997E8;1.838902029845E8;1.8286799351619998E8;1.8184950605220002E8;1.808347583319E8;1.798237598998E8;1.788165178159E8;1.7781311179469997E8;1.7681370950229996E8;1.758184325409E8;1.7485436184980002E8;1.7391824235329998E8;1.729853884046E8;1.720557923374E8;1.711293547068E8;1.7020624810119998E8;1.6928605285099998E8;1.683683364396E8;1.674534658961E8;1.665413008579E8;1.65639032007E8;1.6473333615870002E8;1.638306743357E8;1.6293188180130002E8;1.620365927538E8;1.6114767825230002E8;1.6028531172570002E8;1.594255795367E8;1.585683384886E8;1.577132514114E8;1.568604251322E8;1.56009705763E8;1.551455437179E8;1.542844423555E8;1.534301534054E8;1.525795219193E8;1.517315860434E8
