branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.7886868709999997E7;2.6729174729999997E7;2.5575103029999997E7;2.442463369E7;2.327775394E7;2.2134449299999997E7;2.0994709000000004E7;1.9796165030300003E7;1.8489715311399996E7;1.72090478269E7;1.59545377039E7;1.4820343224500002E7;1.3691935822499998E7;1.2574642376499997E7;1.1468365827200001E7;1.0372994847E7;9291867.276899999;8225003.495499999;7169184.614700001;6124264.938200001;5090022.567700001;4066705.5377000007;3051662.9004999995;2093473.0958999996;1347237.877;678604.8065000001;1034751.7641;1422881.4062;1849778.3778;2240950.1436;2586659.2199999997;2922340.6817;3248772.6713000005;3577180.2628999995;3902961.5748;4222194.8615;4540484.4285;4886623.2142;5225068.770900001;5551440.1989;5866146.1823;6150079.4932
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;1951195.9708999998;1869016.2602000001;1786836.5473999996;1704656.8317;1622477.8158;1540298.4960000003;1453879.6065;1367460.8088999998;1281042.3094999997;1194623.6140999997;1108204.7778;1018394.188;928583.4162;838772.6643999999;748961.9334000001;713881.9757;678802.018;643722.0623000001;608642.1078;573562.1553;538482.2057999999;506965.7919;475449.37799999997;443932.967;412416.5409;380902.44180000003;352780.6263;324663.38829999993;296547.5771;268434.362;257197.297;245688.06070000003;234182.8593;222679.79679999998;211178.92839999998;199680.40230000002;188928.38770000005;178225.76459999997;167501.1833;156782.1405;146061.00770000002
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.747;1482903.8104000003;1419031.8548;1355344.4328;1291841.0732999998;1228521.3329;1165384.7584;1099356.2982999997;1026242.0847000001;955628.5853;886243.2796;823498.6342;761431.4014;699875.1801;638831.3854;578292.8911000001;518256.3423999999;458715.9852;399672.03330000007;341117.6005000001;283057.5623;225481.3006;168250.77649999998;111594.5062;55512.5699;361.971;358.2702;354.9711;2207.4394;4808.5525;6852.2022;8659.135400000001;10289.6128;12132.358799999998;14202.5598;18382.9991;22763.163699999997;27951.8006;33295.9982;38731.8655;44198.229400000004;49615.30539999999
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.3485262524000002E7;1.3549746524699999E7;1.35165360944E7;1.3590076247299997E7;1.3849040230600001E7;1.4171462163199998E7;1.4404310759499999E7;1.45747597123E7;1.4701381955999998E7;1.4826225723400002E7;1.5026153881899998E7;1.5109607613799999E7;1.5190218951500002E7;1.5273831150899999E7;1.5361634494200002E7;1.5449714491000002E7;1.5536474813400004E7;1.5605007295299998E7;1.5670944860999998E7;1.5725462868800001E7;1.5763006733399998E7;1.5828222623E7;1.5902303330600003E7;1.5983958370000001E7;1.6072870599200001E7;1.59962997963E7;1.5994447365500001E7;1.6086401184800003E7;1.60970526913E7;1.5962456740000002E7;1.5786299323900001E7;1.55860641637E7;1.5422922511400001E7;1.5302951844599998E7;1.5190073898599999E7;1.5100504572999999E7;1.5135294219900003E7;1.5179717023500001E7;1.5229039536500001E7;1.5280457784100004E7;1.53438952576E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5768349.973699999;5516503.965899999;5265712.3157;5015967.0394;4767260.3537;4519584.527300001;4231164.117200001;3935611.2327000005;3648057.2047;3368323.4074;3116121.1292000003;2874697.0197000005;2636288.8938;2398458.6889;2164053.2852000003;1933033.8833;1705351.8183000004;1480981.6261999998;1259885.6529;1042026.1874999999;827366.6168000001;617312.5354;409411.2393;203645.9535;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1585039.4005999998;1516695.0396000003;1448555.1886;1380619.2112000003;1312886.5018;1245356.4471000002;1174424.5092;1097455.194;1021584.8065;947249.5258000001;880275.1801999998;813452.2366000001;747333.5347;681842.7352000001;616974.9531000002;553926.2072999999;491473.4103;429636.94020000007;371832.4145;314892.48500000004;258829.31170000002;206501.8599;158419.702;111767.22170000001;66728.3668;84625.5652;103498.7124;123217.29609999999;143733.1073;164773.8296;186446.52310000002;208441.5019;230931.31040000002;254451.99930000002;278363.036;302507.6113;326739.6238;351260.5431;376100.44139999995;401216.9573;424858.8575
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;962058.959;920520.9778;879112.6397;837833.4569;796682.9631;755660.6889000001;712523.063;665501.4195;619407.6385000001;574255.1483;533433.0744999999;492819.87820000004;452606.3928;412789.1424;373364.1401;334459.29839999997;296075.7791;258090.4601;220498.01900000003;183290.50580000004;146476.8687;109961.655;75566.7239;49147.1579;25636.962099999997;39084.99740000001;53741.80010000001;69865.7107;84639.60930000001;97695.2756;110372.36869999999;122701.5508;135105.5484;147410.9842;159469.8147;171494.66789999997;184575.5276;197377.2525;209724.94819999998;221632.3595;232379.06530000002
01;01;01;02;Chauffage;Chauffage;2.58;1.3977260778E8;1.4505568765000004E8;1.5170395032000002E8;1.6019530192E8;1.6660904307E8;1.6943762020000002E8;1.7098397498999998E8;1.7102236962399998E8;1.700911378261E8;1.695696606676E8;1.689556559578E8;1.696777290783E8;1.7280143145059997E8;1.7590792834469998E8;1.7889719843690005E8;1.817476051778E8;1.8447466002639997E8;1.8716193406750003E8;1.8983543963369998E8;1.9233853426670006E8;1.949686002189E8;1.97828190126E8;2.001873929088E8;2.0216717463709998E8;2.0378153306389996E8;2.0513303790559998E8;2.0196894919900003E8;1.9734823563829997E8;1.908696027594E8;1.8597342525519997E8;1.8393793882959995E8;1.827599843509E8;1.8210096432790005E8;1.810386643595E8;1.7936295268510008E8;1.775284843355E8;1.752752876229E8;1.707023724665E8;1.659637947764E8;1.611539800594E8;1.5632598595639998E8;1.5139636859420004E8
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.437296083572E8;1.4318325776610002E8;1.4264543728E8;1.42116339129E8;1.414334362718E8;1.406745002205E8;1.3983854828579998E8;1.3892462539560002E8;1.379317247107E8;1.360374194817E8;1.340532494243E8;1.3197796892249998E8;1.2981034160269998E8;1.2917917669319999E8;1.2861102717289999E8;1.281063922873E8;1.276658637834E8;1.272900421548E8;1.269795359743E8;1.266309773205E8;1.262667541528E8;1.2588663523550001E8;1.2549038345869999E8;1.2507776235759999E8;1.2532135887959999E8;1.25556408185E8;1.257827760648E8;1.2600032575059998E8;1.2621616086809999E8;1.2584021295079999E8;1.254529614658E8;1.250542405318E8;1.246438827465E8;1.2422172155499999E8;1.24427773353E8;1.24635279253E8;1.2484425368E8;1.2505471045499998E8;1.25266665345E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.5658690344E7;2.5745799258E7;2.5832918083000004E7;2.5920027007999998E7;2.6007142033E7;2.6094255727999993E7;2.5947998402E7;2.5801581379000004E7;2.5655004097999997E7;2.5508429014E7;2.5361854130000003E7;2.4981642210999995E7;2.4667265204E7;2.4352888097E7;2.4038510990000002E7;2.3604597531999998E7;2.3170684274E7;2.2736770916E7;2.2536229001999997E7;2.2335705193E7;2.2135200378000002E7;2.1815730869000003E7;2.1496260259999998E7;2.1410353490000002E7;2.1314252407E7;2.1218107166399997E7;2.1122044022099998E7;2.1034016592E7;2.09460104103E7;2.08580420094E7;2.0746390727199998E7;2.05152950022E7;2.02842777914E7;2.0172202926599998E7;2.00601616679E7;1.9948160969800003E7;1.98270037648E7;1.9706599147899996E7;1.95858739031E7;1.9473221216100004E7;1.93605514286E7
