branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.672917473E7;2.5575103029999997E7;2.442463369E7;2.3277753939999998E7;2.21344493E7;2.0994709000000004E7;1.9796154675900005E7;1.8489695281999994E7;1.72090089185E7;1.5960503030199999E7;1.4832702015200002E7;1.3710805038699998E7;1.2606007899099998E7;1.1513054487300001E7;1.04319283374E7;9361722.110000001;8301796.7849;7257327.159100002;6322383.9014;6247378.0612;6812289.2214;7409371.8263;8015319.1288;8604723.905;9189792.785200004;1.12346810375E7;1.3224953026899997E7;1.50056873527E7;1.6609496299899999E7;1.7996577521800004E7;1.9176519149100002E7;2.0205150080599997E7;2.1084321641299997E7;2.17816807372E7;2.2322724260599997E7;2.2686588185200006E7;2.2954632524299998E7;2.3109991134099998E7;2.31680014622E7;2.2983179881100003E7;2.2782779536199998E7
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;2560310.2496;3087244.8198;3614179.39;4141113.9594;4668049.1267;5194983.994;5654389.736700001;6111253.7275;6566082.8556;7019922.8484000005;7471713.106500001;7881061.4640999995;8288343.267100001;8693696.8164;9096870.5047;9101569.5332;9098937.0123;9091554.7353;9084647.558500001;9072400.574300002;9055647.8164;8974418.5168;8889515.3465;8809752.2646;8730638.5002;8651551.624599999;8613541.7338;8573809.2326;8528908.3478;8486639.159500001;8341113.1759;8193026.2874;8046912.006700001;7903990.1318;7760083.3603;7601465.0261;7570188.9586000005;7537440.564;7503750.9683;7462297.386099999;7409934.0826
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.7470000002;1482903.8104;1419031.8548;1355344.4327999998;1291841.0732999998;1228521.3328999998;1165384.7580000001;1100452.9148;1028291.6398000001;957370.6031999998;887859.6948;824997.0289;762542.174;700637.7078000001;639294.3765;578500.0884;518392.2682;468550.2112;423288.253;381810.67620000005;345417.0762;328209.28660000005;325187.47949999996;332326.00379999995;348834.8795;373963.6172999999;488609.53270000004;612126.1325000001;742214.4846999999;877648.9521000001;1015138.8779000001;1155191.9811999998;1300899.6760999998;1451934.9879;1606806.1638999998;1764371.2713999997;1919717.9065999999;2082637.1257;2251799.6566999997;2424770.4147;2595520.6869999995;2766905.9726999993
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.3485262524000002E7;1.35497465193E7;1.3516536119800001E7;1.3590076272E7;1.38490402522E7;1.4171462163799997E7;1.4376622373300003E7;1.45173238686E7;1.46422060879E7;1.47431622939E7;1.4919366940000001E7;1.50587579667E7;1.5114141570999997E7;1.51359292295E7;1.5129596555100001E7;1.5089694285199998E7;1.50263816482E7;1.4932818618800003E7;1.4776549883E7;1.44062605333E7;1.39933742366E7;1.3600425022E7;1.3199461037899997E7;1.27940787481E7;1.23877365843E7;1.1872171152700001E7;1.1403073534999998E7;1.1015396591399997E7;1.0531050343600001E7;9897012.996599998;9208188.389399998;8483420.946299996;7771820.786499999;7075721.895700001;6380391.645699999;5701858.6024;5049093.709799999;4463711.1681;3908815.936;3374545.6128000007;2869394.4366000006
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5768349.973699999;5516503.965899999;5265712.3157;5015967.0398;4767260.354;4519584.526500002;4231164.116500001;3935611.2288;3648057.2011;3368323.4033;3116121.1258000005;2868930.2715000003;2625722.4512000005;2386447.0387999997;2151053.5253;1919492.5691999998;1690005.0127999997;1464706.84;1243538.3398000002;1026440.4487000002;812536.7643999999;605640.8698000001;401268.3097;199395.7599;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1585039.4005999998;1516695.0396000003;1448555.1886;1380619.2112000003;1312886.5018;1245356.4469000003;1175799.0594000001;1099823.6238;1024231.8594000001;950294.4885000001;883474.1803;817275.6064;754385.8133;692404.8092;630965.153;574229.4236;521237.8172;470366.39769999986;425162.8764;385248.53030000004;351334.85789999994;323295.00049999997;301475.31759999995;289852.34770000004;332330.25430000003;405109.56889999995;490685.39959999995;590103.3010000001;699913.6291000001;817786.0146000001;946568.5403999999;1084313.2415;1232657.4864999999;1391229.7851;1556184.0407999996;1724277.1857999999;1887828.0952;2042501.2886000003;2187078.4272000003;2319674.8825999997;2434726.7449999996
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;962058.959;920520.9778;879112.6397000002;837833.4565;796682.9628000001;755660.6885;712522.6836999999;665500.6888999998;619406.2196000001;574483.5440000001;533906.168;493542.35389999993;453807.4647;414500.40819999995;375620.81899999996;337134.2482;299016.54469999997;261464.08020000003;228037.31749999998;227097.1447;250313.35940000004;274729.6299;299469.4752;323573.99250000005;347836.11130000005;425714.98089999997;501694.2883000001;569439.9637999999;630481.8052000001;683248.5181000001;728068.5881000002;767138.9586;800543.3709999999;826934.9134;847404.8676;861185.9736999999;871346.9974;877237.9369000001;879451.601;872484.2880999999;864927.9334999998
01;01;01;02;Chauffage;Chauffage;2.58;1.3977260778E8;1.4505568765000004E8;1.5170395030999997E8;1.6019530093E8;1.6660904307E8;1.6943762022000003E8;1.7099469779E8;1.7123343321679994E8;1.705474468074E8;1.7005784812060004E8;1.695951708086E8;1.7047085438729998E8;1.714399034547E8;1.7355370508580002E8;1.7620967254910004E8;1.793906673616E8;1.8292772134390002E8;1.8651389280710003E8;1.90442133262E8;1.9497798656610003E8;2.024764607967E8;2.0972697932009992E8;2.16452778334E8;2.2285698129730004E8;2.2871806996680006E8;2.3225555973839995E8;2.305981607692E8;2.276702213244E8;2.2283578576110005E8;2.194309648465E8;2.1869854431390008E8;2.186566604429E8;2.183555808511E8;2.1738429400550002E8;2.1582584432979998E8;2.1390164630650002E8;2.1137525940140003E8;2.0813591227449998E8;2.0351169033569998E8;1.9813968378740004E8;1.9223741117739996E8;1.8601610073880002E8
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.437296083572E8;1.4318325776610002E8;1.4264543728E8;1.42116339129E8;1.414334362718E8;1.406745002205E8;1.3983854828579998E8;1.3892462539560002E8;1.379317247107E8;1.360374194817E8;1.340532494243E8;1.3197796892249998E8;1.2981034160269998E8;1.2917917669319999E8;1.2861102717289999E8;1.281063922873E8;1.276658637834E8;1.272900421548E8;1.269795359743E8;1.266309773205E8;1.262667541528E8;1.2588663523550001E8;1.2549038345869999E8;1.2507776235759999E8;1.2532135887959999E8;1.25556408185E8;1.257827760648E8;1.2600032575059998E8;1.2621616086809999E8;1.2584021295079999E8;1.254529614658E8;1.250542405318E8;1.246438827465E8;1.2422172155499999E8;1.24427773353E8;1.24635279253E8;1.2484425368E8;1.2505471045499998E8;1.25266665345E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.6159964393E7;2.6748346257E7;2.7336737031999998E7;2.7925118006E7;2.8513505982E7;2.9101891535999995E7;2.9217071574E7;2.934435878E7;2.9483350082999997E7;2.9627681483E7;2.9784322283999998E7;2.959935027E7;2.9259553743000004E7;2.8908223051999997E7;2.8516596058E7;2.7799536843E7;2.70553973755E7;2.6319168978599995E7;2.59574264529E7;2.56091584921E7;2.52637447088E7;2.40155011958E7;2.27729893766E7;2.18889477862E7;2.0752369038200002E7;1.96145240613E7;1.8499242983E7;1.75532547869E7;1.6618117542300003E7;1.56780442419E7;1.46928491544E7;1.3710801845400002E7;1.27326834094E7;1.2672868110100001E7;1.26162934217E7;1.25399278467E7;1.2433423006799998E7;1.23418078978E7;1.22532215115E7;1.2170213349599998E7;1.2085946712000001E7
