branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.672917473E7;2.5575103029999997E7;2.442463369E7;2.3277753939999998E7;2.21344493E7;2.0994709000000004E7;1.9796165030300003E7;1.84897053782E7;1.72090251321E7;1.5960673505900001E7;1.4833087110199999E7;1.37115632721E7;1.26071252859E7;1.1514540733800001E7;1.04338170941E7;9363964.496499998;8304453.512;7256535.9632;6220026.7235;5265142.080500001;4620341.141499999;3996639.8703999994;3489644.2572999997;3242898.1561999996;3042478.5760000004;4071448.4947;5090190.4697;6084775.726899999;7029591.950099999;7898094.6696999995;8695960.118800001;9489059.758200001;1.02250649191E7;1.08568325161E7;1.1384146050299998E7;1.1775010264800003E7;1.2089267782899998E7;1.23095503742E7;1.24499920379E7;1.2367227126299998E7;1.2257350509799998E7
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;2560310.2496;3087244.8198;3614179.39;4141113.9594;4668049.1267;5194983.994;5654389.736700001;6111253.7275;6566217.2549;7020191.0069;7472114.0254;7881707.5225;8289542.2463;8695752.2907;9100202.305799998;9105458.3554;9103502.9696;9096906.7066;9090704.751699999;9079277.411999999;9063669.7911;8983043.630599998;8898985.775399998;8820012.7193;8741690.279000001;8663587.883000001;8626637.921300001;8587903.566000002;8543924.4557;8502370.0572;8356988.5829;8208992.944;8063011.230400001;7919367.271799999;7774737.372699999;7616085.5753999995;7582671.6274999995;7549421.3977;7515197.336800001;7473230.6465;7421040.225400001
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.7470000002;1482903.8104000003;1419031.8548;1355344.4327999998;1291841.0732999998;1228521.3328999998;1165384.7576000001;1100452.9141;1028291.6395;957370.5907999999;887859.6756999999;825001.3968;762545.6108000003;700641.5996999999;639297.1841999999;578502.7632;518401.85049999994;459010.66650000005;400182.7569000001;350013.8506;301634.892;261030.6118;226991.15709999998;197238.04179999998;174763.55299999999;165386.33669999999;230826.2371;302980.05380000005;380935.38399999996;465312.86380000005;555616.0906999998;651685.9386999999;765765.9666;891369.1736000001;1026137.7829999998;1169375.7668;1315825.3466999999;1472511.6874000002;1639319.3062999998;1813199.4806000006;1987985.9063;2164434.3288000003
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.3485262524000002E7;1.35497465193E7;1.3516536119800001E7;1.3590076272E7;1.3860426512799999E7;1.42256485625E7;1.45362406687E7;1.4820037939500002E7;1.50587883777E7;1.5292139940899998E7;1.5627512110399999E7;1.59185903729E7;1.6195208725400003E7;1.6466359666900001E7;1.67341542993E7;1.69964217575E7;1.7246803593100004E7;1.7482223404000003E7;1.7701828828700002E7;1.7901736114299998E7;1.8079351843900003E7;1.8185013442399997E7;1.8282099198999997E7;1.8335984625799995E7;1.8357372595000003E7;1.81836909237E7;1.80450503158E7;1.79734617083E7;1.7777611712899998E7;1.7389156302100003E7;1.68869739778E7;1.6265062442200003E7;1.5564644636199998E7;1.4842026575999998E7;1.4076310484499998E7;1.3287937315300003E7;1.2484914923199998E7;1.16766635528E7;1.0868302221200002E7;1.0062066845800001E7;9273777.483500002
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5768349.973699999;5516503.965899999;5265712.3157;5015967.0398;4767260.354;4519584.526500001;4231164.116900001;3935611.2287;3651723.4238000005;3371708.2298;3119252.1195000005;2874699.191600001;2633646.5506;2393648.9736;2157545.1862;1925285.5291000004;1696810.8809000002;1470605.3154000004;1248546.2138999999;1030574.0915;816630.5422000001;608692.2408000001;402885.95110000006;199998.9778;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1585039.4006;1516695.0396000003;1448555.1886;1380619.2112000003;1312886.5017999997;1245356.4471000002;1174418.97;1097061.1501999996;1021190.4925000002;946937.4663000001;879808.2268999999;813027.5898;749620.2174000001;686836.2872;624493.2877;563305.6646000001;504649.84180000005;447908.0174999999;393717.99330000003;340567.2429;288672.71599999996;242312.72040000002;202460.88600000003;171084.03810000003;152280.1594;194674.45729999998;245627.48340000003;306812.0608;377829.52509999997;457968.7831;549526.5145;654191.1577999998;774971.6784999999;910996.8134999999;1059583.7347000001;1217139.4564000003;1373784.4453;1523982.8759;1667381.027;1800754.9507;1919614.5943999998
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;962058.959;920520.9778;879112.6397000002;837833.4565;796682.9628000001;755660.6882000001;712523.0626;665501.0416;619406.8135;574490.0302;533920.8785;493571.1469;453849.9213;414557.0344;375692.8668000001;337219.8865;299118.0339;261435.23009999996;224164.8425;189978.16240000006;167485.15240000002;145776.0044;128440.32149999998;120933.72790000001;115180.6194;154080.42930000002;192597.4566;230206.62510000003;265938.3066;298787.8105;328969.77470000007;359103.7584000001;387071.75810000004;410985.23819999996;430944.744;445755.49649999995;457672.1906999999;466024.82680000004;471361.4356;468259.5744;464128.7421
01;01;01;02;Chauffage;Chauffage;2.58;1.3977260778E8;1.4505568765000004E8;1.5170395030999997E8;1.6019530093E8;1.6660904307E8;1.6921953884000003E8;1.6999817316E8;1.691360904323E8;1.6664728344079995E8;1.6462094429569998E8;1.6255937056320003E8;1.6136471594610003E8;1.600972050787E8;1.5869127261080003E8;1.573115202772E8;1.560045586588E8;1.5469040486639997E8;1.534306952152E8;1.5230270944189999E8;1.51460196566E8;1.5080963996119997E8;1.5003591044629997E8;1.4914658561040005E8;1.483696715776E8;1.4764756066379997E8;1.470027002045E8;1.4159995251780003E8;1.3533250262989998E8;1.2758378723830001E8;1.217042103318E8;1.19087553572E8;1.1803656415630001E8;1.176604942469E8;1.1769699710309999E8;1.1738968889969996E8;1.1707255256519997E8;1.167122593601E8;1.1601238568569995E8;1.1508785520169999E8;1.1384608441989997E8;1.1236085360239999E8;1.107315948065E8
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.437296083572E8;1.4318325776610002E8;1.4264543728E8;1.42116339129E8;1.414334362718E8;1.406745002205E8;1.3983854828579998E8;1.3892462539560002E8;1.379317247107E8;1.360374194817E8;1.340532494243E8;1.3197796892249998E8;1.2981034160269998E8;1.2917917669319999E8;1.2861102717289999E8;1.281063922873E8;1.276658637834E8;1.272900421548E8;1.269795359743E8;1.266309773205E8;1.262667541528E8;1.2588663523550001E8;1.2549038345869999E8;1.2507776235759999E8;1.2532135887959999E8;1.25556408185E8;1.257827760648E8;1.2600032575059998E8;1.2621616086809999E8;1.2584021295079999E8;1.254529614658E8;1.250542405318E8;1.246438827465E8;1.2422172155499999E8;1.24427773353E8;1.24635279253E8;1.2484425368E8;1.2505471045499998E8;1.25266665345E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.6159964393E7;2.6748346257E7;2.7336737031999998E7;2.7925118006E7;2.8513505982E7;2.9101891535999995E7;2.9217071574E7;2.934435878E7;2.9483496891E7;2.9627972786000002E7;2.9784757788999997E7;2.9600025307E7;2.9260847387999997E7;2.8910507012000002E7;2.8520362961E7;2.7803977798E7;2.7060648156600002E7;2.6325332838899996E7;2.5961103425499998E7;2.56104691094E7;2.52662918746E7;2.40213526101E7;2.2777078664E7;2.1891222221800003E7;2.07526162291E7;1.96148867537E7;1.84995185031E7;1.75537966901E7;1.66188422393E7;1.56787480332E7;1.4694064551600002E7;1.3712264569799999E7;1.2733207702300001E7;1.2676179330599999E7;1.26191653121E7;1.25430558442E7;1.24370785983E7;1.23458837307E7;1.2257498527999999E7;1.21753612029E7;1.2092990236400003E7
