branche;occupant;typeRenovationBatiment;typeRenovationSysteme;cible;annee;surface;aides;investissement;prets;pretsBonifies;reglementation
08;05;Etat initial;Chgt systeme_08;0;2050;781521.8899;0.0;2.892715165E7;2.892715165E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2049;780312.3508999998;0.0;2.878297222E7;2.878297222E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2048;780752.6659;0.0;2.8701749709999997E7;2.8701749709999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2047;782839.3125;0.0;2.8653411549999997E7;2.8653411549999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2046;782225.9437000001;0.0;2.847424053E7;2.847424053E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2045;840700.346;0.0;3.034350545E7;3.034350545E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2044;840373.1470000001;0.0;3.0148458529999997E7;3.0148458529999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2043;839986.6270000001;0.0;2.992679233E7;2.992679233E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2042;841161.8140000001;0.0;2.918747812E7;2.918747812E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2041;841589.631;0.0;2.897309391E7;2.897309391E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2040;818241.974;0.0;2.881566275E7;2.881566275E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2039;820560.3730000001;0.0;2.864867532E7;2.864867532E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2038;822594.8589999999;0.0;2.8425518979999997E7;2.8425518979999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2037;823363.4649999999;0.0;2.813027168E7;2.813027168E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2036;832179.6600000001;0.0;2.833841176E7;2.833841176E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2035;837683.6669999999;0.0;2.812828013E7;2.812828013E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2034;664102.2111999999;0.0;2.1593219669999998E7;2.1593219669999998E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2033;671593.363;0.0;2.16269733E7;2.16269733E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2032;682030.8633;0.0;2.1708181740000002E7;2.1708181740000002E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2031;682702.8748;0.0;2.1443046220000003E7;2.1443046220000003E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2030;683096.8832;0.0;2.11338942E7;2.11338942E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2029;683704.0644;0.0;2.095981312E7;2.095981312E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2028;683833.9589999999;0.0;2.0831801750000004E7;2.0831801750000004E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2027;684021.9449000001;0.0;2.066205887E7;2.066205887E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2026;674091.8137999999;0.0;2.000885397E7;2.000885397E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2025;673218.9844;0.0;1.934345136E7;1.934345136E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2024;670811.7403;0.0;1.899434298E7;1.899434298E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2023;669677.8062999999;0.0;1.885731536E7;1.885731536E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2022;665432.4171000001;0.0;1.8326737479999997E7;1.8326737479999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2021;661748.7087000002;0.0;1.778376213E7;1.778376213E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2020;684228.5042999998;0.0;1.8388025820000004E7;1.8388025820000004E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2019;684363.0047;0.0;1.839214789E7;1.839214789E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2018;684402.2196000001;0.0;1.8393321950000003E7;1.8393321950000003E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2017;683860.7047000001;0.0;1.7096605020000003E7;1.7096605020000003E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2016;683775.892;0.0;1.7094450900000002E7;1.7094450900000002E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2015;717813.8546000001;0.0;1.7945357610000003E7;1.7945357610000003E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2014;719061.2592;0.0;1.797654773E7;1.797654773E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2013;720310.0884;0.0;1.800776869E7;1.800776869E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2012;721561.6545999999;0.0;1.8039050889999997E7;1.8039050889999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2011;722815.5761;0.0;1.807037313E7;1.807037313E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2010;724070.7386999999;0.0;1.810176167E7;1.810176167E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2050;277424.5666;0.0;1.033382055E7;1.033382055E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2049;277992.8945;0.0;1.0325180125E7;1.0325180125E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2048;277843.8786;0.0;1.0288478993E7;1.0288478993E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2047;277755.9227;0.0;1.024862879E7;1.024862879E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2046;277341.76649999997;0.0;1.0188997226E7;1.0188997226E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2045;297673.931;0.0;1.0874752219999999E7;1.0874752219999999E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2044;297213.3566;0.0;1.0803057265E7;1.0803057265E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2043;297812.0084;0.0;1.0762423993999999E7;1.0762423993999999E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2042;298072.5115;0.0;1.0677734563000001E7;1.0677734563000001E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2041;298132.3807;0.0;1.0387123435E7;1.0387123435E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2040;287381.8939;0.0;1.0256393281E7;1.0256393281E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2039;288028.6443;0.0;1.0204338961E7;1.0204338961E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2038;289435.67850000004;0.0;1.0185799808E7;1.0185799808E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2037;290342.1117;0.0;1.0124209108E7;1.0124209108E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2036;290697.2828;0.0;1.0010100534E7;1.0010100534E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2035;292410.5123;0.0;9963645.026999999;9963645.026999999;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2034;232165.837;0.0;7729887.544;7729887.544;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2033;234071.28519999998;0.0;7641761.493;7641761.493;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2032;240948.9489;0.0;7760909.418;7760909.418;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2031;239490.0312;0.0;7606323.809;7606323.809;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2030;239150.19670000003;0.0;7472019.972;7472019.972;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2029;238825.90360000002;0.0;7409439.163;7409439.163;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2028;238387.5864;0.0;7318096.516;7318096.516;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2027;237889.2363;0.0;7230744.786;7230744.786;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2026;237338.50199999998;0.0;7098510.078;7098510.078;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2025;235649.5335;0.0;6823854.433;6823854.433;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2024;234823.6201;0.0;6690762.059;6690762.059;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2023;233988.5224;0.0;6624706.788;6624706.788;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2022;233353.1248;0.0;6429187.736;6429187.736;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2021;232716.52599999998;0.0;6254250.598999999;6254250.598999999;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2020;241308.66439999998;0.0;6485152.967;6485152.967;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2019;241309.5232;0.0;6485196.903;6485196.903;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2018;241267.17359999998;0.0;6484061.169;6484061.169;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2017;240520.191;0.0;6012988.196;6012988.196;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2016;240387.3612;0.0;6009674.823;6009674.823;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2015;253984.514;0.0;6349615.688;6349615.688;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2014;254426.9798;0.0;6360663.297;6360663.297;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2013;254868.8696;0.0;6371728.15;6371728.15;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2012;255311.73010000002;0.0;6382797.956;6382797.956;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2011;255754.97699999998;0.0;6393888.466;6393888.466;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2010;256199.39737199998;0.0;6404988.894;6404988.894;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2050;7867.08324;0.0;294964.511;294964.511;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2049;7896.278805;0.0;295150.6572;295150.6572;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2048;7887.607819999999;0.0;294594.9074;294594.9074;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2047;7861.86314;0.0;293170.85599999997;293170.85599999997;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2046;7859.24138;0.0;291675.17669999995;291675.17669999995;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2045;8543.14917;0.0;315528.45889999997;315528.45889999997;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2044;8536.20171;0.0;314184.0039;314184.0039;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2043;8529.20082;0.0;312507.9952;312507.9952;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2042;8548.25891;0.0;311380.97380000004;311380.97380000004;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2041;8556.359855;0.0;301924.1245;301924.1245;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2040;8343.04823;0.0;304433.5237;304433.5237;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2039;8317.588255;0.0;298452.68610000005;298452.68610000005;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2038;8419.991615;0.0;299848.7616;299848.7616;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2037;8421.089695;0.0;295383.52629999997;295383.52629999997;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2036;8423.13688;0.0;287677.6481;287677.6481;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2035;8517.476255;0.0;285163.9105;285163.9105;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2034;6449.8672;0.0;218151.59244;218151.59244;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2033;6464.77305;0.0;196834.6268;196834.6268;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2032;6409.9532659999995;0.0;196354.34151;196354.34151;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2031;6275.045425;0.0;191824.61705;191824.61705;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2030;6117.82958;0.0;185121.035;185121.035;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2029;5969.642417999999;0.0;179000.0194;179000.0194;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2028;5812.842641;0.0;171586.0286;171586.0286;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2027;5656.329874;0.0;162948.6378;162948.6378;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2026;5500.355154;0.0;157421.3484;157421.3484;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2025;5346.75146;0.0;151532.05980000002;151532.05980000002;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2024;4835.874809;0.0;134272.37230000002;134272.37230000002;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2023;4577.801216999999;0.0;126519.3864;126519.3864;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2022;4365.283646;0.0;120326.90120000001;120326.90120000001;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2021;4096.063121;0.0;110081.717;110081.717;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2020;4577.631646;0.0;123023.8342;123023.8342;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2019;4411.524213;0.0;118559.8526;118559.8526;0.0;non
