branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;1.0;8412635.699;8400521.026;8388423.511;8376344.155;8364280.948000001;8352236.899;8340209.999;8322194.3719999995;8304218.097000001;8286281.154;8268382.552999999;8250523.144;8232701.046;8214919.2700000005;8197173.789;8179467.226000001;8161797.046;8144167.141;8126572.683;8109015.017;8091491.59;8074006.937;8056554.785;8039137.553;8021757.532;8004431.021;7987140.83;7969887.9799999995;7952672.45;7935494.25;7918353.38;7901248.84;7884182.62;7867152.73;7850160.159000001;7833204.908;7816284.986;7799402.382999999;7782556.1;7765746.146;7748971.501;7732233.176
01;01;01;01;Cuisson;Cuisson;1.0;3500591.331;3349692.671;3205298.107;3067128.242;2934914.2599999993;2808399.549;2687338.785;2569561.7100000004;2456946.98;2349267.7199999997;2246306.534;2147858.161;2053724.677;1963716.803;1877653.4759999998;1795361.992;1716676.604;1641440.1749999998;1569500.534;1500713.4070000001;1434940.541;1372050.646;1311915.802;1254416.055;1199435.762;1146868.571;1096605.075;1048544.576;1002590.317;958650.1739999999;916635.8519999998;876462.79;838050.353;801321.4369999999;766202.2599999999;732622.269;700513.835;669812.552;640456.8350000001;612387.6203000001;585548.6659;559886.0484
01;01;01;02;Autre;Autre;2.58;2.08005643E8;2.077061604E8;2.0740702170000002E8;2.0710831720000002E8;2.068100769E8;2.0651226970000002E8;2.062149064E8;2.057694672E8;2.053250464E8;2.048815541E8;2.044389701E8;2.0399741070000002E8;2.035567686E8;2.031171449E8;2.0267840429999998E8;2.022405861E8;2.018036419E8;2.013677694E8;2.0093273360000002E8;2.0049858279999998E8;2.00065273E8;1.996330025E8;1.992015045E8;1.987708247E8;1.983410594E8;1.9791258129999998E8;1.974851216E8;1.9705856039999998E8;1.9663290739999998E8;1.962081717E8;1.9578432439999998E8;1.9536138529999998E8;1.949393636E8;1.9451823020000002E8;1.9409810510000002E8;1.936788782E8;1.9326055870000002E8;1.928431475E8;1.924266146E8;1.920109999E8;1.915962725E8;1.911824533E8
01;01;01;02;Bureautique;Electricité Spécifique;2.58;3.206753307E8;3.2342025529999995E8;3.261886975E8;3.289809187E8;3.3179699129999995E8;3.3463719620000005E8;3.375016856E8;3.401476776E8;3.428144832E8;3.455021227E8;3.4821088759999996E8;3.509409132E8;3.53692257E8;3.564651805E8;3.5925978E8;3.620763071E8;3.6491490590000004E8;3.677757812E8;3.706590039E8;3.735647896E8;3.7649322390000004E8;3.7944464840000004E8;3.7862454159999996E8;3.778060413E8;3.769892346E8;3.761749342E8;3.753623292E8;3.7455151890000004E8;3.7374247479999995E8;3.7293521629999995E8;3.7212964209999996E8;3.713258434E8;3.705237301E8;3.697233922E8;3.689248195E8;3.681279223E8;3.673327005E8;3.665392541E8;3.657475729E8;3.649575662E8;3.641692247E8;3.633826486E8
01;01;01;02;Cuisson;Cuisson;2.58;2.135047235E7;2.1979454970000003E7;2.2579091669999998E7;2.3150655749999996E7;2.3695360889999997E7;2.421436034E7;2.4708765799999997E7;2.516185371E7;2.5591767229999997E7;2.5999529339999996E7;2.638611472E7;2.675246303E7;2.709946355E7;2.742797092E7;2.773880382E7;2.8032746599999998E7;2.831054064E7;2.8572915720000003E7;2.8820535479999997E7;2.905405991E7;2.927410149E7;2.948127384E7;2.967613284E7;2.9859226380000003E7;3.0031079569999997E7;3.019225888E7;3.034318571E7;3.048431223E7;3.061607213E7;3.073889508E7;3.0853163790000003E7;3.095927541E7;3.105758129E7;3.1148436490000002E7;3.123217287E7;3.130910732E7;3.137955153E7;3.144379103E7;3.150210821E7;3.155476157E7;3.160201724E7;3.164410445E7
01;01;01;02;Froid_alimentaire;Electricité Spécifique;2.58;5720154.539;5673783.2659;5627787.4636;5582164.84;5536911.7529;5492025.729200001;5447503.8444;5399420.347800001;5351761.5637;5304523.1197;5257701.9296;5211293.6944;5165295.1337;5119702.6239;5074511.8381;5029720.2172;4985323.184600001;4941319.233;4897701.548599999;4854468.5491;4811615.3204;4769141.396000001;4758832.7156;4748544.5047;4738278.4205;4728043.7412;4717831.168300001;4707640.6534;4697472.1503;4687325.606599999;4677200.9772;4667098.2168;4657017.2797;4646958.1288;4636920.7037;4626904.959600001;4616910.8476;4606938.315600001;4596987.3243;4587057.8247;4577149.7825;4567263.1438
01;01;01;02;Process;Electricité Spécifique;2.58;4593456.563;4586841.209000001;4580236.139;4573640.153999999;4567054.252;4560477.635;4553910.101;4544073.526999999;4534258.147;4524463.648999999;4514690.436000001;4504938.926;4495208.48;4485499.017;4475809.961999999;4466142.222;4456494.436000001;4446867.649;4437260.255;4427672.955;4418105.042;4408558.743000001;4399030.326;4389519.661;4380029.808;4370569.278000001;4361128.628;4351708.761;4342309.574999999;4332930.271000001;4323571.538000001;4314232.686000001;4304914.5139999995;4295616.014;4286337.194;4277078.056;4267839.589;4258620.801;4249422.485;4240243.948000001;4231084.981;4221945.495999999
01;01;01;03;Cuisson;Cuisson;1.0;762516.7215;729647.1199999999;698194.5266999999;668097.6846;639298.2276;611740.2420000001;585370.1852;559715.3482;535184.9299999999;511729.5559;489302.0905;467857.6265;447352.9332;427746.9069;409000.0964;391074.9493999999;373935.3787;357546.9743;341876.78899999993;326893.204;312566.26519999997;298867.3627;285768.5667;273243.7135;261267.8796;249817.36679999996;238868.65999999997;228399.8245;218389.79490000004;208818.54340000002;199666.71120000002;190915.93589999998;182548.71300000002;174548.22369999994;166898.40550000002;159583.7744;152589.7298;145902.2485;139507.82140000002;133393.64599999998;127547.43319999998;121957.46979999999
01;01;01;04;Autre;Autre;1.0;476274.74689999997;475588.87630000006;474904.075;474220.142;473537.2682;472855.3638;472174.40760000004;471154.54170000006;470136.8559;469121.36020000005;468108.05470000004;467096.9202;466087.97370000003;465081.2063;464076.5688;463074.1375999999;462073.79750000004;461075.74400000006;460079.6153000001;459085.5827;458093.58229999995;457103.72410000005;456115.734;455129.7378;454145.82649999997;453164.89019999997;452186.03270000004;451209.3342;450234.6946;449262.1249;448291.7139999999;447323.3720000001;446357.1889;445393.05559999996;444430.99119999993;443470.9755;442513.1185999999;441557.31049999996;440603.56120000005;439651.87069999997;438702.229;437754.62599999993
01;01;01;04;Cuisson;Cuisson;1.0;1.157032846E7;1.1071569767E7;1.0594314029E7;1.0137627435E7;9700627.348000001;9282462.547;8882328.404;8493046.199000001;8120825.277;7764916.7360000005;7424606.174000001;7099210.285;6788076.156999999;6490577.704;6206116.961999999;5934122.618;5674048.2979999995;5425373.153;5187594.632999999;4960236.69;4742842.145;4534975.536000001;4336216.3780000005;4146166.792000001;3964446.6840000004;3790698.1859999998;3624564.958;3465712.4659999995;3313821.3;3168587.7810000004;3029718.752999999;2896936.367;2769973.2970000003;2648574.029;2532496.227;2421505.67;2315378.43;2213903.4639999997;2116875.1189999995;2024100.1100000003;1935390.4370000002;1850568.586
01;01;02;01;Autre;Autre;1.0;6671831.356000001;6662224.328;6652630.397000001;6643050.552999999;6633484.806;6623933.146000001;6614394.574;6600106.852;6585850.331;6571625.011;6557430.891;6543266.970999999;6529133.252;6515030.064;6500957.066;6486914.998;6472899.61;6458914.3610000005;6444960.282000001;6431035.383;6417139.704000001;6403272.284000001;6389436.443;6375625.051;6361844.218;6348102.802999999;6334390.277;6320707.55;6307054.612;6293431.572000001;6279838.329000001;6266273.877;6252738.211;6239232.344;6225756.263;6212308.880000001;6198890.285;6185500.377;6172139.256;6158807.823;6145504.187;6132230.137
01;01;02;01;Cuisson;Cuisson;1.0;2927728.991;2801523.8119999995;2680759.264;2565200.9280000003;2454624.152;2348813.5420000004;2247563.854;2149060.84;2054874.7759999998;1964816.4230000002;1878704.8879999998;1796367.6239999998;1717638.9370000002;1642360.338;1570381.0559999999;1501556.4700000002;1435747.3099999998;1372822.566;1312655.3790000002;1255125.119;1200116.297;1147517.547;1097224.477;1049134.5499999998;1003152.2949999999;959187.466;917149.5609999999;876953.8709999999;838519.9079;801770.306;766631.4200999999;733032.6252;700906.3144;670187.7971999999;640815.7015;612730.8718000001;585876.9678;560199.8638;535648.3491999999;512172.62549999997;489725.9087;468262.82670000003
01;01;02;02;Autre;Autre;2.58;1.6480664859999996E8;1.6456934929999998E8;1.643323524E8;1.640956876E8;1.638593452E8;1.636234351E8;1.633878371E8;1.630348686E8;1.62682685E8;1.6233125639999998E8;1.619806129E8;1.6163073429999998E8;1.612816207E8;1.609332655E8;1.605856848E8;1.602387623E8;1.5989255210000002E8;1.595471152E8;1.592024325E8;1.588584142E8;1.5851516120000002E8;1.581725947E8;1.578308325E8;1.574897115E8;1.5714928450000003E8;1.568098452E8;1.5647117070000002E8;1.56133241E8;1.557959861E8;1.5545947610000002E8;1.5512368070000002E8;1.547886201E8;1.5445427429999998E8;1.5412065320000002E8;1.5378774699999997E8;1.534555654E8;1.531241084E8;1.5279335628E8;1.5246331883E8;1.5213399602E8;1.518053978E8;1.5147749434E8
01;01;02;02;Bureautique;Electricité Spécifique;2.58;2.540769963E8;2.562519245E8;2.584454153E8;2.606577191E8;2.628889872E8;2.651393109E8;2.674089115E8;2.695053844E8;2.716183357E8;2.737478256E8;2.758939854E8;2.7805694520000005E8;2.802368764E8;2.824339012E8;2.846481879E8;2.8687976670000005E8;2.891288171E8;2.913954691E8;2.936798851E8;2.959821964E8;2.983025251E8;3.0064093570000005E8;2.99991257E8;2.99342759E8;2.986957078E8;2.980504804E8;2.974066526E8;2.9676422370000005E8;2.961231834E8;2.954835529E8;2.94845301E8;2.942084479E8;2.935729845E8;2.929389299E8;2.923061539E8;2.916747576E8;2.9104476E8;2.904160411E8;2.897887118E8;2.891627713E8;2.885382095E8;2.879149362E8
01;01;02;02;Cuisson;Cuisson;2.58;1.691636828E7;1.741472631E7;1.7889837619999997E7;1.834269976E7;1.877427609E7;1.918548763E7;1.957721816E7;1.993620662E7;2.027683445E7;2.0599912979999997E7;2.090620928E7;2.119647922E7;2.147141546E7;2.17316973E7;2.197797998E7;2.2210873729999997E7;2.243097361E7;2.2638848939999998E7;2.2835043290000003E7;2.302007306E7;2.319442164E7;2.3358562349999998E7;2.351296239E7;2.365803111E7;2.379420972E7;2.392191939E7;2.4041501770000003E7;2.415331608E7;2.4257716689999998E7;2.435503176E7;2.444557441E7;2.4529642529999997E7;2.4607540080000002E7;2.4679524830000002E7;2.4745870569999997E7;2.4806830919999998E7;2.4862649439999998E7;2.4913549680000003E7;2.4959760090000004E7;2.5001478080000002E7;2.5038922939999998E7;2.5072274960000005E7
01;01;02;02;Froid_alimentaire;Electricité Spécifique;2.58;4532183.338;4495442.6502;4458999.5337;4422851.9127;4386997.4639;4351433.662400001;4316158.207;4278060.9598;4240299.984099999;4202872.444499999;4165774.8811999997;4129004.8266;4092559.6205;4056435.5401;4020630.0510000004;3985140.620600001;3949963.2497;3915096.2653;3880536.9107;3846282.7215;3812330.5154;3778676.5053000003;3770511.5127000003;3762361.299700001;3754229.2534;3746120.1177000003;3738028.5037000002;3729954.3611;3721897.6574000004;3713858.3595999996;3705836.426;3697831.8156000003;3689844.4957999997;3681874.4298000005;3673921.5837;3665985.9178;3658067.389;3650165.9595000003;3642281.5973000005;3634414.2681999994;3626563.9347;3618730.5549000003
01;01;02;02;Process;Electricité Spécifique;2.58;3639480.8579999995;3634239.9259999995;3629006.4489999996;3623780.917;3618562.9389999993;3613352.6059999997;3608149.0190000003;3600355.715;3592579.4239999996;3584819.046;3577075.781;3569349.419;3561640.069;3553946.262;3546269.4579999996;3538609.317;3530963.998;3523335.6509999996;3515722.9969999995;3508127.245;3500548.006;3492983.209;3485436.1339999996;3477902.1010000003;3470384.5810000002;3462888.652;3455408.624000001;3447945.3090000004;3440497.7950000004;3433066.093;3425650.992;3418251.6939999997;3410868.206;3403500.4200000004;3396149.236;3388813.663;3381493.8900000006;3374189.718;3366901.258;3359628.2989999996;3352371.1399999997;3345129.482
01;01;02;03;Cuisson;Cuisson;1.0;604156.1378999999;578112.9421;553192.412;529346.1597;506527.8299;484693.11250000005;463799.6489;443472.8284;424036.9408;405452.8091000001;387683.17809999996;370692.2934;354446.11079999997;338911.8390999999;324058.43299999996;309855.92280000006;296275.8113;283290.8427;270874.9968;259003.3406;247651.8981;236797.8715;226419.5978;216496.00410000002;207007.36179999998;197934.9189;189260.1375;180965.46279999998;173034.3557;165450.80140000003;158199.6596;151266.285;144636.7662;138297.8155;132236.6794;126441.1978;120899.7043;115601.0957;110534.6723;105690.3069;101058.2559;96629.21829999998
01;01;02;04;Autre;Autre;1.0;371016.06250000006;370481.77949999995;369948.31190000003;369415.5695;368883.6526;368352.4411;367822.06389999995;367027.51609999995;366234.7605;365443.7059;364654.3423;363866.6608;363080.6703;362296.3317999999;361513.6734;360732.8001;359953.48790000007;359175.86370000005;358399.9184;357625.54310000007;356852.8208;356081.66250000003;355312.25920000003;354544.3019;353778.06850000005;353013.9469999999;352251.40650000004;351490.537;350731.3495;349973.8328999999;349217.87710000004;348463.59229999996;347710.8785;346959.83540000004;346210.3533;345462.54219999997;344716.39200000005;343971.8025;343228.78400000004;342487.4262;341747.6295;341009.49360000005
