branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.672917473E7;2.5575103029999997E7;2.442463369E7;2.3277753939999998E7;2.21344493E7;2.0994709000000004E7;1.9844200720000003E7;1.8698870999999996E7;1.7558700939999998E7;1.6423656613099998E7;1.5293727426E7;1.41697539651E7;1.3050712866899999E7;1.1941041367999999E7;1.0840758579799999E7;9745860.978899999;8656300.807699999;7572259.722200001;6493564.4097;5420365.963799999;4352531.2089;3290359.9845;2233660.7163;1246823.1705999998;310389.787;559022.722;804809.687;1047638.3369999999;1285081.3819999998;1497843.4350000003;1697298.934;1872893.2859999996;2045157.9510000004;2208687.821;2355432.343;2488478.489;2580693.1190000004;2667823.415;2748992.0289999996;2823956.6;2890846.632
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;1951195.9708999998;1869016.2602000001;1786836.5473999996;1704656.8317;1622477.8158;1540298.4960000003;1453879.6065;1367460.8088999998;1281042.3094999997;1194623.6140999997;1108204.7778;1018394.188;928583.4162;838772.6643999999;748961.9334000001;713881.9757;678802.018;643722.0623000001;608642.7809;573567.8711999999;538495.9626;506990.6804;475488.0543;443986.6592;412488.69440000004;380992.6174;352891.5794;324793.19749999995;296698.3078;268609.9313;257398.9944;245925.23309999998;234451.7322;222978.80659999998;211507.58069999996;200046.34000000003;189259.95600000003;178474.16819999996;167687.14900000003;156906.6215;146130.6965
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.7470000002;1482903.8104000003;1419031.8548;1355344.4327999998;1291841.0732999998;1228521.3328999998;1165384.7584;1101635.9981;1038160.5560999999;974957.5018999999;912025.8953000002;849364.8019000001;786982.8016000001;724867.8278000001;663019.014;601435.4766;540116.3459000001;479053.4369;418254.0096;357714.283;297429.8284;237410.59670000002;177659.70729999998;118168.70509999999;58947.78309999999;1723.054;4667.9131;7657.7573999999995;10704.901699999999;16154.7553;21009.0084;25569.1623;29895.7951;34336.4316;38736.186200000004;43102.816300000006;47395.5598;51573.754700000005;55283.7886;58759.368;61931.750199999995;64919.129700000005
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.3485262524000004E7;1.3549746524699999E7;1.35165360944E7;1.3590076247299997E7;1.3849040230600001E7;1.4171462163199998E7;1.4524719677400004E7;1.4871304945100002E7;1.5223140477799999E7;1.5591792491099998E7;1.59723883224E7;1.6370381271100001E7;1.6802435726E7;1.72229700825E7;1.7659269061700005E7;1.81046284587E7;1.8556123617000006E7;1.9001747265E7;1.9445627129800003E7;1.9887585839199997E7;2.03302947851E7;2.0775407868899997E7;2.12139290869E7;2.16386403828E7;2.2062909100099992E7;2.2307377595999993E7;2.2627229564000003E7;2.30387979909E7;2.3356266580099996E7;2.3500802179699995E7;2.3587868822300002E7;2.3636719821500003E7;2.369357985379999E7;2.3746795045399997E7;2.3785890091700006E7;2.38142900525E7;2.3831593559300005E7;2.3816758180099994E7;2.3814207033599995E7;2.3796011260099996E7;2.37737839954E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5768349.973699999;5516503.965899999;5265712.3157;5015967.0394;4767260.3537;4519584.527300001;4269850.9608;4021489.3801;3774489.8028;3528842.3314;3284537.178;3042452.1275000004;2801537.8628000002;2561789.1527000004;2323200.7180000003;2085767.3592;1849483.9250000003;1614345.2034000002;1380346.1676;1147481.5281;915746.3988;685250.0493;455796.00810000004;227380.5395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1585039.4006;1516695.0396000003;1448555.1886;1380619.2112000003;1312886.5018;1245356.4471000002;1177179.0287000001;1109300.4196;1041719.4904000001;974435.0999999999;907604.1898;841103.6442999999;775165.6673;716326.8746;658859.6051;602433.9298;546828.9813999999;491616.9474;440184.1126;392133.311;345546.77249999996;300177.9797;258239.12679999997;219205.1885;181480.97370000003;211910.0678;243360.63209999996;275832.9659;309274.85049999994;343885.202;379184.9727;415372.62850000005;451801.93360000005;488308.71959999995;524821.862;561257.7225;598057.0669999999;634735.8010999999;664702.0697;693321.628;720363.7945
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;962058.959;920520.9778;879112.6397000002;837833.4569;796682.9631;755660.6889000001;714250.7901;673027.3160999998;631989.4772;591136.1209;550466.7807;510011.69259999995;469734.2062;429795.95070000004;390197.68980000005;350793.5834;311581.8091000001;272568.939;233748.70829999997;195126.6188;156697.8122;118473.07650000001;80445.508;44937.0634;11233.0959;20179.5682;29024.440900000005;37763.7017;46309.45939999999;53971.6495;61157.200099999995;67500.53450000001;73724.9443;79635.9009;84942.2266;89754.05840000001;93103.54609999999;96269.7211;99219.63569999998;101944.4518;104377.46520000002
01;01;01;02;Chauffage;Chauffage;2.58;1.3977260778E8;1.4505568765000004E8;1.5170395032E8;1.6019530192E8;1.6660904307E8;1.6943762020000002E8;1.7098397498999998E8;1.7156995250999996E8;1.7224538951739997E8;1.7278133749060002E8;1.72969591854E8;1.7288176560799995E8;1.7247567751440004E8;1.7136448259700003E8;1.7009721589069998E8;1.6843248229930001E8;1.6652065773350003E8;1.6442271846899998E8;1.6237002643400002E8;1.6019709487539998E8;1.5791459759230003E8;1.555223572173E8;1.5304419710209998E8;1.5050574663880005E8;1.480165960456E8;1.453756231198E8;1.376937560708E8;1.285148064153E8;1.1753208389569998E8;1.0825605750060001E8;1.0226661299899998E8;9.73800316156E7;9.32095819708E7;8.887581757E7;8.45780929559E7;8.054467541350003E7;7.670922577319999E7;7.299522353629999E7;6.987055469860001E7;6.6831600125E7;6.41013167366E7;6.15518272055E7
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.437296083572E8;1.4318325776610002E8;1.4264543728E8;1.42116339129E8;1.407570622637E8;1.394039747992E8;1.3805724481410003E8;1.367170515974E8;1.353835701859E8;1.3328421824499999E8;1.311862533711E8;1.2908968646400002E8;1.2699451799389999E8;1.257341883436E8;1.2447423378559999E8;1.2321448674990001E8;1.2195492898830001E8;1.2069554148519999E8;1.194363049587E8;1.18245606232E8;1.1705402321149999E8;1.158615317596E8;1.1466810657130001E8;1.1347372221380001E8;1.129311492777E8;1.123884777856E8;1.118457066397E8;1.113028351698E8;1.1074101148009999E8;1.096913362145E8;1.086405575246E8;1.075886494143E8;1.0653558536350001E8;1.0548133826099999E8;1.0500500457200001E8;1.0452831738900001E8;1.0405126698600002E8;1.0357384322799999E8;1.0309603577899998E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.5658690344E7;2.5745799258E7;2.5832918083000004E7;2.5920027007999998E7;2.6007142033E7;2.6094255727999993E7;2.5947998402E7;2.5801740854000006E7;2.5655482424000002E7;2.5509225290999997E7;2.5362968358000003E7;2.4983177751E7;2.4669221877E7;2.4355266003E7;2.4041311129E7;2.3607481229999997E7;2.3173651331E7;2.2739821432E7;2.25393725449E7;2.2338985132E7;2.21386398947E7;2.1819415763100002E7;2.1500231158199996E7;2.1414598603299998E7;2.1318822194900002E7;2.1223073596E7;2.11273694021E7;2.1039695752400003E7;2.09520740678E7;2.08645493045E7;2.0753300977399997E7;2.05227389609E7;2.0292193474E7;2.0180610180299997E7;2.0069106467600003E7;1.99577861182E7;1.98363001679E7;1.97148575204E7;1.95934218651E7;1.9480119882600002E7;1.9366920089E7
01;01;01;02;Eclairage;Electricité Spécifique;2.58;1.8927689708E8;1.88373453427E8;1.8747227922030002E8;1.865733420961E8;1.856766867625E8;1.8478230008529997E8;1.838902029845E8;1.8286799351619998E8;1.818495115417E8;1.808347695112E8;1.7982377808470002E8;1.788165753718E8;1.7781322861249998E8;1.7681382340359998E8;1.7581854305789998E8;1.748544622665E8;1.7391832917639998E8;1.729855252602E8;1.7205593746699998E8;1.7112951361150002E8;1.7020579722840002E8;1.692850517652E8;1.68366642641E8;1.674511798917E8;1.6653893186839998E8;1.656300390807E8;1.6472433878249997E8;1.638217605613E8;1.629224378222E8;1.6202646687629998E8;1.611340870664E8;1.60267230886E8;1.594025216751E8;1.585408973373E8;1.576822643017E8;1.568262661878E8;1.5597210539990002E8;1.551206051429E8;1.542720434593E8;1.5342672136710003E8;1.525837065547E8;1.517433607785E8
01;01;01;02;Ventilation;Electricité Spécifique;2.58;1509648.6121000003;1447220.004;1384963.9996;1322880.2510000002;1260968.4393999998;1199228.2740000002;1137659.4518000004;1075485.6368;1013571.3707000002;951915.8924000001;890518.4306000001;829378.2167999999;768483.9549999998;707847.2179;647467.2024;587343.0891000001;527474.073;467859.35160000017;408498.1119;349389.57450000005;290529.99189999996;231922.27680000002;173566.89870000005;115453.66300000002;57593.9825;1352.499;4188.7306;7059.139800000001;9976.3424;14456.078000000001;18405.3645;22056.7543;25507.6118;29014.5362;32463.2367;35798.6026;39039.8462;42148.7054;44692.1062;47033.909199999995;48992.2663;50794.0744
