COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.001199987
01;2009;01;02;30278728.644100003
01;2009;02;01;17101159.395999998
01;2009;02;02;22166337.714800004
01;2009;03;01;42865112.44799999
01;2009;03;02;69373982.77640004
01;2010;01;01;22023525.434700005
01;2010;01;02;30025422.640399996
01;2010;02;01;17236486.128900006
01;2010;02;02;21974465.785299998
01;2010;03;01;43217455.01929998
01;2010;03;02;68860015.90800002
01;2010;04;01;1541398.511000001
01;2010;04;02;1804326.0071999996
01;2011;01;01;22201576.749500003
01;2011;01;02;29772420.840600014
01;2011;02;01;17371774.805200007
01;2011;02;02;21782713.33860002
01;2011;03;01;43570346.275399975
01;2011;03;02;68345720.28879999
01;2011;04;01;3123946.3263000003
01;2011;04;02;3617656.1614999995
01;2012;01;01;22379428.000500005
01;2012;01;02;29519727.034699988
01;2012;02;01;17507020.830699995
01;2012;02;02;21591084.850300003
01;2012;03;01;43923738.73560001
01;2012;03;02;67831150.48009998
01;2012;04;01;4748116.355800002
01;2012;04;02;5440348.598899997
01;2013;01;01;22557075.29730001
01;2013;01;02;29267344.95439999
01;2013;02;01;17642164.31469999
01;2013;02;02;21399640.095900014
01;2013;03;01;44277680.03830004
01;2013;03;02;67316262.91310002
01;2013;04;01;6414391.140199996
01;2013;04;02;7272764.959799999
01;2014;01;01;22734348.651799995
01;2014;01;02;29015444.43669999
01;2014;02;01;17777256.861199997
01;2014;02;02;21208327.349900015
01;2014;03;01;44632131.34320001
01;2014;03;02;66801091.9131
01;2014;04;01;8123263.7047000015
01;2014;04;02;9115271.299799994
01;2015;01;01;22911408.472499996
01;2015;01;02;28763864.915499996
01;2015;02;01;17912294.0597
01;2015;02;02;21017150.912699997
01;2015;03;01;44987122.41730002
01;2015;03;02;66285616.13400002
01;2015;04;01;9875236.713799996
01;2015;04;02;10968237.011299996
01;2016;01;01;23071593.103699993
01;2016;01;02;28492061.694500007
01;2016;02;01;18034258.782200005
01;2016;02;02;20811098.5886
01;2016;03;01;45309734.48679998
01;2016;03;02;65722631.18700001
01;2016;04;01;9984919.08409999
01;2016;04;02;10858554.642800007
01;2016;05;01;1137433.0612999992
01;2016;05;02;1063512.098100001
01;2017;01;01;23231317.6062
01;2017;01;02;28220959.696799986
01;2017;02;01;18155974.4114
01;2017;02;02;20605476.987900015
01;2017;03;01;45632252.81900001
01;2017;03;02;65160251.48670001
01;2017;04;01;10093504.630299997
01;2017;04;02;10749969.097799994
01;2017;05;01;2294514.333199999
01;2017;05;02;2124816.4101999993
01;2018;01;01;23390579.13360002
01;2018;01;02;27950561.25160001
01;2018;02;01;18277437.06459999
01;2018;02;02;20400289.598599996
01;2018;03;01;45954238.09009994
01;2018;03;02;64598918.64450003
01;2018;04;01;10201004.321000002
01;2018;04;02;10642469.408499999
01;2018;05;01;3471315.687499997
01;2018;05;02;3184022.8595999996
01;2019;01;01;23549375.0874
01;2019;01;02;27680868.434100013
01;2019;02;01;18398642.935199995
01;2019;02;02;20195539.8392
01;2019;03;01;46275693.438700005
01;2019;03;02;64038629.206299976
01;2019;04;01;10307429.0163
01;2019;04;02;10536044.714699995
01;2019;05;01;4667910.834200001
01;2019;05;02;4241240.954399997
01;2020;01;01;23707699.218399998
01;2020;01;02;27411886.1668
01;2020;02;01;18519587.393799998
01;2020;02;02;19991231.485199988
01;2020;03;01;46596129.89040002
01;2020;03;02;63479881.30369997
01;2020;04;01;10412789.464599995
01;2020;04;02;10430684.268799998
01;2020;05;01;5884375.652400007
01;2020;05;02;5296580.127599998
01;2021;01;01;23761018.49170001
01;2021;01;02;27248147.26000001
01;2021;02;01;18559925.948799986
01;2021;02;02;19867709.07550001
01;2021;03;01;46705719.62209998
01;2021;03;02;63132490.88139998
01;2021;04;01;10464942.886999995
01;2021;04;02;10378530.847499996
01;2021;05;01;5910858.554999999
01;2021;05;02;5270097.225999995
01;2021;06;01;1279226.3698000005
01;2021;06;02;1009776.196
01;2022;01;01;23814675.87899999
01;2022;01;02;27084308.0057
01;2022;02;01;18600574.4356
01;2022;02;02;19744054.9166
01;2022;03;01;46816276.10559997
01;2022;03;02;62784624.91389999
01;2022;04;01;10516835.541599993
01;2022;04;02;10326638.194100004
01;2022;05;01;5937209.041999999
01;2022;05;02;5243746.739499997
01;2022;06;01;2573756.1459999983
01;2022;06;02;2022598.0729000003
01;2023;01;01;23868664.455700003
01;2023;01;02;26920374.33950001
01;2023;02;01;18641527.191900015
01;2023;02;02;19620273.600200005
01;2023;03;01;46927840.269199975
01;2023;03;02;62436262.10219997
01;2023;04;01;10568468.732700009
01;2023;04;02;10275005.004200002
01;2023;05;01;5963427.776800002
01;2023;05;02;5217528.0057999985
01;2023;06;01;3883710.8794000014
01;2023;06;02;3038534.327799998
01;2024;01;01;23922973.895799983
01;2024;01;02;26756354.2776
01;2024;02;01;18682777.612100005
01;2024;02;02;19496372.897899996
01;2024;03;01;47040427.9431
01;2024;03;02;62087387.8104
01;2024;04;01;10619843.756699998
01;2024;04;02;10223629.980499998
01;2024;05;01;5989515.416999996
01;2024;05;02;5191440.366300001
01;2024;06;01;5209213.530299998
01;2024;06;02;4057654.1584999985
01;2025;01;01;23977599.473499987
01;2025;01;02;26592253.775400005
01;2025;02;01;18724318.628900006
01;2025;02;02;19372355.633800004
01;2025;03;01;47153797.7231
01;2025;03;02;61738226.70209998
01;2025;04;01;10670961.909
01;2025;04;02;10172511.8299
01;2025;05;01;6015472.6203999985
01;2025;05;02;5165483.164100001
01;2025;06;01;6550388.549400004
01;2025;06;02;5080027.318700001
01;2026;01;01;24032537.321300004
01;2026;01;02;26428075.5632
01;2026;02;01;18766146.686400004
01;2026;02;02;19248229.169399995
01;2026;03;01;47268078.72879998
01;2026;03;02;61388656.941400036
01;2026;04;01;10721824.467200002
01;2026;04;02;10121649.272399997
01;2026;05;01;6041300.035300001
01;2026;05;02;5139655.749899998
01;2026;06;01;7907361.697500005
01;2026;06;02;6105723.972500005
01;2027;01;01;24087778.77860001
01;2027;01;02;26263824.768999998
01;2027;02;01;18808248.58600001
01;2027;02;02;19124005.467100013
01;2027;03;01;47383276.706399955
01;2027;03;02;61038653.353499986
01;2027;04;01;10772432.713100005
01;2027;04;02;10071041.027399994
01;2027;05;01;6066998.313400004
01;2027;05;02;5113957.472800001
01;2027;06;01;9280260.277999999
01;2027;06;02;7134814.873000002
01;2028;01;01;24143317.223699994
01;2028;01;02;26099507.411400005
01;2028;02;01;18850623.3088
01;2028;02;02;18999683.2139
01;2028;03;01;47499260.062999986
01;2028;03;02;60688349.11100001
01;2028;04;01;10822787.915900003
01;2028;04;02;10020685.825299991
01;2028;05;01;6092568.0995000005
01;2028;05;02;5088387.6873
01;2028;06;01;10669212.686300002
01;2028;06;02;8167371.003500003
01;2029;01;01;24199145.994099993
01;2029;01;02;25935130.50829999
01;2029;02;01;18893268.415400002
