branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.7886868709999997E7;2.6729174729999997E7;2.5575103029999997E7;2.442463369E7;2.327775394E7;2.2134449299999997E7;2.0994709000000004E7;1.9796165030300003E7;1.8608471577800002E7;1.74315457078E7;1.62653018869E7;1.5109655617599998E7;1.39603907696E7;1.2822264120899998E7;1.1695172609900001E7;1.0583372795699999E7;9487441.9935;8403417.269599998;7331207.641100001;6270705.051599999;5221945.566799999;4185532.3649000004;3159308.7975;2148687.2239;1300306.5285;507452.3398;822537.9238999999;1136631.7536;1449083.7842;1757779.2218;2032507.9004000002;2289029.9529999997;2542162.5776;2787256.2235000003;3020212.5631999997;3241574.8954;3446555.6573;3635111.0521000004;3812432.4274;3983298.0707;4137464.058200001;4273465.9114
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;1951195.9708999998;1869016.2602000001;1786836.5473999996;1704656.8317;1622477.8158;1540298.4960000003;1453879.6065;1367460.8088999998;1281042.3094999997;1194623.6140999997;1108204.7778;1018394.188;928801.378;839208.5879999999;749615.8188;714757.3992;679898.9796000001;645040.562;610182.1455999999;575323.7311999999;540465.0973999999;509158.3509;477851.6042;446544.8606;415241.04110000003;383730.618;355614.5119;327384.9581;299246.3546;271087.1141;259793.4373;248225.7129;236660.5639;225116.169;213568.30409999995;202067.8474;191358.10650000002;180757.24169999996;170150.872;159554.1786;149068.4531
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.747;1482903.8104000003;1419031.8548;1355344.4328;1291841.0732999998;1228521.3329;1165384.7584;1099357.9505999996;1032836.6090999999;967951.9187;903600.0863999997;839777.7618999998;776486.3751000001;713716.8199;651465.7289000001;589729.8928;528506.0057999999;467788.1069999999;407576.3965;347867.6756;288658.70129999996;229946.363;171582.37490000002;113806.07479999999;56612.5576;0.0;0.0;0.0;0.0;0.0;0.0;975.0875;2371.2269;3892.2788;5415.4781;6820.111199999999;9744.1015;12616.7509;15426.527600000001;18712.823900000003;21968.951899999996;25134.9098
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.3485262524000004E7;1.3549746524699999E7;1.35165360944E7;1.3590076247299997E7;1.3849040230600001E7;1.4171462163199998E7;1.4328098020299999E7;1.4525776466500001E7;1.47256333102E7;1.4972772202699998E7;1.5231519082200004E7;1.5470641200400004E7;1.5698190324300002E7;1.5924910066E7;1.6149054494000003E7;1.63982353973E7;1.66423897596E7;1.68649652822E7;1.7089179635400005E7;1.7320447291200005E7;1.7570162987999998E7;1.78456625838E7;1.81256977461E7;1.842240035249999E7;1.8740155529099997E7;1.88542317484E7;1.9037336069100007E7;1.9308248630000003E7;1.94837873012E7;1.9508056374799997E7;1.9487094271599997E7;1.9497693125699997E7;1.9535272148099992E7;1.9574799980100006E7;1.96147186809E7;1.965051994880001E7;1.9709361394599993E7;1.9762385390400004E7;1.9817562761899997E7;1.9886167475700002E7;1.99513744731E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5768349.973699999;5516503.965899999;5265712.3157;5015967.0394;4767260.3537;4519584.527300001;4231164.117200001;3960889.0999999996;3695069.3236;3440545.4136999995;3189333.3509000004;2942237.1504999995;2698227.4647000004;2457274.2481;2219346.5656999997;1984414.7212;1752438.5459;1523401.1674;1297273.5886;1074026.3035999998;853630.8328;636908.746;422407.7791;210110.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1585039.4006;1516695.0396000003;1448555.1886;1380619.2112000003;1312886.5017999997;1245356.4471000002;1174385.986;1104074.5308;1034420.917;965450.7918000001;897091.7309000001;829151.3304999998;761850.4012000001;695180.3708999999;630581.7086;566458.9978;504341.12049999996;445010.3486000001;386605.7082999999;329371.8012;273622.4856000001;219427.87700000004;169412.3506;120920.23140000003;75908.2625;89933.62259999999;104898.11589999999;120579.92550000001;138600.8804;156572.8633;174272.8264;191774.82439999998;209139.49060000002;226377.1784;243521.11390000003;260552.60039999997;277489.6929;294105.8948;310391.3424;325165.4052;339453.7134
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;962058.959;920520.9778;879112.6397;837833.4569;796682.9631;755660.6889000001;712523.063;669775.78;627415.9074;585440.3236;543846.037;502481.9889999999;461518.553;420951.9981;380937.554;341496.37240000005;302483.935;263897.04069999995;225731.78670000003;187989.5549;150692.31870000003;113762.6545;77420.2963;46924.1817;18455.1507;29786.018;41082.015999999996;52319.895099999994;63424.10540000001;73312.7205;82548.91890000002;91663.85470000001;100489.06139999999;108877.6766;116848.41089999999;124229.9057;131020.41269999999;137407.6496;143577.1415;149128.9216;154024.6135
01;01;01;02;Chauffage;Chauffage;2.58;1.3977260778E8;1.4505568765000004E8;1.5170395032E8;1.6019530192E8;1.6660904307E8;1.6943762020000002E8;1.7098397498999998E8;1.72480812848E8;1.739268464718E8;1.7524944282230002E8;1.764245723948E8;1.7732794717290002E8;1.7832610404079995E8;1.7908195714459997E8;1.797701601749E8;1.8036828624930003E8;1.8073925847809997E8;1.810770528773E8;1.8133477394219995E8;1.814838871804E8;1.8140917831370005E8;1.8088993600480002E8;1.799122168211E8;1.7865435275329998E8;1.769161436631E8;1.7468287128239998E8;1.6788792959069997E8;1.6024358062800002E8;1.509104945083E8;1.432861030112E8;1.3864533823010004E8;1.349444979914E8;1.3069691162150003E8;1.263488965643E8;1.219803831219E8;1.1765668695779999E8;1.1338187406570001E8;1.0867641006329998E8;1.0397255007719998E8;9.929567787399997E7;9.448753355209999E7;8.982350097039999E7
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.437296083572E8;1.4318325776610002E8;1.4264543728E8;1.42116339129E8;1.414334362718E8;1.406745002205E8;1.3983854828579998E8;1.3892462539560002E8;1.379317247107E8;1.360374194817E8;1.340532494243E8;1.3197796892249998E8;1.2981034160269998E8;1.2917917669319999E8;1.2861102717289999E8;1.281063922873E8;1.276658637834E8;1.272900421548E8;1.269795359743E8;1.266309773205E8;1.262667541528E8;1.2588663523550001E8;1.2549038345869999E8;1.2507776235759999E8;1.2532135887959999E8;1.25556408185E8;1.257827760648E8;1.2600032575059998E8;1.2621616086809999E8;1.2584021295079999E8;1.254529614658E8;1.250542405318E8;1.246438827465E8;1.2422172155499999E8;1.24427773353E8;1.24635279253E8;1.2484425368E8;1.2505471045499998E8;1.25266665345E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.5658690344E7;2.5745799258E7;2.5832918083000004E7;2.5920027007999998E7;2.6007142033E7;2.6094255727999993E7;2.5947998402E7;2.5801581379000004E7;2.5655004097999997E7;2.5508429014E7;2.5361854130000003E7;2.4981782581E7;2.4670615204E7;2.4359447827E7;2.4048281439E7;2.36175151388E7;2.31867458091E7;2.27559763804E7;2.25585784947E7;2.2361199613E7;2.21638397363E7;2.1847519988999996E7;2.15312002307E7;2.1448433760399997E7;2.13567437461E7;2.1261975885900002E7;2.1167241687000003E7;2.1080914816E7;2.0995941493800003E7;2.09106596065E7;2.08015506043E7;2.0572685788399998E7;2.03438773949E7;2.02342929949E7;2.01246566399E7;2.00157195245E7;1.9897876578300003E7;1.97458831821E7;1.9594193452800002E7;1.9450756597499996E7;1.93076925749E7
01;01;01;02;Eclairage;Electricité Spécifique;2.58;1.8927689708E8;1.88373453427E8;1.8747227922030002E8;1.865733420961E8;1.856766867625E8;1.8478230008529997E8;1.838902029845E8;1.8286799351619998E8;1.818495115417E8;1.808347695112E8;1.7982377808470002E8;1.788165794897E8;1.7781323764619997E8;1.767842571008E8;1.757599534516E8;1.747710918401E8;1.7380978009949997E8;1.7285212497719997E8;1.718981190386E8;1.709476974036E8;1.700010159654E8;1.690580104148E8;1.681180863118E8;1.671818882548E8;1.6624925689369997E8;1.653268302399E8;1.644255289502E8;1.635273760403E8;1.6263130259440002E8;1.617286506894E8;1.6083537894230002E8;1.5996932998150003E8;1.5910565470970005E8;1.582446674388E8;1.5738414299580002E8;1.565260581552E8;1.556660445956E8;1.547969845602E8;1.538926334447E8;1.529964337662E8;1.521067831614E8;1.512263506864E8
01;01;01;02;Ventilation;Electricité Spécifique;2.58;1509648.6121;1447220.004;1384963.9996;1322880.2510000002;1260968.4393999998;1199228.274;1137659.4518000004;1075485.6368;1013571.3716000001;951915.8936999999;890518.4323;829378.2182;768483.9564;707847.2193;647467.2026;587343.0885000002;527474.0721000001;467859.35190000007;408498.1123999999;349389.5753;290532.8904999999;231927.3081;173570.66240000003;115464.44180000002;57605.9995;0.0;0.0;0.0;0.0;0.0;0.0;973.4845;2521.1218;4119.0717;5726.0317000000005;7326.1647;9865.8096;12403.7779;14876.5717;17716.171499999997;20530.0348;23269.9193
01;01;01;02;Ventilation;Electricité Spécifique;2.58;1.3853677748999998E7;1.4069989851799995E7;1.4196635243400002E7;1.4217080748E7;1.4354377832699997E7;1.46937179845E7;1.51007957381E7;1.5459010127700001E7;1.5817345686900001E7;1.61764506254E7;1.65372332971E7;1.6908448029200003E7;1.7251785424599994E7;1.7606031104299996E7;1.7960855907800004E7;1.83109865147E7;1.86698750816E7;1.90213376869E7;1.9368247366100006E7;1.9716030669699993E7;2.0069496067099996E7;2.0449537146E7;2.085647125779999E7;2.1261756631200004E7;2.1675609998700008E7;2.2102770235800005E7;2.2258195864299998E7;2.25029013246E7;2.28500979288E7;2.3087560200800005E7;2.3143619002599996E7;2.314416208440001E7;2.31833533597E7;2.3230334893399995E7;2.3282835129700005E7;2.33374354773E7;2.3390169093899995E7;2.3479183840600003E7;2.35567592529E7;2.36367681406E7;2.3739690045199998E7;2.3841757445399996E7
01;01;01;02;Ventilation;Electricité Spécifique;2.58;5617705.315;5386469.3444;5155772.6154;4925616.1049999995;4696000.4801;4466926.4687;4238394.730300001;4007514.2213;3777507.1548000006;3548372.6005;3320109.5609;3092717.0027000005;2865899.7493999996;2640001.3758;2415019.4543;2190951.4989;1967795.0528999998;1745547.6796000001;1524206.8706000003;1303770.2776;1084235.2397;865599.4983;647822.6313;430965.7009000001;215025.76939999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Ventilation;Electricité Spécifique;2.58;1.01236219175E7;1.01988316202E7;1.0363436326700002E7;1.0633936390099999E7;1.07872703187E7;1.07381890102E7;1.0621059323499998E7;1.05336822806E7;1.0445413516900003E7;1.03556068429E7;1.02634229743E7;1.0160013551199999E7;1.00800480441E7;9989853.9529;9898088.172799999;9809991.157699998;9712127.3326;9620677.445400001;9532763.8335;9442965.789800001;9346478.127;9222405.9512;9073683.266700003;8926284.2087;8766927.388400001;8596477.1324;8355482.954600002;8037888.820099999;7617944.1007;7307939.3993;7180951.874300001;7109149.4561;6998329.911299998;6880030.058500001;6756595.690699999;6631428.409299998;6507578.372399999;6347910.156899999;6200258.989900001;6050106.933800001;5877522.4615;5706475.2469
01;01;01;02;Ventilation;Electricité Spécifique;2.58;984316.8533000001;943604.7265999997;903005.8058;862519.9187000002;822146.8449;781886.3806;741738.3155999999;701196.4798;660824.5362000001;620621.9815000001;580588.2808000001;540722.9299000001;501020.3756000001;461486.01460000005;422119.31799999997;382949.5560000001;343981.4964;305186.34580000007;266564.9171;228117.45290000003;189832.60169999997;151740.673;113829.37890000003;76101.0632;42210.770899999996;9514.2631;18827.122300000003;28164.3576;37482.3808;46695.79200000001;54815.7931;62304.81770000001;69718.2549;76985.64809999999;83927.654;90601.4196;96812.42210000001;102612.86790000001;108065.0293;113319.6627;118234.6559;122723.8794
01;01;01;03;Chauffage;Chauffage;1.0;1.4821810768E8;1.4199261608E8;1.3579328532E8;1.2961988727E8;1.2347225853E8;1.173501631E8;1.1125344541E8;1.0415377506000002E8;9.750076753E7;9.095739989E7;8.469210972E7;7.850832333E7;7.242584110000001E7;6.641933243E7;6.048805394E7;5.463125629E7;4.88482006E7;4.313790762E7;3.749994557000001E7;3.193361033E7;2.643816897E7;2.1012931490000002E7;1.5678113420000002E7;1.0397969962E7;5172071.473;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
