COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_SYSTEME_CHAUD;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Chauffage;01;01;135841923.37999997;90290205.38000001
01;2009;01;Chauffage;01;06;498869709.25;338280639.37
01;2009;01;Chauffage;03;03;814233787.0200002;449948248.29999995
01;2009;01;Chauffage;04;04;2341163564.89;1706353549.3600001
01;2009;01;Chauffage;05;02;47369704.46699999;97790017.72999999
01;2009;01;Chauffage;06;02;762692040.62;701676652.92
01;2009;01;Chauffage;09;02;191184033.21199992;473046636.28999996
01;2009;02;Chauffage;01;01;71553032.59799998;47577082.479
01;2009;02;Chauffage;01;06;244529625.47900003;165904550.02999997
01;2009;02;Chauffage;03;03;417144900.459;230636537.389
01;2009;02;Chauffage;04;04;1263458573.2649999;921974887.7850001
01;2009;02;Chauffage;05;02;23429812.833000004;48368502.415
01;2009;02;Chauffage;06;02;351073185.89000005;322987329.84999996
01;2009;02;Chauffage;09;02;139531119.95699996;345241865.877
01;2009;03;Chauffage;01;01;567355163.37;376748225.3
01;2009;03;Chauffage;01;06;2338802646.4899993;1584975527.87
01;2009;03;Chauffage;03;03;4083642753.6000004;2256376395.88
01;2009;03;Chauffage;04;04;10253010056.18;7470445274.389999
01;2009;03;Chauffage;05;02;301156405.04;621707241.5699999
01;2009;03;Chauffage;06;02;4079126463.9;3752796420.8
01;2009;03;Chauffage;09;02;800902115.6599998;1981671986.8600001
01;2010;01;Chauffage;01;01;130194111.57000004;86536291.89220001
01;2010;01;Chauffage;01;06;478201663.78000015;324265742.8579
01;2010;01;Chauffage;03;03;780182454.7799996;431130967.2018
01;2010;01;Chauffage;04;04;2310820997.08;1684462414.1469998
01;2010;01;Chauffage;05;02;45399144.639;93721995.9714
01;2010;01;Chauffage;06;02;838242791.1929998;771183320.6791
01;2010;01;Chauffage;09;02;183261012.238;453442768.9877
01;2010;01;Chauffage;26;02;6297410.29;6297410.3933
01;2010;02;Chauffage;01;01;68566878.11500002;45591563.12110001
01;2010;02;Chauffage;01;06;234383890.67299995;159021039.04729998
01;2010;02;Chauffage;03;03;399678660.20300007;220979436.98770002
01;2010;02;Chauffage;04;04;1267439780.4269998;925019984.5154
01;2010;02;Chauffage;05;02;22453692.420999993;46353402.7597
01;2010;02;Chauffage;06;02;379271669.0270001;348929926.4046
01;2010;02;Chauffage;09;02;133752719.352;330944358.40730006
01;2010;02;Chauffage;26;02;2328089.247;2328088.7421000004
01;2010;03;Chauffage;01;01;543638377.4051;360999349.2514
01;2010;03;Chauffage;01;06;2241306691.1233;1518903989.1126
01;2010;03;Chauffage;03;03;3912284665.2474;2161691949.4329996
01;2010;03;Chauffage;04;04;10585381885.0666;7713790459.256401
01;2010;03;Chauffage;05;02;288618051.93;595823066.2515
01;2010;03;Chauffage;06;02;3974582505.0589995;3656615597.4784007
01;2010;03;Chauffage;09;02;767681118.4599998;1899473424.0593
01;2010;03;Chauffage;24;04;81543695.39199999;75803394.40849999
01;2010;03;Chauffage;26;02;29557613.268;29557616.4893
01;2010;04;Chauffage;01;01;9111361.4428;6080478.523199999
01;2010;04;Chauffage;01;06;4716677.3006;3196938.1693
01;2010;04;Chauffage;04;04;55809887.282100014;40732696.8584
01;2010;04;Chauffage;05;02;502889.43210000003;1038165.0456
01;2010;04;Chauffage;06;02;28105776.677;25857314.397100005
01;2010;04;Chauffage;09;02;1568805.2613000001;3881694.7582
01;2010;04;Chauffage;21;01;2301511.3695999994;1772623.8782999995
01;2010;04;Chauffage;21;06;2584088.7684;2021791.1533
01;2010;04;Chauffage;24;04;31444799.352100015;29226281.2755
01;2010;04;Chauffage;26;02;11850552.207699995;11850551.663999999
01;2011;01;Chauffage;01;01;124564732.97000003;82794624.6731
01;2011;01;Chauffage;01;06;457594262.15;310292000.62530005
01;2011;01;Chauffage;03;03;746260494.7999997;412385245.64809996
01;2011;01;Chauffage;04;04;2275638221.5410004;1659026233.0509
01;2011;01;Chauffage;05;02;43435112.384;89667456.7496
01;2011;01;Chauffage;06;02;917127684.4929997;843757488.0468999
01;2011;01;Chauffage;09;02;175361499.18600002;433896982.4502001
01;2011;01;Chauffage;26;02;12894581.11;12894581.1592
01;2011;02;Chauffage;01;01;65591504.32699999;43613210.348
01;2011;02;Chauffage;01;06;224269340.95700002;152158678.4193
01;2011;02;Chauffage;03;03;382280789.4969999;211360138.67679998
01;2011;02;Chauffage;04;04;1268289241.2970002;925771632.3118
01;2011;02;Chauffage;05;02;21480942.764000006;44345255.9333
01;2011;02;Chauffage;06;02;409678708.9189002;376904400.6811
01;2011;02;Chauffage;09;02;127991066.531;316688297.6269
01;2011;02;Chauffage;24;04;45783.492999999995;42578.652500000004
01;2011;02;Chauffage;26;02;4771595.454000001;4771595.9672
01;2011;03;Chauffage;01;01;519954854.2256999;345272656.5381
01;2011;03;Chauffage;01;06;2144120968.7241995;1453042902.2367
01;2011;03;Chauffage;03;03;3741374755.5332003;2067255034.457
01;2011;03;Chauffage;04;04;10898464604.1359;7943025073.810699
01;2011;03;Chauffage;05;02;276122184.28000003;570026647.2396
01;2011;03;Chauffage;06;02;3868559240.0233006;3559074444.1907005
01;2011;03;Chauffage;09;02;734740406.6310999;1817968094.6161
01;2011;03;Chauffage;24;04;175849459.0334;163463683.93620002
01;2011;03;Chauffage;26;02;60427840.274;60427844.4814
01;2011;04;Chauffage;01;01;20052774.221400008;13382138.276199998
01;2011;04;Chauffage;01;06;7625265.436199999;5168146.5518
01;2011;04;Chauffage;04;04;104085925.61109996;75969044.02330002
01;2011;04;Chauffage;05;02;1145235.679;2364224.5127
01;2011;04;Chauffage;06;02;58524783.96359998;53842801.72489999
01;2011;04;Chauffage;09;02;4132348.9147;10224670.868
01;2011;04;Chauffage;21;01;5181610.6584;3990877.393
01;2011;04;Chauffage;21;06;4414758.708800001;3454107.2626000005
01;2011;04;Chauffage;24;04;63659892.661899984;59168645.739800006
01;2011;04;Chauffage;26;02;25636076.017500006;25636076.937900003
01;2012;01;Chauffage;01;01;118953701.50999999;79065151.277
01;2012;01;Chauffage;01;06;437047431.60999995;296359295.03429997
01;2012;01;Chauffage;03;03;712467106.4100002;393710640.23510003
01;2012;01;Chauffage;04;04;2229131168.527;1625297515.4075003
01;2012;01;Chauffage;05;02;41477599.768;85626339.8555
01;2012;01;Chauffage;06;02;1004458584.5100001;924101916.1801
01;2012;01;Chauffage;09;02;167485388.80200002;414409111.8325
01;2012;01;Chauffage;24;04;61687.240000000005;57369.1322
01;2012;01;Chauffage;26;02;19779454.94;19779454.9371
01;2012;02;Chauffage;01;01;62626851.25299999;41641982.5697
01;2012;02;Chauffage;01;06;214185837.96800008;145317394.1409
01;2012;02;Chauffage;03;03;364950816.80800015;201778387.07760003
01;2012;02;Chauffage;04;04;1259326961.9609997;919338625.6453001
01;2012;02;Chauffage;05;02;20511544.075;42344029.1034
01;2012;02;Chauffage;06;02;444498885.1707;408938970.4035999
01;2012;02;Chauffage;09;02;122246122.36800002;302473574.12460005
01;2012;02;Chauffage;24;04;3224856.6810000003;2999117.046
01;2012;02;Chauffage;26;02;7322646.067000001;7322645.9315
01;2012;03;Chauffage;01;01;496271564.59990007;329546020.2504
01;2012;03;Chauffage;01;06;2046345953.7047997;1386784012.137
01;2012;03;Chauffage;03;03;3570436813.8379993;1972801584.3998
01;2012;03;Chauffage;04;04;11087883896.898205;8081800447.203001
01;2012;03;Chauffage;05;02;263714171.158;544411544.5656
01;2012;03;Chauffage;06;02;3761541678.231699;3460618322.4574003
01;2012;03;Chauffage;09;02;733224076.1385001;1814216393.9840999
01;2012;03;Chauffage;24;04;281704849.9407;261854602.2737
01;2012;03;Chauffage;26;02;92552705.623;92552709.2757
01;2012;04;Chauffage;01;01;31822427.2695;21235617.188399997
01;2012;04;Chauffage;01;06;10795574.101200001;7316651.189099997
01;2012;04;Chauffage;04;04;145329648.24609995;106076500.7828
01;2012;04;Chauffage;05;02;1944144.1020000004;4013491.1085
01;2012;04;Chauffage;06;02;90144793.9573;82933210.9016
01;2012;04;Chauffage;09;02;8079189.3457999965;19990338.2366
01;2012;04;Chauffage;21;01;8418550.801700002;6483966.9741
01;2012;04;Chauffage;21;06;6450414.901799999;5046803.546799999
01;2012;04;Chauffage;24;04;95517645.58180003;88779109.2438
01;2012;04;Chauffage;26;02;40375198.6131;40375197.8467
01;2012;04;Chauffage;29;02;133860.28220000002;406921.87700000004
01;2013;01;Chauffage;01;01;113360955.66999999;75347818.12280001
01;2013;01;Chauffage;01;06;416560923.22;282467510.6142
01;2013;01;Chauffage;03;03;678801589.6999999;375106694.84929997
01;2013;01;Chauffage;04;04;2188736988.4260006;1596043342.9156997
01;2013;01;Chauffage;05;02;39526537.097;81598583.341
01;2013;01;Chauffage;06;02;1080752264.486;994292025.6638
01;2013;01;Chauffage;09;02;159632615.66599998;394978985.9001
01;2013;01;Chauffage;24;04;5619557.333;5226188.022299999
01;2013;01;Chauffage;26;02;27055666.039000005;27055666.085899998
01;2013;02;Chauffage;01;01;59672857.839999996;39677838.7357
