branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;263072.6947;251748.2911;240455.95769999997;229195.62250000003;217967.2193;206770.6793;195464.89359999998;184206.98369999998;172996.7966;161834.1785;150718.9751;139651.03530000002;128630.20500000003;117656.33349999998;106748.47720000001;95907.8382;85117.07569999999;74376.52299999999;63681.59019999999;53042.4382;42453.92829999999;31911.090399999997;21427.7115;12307.1831;3419.2808;6346.553499999999;9288.5282;12232.723199999999;15155.1957;17746.3856;20160.683699999998;22555.334;24904.791599999997;27160.7804;29332.642599999996;31365.5679;33249.4344;35032.250100000005;36762.8265;38371.4185;39839.433999999994
01;01;01;02;3091525.332199999;3112179.2686000005;3153991.5442000004;3222860.9089999995;3261480.1152999997;3246928.4244;3212558.719799999;3185657.8424;3158824.0339;3131386.8361;3102962.1801000005;3071207.2393000005;3044174.933;3014311.0992999994;2984346.7779000006;2956069.4552000007;2924985.5697999997;2894847.8480000007;2865637.0774000003;2835669.2047000006;2803435.5011;2765475.6059;2719192.7774;2672437.5124999993;2621100.2993;2567509.2048;2498578.887;2407973.3532;2290881.101899999;2201616.5242;2160142.6873999992;2134674.3052000003;2098735.7468;2060294.5765000002;2020416.0823999997;1980113.1233;1940278.4343;1892797.4684999997;1847967.7895;1801983.0764;1748042.0315;1694589.7939000002
01;01;01;03;1317058.3889999997;1262555.3521;1208206.5485999999;1154011.6570000001;1099970.3350000002;1046082.2620999999;992347.1083000001;938087.6568;884057.9731000002;830257.3245000001;776684.9683;723340.1732000001;670222.2056000001;617330.3285999998;564663.8226000001;512221.9542;460003.99970000004;408009.2409999999;356236.95040000003;304686.425;253356.90939999997;202247.7274;151358.1574;100687.4902;50235.00250000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;3620653.1410000003;3670474.5311;3698920.7009000005;3700093.3654;3731300.2657999992;3815462.6045999997;3919227.9738999996;4010117.8395;4100630.9340999997;4191438.7461;4282926.3868;4377437.714200001;4466920.8358;4558930.9522;4650737.7063;4740535.771499999;4832818.332799999;4923850.908400001;5013652.321499999;5103909.4861;5196128.902699999;5293774.527899999;5399439.908399999;5505271.496300003;5614066.824600001;5724931.728099999;5773015.706700002;5842798.349800001;5939103.878099999;6007640.924499999;6028865.6186999995;6034055.585499999;6049615.940399999;6067732.0861;6087396.1531;6107568.118800002;6127087.320500001;6154439.8739;6179292.317499999;6205253.861999999;6239341.9365;6273151.9809
01;01;01;06;414923.1906;397752.6732;380630.7453;363557.3051;346532.2452;329555.4648;312626.85970000015;295533.0809;278511.6874;261562.44910000003;244685.1319;227879.50360000003;211145.335;194482.3939;177890.45320000005;161369.2817;144918.6517;128538.3371;112228.10729999997;95987.74260000001;79817.00349999999;63715.678799999994;47683.54040000001;31719.3273;15824.8244;0.0;0.0;0.0;0.0;0.0;0.0;283.8854;698.7702;1136.8391;1579.2056000000002;2010.7259;2806.9848;3594.7168;4367.6395;5267.7943;6162.7498;7037.9133
01;01;02;01;164852.8561;158030.8494;151228.1475;144444.71060000002;137680.4957;130935.4623;124209.5697;117418.05169999998;110655.2932;103921.2024;97215.68649999998;90538.65359999999;83890.0126;77269.6705;70677.5376;64113.5219;57577.5329;51079.77099999999;44610.4099;38181.1297;31781.519899999996;25411.569100000004;19071.162300000004;12768.3176;6496.3099999999995;243.5399;270.0345;294.4451;319.0816;344.0333;369.1476;394.39140000000003;419.96340000000004;445.7511;471.8857;495.3023;519.1727;543.4865;568.1215;593.2514;1169.7681;1739.1689000000001
01;01;02;02;2704966.9641;2706180.7475;2721998.1858;2756364.0053;2770527.5638000006;2764225.8216;2751811.4410999995;2742553.0321;2733719.732;2727277.9806999997;2720440.9248999995;2713202.8565999996;2705586.8152999994;2697664.0086999997;2689457.2464;2680987.7358;2677116.9656;2672801.9656;2668521.1869999995;2665995.8136000005;2662135.1841;2657119.3919;2649731.9001999996;2643260.6021000003;2636373.0181000005;2629949.6702;2619026.5598;2593232.2272;2548146.1559999995;2518505.7578999996;2505756.4369;2497274.6722999997;2482231.9204000006;2465215.0837;2444800.1495000003;2422889.7649;2399669.9003000003;2372423.2416999997;2344056.3830000004;2314298.7740000007;2282532.9982000003;2245563.7827
01;01;02;03;998485.8363;957166.0961000001;915963.2831000001;874877.1535;833907.4477;793053.9228;752316.3288999998;711181.2551;670220.3724;629433.1272999998;588818.9548000001;548377.2968;508107.6024;468009.31220000004;428081.8793;388324.7478;348737.36970000004;309319.20129999996;270069.6865;230988.3009;192074.466;153327.6662;114747.35900000001;76333.00859999999;38084.06450000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;02;04;2774366.8339999993;2822635.2572;2856146.1597;2870955.1445000004;2905813.2073;2960983.7161999997;3022114.348200001;3075738.5977999996;3128719.1419999995;3179090.2701000003;3229639.5765;3280373.5047000004;3331269.7391000004;3382257.8084000004;3433315.6215;3484422.7016;3530718.2813999997;3577235.7542000003;3623507.1361;3667800.1624999996;3713216.577200001;3759576.883;3808097.5683999998;3855483.4194;3903074.647200001;3950003.1128000007;3946686.5154;3958273.9140999992;3989183.4626000007;4004677.5827999995;4003310.9641;3997707.0966000003;3998694.2646;4001685.6031000004;4008104.9288;4016052.6020999993;4025339.3983;4038682.5947999996;4053175.661500001;4069088.8956000004;4086488.7504;4109128.948400001
01;01;02;06;273040.8814;261741.79439999996;250474.68180000002;239239.47680000003;228036.10849999997;216864.51069999996;205724.61479999998;194476.02570000003;183275.0701;172121.59600000002;161015.44999999998;149956.4789;138944.5324;127979.4569;117061.10339999999;106189.31970000001;95363.95569999999;84584.863;73851.8897;63164.891400000015;52523.71;41927.58550000001;31375.5267;20870.790800000002;10412.276600000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;03;01;472847.2787000001;453279.7235;433767.5409;414310.61529999995;394908.8239;375562.0515;356270.18049999996;336790.0773;317391.4712;298075.1919;278840.9776;259688.476;240631.85439999998;221759.02439999997;202999.28720000002;184400.73909999998;165908.96289999998;147516.7702;129221.20899999999;111022.59920000001;92930.39289999999;76256.0929;59686.9408;45787.037800000006;31779.9784;19156.655399999996;24453.283600000002;30821.6758;35261.60919999999;38479.64639999999;40974.10079999999;43306.8039;45333.0231;47111.0977;48644.927;49972.3208;51270.57979999999;52654.6217;53789.746399999996;54896.779200000004;56117.0227;57232.31649999999
01;01;03;02;8913909.589599999;8546769.6082;8180937.816600002;7848825.602700001;7512928.913000003;7170510.604800002;6821037.531800001;6505022.0189000005;6207815.353999998;5950221.2411;5762209.4514999995;5583887.2859;5420233.693300001;5279704.1487;5150200.364400001;5043138.583299999;4931094.162300001;4840934.5207;4762244.6579;4703109.151299999;4664265.373300001;4639641.363100001;4627299.267600001;4642713.9947;4695311.7491999995;4793607.073100001;5127040.163099999;5445296.6429;5737462.4070999995;6031962.0786;6332137.342700002;6636050.592600001;6903730.558800001;7150111.881699999;7350992.541499998;7487143.408299999;7606978.813500002;7694642.475900001;7740391.185299998;7764763.250400001;7756596.090800001;7751613.488800002
01;01;03;03;3679917.909;3527634.0742;3375780.5638;3224357.7281;3073363.1273999996;2922797.593399999;2772659.3268999998;2621056.1529;2470094.9566999995;2319773.6936;2170089.7697999994;2021040.6767;1872627.0020999997;1724845.0334999997;1577692.7581;1431166.1912999998;1285264.4902;1139986.9075;995332.9908000001;851298.9223;707881.4813;565081.966;422892.5408000001;281316.93789999996;140344.3981;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;151.0072;309.7971;378.3194;700.6369000000001;1044.0059999999999
01;01;03;04;6771768.216999999;7323424.323700001;7873206.561400001;8388707.167800004;8907429.604000002;9432112.476;9963290.175900003;1.0448214755900003E7;1.0913524304200005E7;1.1338411145299999E7;1.1692890394900003E7;1.20369000549E7;1.2365427822999999E7;1.2669927780700004E7;1.2962575385999996E7;1.3231904669E7;1.3505407322499998E7;1.3756222393499998E7;1.3994764264399998E7;1.42129337167E7;1.4409788230999999E7;1.4590348385399997E7;1.47578683369E7;1.4894375117599996E7;1.5001431287000004E7;1.5059421172699997E7;1.4690859384099998E7;1.4336544302500002E7;1.40106693353E7;1.36829877901E7;1.33503409309E7;1.3013983856999999E7;1.2714321139499998E7;1.2436629356800003E7;1.22050803082E7;1.2037939676599998E7;1.18870631375E7;1.1765856667800002E7;1.1686803619600002E7;1.1629008999300003E7;1.1602492111899998E7;1.15726458749E7
01;01;03;06;1032288.8184;989570.2296999998;946970.2068999999;904489.9577999999;862131.2300999999;819893.62;777777.3249999998;735250.0974999999;692900.0129;650730.6;608742.2076;566929.8872;525295.5062000001;483838.1423999999;442556.45269999997;401452.18;360523.77489999996;319770.5883;279194.8993;238791.1447;198797.0627;158929.62410000002;119174.321;79493.54060000001;39852.259099999996;275.5649;288.4686;388.9049;511.97999999999996;642.9402;783.2964;933.0413;1093.5756999999999;1263.5353;1442.0264;1676.3732;1926.2046;2285.2779;2700.6777;3159.8028000000004;3673.7735999999995;4266.053
01;01;04;01;0.0;1914.6814000000002;4370.8595;8686.8384;16721.3013;23434.460500000005;30553.388700000003;30553.3887;30553.3887;30553.388700000007;30553.388700000003;30553.388700000003;30553.388699999996;30553.388699999996;30553.3887;30553.3887;30553.388699999996;30553.388699999996;30553.3887;30553.388800000004;30553.388799999993;30553.388800000004;30553.3888;30553.388800000004;30553.388899999998;30553.388899999998;28638.707499999997;26182.5294;21866.5504;13832.087500000001;7118.9283000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;04;02;0.0;178452.35110000003;399944.0361;667007.9894999999;815126.2275000004;943671.9665000001;1047936.4026999997;1047936.4027999999;1047936.4028000004;1047936.4028999999;1047936.4030000002;1047936.4030999999;1047936.4030999999;1047936.4031000002;1047936.4030999998;1047936.4031000001;1047936.4033000002;1047936.4034;1047936.4034000001;1047936.4034000001;1047936.4034000001;1047936.4033999998;1047936.4034000003;1047936.4033999996;1047936.4034000002;1047936.4033999996;1171027.0649999995;1249433.7448999998;1279072.1712000002;1429791.2972;1603474.4324999999;1801822.3291000007;1801822.3291;1801822.3291000002;1801822.3291;1801822.3291;1801822.3291000002;1801822.3290999997;1801822.3291000002;1801822.3291000002;1801822.3290999997;1801822.3291999998
01;01;04;03;0.0;0.0;0.0;0.0;0.0;0.0;12224.8643;12224.864300000003;12224.864300000003;12224.864300000001;12224.864299999997;12224.8643;12224.864299999996;12224.864300000001;12224.864300000001;12224.864300000001;12224.8643;12224.864300000001;12224.864300000001;12224.864300000003;12224.864299999997;12224.8643;12224.8643;12224.8643;12224.864399999999;12224.864400000002;12224.864400000002;12224.8644;12224.864399999999;12224.8644;12224.864400000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;04;04;0.0;415549.93970000005;797463.6248999999;1140587.6270999997;1603074.2258000006;2099487.4597000005;2617397.9124000007;2617397.9126000004;2617397.9127;2617397.9126999998;2617397.9128000005;2617397.9129999992;2617397.9132000008;2617397.9132;2617397.9132;2617397.913200001;2617397.913300001;2617397.9134;2617397.9135;2617397.913600001;2617397.913699999;2617397.9136999995;2617397.913700001;2617397.9137999997;2617397.9138999996;2617397.9139;2500095.8711;2427065.8118000007;2405161.3902999996;2271050.755200001;2109067.3569999994;1934804.9840999998;1934804.9841;1934804.9840999995;1934804.9841000002;1934804.9842000005;1934804.9841999996;1934804.9842000003;1934804.9842;1934804.9841999996;1934804.9842;1934804.9842
01;01;04;06;0.0;3873.9356;6794.3766;10212.4157;18786.4597;23773.0371;28514.766300000007;28514.7664;28514.766399999997;28514.766399999993;28514.7664;28514.766399999997;28514.766500000005;28514.766499999998;28514.7665;28514.766499999998;28514.7665;28514.766499999998;28514.7665;28514.766499999998;28514.766499999998;28514.766499999998;28514.7665;28514.766499999998;28514.766499999998;28514.7665;24640.8309;21720.389799999997;18302.3507;9728.3066;4741.729200000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
