branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;1.0;8412635.699;8400521.026;8388423.511;8376344.155;8364280.948000001;8352236.899;8340209.999;8322194.3719999995;8304218.097000001;8286281.154;8268382.552999999;8250523.3040000005;8232701.396000001;8214919.82;8197175.585;8179469.681;8161802.119;8144172.887000001;8126581.987;8109026.736;8091510.522;8074030.076;8056584.25;8039178.044;8021810.8;8004484.254999999;7987194.041;7969941.157000001;7952725.5940000005;7935547.359999999;7918406.4569999995;7901301.882999999;7884235.629;7867204.705999999;7850211.101000001;7833254.817000001;7816334.862000001;7799452.227;7782605.910999999;7765795.925;7749022.247;7732283.887999999
01;01;01;01;Cuisson;Cuisson;1.0;3500591.331;3349692.671;3205298.107;3067128.242;2934914.2599999993;2808399.549;2687338.785;2569561.7100000004;2456946.98;2349267.7199999997;2246306.534;2147858.193;2053724.747;1963716.904;1877653.852;1795362.5289999999;1716677.735;1641441.333;1569502.4309999999;1500716.0170000002;1434944.6039999998;1372055.404;1311921.588;1254423.929;1199445.857;1146878.2699999998;1096614.2799999998;1048553.392;1002598.7490000001;958658.225;916643.4269999999;876470.0920000002;838057.385;801328.1020000002;766208.6599999999;732628.408;700519.715;669818.1760000001;640462.205;612392.7394;585553.6359;559890.7714999999
01;01;01;02;Autre;Autre;2.58;2.08005643E8;2.077061604E8;2.0740702170000002E8;2.0710831720000002E8;2.068100769E8;2.0651226970000002E8;2.062149064E8;2.057694672E8;2.053250464E8;2.048815541E8;2.044389701E8;2.0399741470000002E8;2.035567776E8;2.031171589E8;2.026784487E8;2.022406468E8;2.018037633E8;2.013679083E8;2.009329515E8;2.004988814E8;2.000657262E8;1.996335457E8;1.992022055E8;1.987718107E8;1.9834234920000002E8;1.9791387020000002E8;1.974863994E8;1.9705984689999998E8;1.9663419279999998E8;1.96209446E8;1.957855976E8;1.9536265739999998E8;1.949406357E8;1.9451950120000002E8;1.940993751E8;1.936801472E8;1.932618176E8;1.928444063E8;1.924278722E8;1.920122565E8;1.915975279E8;1.911836977E8
01;01;01;02;Bureautique;Electricité Spécifique;2.58;3.206753307E8;3.2342025529999995E8;3.261886975E8;3.289809187E8;3.3179699129999995E8;3.3463719620000005E8;3.375016856E8;3.401476776E8;3.428144832E8;3.455021227E8;3.4821088759999996E8;3.509409202E8;3.53692272E8;3.564652035E8;3.592598571E8;3.620764142E8;3.649151162E8;3.6777602459999996E8;3.706594007E8;3.735653291E8;3.764940593E8;3.794456444E8;3.786258475E8;3.7780788909999996E8;3.769916672E8;3.761773747E8;3.753647578E8;3.745539362E8;3.7374488990000004E8;3.729376293E8;3.7213204390000004E8;3.7132825409999996E8;3.705261296E8;3.697257805E8;3.689272068E8;3.6813029840000004E8;3.673350854E8;3.665416268E8;3.657499434E8;3.649599255E8;3.6417158279999995E8;3.633849945E8
01;01;01;02;Cuisson;Cuisson;2.58;2.135047235E7;2.1979454970000003E7;2.2579091669999998E7;2.3150655749999996E7;2.3695360889999997E7;2.421436034E7;2.4708765799999997E7;2.516185371E7;2.5591767229999997E7;2.5999529339999996E7;2.638611472E7;2.675246353E7;2.7099464650000002E7;2.742797263E7;2.7738808740000002E7;2.8032753880000003E7;2.831055752E7;2.857293509E7;2.8820566610000003E7;2.9054101770000003E7;2.927416751E7;2.9481352599999998E7;2.967623655E7;2.9859372720000003E7;3.0031274049999997E7;3.0192454689999998E7;3.034338295E7;3.04845107E7;3.0616271929999996E7;3.0739096209999997E7;3.085336515E7;3.09594771E7;3.10577832E7;3.1148639619999997E7;3.1232378209999997E7;3.1309312880000003E7;3.1379757209999997E7;3.144399682E7;3.150231522E7;3.15549687E7;3.160222548E7;3.164431379E7
01;01;01;02;Froid_alimentaire;Electricité Spécifique;2.58;5720154.539;5673783.2659;5627787.4636;5582164.84;5536911.7529;5492025.729200001;5447503.8444;5399420.347800001;5351761.5636;5304523.1197;5257701.9298;5211293.7948;5165295.3542;5119702.966700001;5074512.9574;5029721.7351;4985326.1765;4941322.617000001;4897706.8629;4854475.6548999995;4811626.2959;4769154.2439;4758849.3986;4748568.0252;4738309.322000001;4728074.5791;4717861.9311;4707671.3516;4697502.783;4687356.176899999;4677231.4852;4667128.6642;4657047.6677;4646988.446;4636950.9521;4626935.135;4616940.957900001;4606968.3663;4597017.3176;4587087.7601;4577179.6543;4567292.9426
01;01;01;02;Process;Electricité Spécifique;2.58;4593456.563;4586841.209000001;4580236.139;4573640.153999999;4567054.252;4560477.635;4553910.101;4544073.526999999;4534258.147;4524463.648999999;4514690.436000001;4504939.016;4495208.680000001;4485499.327;4475810.958;4466143.571;4456497.167;4446870.645;4437265.006;4427679.429;4418115.019;4408570.5770000005;4399045.6280000005;4389541.322;4380058.347;4370597.795;4361157.024;4351737.035;4342337.826999999;4332958.399999999;4323599.755;4314260.782;4304942.589000001;4295643.969;4286365.028;4277105.867;4267867.378;4258648.47;4249450.141;4240271.583;4231112.494000001;4221972.985
01;01;01;03;Cuisson;Cuisson;1.0;762516.7215;729647.1199999999;698194.5266999999;668097.6846;639298.2276;611740.2420000001;585370.1852;559715.3482;535184.9299999999;511729.5559;489302.0905;467857.63550000003;447352.9522;427746.93600000005;409000.19009999995;391075.07130000007;373935.6132;357547.23179999995;341877.1756;326893.6968;312566.9951;298868.1837;285769.5971;273245.1114;261269.64589999997;249819.0478;238870.2667;228401.357;218391.26550000004;208819.953;199668.06000000003;190917.22509999995;182549.9434;174549.38559999998;166899.5208;159584.84309999997;152590.753;145903.22670000003;139508.7655;133394.54640000002;127548.29079999999;121958.29490000001
01;01;01;04;Autre;Autre;1.0;476274.74689999997;475588.87630000006;474904.075;474220.142;473537.2682;472855.3638;472174.40760000004;471154.54170000006;470136.8559;469121.36020000005;468108.05470000004;467096.9292;466087.99370000005;465081.2383;464076.67300000007;463074.2777;462074.0714;461076.0552;460080.09790000005;459086.2203;458094.56509999995;457104.8808;456117.2335;455131.8531;454148.5707;453167.63129999995;452188.76170000003;451212.051;450237.41020000004;449264.83820000006;448294.41519999993;447326.07110000006;446359.8868;445395.7413;444433.6646;443473.6469;442515.788;441559.97779999994;440606.22630000004;439654.5237;438704.8799;437757.2747
01;01;01;04;Cuisson;Cuisson;1.0;1.157032846E7;1.1071569767E7;1.0594314029E7;1.0137627435E7;9700627.348000001;9282462.547;8882328.404;8493046.199000001;8120825.277;7764916.7360000005;7424606.174000001;7099210.435;6788076.467999999;6490578.186000001;6206118.431000001;5934124.500000001;5674051.811999999;5425377.106;5187600.523;4960244.087;4742853.029999999;4534987.845;4336231.552999999;4146187.015;3964471.835;3790722.2280000006;3624587.8020000006;3465734.233;3313842.1;3168607.737;3029737.775;2896954.677;2769990.804;2648590.7449999996;2532512.2630000003;2421520.937;2315392.94;2213917.327;2116888.2440000004;2024112.71;1935402.532;1850580.076
