COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.00119999
01;2009;01;02;30278728.644100007
01;2009;02;01;17101159.395999998
01;2009;02;02;22166337.714800004
01;2009;03;01;42865112.447999984
01;2009;03;02;69373982.77640003
01;2010;01;01;22023525.434700012
01;2010;01;02;30025422.6404
01;2010;02;01;17236486.128900006
01;2010;02;02;21974465.785299998
01;2010;03;01;43217455.01929998
01;2010;03;02;68860015.90800002
01;2010;04;01;1541398.5110000009
01;2010;04;02;1804326.0071999996
01;2011;01;01;22201576.749500003
01;2011;01;02;29772420.840600014
01;2011;02;01;17371774.805200007
01;2011;02;02;21782713.33860002
01;2011;03;01;43570346.275399975
01;2011;03;02;68345720.28879997
01;2011;04;01;3123946.326300001
01;2011;04;02;3617656.1615
01;2012;01;01;22379428.0005
01;2012;01;02;29519727.03469999
01;2012;02;01;17507020.8307
01;2012;02;02;21591084.850300003
01;2012;03;01;43923738.73560002
01;2012;03;02;67831150.48009998
01;2012;04;01;4748116.355800003
01;2012;04;02;5440348.598899997
01;2013;01;01;22557075.297300003
01;2013;01;02;29267344.954399996
01;2013;02;01;17642164.31469999
01;2013;02;02;21399640.095900018
01;2013;03;01;44277680.03830004
01;2013;03;02;67316262.91310002
01;2013;04;01;6414391.140199997
01;2013;04;02;7272764.959799999
01;2014;01;01;22734348.65179999
01;2014;01;02;29015444.43669999
01;2014;02;01;17777256.861199997
01;2014;02;02;21208327.349900007
01;2014;03;01;44632131.34320001
01;2014;03;02;66801091.9131
01;2014;04;01;8123263.7047000015
01;2014;04;02;9115271.299799992
01;2015;01;01;22911408.472499996
01;2015;01;02;28763864.915499996
01;2015;02;01;17912294.059700005
01;2015;02;02;21017150.912700005
01;2015;03;01;44987122.41730002
01;2015;03;02;66285616.13400002
01;2015;04;01;9875236.713799998
01;2015;04;02;10968237.011299998
01;2016;01;01;23071593.103699993
01;2016;01;02;28492061.69450002
01;2016;02;01;18034258.78220001
01;2016;02;02;20811098.588599995
01;2016;03;01;45309734.48679997
01;2016;03;02;65722631.186999984
01;2016;04;01;9984919.084099991
01;2016;04;02;10858554.642800007
01;2016;05;01;1137433.0612999992
01;2016;05;02;1063512.0981000008
01;2017;01;01;23231107.79019998
01;2017;01;02;28221169.512399998
01;2017;02;01;18155955.29110001
01;2017;02;02;20605496.108000007
01;2017;03;01;45632297.10860001
01;2017;03;02;65160201.724899985
01;2017;04;01;10093504.630299995
01;2017;04;02;10749969.097799996
01;2017;05;01;2294514.333199999
01;2017;05;02;2124816.4101999993
01;2018;01;01;23390160.608300004
01;2018;01;02;27950979.77690002
01;2018;02;01;18277399.0986
01;2018;02;02;20400327.564299997
01;2018;03;01;45954642.73499996
01;2018;03;02;64598507.41229996
01;2018;04;01;10201004.321000002
01;2018;04;02;10642469.408499999
01;2018;05;01;3471315.6599999988
01;2018;05;02;3184022.832999999
01;2019;01;01;23548750.475199997
01;2019;01;02;27681493.04760003
01;2019;02;01;18398586.39269999
01;2019;02;02;20195596.3816
01;2019;03;01;46276841.76289999
01;2019;03;02;64037476.222899936
01;2019;04;01;10307429.016299998
01;2019;04;02;10536044.714699995
01;2019;05;01;4667910.806400002
01;2019;05;02;4241240.929099999
01;2020;01;01;23706874.704599988
01;2020;01;02;27412711.4929
01;2020;02;01;18519513.434199993
01;2020;02;02;19991305.90469998
01;2020;03;01;46598683.98870002
01;2020;03;02;63477315.07089999
01;2020;04;01;10412789.464599995
01;2020;04;02;10430684.268799996
01;2020;05;01;5884375.617600004
01;2020;05;02;5296580.094399998
01;2021;01;01;23760099.223000016
01;2021;01;02;27249068.669400007
01;2021;02;01;18559843.750399992
01;2021;02;02;19867792.218900003
01;2021;03;01;46709131.342199974
01;2021;03;02;63129052.1216
01;2021;04;01;10464942.886999996
01;2021;04;02;10378530.847499998
01;2021;05;01;5910858.520299998
01;2021;05;02;5270097.1926
01;2021;06;01;1279226.3566999992
01;2021;06;02;1009776.1871000001
01;2022;01;01;23813662.720100004
01;2022;01;02;27085325.3673
01;2022;02;01;18600484.217400003
01;2022;02;02;19744148.058300003
01;2022;03;01;46820596.94629998
01;2022;03;02;62780268.202999994
01;2022;04;01;10516835.541599993
01;2022;04;02;10326638.194100004
01;2022;05;01;5937209.007300002
01;2022;05;02;5243746.706100001
01;2022;06;01;2573756.0745000006
01;2022;06;02;2022598.0178
01;2023;01;01;23867559.854300007
01;2023;01;02;26921486.419899996
01;2023;02;01;18641429.311000016
01;2023;02;02;19620378.560000002
01;2023;03;01;46932956.77700001
01;2023;03;02;62431083.61630003
01;2023;04;01;10568468.732700009
01;2023;04;02;10275005.0042
01;2023;05;01;5963427.742800005
01;2023;05;02;5217527.971600001
01;2023;06;01;3883710.618200001
01;2023;06;02;3038534.1245999997
01;2024;01;01;23921765.867299996
01;2024;01;02;26757576.0664
01;2024;02;01;18682673.472499996
01;2024;02;02;19496488.8914
01;2024;03;01;47046267.07509998
01;2024;03;02;62081458.677699946
01;2024;04;01;10619843.756699998
01;2024;04;02;10223629.980499998
01;2024;05;01;5989515.3833
01;2024;05;02;5191440.331500004
01;2024;06;01;5209213.044399998
01;2024;06;02;4057653.7826000024
01;2025;01;01;23976289.442799985
01;2025;01;02;26593583.743200008
01;2025;02;01;18724211.1789
01;2025;02;02;19372484.197300006
01;2025;03;01;47160282.507199995
01;2025;03;02;61731634.75530002
01;2025;04;01;10670961.908999998
01;2025;04;02;10172511.8299
01;2025;05;01;6015472.5869
01;2025;05;02;5165483.128599999
01;2025;06;01;6550387.810299999
01;2025;06;02;5080026.746199998
01;2026;01;01;24031125.019399997
01;2026;01;02;26429516.36979999
01;2026;02;01;18766036.98610001
01;2026;02;02;19248368.6248
01;2026;03;01;47275265.88669997
01;2026;03;02;61381333.78319997
01;2026;04;01;10721824.467200002
01;2026;04;02;10121649.272399997
01;2026;05;01;6041300.0042
01;2026;05;02;5139655.712299999
01;2026;06;01;7907360.615900006
01;2026;06;02;6105723.136699999
