branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;263072.6947;251748.2911;240455.95769999997;229195.6225;217967.21929999997;206770.6793;195464.89359999998;184206.9835;172996.7967;161834.17849999998;150718.9748;139651.035;128630.20460000001;117675.7636;106788.7869;95951.103;85162.3941;74422.75690000001;63731.7823;53088.8716;42587.294799999996;41881.5856;43810.1032;46500.2066;49893.5508;68442.9183;87920.25560000002;108168.3739;129158.45319999999;151072.01499999998;173706.46470000004;196742.2729;221128.8948;245774.27360000001;271264.6965;296857.9658;322476.72060000006;348318.1164;374467.3332;400245.5236;425507.7316
01;01;01;02;3091525.3322;3112179.2686;3153991.5442000004;3222860.909;3261480.1152999997;3246928.4244000004;3212558.7198;3187649.4708000002;3162214.8547;3135648.495;3121087.4107;3110851.6561;3111286.7184000006;3115733.5891;3124176.3686999995;3137986.9330999996;3158409.0567999994;3187439.2987;3238846.2926000003;3358055.5311000003;3489565.5511;3635196.1187000005;3776444.5873999996;3915453.0897;4056521.4752999996;4199561.5862;4305301.036499999;4394998.7511;4461979.7264;4560420.9851;4712091.823799999;4886143.3013;5050441.804199999;5215333.3854;5382082.258100001;5537982.0699;5690422.828;5833150.990800001;5972521.7599;6108184.956800001;6239947.4427000005;6365671.5770000005
01;01;01;03;1317058.389;1262555.3521;1208206.5486;1154011.6570000001;1099970.3350000002;1046082.2621;992347.1083;938087.6568;884057.9727;830257.324;776684.9702999999;723340.1730000001;670222.206;617330.3306;564663.8239;512221.957;460004.00580000004;408009.2476;356236.9523;304686.42710000003;253356.9112;202247.7272;151358.1537;100687.4846;50234.9985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;3620653.141;3670474.5311;3698920.7009;3700093.3654;3731300.2657999997;3815462.6046;3919227.9739;4008126.2112;4097240.114;4187177.0878000003;4264801.1541;4337793.2969;4399809.049699999;4457508.4588;4510889.007900001;4558578.62;4599352.5595;4631215.445;4640398.554699999;4581477.1021;4509955.6605;4423920.9082;4332220.152;4239878.2366;4144465.1058;4044821.8912;3901317.6467;3772886.6399000003;3665173.2834000005;3523762.2888;3327505.6788;3107351.4595999997;2896200.0165;2682753.3697999995;2466872.3238999997;2260511.6730000004;2056840.7735;1862329.7451;1670450.7049999998;1481611.3016000001;1296372.9124;1117591.8460000001
01;01;01;06;414923.19060000003;397752.6732;380630.7453;363557.3051;346532.2452;329555.4648;312626.85970000003;295533.0808;278511.6872;261562.4488;244685.1316;227879.50369999997;211145.3351;194482.3942;177890.4536;161369.28280000002;144918.65270000004;128538.33890000002;112228.1102;95987.7464;79816.4509;63712.9141;47679.032600000006;31715.308999999997;15822.237600000002;1309.7426;2606.6979;3982.8898;6626.004;10803.0617;15711.128200000001;21453.6342;27583.270099999998;34102.411100000005;40978.0407;48375.323;56477.022800000006;65143.845799999996;74351.2262;83956.4308;94269.9939;104718.1103
01;01;02;01;164852.8561;158030.8494;151228.1475;144444.71060000002;137680.4957;130935.46230000001;124209.5697;117418.0517;110655.29329999999;103921.20240000001;97215.6869;90538.6542;83890.013;77269.6711;70677.5381;64113.522600000004;57588.0753;51091.1376;44632.8481;38203.419200000004;31802.894699999997;25917.0888;23974.5315;23564.2216;23561.4829;24225.3064;34291.6083;44810.6328;56164.210300000006;67786.5997;79674.0865;91947.007;105317.56430000001;119201.76239999999;134103.0142;149127.394;164145.33229999998;179083.24630000003;194335.76640000002;209716.16869999998;224959.0713;240057.1365
01;01;02;02;2704966.9641;2706180.7475;2721998.1858;2756364.0053000003;2770527.5638;2764225.8215999994;2751811.4411000004;2742553.0321;2733628.2252;2727002.4694;2720766.9283;2722539.3454;2725126.0873;2734852.4221;2747185.817;2762078.5525;2780075.9553;2802375.2687;2841454.7543;2890274.7482000003;2992745.602;3104157.3414999996;3215294.9861;3327508.1642999994;3441690.8089000005;3557305.5354000004;3657888.5829;3747329.2237;3821690.7964;3917288.9997999994;4034226.7133000004;4159070.3663000003;4279345.1878;4399747.0508;4517766.865900001;4635848.2703;4746911.29;4858069.444599999;4962445.1323;5065634.7197;5166434.5671;5264145.2085
01;01;02;03;998485.8363;957166.0961000001;915963.2830999999;874877.1535;833907.4477;793053.9228000001;752316.3289;711181.2551;670220.3722;629433.1257;588818.9533;548377.2937;508107.59959999996;468009.3073000001;428081.8749;388324.7456;348737.36950000003;309319.201;270069.6895;230988.30229999998;192074.46370000002;153327.66710000002;114747.3585;76333.0075;38084.0649;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;02;04;2774366.834;2822635.2572;2856146.1597;2870955.1445;2905813.2073;2960983.7162;3022114.3482;3075738.5978;3128810.649;3179365.7831;3229313.5745;3271037.0188;3311730.4698;3345069.3987000003;3375587.0540000005;3403331.8855;3427748.7489;3447651.0841999995;3450551.1263;3443498.9368000003;3382584.2146;3312031.2741;3237627.9349;3160435.8248;3080686.9007;2998660.4957;2873797.9365999997;2759245.5711;2658954.3756;2536158.0155;2391042.0458;2237456.5587;2087283.9922;1936369.3450999998;1786736.4196000001;1636674.1685;1493507.3605999998;1350182.1856;1213210.3774;1077147.4531;943504.4505;812978.1824
01;01;02;06;273040.8814;261741.79439999998;250474.68180000002;239239.4768;228036.1085;216864.51069999998;205724.6148;194476.0257;183275.07;172121.5958;161015.4498;149956.4786;138944.532;127979.4572;117061.1036;106189.3194;95363.9553;84584.8627;73851.8896;63164.8909;52523.023;41926.051199999994;31374.3392;20869.9683;10412.062;0.0;0.0;410.181;834.3574;2288.8145;4488.7751;6897.3241;9394.516;12023.4113;14765.8163;17782.9949;20959.6648;24309.6372;27804.0811;31477.777199999997;35288.6398;39246.5958
01;01;03;01;472847.2787;453279.72349999996;433767.54089999996;414310.61530000006;394908.8239;375562.0515;356270.1805;336790.0775;317392.4645;298077.0791;278843.6565;259706.73349999997;240652.10749999998;221785.1693;203114.89130000002;184549.3029;166079.8455;147705.0612;142785.1696;138177.2319;133289.96480000002;144785.3839;154250.79200000002;166721.2083;175794.4916;182402.8162;204433.7107;222378.06180000002;237580.4449;250522.8836;262138.8838;272364.5169;281344.2654;289542.71290000004;296473.6115;303212.7057;310485.1582;318061.5869;325251.97959999996;331946.3925;337883.331;343223.9307
01;01;03;02;8913909.5896;8546769.6082;8180937.8166000005;7848825.602700001;7512928.913000001;7170510.604799999;6821037.531800001;6507993.9142;6214156.7139;5982701.7303;5782575.2222;5603906.4714;5444789.960200001;5333011.2059;5275923.3232;5266375.0503;5307942.9252;5395571.949299999;5643602.561900001;5938572.5408;6270661.772399999;6625508.007599999;6991601.2467;7361818.025599999;7739221.196900001;8118722.4166;8828888.295699999;9546154.9637;1.0236437524500001E7;1.09325425783E7;1.1635442757800002E7;1.2345795440499999E7;1.30175608699E7;1.36710632854E7;1.4266251012600001E7;1.4830921664900001E7;1.53734748097E7;1.58959641818E7;1.6373579536999999E7;1.67995696943E7;1.71811045552E7;1.7514570707200002E7
01;01;03;03;3679917.909;3527634.0741999997;3375780.5637999997;3224357.7281;3073363.1274;2922797.5933999997;2772659.3268999998;2621056.1535000005;2470094.9568;2319773.6956;2170089.7311;2021041.1797999998;1872627.4679;1724845.4637;1577693.1528;1431166.5642;1285266.7840999998;1139990.7608;995336.3535;851301.7963;707883.8737000001;565082.0593999999;422889.3429;281309.9318;140334.0119;0.0;8.7805;8.7615;37.4417;70.0061;85.0356;118.5164;143.2509;147.7363;171.04070000000002;170.6714;170.3028;169.9348;169.5677;169.2014;168.8358;168.4711
01;01;03;04;6771768.217;7323424.3237000005;7873206.5614;8388707.1678;8907429.604;9432112.476;9963290.175900001;1.0445246502799999E7;1.0907188081500001E7;1.13059385789E7;1.16725569305E7;1.2016906192500003E7;1.23409002681E7;1.2616655520599999E7;1.28368126895E7;1.30086107971E7;1.31284980445E7;1.32015184343E7;1.30999840896E7;1.29504860346E7;1.27634535095E7;1.25365785259E7;1.22997655055E7;1.20550965634E7;1.18058894936E7;1.15528952462E7;1.07754724622E7;9995624.2432;9246126.1735;8492903.3492;7734060.323600001;6969215.7303;6244396.0951;5538822.3932;4893183.2358;4278309.5565;3685025.4054000005;3111235.4491999997;2582351.7328;2105362.0141000003;1673831.6254000003;1291129.5825999998
01;01;03;06;1032288.8183999999;989570.2297;946970.2069;904489.9578;862131.2300999999;819893.6199999999;777777.325;735250.0974000001;692900.0127000001;650730.5998000001;608742.2078000001;566930.2501000001;525295.2413;483839.5719;442556.81779999996;401453.4326;360526.72239999997;319774.0965;279197.3332;238793.50410000002;198557.9751;158496.0956;118635.3161;78961.11439999999;39479.8521;3713.0252000000005;6037.5519;7874.714300000001;9151.555400000001;10678.977700000001;12467.498599999999;14268.8413;15978.7608;17598.763000000003;18938.9108;20337.204200000007;21820.9627;23660.9962;25945.3176;28547.0959;30992.397800000002;33364.293699999995
01;01;04;01;0.0;1914.6814;4370.8595000000005;8686.8384;16721.3013;23434.460499999997;30553.388699999996;30553.388699999996;30553.3887;30553.388699999996;30553.3887;30553.388699999996;30553.3887;30553.3887;30553.388699999996;30553.3887;30553.3887;30553.3887;30553.388699999996;30553.3888;30553.3888;30553.388799999997;30553.3888;30553.3888;30553.388899999998;30553.388899999998;36581.0308;42370.7034;46291.948800000006;47719.5394;51897.0136;57298.394199999995;57298.394199999995;57298.3943;57298.3943;57298.3943;57298.3943;57298.3943;57298.3944;57298.394499999995;57298.394499999995;57298.3946
01;01;04;02;0.0;178452.35110000003;399944.0361;667007.9895;815126.2275;943671.9664999999;1047936.4027000001;1047936.4027999999;1047936.4028;1047936.4029000001;1047936.4029999999;1047936.4031;1047936.4030999999;1047936.4031;1047936.4030999999;1047936.4030999999;1047936.4033000001;1047936.4034;1047936.4034000001;1047936.4034;1047936.4033999997;1047936.4034;1047936.4034;1047936.4034000001;1047936.4034;1047936.4034;1398612.8411;1721830.9719999996;2017110.0455999996;2442159.6267;2896486.1382;3385136.8353999997;3385136.8353999997;3385136.8354;3385136.835600001;3385136.8356;3385136.8356000003;3385136.8356;3385136.8357;3385136.8357;3385136.8356999997;3385136.8357
