branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;1.0;8412635.699;8400521.026;8388423.511;8376344.155;8364280.948000001;8352236.899;8340209.999;8322194.3719999995;8304218.097000001;8286281.154;8268382.552999999;8250523.303;8232701.385000001;8214919.809;8197175.574;8179469.671;8161802.108;8144172.887000001;8126581.9969999995;8109026.798;8091507.87;8074026.032;8056580.875;8039174.139;8021807.274;8004480.728999999;7987190.524;7969937.6389999995;7952722.085000001;7935543.861;7918402.957;7901298.382999999;7884232.129;7867202.204;7850208.599;7833252.313;7816332.357;7799449.721;7782603.404;7765792.415000001;7749018.745999999;7732280.386
01;01;01;01;Cuisson;Cuisson;1.0;3500591.331;3349692.671;3205298.107;3067128.244;2934914.2609999995;2808399.45;2687338.7860000003;2569561.711;2456946.881;2349267.522;2246306.436;2147858.195;2053724.7480000001;1963716.9050000003;1877653.853;1795362.5299999998;1716677.737;1641441.334;1569502.4309999999;1500716.063;1434944.185;1372054.6350000002;1311920.976;1254423.154;1199445.233;1146877.654;1096613.769;1048552.987;1002598.349;958657.9290000001;916643.335;876469.9040000001;838057.101;801327.8200000002;766208.3819999999;732628.034;700519.3439999999;669818.008;640462.041;612392.6773;585553.6766;559890.9140000001
01;01;01;02;Autre;Autre;2.58;2.08005643E8;2.077061604E8;2.0740702170000002E8;2.0710831720000002E8;2.068100769E8;2.0651226970000002E8;2.062149064E8;2.057694672E8;2.053250464E8;2.048815541E8;2.044389701E8;2.0399741470000002E8;2.035567776E8;2.031171589E8;2.026784487E8;2.022406469E8;2.018037634E8;2.013679083E8;2.009329516E8;2.0049888229999998E8;2.0006567029999998E8;1.9963345979999998E8;1.992021317E8;1.987717139E8;1.983422623E8;1.979137933E8;1.974863225E8;1.9705976E8;1.9663410589999998E8;1.962093592E8;1.957855106E8;1.9536257060000002E8;1.949405487E8;1.9451941520000002E8;1.94099289E8;1.93680061E8;1.932617314E8;1.928443191E8;1.92427785E8;1.920121693E8;1.915974408E8;1.911836105E8
01;01;01;02;Bureautique;Electricité Spécifique;2.58;3.206753307E8;3.2342025529999995E8;3.261886975E8;3.289809187E8;3.3179699129999995E8;3.3463719620000005E8;3.375016856E8;3.401476776E8;3.428144832E8;3.455021227E8;3.4821088759999996E8;3.509409202E8;3.53692272E8;3.564652035E8;3.592598571E8;3.620764142E8;3.6491511609999996E8;3.677760244E8;3.7065940059999996E8;3.7356533109999996E8;3.764939582E8;3.794454945E8;3.786257116E8;3.778076981E8;3.769915031E8;3.761772006E8;3.753645936E8;3.74553772E8;3.737447268E8;3.72937466E8;3.721318807E8;3.713280807E8;3.705259662E8;3.697256171E8;3.689270433E8;3.68130135E8;3.673349209E8;3.665414522E8;3.657497788E8;3.6495975079999995E8;3.641714181E8;3.6338483079999995E8
01;01;01;02;Cuisson;Cuisson;2.58;2.135047235E7;2.206696849E7;2.275021711E7;2.340166075E7;2.402267141E7;2.461457153E7;2.5178619000000004E7;2.5697879790000003E7;2.619087882E7;2.6658770290000003E7;2.71026618E7;2.752362053E7;2.792265041E7;2.830072779E7;2.8658774679999996E7;2.89976779E7;2.9318287759999998E7;2.9621407380000003E7;2.990781048E7;3.01782294E7;3.043337609E7;3.067392561E7;3.090053617E7;3.111381487E7;3.1314372470000003E7;3.150276293E7;3.1679530070000004E7;3.184518745E7;3.2000233459999997E7;3.214512613E7;3.228032645E7;3.240627015E7;3.2523365810000002E7;3.2632004869999997E7;3.2732570599999998E7;3.2825423259999998E7;3.291090572E7;3.298934787E7;3.306107054E7;3.312637231E7;3.3185537630000003E7;3.323885603E7
01;01;01;02;Froid_alimentaire;Electricité Spécifique;2.58;5720154.539;5673783.2659;5627787.4636;5582164.84;5536911.7529;5492025.729200001;5447503.8444;5399420.347800001;5351761.5636;5304523.119699999;5257701.929599999;5211293.7935999995;5165295.3538;5119702.965799999;5074512.9575;5029721.7349;4985326.1767;4941322.6186999995;4897706.8649;4854475.685500001;4811625.0193;4769152.3343;4758847.6437;4748565.6076;4738307.2191;4728072.4771;4717859.849900001;4707669.271499999;4697500.699200001;4687354.096100001;4677229.412699999;4667126.5929000005;4657045.5984000005;4646986.3828;4636948.8909;4626933.0743;4616938.8942;4606966.303300001;4597015.258900001;4587085.708799999;4577177.606000001;4567290.8983
01;01;01;02;Process;Electricité Spécifique;2.58;4593456.563;4586841.209000001;4580236.139;4573640.153999999;4567054.252;4560477.635;4553910.101;4544073.526999999;4534258.147;4524463.648999999;4514690.436000001;4504939.016;4495208.6790000005;4485499.325999999;4475810.956;4466143.569;4456497.165000001;4446870.654;4437265.024999999;4427679.478999999;4418113.875;4408568.813999999;4399044.085000001;4389539.177999999;4380056.403000001;4370595.849;4361155.0770000005;4351735.086999999;4342335.879;4332956.4520000005;4323597.806;4314258.831;4304940.637999999;4295642.026;4286363.183999999;4277103.923;4267865.533;4258646.523;4249448.295;4240269.635;4231110.557;4221971.0479999995
01;01;01;03;Cuisson;Cuisson;1.0;762516.7215;729647.1199999999;698194.5266999999;668097.6846;639298.2276999999;611740.2421;585370.1853;559715.3482;535184.9199999999;511729.5459;489302.19049999997;467857.7355;447353.0521;427747.0359;409000.29;391075.1712;373935.70310000004;357547.42169999995;341877.2664;326893.7897;312567.0003;298868.05529999995;285769.4779;273244.9653999999;261269.5253;249818.9395;238870.16969999997;228401.28230000002;218391.18220000004;208819.87120000002;199667.97070000003;190917.14709999994;182549.86600000004;174549.31960000002;166899.36630000002;159584.7904;152590.7016;145903.1765;139508.71680000002;133394.4989;127548.2443;121958.2494
01;01;01;04;Autre;Autre;1.0;476274.74689999997;475588.87630000006;474904.075;474220.142;473537.2682;472855.3638;472174.40760000004;471154.54170000006;470136.8559;469121.36020000005;468108.05470000004;467096.9292;466087.99370000005;465081.2383;464076.67300000007;463074.2777;462074.0714;461076.0551;460080.09890000004;459086.2206;458094.4483;457104.71;456117.07159999997;455131.6182000001;454148.36970000004;453167.4310999999;452188.5716000001;451211.86079999997;450237.22000000003;449264.63810000004;448294.225;447325.88080000004;446359.68649999995;445395.541;444433.4742;443473.45629999996;442515.4873;441559.68700000003;440605.92559999996;439654.223;438704.57910000003;437756.9839
01;01;01;04;Cuisson;Cuisson;1.0;1.157032846E7;1.1071569767E7;1.0594314029E7;1.0137627434E7;9700627.347;9282462.546;8882328.401999999;8493046.197;8120826.274999999;7764916.734;7424606.172;7099210.432999999;6788075.466;6490577.183000001;6206117.329;5934123.398;5674050.709999999;5425376.005;5187599.422;4960243.083;4742850.717999999;4534985.014;4336228.942000001;4146183.835;3964468.918;3790719.353;3624585.069;3465731.6330000004;3313839.6429999997;3168605.313;3029735.485;2896952.3100000005;2769988.3710000003;2648588.436;2532509.9779999997;2421518.687;2315391.815;2213916.2260000003;2116887.268;2024111.759;1935401.597;1850579.268
