branche;occupation;periodeSimple;energieUsage;usage;usageSimple;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;01;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Bureautique;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Froid_alimentaire;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Process;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;03;Cuisson;Cuisson;2.0664203152649996E8;1.9773436951999998E8;1.8921071673569998E8;1.810544725266E8;1.7324981970670003E8;1.657816056091E8;1.586353202163E8;1.5168285936219996E8;1.4503511332E8;1.3867870693890002E8;1.326008936255E8;1.2678944632049999E8;1.212326771191E8;1.159194467289E8;1.1083907859E8;1.059813713952E8;1.013365755401E8;9.689535128069998E7;9.264873922150001E7;8.85882233772E7;8.4705679764E7;8.099327970680001E7;7.744356273820001E7;7.40494320186E7;7.08040866133E7;6.77009742843E7;6.47338541184E7;6.18967823268E7;5.918404693410001E7;5.65902210027E7;5.411005528970001E7;5.1738581416600004E7;4.9471045094900005E7;4.7302893632999994E7;4.5229780001200005E7;4.3247502100600004E7;4.13521034667E7;3.95397836768E7;3.7806881900299996E7;3.61499283074E7;3.4565592768800005E7;3.3050690140199997E7
01;01;01;04;Autre;Autre;9.76363231145E7;9.749571964149998E7;9.735533537499999E7;9.721512911000003E7;9.7075139981E7;9.693534957900001E7;9.679575355800001E7;9.658668104849999E7;9.63780554595E7;9.6169878841E7;9.59621512135E7;9.5754870486E7;9.554803870850001E7;9.534165385149999E7;9.5135717965E7;9.49302269285E7;9.4725184637E7;9.452059129549998E7;9.43164202745E7;9.41126830335E7;9.3909385579E7;9.37065050125E7;9.350404141600001E7;9.3302039664E7;9.3100477022E7;9.289938237449999E7;9.26987161565E7;9.249849048349999E7;9.22986889145E7;9.209930964549999E7;9.190037498050001E7;9.170186441950001E7;9.150379438300002E7;9.1306146585E7;9.11089209025E7;9.091213754849999E7;9.071577645350002E7;9.05198353625E7;9.03243163255E7;9.01292172925E7;8.993453826349999E7;8.974028126799999E7
01;01;01;04;Cuisson;Cuisson;2.3719173342999997E9;2.269671802235E9;2.1718343759449997E9;2.0782136239699998E9;1.988628606135E9;1.90290482193E9;1.8208773224099998E9;1.7410744703850002E9;1.6647693863750002E9;1.59180793047E9;1.52204426526E9;1.4553381387649999E9;1.39155547053E9;1.330568322515E9;1.27225405265E9;1.2164952965900002E9;1.163180395755E9;1.11220208123E9;1.0634578817149999E9;1.01684991955E9;9.7228463868E8;9.29672304865E8;8.889273039549999E8;8.4996820667E8;8.127166689800001E8;7.7709797515E8;7.43040415975E8;7.104754304350001E8;6.7933754153E8;6.495644930149999E8;6.210961487549999E8;5.93875589065E8;5.67847993255E8;5.4296099756E8;5.191649272E8;4.9641170332E8;4.7465566709000003E8;4.5385316416999996E8;4.33962220605E8;4.1494321358500004E8;3.9675762525E8;3.7936904247499996E8
