branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.672917473E7;2.5575103029999997E7;2.442463369E7;2.3277753939999998E7;2.21344356131E7;2.09946775672E7;1.98433295546E7;1.8704305320100002E7;1.75777792167E7;1.6458823004999999E7;1.53463307257E7;1.4240923744799998E7;1.3140297656200001E7;1.2053634964400003E7;1.0967263536300002E7;9883009.486800002;8803417.119;7732489.851600002;6668565.681899998;5616921.408799999;4580265.351399999;3557107.171;2693864.4048;1834786.9741;1019260.9603;1191330.6266;1349303.9076;1491250.1348;1599746.8795000003;1687753.8197999997;1747962.0871000001;1801784.0332000002;1791436.2643000002;1752365.2874000003;1717594.2274;1687740.2661000001;1655049.0996;1626101.5408;1587432.7947;1547539.9727;1511494.1326
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;1951195.9708999998;1869016.2602000001;1786836.5473999996;1704656.8317;1622477.8158;1540298.4960000003;1453882.2161;1367469.1350999998;1281059.9588999997;1194653.0923;1108260.5406;1018491.7045;928748.2117999999;839074.0188999999;749422.5774000001;714502.9104;679701.3608;644202.8311000001;608950.8164;573817.0217;538743.9192;507283.02170000004;475978.4581;444912.4556;414127.5595999999;383558.3161;356500.02;329586.41949999996;302818.919;276361.1463;266498.3866999999;256736.4607;247302.22340000002;238092.96829999998;229611.38889999996;221559.1103;214718.43750000003;208356.84859999997;202375.8573;196370.7537;189447.3703
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.747;1482903.8104000003;1419031.8548;1355344.4327999998;1291841.0728999998;1228521.3328999998;1165384.7581;1101614.4939;1038094.0359;974820.1721;911784.695;849014.3067000001;786356.0429;723895.554;661672.1743999999;599633.8047999999;537849.1118000001;476241.2087;415038.0138999999;354223.5652;293576.8589;233659.81470000005;174384.7621;115946.81559999997;57791.560900000004;74.4346;217.7273;346.3052;678.7039;934.8855000000001;1112.3384;1239.2171;1236.5407;1233.8692;1231.2035;1228.5445;1225.8903;1223.2428;1220.6001;1217.9646;1215.3332;1212.7076
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.3548709808500003E7;1.3750131235100003E7;1.3970053290199999E7;1.42929222994E7;1.4709303679100003E7;1.52310382221E7;1.58224258807E7;1.6414134388700001E7;1.6955736572100002E7;1.75113919103E7;1.80710471545E7;1.86280188004E7;1.91632583534E7;1.9655643718000006E7;2.0132122679599993E7;2.05711373331E7;2.0937900790100005E7;2.12720688578E7;2.1556814311000004E7;2.1791982271299995E7;2.1984823388499998E7;2.2147488218100004E7;2.22872666065E7;2.24133128494E7;2.25340410638E7;2.23696025026E7;2.2207490398E7;2.2038910839999996E7;2.1791305389700003E7;2.14738962433E7;2.10913458851E7;2.06531128052E7;2.02085044528E7;1.9771626446999997E7;1.93203528068E7;1.886227396539999E7;1.8411951648800004E7;1.7980792321100004E7;1.7575067697100002E7;1.7181977757500004E7;1.6844633229299996E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5768349.973699999;5516503.965499999;5265712.315;5015967.0398;4767260.3541;4519584.5261;4269751.3464;4021274.699500001;3773845.2125999993;3527662.5952;3282300.8003000002;3038978.4746999997;2796750.5684;2555159.5564000006;2314559.3458000002;2075139.5995;1837103.2442;1600868.0010000004;1366169.5610000002;1133220.1656;902225.4505999999;673176.833;445885.0134999999;220475.1766;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1585039.4005999998;1516695.0396000003;1448555.1886;1380619.2111000002;1312886.5015999998;1245356.4468000003;1177375.0535;1110252.9907;1057599.6114999999;1006491.6211;956832.2239;911430.5279999999;875720.4347999999;851319.1037000001;830749.8454;814897.6141;812671.3178000002;812682.9159;818853.4985;828446.8438;840796.816;851732.6322;861057.6353000001;869542.3625999999;874932.4636999998;926249.2452000001;975465.0405000001;1023066.3301;1070571.2975000003;1120941.7705;1173767.7161;1230777.1396000003;1288292.4417000003;1342679.0623;1395538.0037;1446667.8017000002;1492196.3573;1528483.9001;1555754.6290999998;1578337.3873;1596113.1174999997
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;962058.959;920520.9778;879112.6397000002;837833.4565;796682.4642999999;755659.5447999999;714219.5724000003;673226.7494999999;632687.7769000002;592422.0218;552389.3785000001;512614.0059;473012.18549999996;433917.94289999997;394835.85789999994;355851.6330999999;317058.55630000005;278580.27939999994;240357.1337;202577.8505;165339.04559999998;128580.28150000001;97584.95199999999;66751.15610000001;37445.903300000005;43720.193199999994;49490.295600000005;54687.9785;58673.505;61893.6912;64067.79849999999;66011.6735;65622.8293;64192.518299999996;62922.5135;61833.706300000005;60630.4112;59571.6911;58160.7862;56705.0085;55371.3011
01;01;01;02;Chauffage;Chauffage;2.58;1.3977260778E8;1.4384039682000005E8;1.4786568739999998E8;1.5149512401999998E8;1.530982362764E8;1.5287852459140003E8;1.5064740492139998E8;1.4670141911459997E8;1.426613972154E8;1.387826940051E8;1.344967661575E8;1.299403497067E8;1.2523531803530003E8;1.2024279190289998E8;1.15277579364E8;1.1019639231469999E8;1.0499217993180002E8;9.99196331966E7;9.470036391229999E7;8.965411676959999E7;8.493365996790001E7;8.05031001385E7;7.64024746216E7;7.24630242112E7;6.85875183513E7;6.4675094209100015E7;5.886971682709999E7;5.3315846142799996E7;4.822483443699999E7;4.47744018187E7;4.272741207610001E7;4.19636154165E7;4.219635705250001E7;4.26046050821E7;4.317227580049999E7;4.39444562387E7;4.48354737565E7;4.572337632090001E7;4.6470494629399985E7;4.7045493605100006E7;4.7529791034E7;4.7932536721099995E7
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.437296083572E8;1.4318325776610002E8;1.4264543728E8;1.42116339129E8;1.407570622637E8;1.394039747992E8;1.3805724481410003E8;1.367170515974E8;1.353835701859E8;1.3328421824499999E8;1.311862533711E8;1.2908968646400002E8;1.2699451799389999E8;1.257341883436E8;1.2447423378559999E8;1.2321448674990001E8;1.2195492898830001E8;1.2069554148519999E8;1.194363049587E8;1.18245606232E8;1.1705402321149999E8;1.158615317596E8;1.1466810657130001E8;1.1347372221380001E8;1.129311492777E8;1.123884777856E8;1.118457066397E8;1.113028351698E8;1.1074101148009999E8;1.096913362145E8;1.086405575246E8;1.075886494143E8;1.0653558536350001E8;1.0548133826099999E8;1.0500500457200001E8;1.0452831738900001E8;1.0405126698600002E8;1.0357384322799999E8;1.0309603577899998E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.5658690344E7;2.5745799258E7;2.5832918083000004E7;2.5920027007999998E7;2.6007142033E7;2.6094255727999993E7;2.59480370809E7;2.5801864262700003E7;2.5655745018400002E7;2.55096632068E7;2.5363795852700002E7;2.4984592632299997E7;2.46715832354E7;2.43595484622E7;2.40478344623E7;2.3616259522599995E7;2.3186346250400003E7;2.27145267028E7;2.2479286661E7;2.22454579909E7;2.2012239245000005E7;2.16623802129E7;2.1315231184E7;2.1202231823999997E7;2.1083143425100002E7;2.0967199980100002E7;2.0853411312599998E7;2.07492297981E7;2.0648095973E7;2.0552382820800003E7;2.04032405244E7;2.0144912119899996E7;1.98956011072E7;1.97376621689E7;1.9593279316000003E7;1.94298306325E7;1.9270338030599996E7;1.90973338954E7;1.89377256015E7;1.87688906842E7;1.86178605273E7
