COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_SYSTEME_CHAUD;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Chauffage;01;01;136259096.48000002;90565331.04000002
01;2009;01;Chauffage;01;06;498869709.25;338280639.37000006
01;2009;01;Chauffage;03;03;814589684.8199999;450145664.81
01;2009;01;Chauffage;04;04;2342096018.99;1707036292.26
01;2009;01;Chauffage;05;02;47369704.467;97790017.73
01;2009;01;Chauffage;06;02;762767741.5;701746297.73
01;2009;01;Chauffage;09;02;191467220.81200004;473747327.4900001
01;2009;02;Chauffage;01;01;71553032.598;47577082.47899999
01;2009;02;Chauffage;01;06;245149899.17900002;166324909.52999994
01;2009;02;Chauffage;03;03;417804386.959;231002354.58899996
01;2009;02;Chauffage;04;04;1264052839.765;922410009.6849998
01;2009;02;Chauffage;05;02;23429812.833;48368502.415
01;2009;02;Chauffage;06;02;351073185.89;322987329.8500001
01;2009;02;Chauffage;09;02;139690254.657;345635612.977
01;2009;03;Chauffage;01;01;567355163.37;376748225.3
01;2009;03;Chauffage;01;06;2339191374.39;1585238968.7800002
01;2009;03;Chauffage;03;03;4083642753.6000004;2256376395.88
01;2009;03;Chauffage;04;04;10259848207.18;7475452168.390001
01;2009;03;Chauffage;05;02;301156405.04;621707241.5699999
01;2009;03;Chauffage;06;02;4079614545.6;3753245456
01;2009;03;Chauffage;09;02;801038588.76;1982009662.36
01;2010;01;Chauffage;01;01;130594021.07000001;86800032.19999997
01;2010;01;Chauffage;01;06;478201663.7799999;324265742.8579
01;2010;01;Chauffage;03;03;780523624.63;431320214.14109993
01;2010;01;Chauffage;04;04;2317654905.275;1689465774.0994995
01;2010;01;Chauffage;05;02;45399144.639;93721995.97140002
01;2010;01;Chauffage;06;02;833265113.662;766603862.1363002
01;2010;01;Chauffage;09;02;183532480.838;454114463.86180013
01;2010;01;Chauffage;26;02;6671523.2;6671523.175000001
01;2010;02;Chauffage;01;01;68566878.115;45591563.1211
01;2010;02;Chauffage;01;06;234978495.973;159424003.05890003
01;2010;02;Chauffage;03;03;400310855.70300007;221330115.8011
01;2010;02;Chauffage;04;04;1270436177.848;927213942.6965997
01;2010;02;Chauffage;05;02;22453692.420999996;46353402.759700015
01;2010;02;Chauffage;06;02;377212474.04899997;347035467.36689985
01;2010;02;Chauffage;09;02;133905268.75199999;331321811.3229
01;2010;02;Chauffage;24;04;41936.659;39001.099200000004
01;2010;02;Chauffage;26;02;2471212.296;2471212.7933
01;2010;03;Chauffage;01;01;543565739.0927999;360951047.0943999
01;2010;03;Chauffage;01;06;2241545575.0165;1519066111.7397
01;2010;03;Chauffage;03;03;3911743893.2551003;2161392240.6345
01;2010;03;Chauffage;04;04;10576782138.408699;7707540740.414199
01;2010;03;Chauffage;05;02;288618051.93;595823066.2515
01;2010;03;Chauffage;06;02;3972903700.9511;3655071841.451999
01;2010;03;Chauffage;09;02;767810051.6473;1899792438.1704998
01;2010;03;Chauffage;24;04;93476520.476;86855063.93530001
01;2010;03;Chauffage;26;02;31201988.3;31201992.371
01;2010;04;Chauffage;01;01;9111361.4428;6080478.523199999
01;2010;04;Chauffage;01;06;4716677.3006;3196938.1693
01;2010;04;Chauffage;04;04;55850884.30209999;40762714.8818
01;2010;04;Chauffage;05;02;502889.4321;1038165.0456000001
01;2010;04;Chauffage;06;02;28105776.676999997;25857314.397099994
01;2010;04;Chauffage;09;02;1570836.7848000003;3886721.3577000005
01;2010;04;Chauffage;21;01;2301511.3695999994;1772623.8782999995
01;2010;04;Chauffage;21;06;2584088.7684;2021791.1533
01;2010;04;Chauffage;24;04;31480937.5921;29259889.839500017
01;2010;04;Chauffage;26;02;11850552.2077;11850551.663999995
01;2011;01;Chauffage;01;01;124947427.76999998;83047011.8629
01;2011;01;Chauffage;01;06;457594262.15;310292000.611
01;2011;01;Chauffage;03;03;746586978.44;412566346.11990005
01;2011;01;Chauffage;04;04;2291618760.731;1670726249.0399997
01;2011;01;Chauffage;05;02;43435112.384;89667456.7496
01;2011;01;Chauffage;06;02;902529214.3920001;830326890.7975
01;2011;01;Chauffage;09;02;175621281.986;434539763.0986
01;2011;01;Chauffage;24;04;1599173.5450000002;1487231.7778
01;2011;01;Chauffage;26;02;13981594.895;13981595.4808
01;2011;02;Chauffage;01;01;65591504.32700001;43613210.3434
01;2011;02;Chauffage;01;06;224838350.457;152544296.1759
01;2011;02;Chauffage;03;03;382885772.09700006;211695721.93919998
01;2011;02;Chauffage;04;04;1270160608.208;927141852.0769002
01;2011;02;Chauffage;05;02;21480942.764;44345255.9333
01;2011;02;Chauffage;06;02;402691200.11689997;370475892.8459999
01;2011;02;Chauffage;09;02;128137049.131;317049502.4491999
01;2011;02;Chauffage;24;04;5624092.942;5230406.218400001
01;2011;02;Chauffage;26;02;5169884.652;5169885.4025
01;2011;03;Chauffage;01;01;519649882.1192;345070350.05880004
01;2011;03;Chauffage;01;06;2142893225.1527;1452214510.2092998
01;2011;03;Chauffage;03;03;3739564394.0759;2066251677.2814996
01;2011;03;Chauffage;04;04;10775074494.988602;7852993722.927501
01;2011;03;Chauffage;05;02;276122184.28;570026647.1914
01;2011;03;Chauffage;06;02;3860572118.861501;3551726387.5602007
01;2011;03;Chauffage;09;02;748260117.4714;1851420032.1041
01;2011;03;Chauffage;24;04;240217870.7349;223030561.30130002
01;2011;03;Chauffage;26;02;65056988.690000005;65056986.50130001
01;2011;04;Chauffage;01;01;20052774.221400004;13382138.276199998
01;2011;04;Chauffage;01;06;7625265.436199999;5168146.551799999
01;2011;04;Chauffage;04;04;104161907.1811;76024677.73269999
01;2011;04;Chauffage;05;02;1145235.679;2364224.5127000003
01;2011;04;Chauffage;06;02;58525903.333100006;53843831.544800006
01;2011;04;Chauffage;09;02;4137870.3792999997;10238332.6272
01;2011;04;Chauffage;21;01;5181610.6584;3990877.393
