branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;263072.6947;251748.2911;240455.95759999997;229195.6226;217967.2194;206770.4437;195464.35499999998;184238.4722;173099.1956;162014.68099999998;150985.60929999998;140020.6079;129109.6049;118288.7966;107521.5237;96809.7093;86156.7226;75554.3466;65005.154599999994;54504.54980000001;44057.43549999999;33643.359000000004;24442.617;15158.048500000003;6184.2212;7993.636299999999;9687.7757;11175.2921;12285.7147;13109.0846;13783.3462;14407.2971;14663.041999999998;14642.6519;14535.3853;14421.1908;14291.979200000002;14156.017199999998;13977.969099999998;13794.7452;13603.329300000001
01;01;01;02;3091525.3322;3093096.5836000005;3094384.4822000004;3090886.8904999997;3056747.2549;3000531.2788000004;2917539.9744;2811415.4514000006;2704957.5313999997;2611564.0577;2515034.4712;2417155.8297;2319913.9240000006;2226931.5524;2144428.9534;2064716.5272000001;1989296.0406999998;1929816.0345999997;1873313.9915999998;1825127.6398;1783254.9428;1746933.9568000003;1713907.0141999996;1682726.6162;1654077.0347;1626901.9714000002;1594505.9321;1564098.5857000002;1539421.3731;1545308.5093999999;1573799.3155;1627980.5196000002;1705496.8530000001;1782278.9333000001;1851825.3334;1923146.9181;1994945.4646;2063716.0881999999;2127417.1897;2179618.1264;2228282.0383;2269754.9632
01;01;01;03;1317058.389;1262555.352;1208206.5484;1154011.6569;1099970.3349000001;1046082.2618000002;992347.1081;938087.6564;884057.3369;830256.7271;776684.4114;723338.6826000001;670220.8248999999;617329.0581;564662.6599;512219.9874;460000.3938000001;408004.21609999996;356231.5775;304680.89280000003;253351.4493;202240.7413;151352.9265;100683.1606;50229.2268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;3620653.141;3689557.2162000006;3758527.7632;3832067.3841999993;3936033.1263999995;4061858.8633999997;4214245.833799999;4384359.3349;4554462.491900001;4711151.6976;4870659.063999999;5031202.415200001;5190786.877900001;5345799.1681;5489982.068;5631065.6475;5767544.9827;5887775.681300001;6004713.327599999;6113034.6336;6214734.274599999;6310581.3346;6402836.2358;6491767.6808;6577967.748300001;6662152.2859000005;6674748.4496;6685517.958899999;6690676.386499999;6665719.8699;6618521.176799999;6545861.05;6450035.4993;6355350.6158;6268215.664;6179430.4217;6090213.1113;6004076.622199999;5923054.183300001;5853611.7014;5787749.038999999;5729123.1152
01;01;01;06;414923.19060000003;397752.67319999996;380630.7453;363557.30499999993;346532.2452;329555.46470000007;312626.85949999996;295533.08040000004;278511.6871;261562.44889999996;244685.1319;227879.5041;211144.8005;194480.5642;177885.00980000003;161362.8855;144908.14930000002;128526.75439999999;112215.48229999999;95975.21949999999;79802.8771;63701.82130000001;47669.2685;31699.4246;15802.438500000002;39.4248;112.0908;176.6922;367.4848;524.5117;645.5395;725.0805;723.5143999999999;721.9514;720.3919;718.836;717.283;715.7338;714.1877000000001;712.6453;711.1059;709.5698
01;01;02;01;164852.8561;158030.8494;151228.1475;144444.71060000002;137680.49569999997;130935.4624;124209.56979999998;117418.0519;110670.8108;103969.31;97299.8544;90662.17559999999;84056.02850000001;77514.2281;71003.3999;64523.2855;58073.2102;51651.6829;45271.8141;38917.3158;32611.284499999998;26321.6423;20062.633;13824.023100000002;8212.946100000001;2658.7789;3790.8645;4882.042100000001;5927.1925;6925.8088;7859.2210000000005;8605.2765;9299.2838;9760.667000000001;10082.2451;10305.9804;10419.283;10423.7404;10354.9224;10255.028699999999;10152.726200000001;10047.993900000001
01;01;02;02;2704966.9641;2699216.1980000003;2693516.6342;2693547.1841;2681309.2834;2668125.7899;2654974.6853;2639939.3921000003;2624901.3857000005;2607205.5022;2587343.9828000003;2555385.1188000003;2518933.0551;2479615.9825;2438080.5187;2394147.3822;2354867.7427000003;2317585.8068999997;2283916.6531;2253219.435;2224339.497;2196113.3689;2169102.3932;2136256.9154;2105043.7906;2076605.2523;2061783.9340000001;2047970.1607999997;2029925.3449000001;2024147.2446000003;2019802.7495000002;2014888.5816;2010120.3689000001;2004037.5802000002;1998747.8851;1993465.2413000003;1996309.3441999997;2000601.5245;2006162.7496;2010797.1158999996;2014501.5469999998;2010113.0360000003
01;01;02;03;998485.8363;957166.0961000001;915963.2830999999;874877.1536;833907.4478000001;793053.9228999999;752316.329;711181.2552;670220.3722;629433.1254;588818.9526000001;548376.3595;508106.7343;468008.51300000004;428081.1485;388323.10809999995;348735.897;309317.895;270067.55189999996;230986.4734;192072.0369;153324.8293;114745.23569999999;76331.5957;38082.5232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;02;04;2774366.834;2829599.8067;2884627.7112;2933771.9653000003;2995031.4874;3057083.3427999998;3118950.129700001;3178350.5315;3237518.8244000007;3299110.121;3362646.706500001;3438060.5075;3517747.5374;3600049.1624000007;3684352.8607;3770835.8764;3852451.9612999996;3931854.3164999997;4007419.4398999996;4079800.7502;4150136.7306;4219618.104;4287672.0099;4361345.584;4432573.0833;4500705.394699999;4500181.9026;4498722.458;4501570.7189;4491861.4665;4480840.6841;4470633.9158;4460417.8515;4451870.0064;4442195.0798;4432493.7291;4414931.798400001;4396130.1877;4376176.199099999;4357243.7579;4339337.9796;4329578.9815
01;01;02;06;273040.8814;261741.79439999998;250474.68180000002;239239.4768;228036.1085;216864.51059999998;205724.61470000003;194476.0257;183275.07;172121.59590000001;161015.44999999998;149956.47869999998;138944.1088;127978.5833;117059.7645;106188.10540000001;95361.95430000001;84583.08669999999;73849.4148;63162.775499999996;52520.9948;41923.1676;31371.788800000002;20865.3272;10404.8376;104.0295;103.8048;103.5806;103.35679999999999;471.0308;812.352;1127.1119;1387.6326000000001;1557.4363000000003;2231.2842;3052.5096000000003;3748.1094000000003;4374.203100000001;4986.8808;5565.8621;6080.376399999999;6573.2629
01;01;03;01;472847.27869999997;453279.72349999996;433767.54069999995;414310.615;394908.8237;375562.0515;356270.1807;336828.17189999996;317836.5111;298969.0882;280226.7388;261606.3351;243106.40120000002;224726.73540000003;206462.1882;188322.4926;170337.42690000002;152463.8401;134705.3764;117020.51760000002;99418.29550000001;81832.3437;64355.412299999996;48189.511;34045.5397;21323.142099999997;24460.4239;27218.965600000003;29405.553300000003;31592.3287;34391.1863;37398.584200000005;39201.5951;40223.7627;41482.24620000001;43037.1264;44660.862100000006;46570.879199999996;47845.7553;49344.610799999995;51261.3171;53366.5078
01;01;03;02;8913909.5896;8546769.6081;8182167.0634;7895844.8102;7600590.6285;7311400.580800001;7024216.774700001;6807632.1178;6634182.009399999;6496125.463099999;6391064.4684;6331456.281799998;6271279.537699999;6207666.103;6149730.0645;6093178.372299999;6026134.2395;5941593.898500001;5849033.6178;5752354.6095;5647999.8358000005;5537106.0983;5413712.6953;5281486.9975999985;5143785.2314;4998306.035499999;5194743.6003;5387335.7292;5504563.2348;5622563.797099999;5729898.720400001;5836716.403899999;5865695.831;5856894.627899999;5812759.8603;5737652.6569;5620770.574999999;5504064.5633000005;5385358.325300001;5256660.6808;5127764.333099999;5003573.696799999
01;01;03;03;3679917.909;3527634.0741;3375780.3496;3224357.5198999997;3073363.7742000003;2922798.2127;2772659.9146;2621056.1906000003;2470094.9916;2319772.7518;2170089.4193;2021041.8912;1872627.1346;1724844.1598;1577691.9622;1431166.7549;1285267.2834;1139992.1091;995336.6022;851301.9306;707881.3946;565080.2215;422892.97030000004;281318.72620000003;140350.90240000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;181.0654;588.4447;1431.6461;3423.1003;6216.8481
01;01;03;04;6771768.216999999;7323424.3238;7871977.504300001;8341685.743199999;8819762.9893;9291214.720500002;9760102.946099998;1.01455599689E7;1.04867091661E7;1.0791615094899999E7;1.1062675490099998E7;1.12874451845E7;1.1511943179000001E7;1.17390432344E7;1.19596426332E7;1.2178028553199997E7;1.2406040604999999E7;1.2650730107099999E7;1.2902628648599999E7;1.3157866648999998E7;1.34200004153E7;1.3687802387E7;1.39672995728E7;1.42536198404E7;1.45427181406E7;1.4836864705899999E7;1.4594280702599999E7;1.43560241124E7;1.4193808514400002E7;1.40309089186E7;1.3878117310899999E7;1.3725595382600002E7;1.3652069159599999E7;1.3616504296700003E7;1.36155734474E7;1.36448291129E7;1.37153457021E7;1.37832297107E7;1.38545814344E7;1.3935588847600002E7;1.40150473322E7;1.4088455649899999E7
01;01;03;06;1032288.8183999999;989570.2298000001;946970.2947;904492.3485;862135.7898;819899.3451999999;777782.7562;735254.2617000001;692906.8811;650738.4856;608748.9052;566936.5889;525303.0782999999;483846.81999999995;442567.3093;401463.88039999997;360535.1987;319780.7394;279200.93069999997;238798.17500000002;198565.9288;158653.71110000001;118921.66549999999;79359.684;39948.1639;1368.2685;1484.4493;1590.0298;1683.6544;1780.2764000000002;1914.5269;2179.6538;2583.3647;3678.6535;5328.4347;7558.805200000001;10325.1468;15171.3254;19049.3151;22693.485500000003;26609.2694;30968.614999999998
01;01;04;01;0.0;1914.6814;4370.8595000000005;8686.8385;16721.3024;23434.4632;30553.385100000003;30553.385100000003;30553.3851;30553.3851;30553.385200000004;30553.3852;30553.385199999997;30553.385200000004;30553.3852;30553.3852;30553.385199999993;30553.3852;30553.385199999997;30553.385299999998;30553.385299999994;30553.385300000005;30553.385299999998;30553.385299999998;30553.385299999998;30553.385299999998;30553.115400000002;30139.8841;28045.668600000005;21347.997799999997;15911.454099999999;10088.9379;10088.9379;10088.9379;10088.9379;10088.9379;10088.9379;10088.9379;10088.938100000001;10088.9381;10088.9382;10088.9382
