branche;occupation;periodeSimple;energieUsage;usage;usageSimple;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;01;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Bureautique;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Froid_alimentaire;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Process;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;03;Cuisson;Cuisson;2.066420315265E8;1.9773436951999998E8;1.892107167357E8;1.810544725266E8;1.7324981970670003E8;1.657816056091E8;1.586353202163E8;1.516828593622E8;1.4503511332E8;1.386787069389E8;1.326008936255E8;1.2678944632049999E8;1.2123267711909999E8;1.159194467289E8;1.1083907414560002E8;1.0598136302129999E8;1.013365631825E8;9.68953355085E7;9.26487205767E7;8.858821475940001E7;8.47056765662E7;8.09932924438E7;7.74436003259E7;7.40494697418E7;7.080412200590001E7;6.77010065062E7;6.47338861235E7;6.1896811107E7;5.9184070104600005E7;5.65902439022E7;5.41100776472E7;5.17386007931E7;4.947106682909999E7;4.7302918022999994E7;4.52298042828E7;4.32475235367E7;4.13521247402E7;3.95398019151E7;3.7806902496300004E7;3.6149945922400005E7;3.4565610221200004E7;3.3050720980000004E7
01;01;01;04;Autre;Autre;9.76363231145E7;9.749571964149998E7;9.735533537499999E7;9.721512911000003E7;9.7075139981E7;9.693534957900001E7;9.679575355800001E7;9.658668104849999E7;9.63780554595E7;9.6169878841E7;9.59621512135E7;9.5754870486E7;9.554803870850001E7;9.534165385149999E7;9.5135714931E7;9.4930220963E7;9.472517545300001E7;9.452057905699998E7;9.43164051865E7;9.411267823650001E7;9.3909386522E7;9.370652424149999E7;9.35040850605E7;9.3302087265E7;9.31005213635E7;9.289942880699998E7;9.269876240450001E7;9.24985367725E7;9.229873522399999E7;9.209937647549999E7;9.1900441831E7;9.1701931311E7;9.150384081550002E7;9.13061908445E7;9.110896700699998E7;9.091216317349999E7;9.071579986449999E7;9.051986084399998E7;9.032433959300001E7;9.012924037550001E7;8.9934563212E7;8.9740303982E7
01;01;01;04;Cuisson;Cuisson;2.3719173342999997E9;2.269671802235E9;2.1718343759449997E9;2.0782136239699998E9;1.988628606135E9;1.90290482193E9;1.8208773224099998E9;1.7410744703850002E9;1.6647693863750002E9;1.59180793047E9;1.52204426526E9;1.4553381387649999E9;1.39155547053E9;1.33056832272E9;1.272254010215E9;1.2164952166399999E9;1.1631802776750002E9;1.112201930555E9;1.06345770398E9;1.01684986625E9;9.7228464975E8;9.296724994100001E8;8.889277414250001E8;8.499686794E8;8.12717102965E8;7.77098382485E8;7.4304083725E8;7.10475846995E8;6.793379509150001E8;6.49564876775E8;6.210965269799999E8;5.93875963805E8;5.67848341755E8;5.42961321665E8;5.19165206205E8;4.9641197802E8;4.7465593933E8;4.5385341345E8;4.3396244671999997E8;4.1494343703499997E8;3.9675782287E8;3.79369193765E8
