COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_SYSTEME_CHAUD;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Chauffage;01;01;136259096.48;90565331.04
01;2009;01;Chauffage;01;06;498869709.25;338280639.36999995
01;2009;01;Chauffage;03;03;814589684.8199999;450145664.81
01;2009;01;Chauffage;04;04;2342096018.99;1707036292.2600002
01;2009;01;Chauffage;05;02;47369704.467;97790017.72999999
01;2009;01;Chauffage;06;02;762767741.5;701746297.73
01;2009;01;Chauffage;09;02;191467220.81200004;473747327.49
01;2009;02;Chauffage;01;01;71553032.598;47577082.47900001
01;2009;02;Chauffage;01;06;245149899.17900002;166324909.53
01;2009;02;Chauffage;03;03;417804386.95900005;231002354.58900002
01;2009;02;Chauffage;04;04;1264052839.7649999;922410009.685
01;2009;02;Chauffage;05;02;23429812.833;48368502.41499999
01;2009;02;Chauffage;06;02;351073185.89;322987329.85
01;2009;02;Chauffage;09;02;139690254.657;345635612.977
01;2009;03;Chauffage;01;01;567355163.37;376748225.29999995
01;2009;03;Chauffage;01;06;2339191374.39;1585238968.7800002
01;2009;03;Chauffage;03;03;4083642753.6000004;2256376395.88
01;2009;03;Chauffage;04;04;10259848207.18;7475452168.389999
01;2009;03;Chauffage;05;02;301156405.03999996;621707241.57
01;2009;03;Chauffage;06;02;4079614545.6;3753245455.9999995
01;2009;03;Chauffage;09;02;801038588.76;1982009662.36
01;2010;01;Chauffage;01;01;130594021.07000001;86800032.2
01;2010;01;Chauffage;01;06;478201663.78;324265742.8579
01;2010;01;Chauffage;03;03;780523624.63;431320214.1411
01;2010;01;Chauffage;04;04;2311807316.59;1685184597.3287003
01;2010;01;Chauffage;05;02;45399144.639;93721995.97140001
01;2010;01;Chauffage;06;02;838325216.1989999;771259151.6886001
01;2010;01;Chauffage;09;02;183532480.838;454114463.86179996
01;2010;01;Chauffage;26;02;6297410.29;6297410.393300001
01;2010;02;Chauffage;01;01;68566878.115;45591563.12110001
01;2010;02;Chauffage;01;06;234978495.973;159424003.05890003
01;2010;02;Chauffage;03;03;400310855.703;221330115.80110005
01;2010;02;Chauffage;04;04;1268097557.427;925501608.8090001
01;2010;02;Chauffage;05;02;22453692.420999996;46353402.75969999
01;2010;02;Chauffage;06;02;379271669.02699995;348929926.4046
01;2010;02;Chauffage;09;02;133905268.75199999;331321811.3229
01;2010;02;Chauffage;26;02;2328089.247;2328088.7421
01;2010;03;Chauffage;01;01;543638377.4050999;360999349.2514
01;2010;03;Chauffage;01;06;2241679332.6233;1519156528.2688003
01;2010;03;Chauffage;03;03;3912284665.2474003;2161691949.433
01;2010;03;Chauffage;04;04;10592137919.2566;7718737227.801701
01;2010;03;Chauffage;05;02;288618051.93;595823066.2515
01;2010;03;Chauffage;06;02;3975050388.7590003;3657046050.5069003
01;2010;03;Chauffage;09;02;767811944.0600002;1899797125.8032
01;2010;03;Chauffage;24;04;81643154.832;75895891.6921
01;2010;03;Chauffage;26;02;29557613.268;29557616.4893
01;2010;04;Chauffage;01;01;9111361.4428;6080478.5232
01;2010;04;Chauffage;01;06;4716677.3006;3196938.1693
01;2010;04;Chauffage;04;04;55850884.30209999;40762714.8818
01;2010;04;Chauffage;05;02;502889.43210000003;1038165.0456000001
01;2010;04;Chauffage;06;02;28105776.676999997;25857314.3971
01;2010;04;Chauffage;09;02;1570836.7848;3886721.3576999996
01;2010;04;Chauffage;21;01;2301511.3695999994;1772623.8782999997
01;2010;04;Chauffage;21;06;2584088.7684;2021791.1533
01;2010;04;Chauffage;24;04;31480937.5921;29259889.8395
01;2010;04;Chauffage;26;02;11850552.207699997;11850551.664
01;2011;01;Chauffage;01;01;124947427.66999999;83047011.84339999
01;2011;01;Chauffage;01;06;457594262.1499999;310292000.6253
01;2011;01;Chauffage;03;03;746586978.44;412566346.1351
01;2011;01;Chauffage;04;04;2276668963.131;1659780942.0787003
01;2011;01;Chauffage;05;02;43435112.384;89667456.74960001
01;2011;01;Chauffage;06;02;917224214.731;843846295.8626001
01;2011;01;Chauffage;09;02;175621281.986;434539763.0968001
01;2011;01;Chauffage;26;02;12894581.11;12894581.1592
01;2011;02;Chauffage;01;01;65591504.32700001;43613210.348000005
01;2011;02;Chauffage;01;06;224838350.457;152544296.1712
01;2011;02;Chauffage;03;03;382885771.09700006;211695721.9411
01;2011;02;Chauffage;04;04;1269003353.977;926294505.6029999
01;2011;02;Chauffage;05;02;21480942.764;44345255.9333
01;2011;02;Chauffage;06;02;409684258.1279;376909505.95359993
01;2011;02;Chauffage;09;02;128137049.131;317049502.45019996
01;2011;02;Chauffage;24;04;45783.492999999995;42578.652500000004
01;2011;02;Chauffage;26;02;4771595.454000001;4771595.9672
01;2011;03;Chauffage;01;01;519954854.2257;345272656.5381
01;2011;03;Chauffage;01;06;2144477569.3241997;1453284570.4217
01;2011;03;Chauffage;03;03;3741374755.5332003;2067255034.4570003
01;2011;03;Chauffage;04;04;10905119874.986298;7947898062.906699
01;2011;03;Chauffage;05;02;276122184.28;570026647.2396001
01;2011;03;Chauffage;06;02;3869006982.9233003;3559486367.6431007
01;2011;03;Chauffage;09;02;734865600.6311;1818277862.0741
01;2011;03;Chauffage;24;04;176062718.27339998;163662015.0378
01;2011;03;Chauffage;26;02;60427840.274;60427844.4814
01;2011;04;Chauffage;01;01;20052774.221400004;13382138.2762
01;2011;04;Chauffage;01;06;7625265.436199999;5168146.5518000005
01;2011;04;Chauffage;04;04;104161907.18109998;76024677.7327
01;2011;04;Chauffage;05;02;1145235.679;2364224.5127000003
01;2011;04;Chauffage;06;02;58525903.333100006;53843831.54479998
01;2011;04;Chauffage;09;02;4137870.3793;10238332.6272
01;2011;04;Chauffage;21;01;5181610.6584;3990877.393
01;2011;04;Chauffage;21;06;4414758.708800001;3454107.2626
01;2011;04;Chauffage;24;04;63732249.541899994;59235937.6344
01;2011;04;Chauffage;26;02;25636794.326700006;25636795.2471
01;2012;01;Chauffage;01;01;119319230.20999998;79306217.4538
01;2012;01;Chauffage;01;06;437047431.61;296359295.0343
01;2012;01;Chauffage;03;03;712778945.45;393883617.34010005
01;2012;01;Chauffage;04;04;2230189657.8669996;1626072541.326
01;2012;01;Chauffage;05;02;41477599.768;85626339.8555
01;2012;01;Chauffage;06;02;1004582354.637;924215784.6945
01;2012;01;Chauffage;09;02;167733518.902;415023060.1391
01;2012;01;Chauffage;24;04;61687.240000000005;57369.1322
01;2012;01;Chauffage;26;02;19779454.94;19779454.9371
01;2012;02;Chauffage;01;01;62626851.253000006;41641982.5697
01;2012;02;Chauffage;01;06;214729324.16799998;145685714.75370002
01;2012;02;Chauffage;03;03;365528661.508;202098917.54340002
01;2012;02;Chauffage;04;04;1260075923.161;919887015.0706999
01;2012;02;Chauffage;05;02;20511544.075000003;42344029.1034
01;2012;02;Chauffage;06;02;444510782.5287;408949915.9722
01;2012;02;Chauffage;09;02;122385556.868;302818576.8734
01;2012;02;Chauffage;24;04;3240828.0660000006;3013970.4334000004
01;2012;02;Chauffage;26;02;7322646.067000001;7322645.9315
01;2012;03;Chauffage;01;01;496271564.5999;329546020.25040007
01;2012;03;Chauffage;01;06;2046686558.7048001;1387014840.1395
01;2012;03;Chauffage;03;03;3570436813.838;1972801584.3997993
01;2012;03;Chauffage;04;04;11094423169.8017;8086588503.5249
01;2012;03;Chauffage;05;02;263714171.15800005;544411544.5655999
01;2012;03;Chauffage;06;02;3761969337.3316994;3461011768.8128996
01;2012;03;Chauffage;09;02;733343654.4384999;1814512266.6278
01;2012;03;Chauffage;24;04;282043452.3707;262169502.5396
01;2012;03;Chauffage;26;02;92552705.623;92552709.2757
01;2012;04;Chauffage;01;01;31822427.269500002;21235617.188400004
01;2012;04;Chauffage;01;06;10795574.1012;7316651.189099998
01;2012;04;Chauffage;04;04;145434936.1361;106153592.56850001
01;2012;04;Chauffage;05;02;1944144.102;4013491.1085
01;2012;04;Chauffage;06;02;90147448.64000002;82935653.2098
01;2012;04;Chauffage;09;02;8090214.5904;20017617.999400005
01;2012;04;Chauffage;21;01;8418550.801700002;6483966.9741
01;2012;04;Chauffage;21;06;6450414.901799999;5046803.546799999
01;2012;04;Chauffage;24;04;95624781.83180001;88878745.95249999
01;2012;04;Chauffage;26;02;40376934.6345;40376933.86809999
01;2012;04;Chauffage;29;02;134148.9153;407799.2928
01;2013;01;Chauffage;01;01;113709366.97;75577595.38649999
01;2013;01;Chauffage;01;06;416560923.22;282467510.6142
01;2013;01;Chauffage;03;03;679098825.55;375271571.5967
01;2013;01;Chauffage;04;04;2189830374.2860003;1596843920.0331
01;2013;01;Chauffage;05;02;39526537.096999995;81598583.34099999
01;2013;01;Chauffage;06;02;1080889027.7110002;994417847.8297
01;2013;01;Chauffage;09;02;159869126.066;395564183.5626
01;2013;01;Chauffage;24;04;5627889.97;5233937.375
01;2013;01;Chauffage;26;02;27055666.039000005;27055666.085899998
01;2013;02;Chauffage;01;01;59672857.84;39677838.7357
01;2013;02;Chauffage;01;06;204651328.57;138848184.6766
01;2013;02;Chauffage;03;03;348239037.87;192539448.649
01;2013;02;Chauffage;04;04;1253009140.971;914841516.2154001
01;2013;02;Chauffage;05;02;19545479.794;40349686.5099
01;2013;02;Chauffage;06;02;473633444.83460003;435742760.2539
01;2013;02;Chauffage;09;02;116650734.07099998;288628926.5431
01;2013;02;Chauffage;24;04;10397181.014;9669377.7996
01;2013;02;Chauffage;26;02;9973140.795000002;9973140.1306
01;2013;03;Chauffage;01;01;472579027.87749994;313813869.6642
01;2013;03;Chauffage;01;06;1948898264.9591;1320750727.0546
01;2013;03;Chauffage;03;03;3398483259.3956003;1877784179.9956002
01;2013;03;Chauffage;04;04;11226276332.6825;8183449552.567201
01;2013;03;Chauffage;05;02;251412306.013;519015577.74240005
01;2013;03;Chauffage;06;02;3651734612.866299;3359595824.7823
01;2013;03;Chauffage;09;02;731202314.8867;1809213817.4017
01;2013;03;Chauffage;24;04;432709312.4959;401981244.00009996
01;2013;03;Chauffage;26;02;125832406.057;125832407.5551
01;2013;04;Chauffage;01;01;47765669.4922;31871867.4657
01;2013;04;Chauffage;01;06;17497122.455999997;11857221.3185
01;2013;04;Chauffage;04;04;211976526.58259997;154688909.425
01;2013;04;Chauffage;05;02;3708532.005099999;7655893.538900001
01;2013;04;Chauffage;06;02;95734472.3805;88075714.5839
01;2013;04;Chauffage;09;02;13024193.2559;32225761.0389
01;2013;04;Chauffage;21;01;12786286.1281;9847998.051399998
01;2013;04;Chauffage;21;06;10012125.807200002;7833488.1248
01;2013;04;Chauffage;24;04;133816322.94459997;124358294.03739999
01;2013;04;Chauffage;26;02;45111240.1614;45111240.616500005
01;2013;04;Chauffage;29;02;268408.79949999996;815935.9245
01;2014;01;Chauffage;01;01;108117726.47;71861094.0879
01;2014;01;Chauffage;01;06;396134585.06000006;268616537.82589996
01;2014;01;Chauffage;03;03;645545726.66;356729765.2434
01;2014;01;Chauffage;04;04;2165419694.425;1579284584.1665
01;2014;01;Chauffage;05;02;37581918.861;77584127.4181
01;2014;01;Chauffage;06;02;1139894034.8949997;1048702541.5684
01;2014;01;Chauffage;09;02;152028027.585;376162970.6462
01;2014;01;Chauffage;24;04;15198190.329;14134317.6397
01;2014;01;Chauffage;26;02;34682448.32700001;34682447.8063
01;2014;02;Chauffage;01;01;56729464.272;37720739.1191
01;2014;02;Chauffage;01;06;194604276.579;132031635.10080001
01;2014;02;Chauffage;03;03;331016467.056;183017068.0598
01;2014;02;Chauffage;04;04;1247283347.236;910777515.6179998
01;2014;02;Chauffage;05;02;18582732.796;38362193.5437
01;2014;02;Chauffage;06;02;498417124.6351;458543764.8424999
01;2014;02;Chauffage;09;02;110932562.273;274480449.4484
01;2014;02;Chauffage;24;04;20579289.278;19138737.9236
01;2014;02;Chauffage;26;02;12718657.686999999;12718657.4891
01;2014;03;Chauffage;01;01;448958033.1284001;298128729.6766
01;2014;03;Chauffage;01;06;1849420823.487;1253343294.7497
01;2014;03;Chauffage;03;03;3223923193.9472003;1781321548.1948998
01;2014;03;Chauffage;04;04;11287020067.8978;8228469255.194401
