branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;1.0;8412635.699;8400521.026;8388423.511;8376344.155;8364280.948000001;8352236.032000001;8340208.903999999;8322192.979;8304214.176;8286273.472;8268368.100000001;8250503.768;8232676.278;8214885.4;8197128.22;8179411.11;8161732.274999999;8144087.237;8126478.621;8108911.578;8091373.3549999995;8073876.386;8056400.825;8038943.285999999;8021483.733;8004157.538000001;7986867.682;7969615.147000001;7952399.934;7935223.06;7918082.506;7900979.282000001;7883914.377;7866885.793;7849893.539999999;7832938.6049999995;7816019.999000001;7799138.71;7782293.733000001;7765485.083;7748711.743;7731974.722
01;01;01;01;Cuisson;Cuisson;1.0;3500591.331;3349692.671;3205298.107;3067128.242;2934914.2599999993;2808399.0770000005;2687338.2739999997;2569561.1499999994;2456945.868;2349265.658;2246302.639;2147853.37;2053718.9649999996;1963709.279;1877643.3690000002;1795349.4059999997;1716662.6460000002;1641423.3780000003;1569480.9789999998;1500692.6609999998;1434917.929;1372026.083;1311887.2060000002;1254379.539;1199382.5080000001;1146817.577;1096556.298;1048497.9829999999;1002545.6740000001;958607.4469999999;916595.0099999999;876423.7030000001;838012.9929999999;801285.676;766167.9729999999;732589.431;700482.422;669782.6390000001;640428.3008000001;612360.5437;585522.7261;559861.2258
01;01;01;02;Autre;Autre;2.58;2.08005643E8;2.077061604E8;2.074070218E8;2.071083174E8;2.06810077E8;2.065122485E8;2.062148792E8;2.057694322E8;2.053249484E8;2.048813621E8;2.044386106E8;2.039969291E8;2.035561539E8;2.03116314E8;2.026773025E8;2.022392275E8;2.018020647E8;2.0136582620000002E8;2.00930454E8;2.004960703E8;2.00062392E8;1.9962980020000002E8;1.991977292E8;1.987660556E8;1.98334326E8;1.979058666E8;1.974784145E8;1.970518707E8;1.966262353E8;1.962015073E8;1.957776775E8;1.953547661E8;1.94932743E8;1.945117272E8;1.940916198E8;1.936724106E8;1.9325409970000002E8;1.92836696E8;1.924201907E8;1.920045825E8;1.915898727E8;1.911760611E8
01;01;01;02;Bureautique;Electricité Spécifique;2.58;3.206753307E8;3.2342025529999995E8;3.261886975E8;3.289809187E8;3.3179699129999995E8;3.346371621E8;3.3750164220000005E8;3.40147622E8;3.428143233E8;3.4550180479999995E8;3.482102641E8;3.50940076E8;3.536911716E8;3.564637285E8;3.592578296E8;3.620738684E8;3.649120369E8;3.6777223859999996E8;3.706547982E8;3.735601236E8;3.764878417E8;3.79438613E8;3.786173945E8;3.777970162E8;3.769764639E8;3.761622077E8;3.7534962679999995E8;3.7453883140000004E8;3.737298225E8;3.729225979E8;3.721170488E8;3.71313275E8;3.705111867E8;3.697108738E8;3.6891233640000004E8;3.681154643E8;3.673202675E8;3.665268449E8;3.657351978E8;3.6494521590000004E8;3.641568984E8;3.633703462E8
01;01;01;02;Cuisson;Cuisson;2.58;2.135047235E7;2.1979454970000003E7;2.2579091669999998E7;2.3150655749999996E7;2.3695360889999997E7;2.4214357900000002E7;2.4708762699999996E7;2.516184976E7;2.559175554E7;2.5999505789999995E7;2.63860694E7;2.675240111E7;2.709938313E7;2.742786182E7;2.773865453E7;2.803255798E7;2.831031869E7;2.8572640740000002E7;2.882020876E7;2.905369623E7;2.9273680990000002E7;2.9480800650000002E7;2.967556825E7;2.985850801E7;3.003006095E7;3.019123412E7;3.0342156060000002E7;3.048327681E7;3.06150312E7;3.073784986E7;3.0852114310000002E7;3.095822291E7;3.1056525889999997E7;3.1147378339999996E7;3.123111309E7;3.130804405E7;3.1378484779999997E7;3.1442721009999998E7;3.150103607E7;3.155368831E7;3.1600943E7;3.1643029330000002E7
01;01;01;02;Froid_alimentaire;Electricité Spécifique;2.58;5720154.539;5673783.2659;5627787.4637;5582164.84;5536911.7529;5492025.160100001;5447503.131599999;5399419.4449;5351759.0189000005;5304518.1603999995;5257692.661900001;5211281.3461;5165279.452900001;5119681.8007;5074484.2171;5029686.242099999;4985283.836;4941271.299800001;4897645.4475;4854407.2824;4811545.7774;4769064.5408;4758742.049000001;4748430.176100001;4738117.171399999;4727882.8404;4717670.620200001;4707480.4529;4697312.290899999;4687166.099;4677041.8270000005;4666939.416;4656858.8305;4646800.0162;4636762.935500001;4626747.5359;4616753.7606;4606781.5648;4596830.921800001;4586901.773200001;4576994.0698;4567107.7739
01;01;01;02;Process;Electricité Spécifique;2.58;4593456.563;4586841.209000001;4580236.139;4573640.153999999;4567054.252;4560477.165999999;4553909.512999999;4544072.769;4534255.99;4524459.432999999;4514682.524;4504928.315000001;4495194.92;4485480.87;4475785.808;4466112.234999999;4456459.459;4446824.774999999;4437209.666;4427617.427;4418041.482;4408488.081;4398946.814;4389414.322;4379881.074999999;4370420.8209999995;4360980.547;4351560.954;4342162.133;4332783.094;4323424.836;4314086.259;4304768.354;4295470.229;4286191.677;4276932.902999999;4267694.702;4258476.079;4249278.227;4240099.955;4230941.2530000005;4221802.132
01;01;01;03;Cuisson;Cuisson;1.0;762516.7215;729647.1199999999;698194.5266999999;668097.6846;639298.2276;611740.1763;585370.1064;559715.2521;535184.6676;511729.0609;489301.1968;467856.4767;447351.52410000004;427745.1095;408997.78089999995;391072.2034;373932.30449999997;357543.36990000005;341872.7135;326888.91219999996;312561.55789999996;298862.34589999996;285762.8813;273236.8611;261258.61119999996;249808.497;238860.16779999997;228391.7109;218382.03120000003;208811.1319;199659.6233;190909.18399999998;182542.24949999998;174542.0415;166892.51009999998;159578.14740000002;152584.3562;145897.1019;139502.897;133388.9277;127542.91630000001;121953.16930000001
01;01;01;04;Autre;Autre;1.0;476274.74689999997;475588.87630000006;474904.075;474220.1419;473537.2681;472855.3233;472174.35419999994;471154.47040000005;470136.6297;469120.9148;468107.2257;467095.7925;466086.5213;465079.2786000001;464074.03500000003;463071.04029999994;462070.19000000006;461071.33090000006;460074.46540000004;459079.935;458087.1152;457096.57800000004;456107.3819999999;455119.39220000006;454131.6369;453150.71880000003;452171.88959999994;451195.2193;450220.61899999995;449248.0775;448277.69489999994;447309.38119999995;446343.22640000004;445379.1314;444417.0854;443457.20799999987;442499.37950000004;441543.60959999997;440589.8887;439638.2165;438688.603;437741.0482
01;01;01;04;Cuisson;Cuisson;1.0;1.157032846E7;1.1071569767E7;1.0594314029E7;1.0137627435E7;9700627.348000001;9282461.720999999;8882327.344;8493044.843;8120821.183999999;7764909.021;7424592.409;7099192.363;6788054.044;6490549.518999999;6206080.653999999;5934080.435;5674001.181;5425318.454;5187533.635000001;4960172.587;4742771.974;4534901.281;4336132.865;4146067.77;3964316.7720000003;3790573.8230000003;3624445.796;3465598.4590000003;3313712.305;3168483.5629999996;3029619.179;2896841.2279999997;2769882.2810000004;2648487.117;2532413.3109999998;2421426.4529999997;2315302.714;2213830.952;2116805.724;2024033.75;1935327.0369999995;1850507.873
