branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;263072.69470000005;251748.2911;240455.95759999997;229195.62260000003;217967.2194;206770.44369999997;195464.35499999998;184238.47219999996;173099.19560000004;162013.4419;150982.0565;140004.7921;129088.12759999999;118262.4879;107488.55200000001;96758.462;86078.5449;75460.91930000001;64897.385200000004;54381.1067;43921.4685;33506.8415;23540.6742;14280.783100000002;5364.0259;7237.7249;9070.590100000001;10718.384100000001;12041.480199999998;13131.424499999997;14178.401699999999;15158.319799999997;15999.7429;16638.7827;17184.146500000003;17652.2306;18067.8291;18417.0999;18686.5793;18920.545599999998;19075.844900000004
01;01;01;02;3091525.332199999;3093096.5836000005;3094384.4822;3090886.8904999993;3056747.2549;3000531.2788000004;2917539.9743999997;2811415.4513999997;2704957.531400001;2611564.0577000002;2516062.9653;2417712.7493000007;2319746.8691000002;2224738.5081;2131612.9642;2044343.0771;1962885.6211;1879649.6258999999;1801832.9348999995;1734639.4608999998;1670856.1434;1611380.0583000001;1553765.6243999999;1497710.9494999994;1443750.9867000002;1390574.9893999998;1333251.2638999997;1277835.0695;1228587.562;1209411.6219;1213309.2035;1244897.3063000003;1300133.2352;1356344.3224999998;1409404.0416;1466341.2598999997;1527225.8832;1590456.4847000001;1652311.9859999996;1713855.7057;1770390.9609;1823393.1732999994
01;01;01;03;1317058.3889999997;1262555.352;1208206.5484;1154011.6569;1099970.3349000001;1046082.2618;992347.1081000001;938087.6564000002;884057.3368999999;830256.7271000003;776684.4117999999;723339.6531;670220.7912;617329.0264999999;564662.6313000001;512218.9761;460000.4055;408005.26570000005;356232.53310000006;304680.7942;253350.421;202241.6559;151352.75620000003;100682.30310000002;50229.541099999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;3620653.1410000003;3689557.2162;3758527.7632;3832067.3842;3936033.1263999995;4061858.8633999997;4214245.833799999;4384359.3349;4554462.491900001;4711151.6976;4869631.8085;5030649.2288;5190970.305900001;5348013.036300001;5502822.5494;5651472.467;5794007.7326;5938015.44;6076287.1541;6203627.9509;6327253.8185;6446266.4975;6563106.9545;6677675.0578;6789151.818399999;6899318.961199998;6936851.242400001;6972555.518699999;7002314.788799999;7002365.736699999;6979614.7739;6929254.6132000005;6855351.978899999;6780650.879800001;6709341.6647000015;6634286.6669;6555399.484200001;6474256.671099999;6394593.101299999;6315358.817000001;6241206.136900001;6170702.727
01;01;01;06;414923.1906;397752.6732;380630.7453;363557.305;346532.2452;329555.4647;312626.8595000001;295533.0804;278511.68710000004;261562.44890000002;244685.132;227879.50419999997;211145.3359;194481.10420000003;177886.7113;161362.7515;144911.3693;128528.2624;112214.48229999997;95976.0893;79804.6862;63703.18690000001;47669.8567;31700.2962;15801.3871;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;02;01;164852.8561;158030.8494;151228.1475;144444.7106;137680.4957;130935.4624;124209.56979999997;117418.05189999999;110670.81079999999;103969.31000000001;97299.30099999999;90660.5792;84052.92120000001;77481.628;70968.2418;64485.204;58032.297999999995;51607.7994;45214.39260000001;38846.672699999996;32506.3198;26192.1432;19919.85;13671.229500000001;7967.678499999999;2331.4338;3419.5877;4484.892499999999;5538.5004;6599.4818000000005;7627.6107;8608.655200000001;9556.787900000001;10447.740300000001;11222.030200000001;11918.3335;12498.9687;13003.610200000001;13435.3882;13789.9086;14087.153599999998;14292.343
01;01;02;02;2704966.9641;2699216.198;2693516.6341999997;2693547.1840999997;2681309.2834;2668125.7898999997;2654974.6852999995;2639939.3921000003;2624901.3857;2607205.5022;2587498.6355999997;2556301.1954;2521119.6722;2483498.5707;2443429.8866000003;2402572.0672999998;2358067.6493;2313072.248;2269050.6681000004;2229559.5302999993;2191579.2989;2154616.6211;2118032.9712;2081685.9044;2045759.7753;2007130.8222999999;1975782.2094999999;1946768.4394;1913976.475;1894197.9138000002;1878022.8696999997;1862870.9021;1847748.5564999997;1833888.1168999998;1823042.2210000004;1814800.6493;1817805.2933000005;1824511.5556;1833785.3476000002;1845367.5595000004;1858163.4227;1874549.2447
01;01;02;03;998485.8363;957166.0961000001;915963.2831000001;874877.1535999998;833907.4478000001;793053.9229;752316.3289999999;711181.2551999999;670220.3722;629433.1254;588818.9527999999;548376.3591000001;508106.73319999996;468008.5118;428081.1473;388323.1068;348735.89720000006;309317.8952;270067.55169999995;230986.4734;192072.0455;153324.83789999995;114744.40090000002;76331.0392;38083.08490000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;02;04;2774366.8339999993;2829599.8067000005;2884627.7112000003;2933771.9653000003;2995031.4874;3057083.3427999998;3118950.1297000004;3178350.5315;3237518.824399999;3299110.121;3362492.6069;3437146.0546999997;3515564.1001999998;3596199.3320999993;3679038.9574;3762449.8167999997;3849294.3817999996;3936414.7260999996;4022347.2994999997;4103536.6363;4183008.4610000006;4261253.030299999;4338893.129700001;4416079.854000002;4492108.598700001;4570618.572300001;4586666.0496;4600432.241;4618018.963900001;4622615.471899999;4623671.8165;4623782.602099999;4623927.0461;4622897.073600002;4618999.4547999995;4612605.677100001;4595111.459600001;4574021.657699999;4550467.1701;4524711.4509;4497829.195800001;4467478.818199999
01;01;02;06;273040.8814;261741.79439999996;250474.68180000002;239239.47680000003;228036.10849999997;216864.51059999995;205724.6147;194476.02570000003;183275.07;172121.59590000001;161015.44999999995;149956.47879999998;138944.1091;127978.58260000001;117059.7617;106188.10299999999;95361.95199999999;84583.08570000001;73850.33870000001;63162.6714;52520.90819999999;41924.0177;31370.520199999995;20866.2602;10405.434200000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;03;01;472847.2787000001;453279.7235;433767.5407;414310.61499999993;394908.82369999995;375562.0515;356270.18069999997;336828.17189999996;317836.5111;298969.0882;280219.92269999994;261586.9396;243069.0559;224662.9586;206360.0949;188171.47720000002;170072.0516;152138.8213;134303.9696;116585.53080000001;98949.7865;81398.8423;63904.67440000001;47123.7279;32532.222099999995;18424.5076;21591.856;24395.8843;26712.0316;29021.7169;31382.940800000004;33789.032199999994;35815.9573;38261.5316;41265.119;44785.6267;48587.2358;53959.6977;58589.870500000005;63289.7178;68914.9458;74448.61649999999
01;01;03;02;8913909.589599999;8546769.608099999;8182167.0633999985;7895844.810199999;7600590.6285000015;7311400.580799999;7024216.774699998;6807632.1178;6634182.009399999;6496125.463100001;6387980.7594;6324871.857299999;6258715.2034;6187863.7429;6113695.339599999;6039964.9536;5964226.428099999;5876917.175200002;5770459.927800001;5653361.131399999;5536950.991299999;5413361.881900001;5281776.21;5143118.299699999;4993729.826199998;4832296.3184;5018204.7196;5200192.0474000005;5305599.938999999;5424755.132100002;5536494.256999999;5646713.807100001;5679330.8564;5668688.478799999;5625086.8589;5553925.1071999995;5441786.1981;5331375.7536;5225251.531200001;5122724.3655;5022763.7506;4923042.2054
01;01;03;03;3679917.909;3527634.0741000003;3375780.3496;3224357.5199;3073363.7742;2922798.2127000005;2772659.9146;2621056.1906;2470094.9916;2319772.7518;2170089.4127999996;2021041.88;1872627.1228;1724843.1675;1577691.0548;1431166.5858999998;1285266.8364;1139990.7361;995335.4084999999;851300.0251000001;707883.3441;565082.6284;422894.80559999996;281319.10150000005;140348.5955;1659.8365;1656.2513999999999;1652.6735;1649.1035;1645.5414;1641.987;1638.4402;1634.9012000000002;1743.3775999999998;2044.4287;2664.9085;3800.0260999999996;5670.6389;7367.238;9700.8304;14172.974500000002;19880.4657
01;01;03;04;6771768.216999999;7323424.323799999;7871977.504299999;8341685.743200001;8819762.9893;9291214.7205;9760102.946100002;1.01455599689E7;1.0486709166100003E7;1.07916150949E7;1.1065766021900004E7;1.12940486467E7;1.1524543903399995E7;1.1758909326999998E7;1.1995778345700001E7;1.22313920692E7;1.24682127875E7;1.2715730230299998E7;1.2981600394800002E7;1.32572931517E7;1.3531513173700003E7;1.3812133212100001E7;1.4099906722100005E7;1.4393321759199997E7;1.4694593435700001E7;1.50051523652E7;1.4773094506800001E7;1.4545424517699996E7;1.43949249766E7;1.4230788344099995E7;1.4074131006199997E7;1.3919078641899994E7;1.38420995847E7;1.3807879506199997E7;1.3805799206199996E7;1.38303091706E7;1.3894822839200003E7;1.3954284775900003E7;1.4011225351400003E7;1.4064136347699998E7;1.4111508482200002E7;1.41576528916E7
01;01;03;06;1032288.8184;989570.2297999999;946970.2947;904492.3484999998;862135.7898000001;819899.3452;777782.7562000001;735254.2616999999;692906.8811000001;650738.4856;608748.9047999999;566936.5823;525303.0693;483846.79709999997;442567.28990000003;401463.86110000004;360535.16059999994;319780.70719999995;279200.8767999999;238798.12919999997;198565.89140000002;158505.9766;118700.7586;79088.22720000001;39631.7384;317.00739999999996;409.75919999999996;491.6696;562.8941;622.6171999999999;659.6252;658.2004;656.7786;716.6000999999999;936.5611999999999;1381.1027;2094.223;3914.9336000000003;4977.5547;5856.3073;6733.5207;7545.4974999999995
