branche;occupation;periodeSimple;energieUsage;usage;usageSimple;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;01;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Bureautique;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Froid_alimentaire;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Process;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;03;Cuisson;Cuisson;2.066420315265E8;1.9773436951999998E8;1.892107167357E8;1.810544725266E8;1.732498196796E8;1.6578160558200002E8;1.5863532018919998E8;1.516828593622E8;1.4503511603E8;1.386787096489E8;1.326008665255E8;1.2678941922049999E8;1.212326500462E8;1.1591941962890002E8;1.108390469643E8;1.059813355961E8;1.0133653825050001E8;9.68952831513E7;9.264869499430001E7;8.85881889331E7;8.470566087529999E7;8.09932955332E7;7.74436237674E7;7.40495149446E7;7.080418539279999E7;6.770107157329999E7;6.47339474508E7;6.1896871431600004E7;5.9184132109400004E7;5.6590302140099995E7;5.4110132389199995E7;5.1738652012099996E7;4.94711145793E7;4.73029595673E7;4.5229845068299994E7;4.324756356340001E7;4.1352163981E7;3.9539840559700005E7;3.78069378347E7;3.61499807188E7;3.45656417385E7;3.3050752009499997E7
01;01;01;04;Autre;Autre;9.76363231145E7;9.749571964149998E7;9.735533537499999E7;9.721512911000003E7;9.7075139981E7;9.693534957900001E7;9.679575355800001E7;9.658668104849999E7;9.63780554595E7;9.6169878841E7;9.59621512135E7;9.5754870486E7;9.554803870850001E7;9.534165385149999E7;9.513571484899999E7;9.493022069649999E7;9.4725175002E7;9.452057835999998E7;9.43164042025E7;9.41126769655E7;9.39093969565E7;9.3706525246E7;9.35041074055E7;9.330213872E7;9.3100594979E7;9.289950242249998E7;9.26988339905E7;9.24986081125E7;9.229880660499999E7;9.20994476515E7;9.19005127815E7;9.17020022615E7;9.150391174549998E7;9.1306261754E7;9.110903791649999E7;9.09122546035E7;9.0715891274E7;9.0519952274E7;9.03244310025E7;9.01293318055E7;8.993465466250001E7;8.974039545300001E7
01;01;01;04;Cuisson;Cuisson;2.3719173342999997E9;2.269671802235E9;2.1718343759449997E9;2.078213624175E9;1.98862860634E9;1.902904822135E9;1.82087732282E9;1.741074470795E9;1.664769181785E9;1.59180793088E9;1.52204426567E9;1.455338139175E9;1.391555675735E9;1.330568527925E9;1.2722542346899998E9;1.216495439065E9;1.1631804980500002E9;1.11220214806E9;1.0634579182049999E9;1.01685005731E9;9.722849892299999E8;9.29672737005E8;8.889281905799999E8;8.4996938337E8;8.1271799205E8;7.77099257425E8;7.4304165725E8;7.10476612055E8;6.793386837900001E8;6.49565577465E8;6.21097195485E8;5.9387659992E8;5.6784896803E8;5.429619383050001E8;5.1916583350499994E8;4.9641257723499995E8;4.74656303E8;4.5385376933E8;4.33962774105E8;4.14943756425E8;3.9675813652E8;3.7936952217499995E8
