branche;occupant;typeRenovationBatiment;typeRenovationSysteme;cible;annee;surface;aides;investissement;prets;pretsBonifies;reglementation
08;05;Etat initial;Chgt systeme_08;0;2050;770443.4606999999;0.0;2.036104357E7;2.036104357E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2049;772302.5286000001;0.0;2.04139526E7;2.04139526E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2048;773644.6262;0.0;2.045184686E7;2.045184686E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2047;775510.6795999999;0.0;2.0510473529999997E7;2.0510473529999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2046;776551.1108;0.0;2.054628294E7;2.054628294E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2045;861262.4890000001;0.0;2.2709684060000002E7;2.2709684060000002E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2044;861234.1889999999;0.0;2.2725892540000003E7;2.2725892540000003E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2043;861571.015;0.0;2.274193294E7;2.274193294E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2042;864253.8180000002;0.0;2.2930146650000002E7;2.2930146650000002E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2041;864729.3659999999;0.0;2.294955678E7;2.294955678E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2040;841472.035;0.0;2.2385568539999995E7;2.2385568539999995E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2039;842784.4519999999;0.0;2.2415580119999997E7;2.2415580119999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2038;843002.568;0.0;2.2450550659999996E7;2.2450550659999996E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2037;843630.1540000002;0.0;2.248530861E7;2.248530861E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2036;844446.6860000001;0.0;2.24917048E7;2.24917048E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2035;844984.542;0.0;2.250414427E7;2.250414427E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2034;670911.108;0.0;1.8082426259999998E7;1.8082426259999998E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2033;674393.6386000001;0.0;1.8199841189999998E7;1.8199841189999998E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2032;680765.8082000001;0.0;1.838317863E7;1.838317863E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2031;684596.9672000001;0.0;1.845943754E7;1.845943754E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2030;689946.3194;0.0;1.85588028E7;1.85588028E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2029;691998.3156000001;0.0;1.862572842E7;1.862572842E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2028;693803.2758000001;0.0;1.8683559830000002E7;1.8683559830000002E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2027;695706.1494;0.0;1.870027029E7;1.870027029E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2026;697524.2491;0.0;1.871749493E7;1.871749493E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2025;699346.1606;0.0;1.8733173580000002E7;1.8733173580000002E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2024;701171.1171999999;0.0;1.8615002889999997E7;1.8615002889999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2023;703004.0618;0.0;1.86672566E7;1.86672566E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2022;704837.2146000001;0.0;1.872011297E7;1.872011297E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2021;706678.6945;0.0;1.87727501E7;1.87727501E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2020;708523.9605;0.0;1.88253218E7;1.88253218E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2019;710371.4798999999;0.0;1.8877592959999997E7;1.8877592959999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2018;712226.1853;0.0;1.8930891E7;1.8930891E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2017;714083.804;0.0;1.788377319E7;1.788377319E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2016;715945.7165000001;0.0;1.789871603E7;1.789871603E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2015;717813.7324;0.0;1.7945344310000002E7;1.7945344310000002E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2014;719061.2592;0.0;1.797654773E7;1.797654773E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2013;720310.0884;0.0;1.800776869E7;1.800776869E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2012;721561.6545999999;0.0;1.8039050889999997E7;1.8039050889999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2011;722815.5761;0.0;1.807037313E7;1.807037313E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2010;724070.7386999999;0.0;1.810176167E7;1.810176167E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2050;271961.1649;0.0;7203685.977;7203685.977;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2049;272388.1329;0.0;7217198.53;7217198.53;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2048;272949.0271;0.0;7233797.022;7233797.022;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2047;273651.4568;0.0;7255781.5600000005;7255781.5600000005;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2046;274269.9987;0.0;7276039.147;7276039.147;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2045;304042.42209999997;0.0;8032844.041999999;8032844.041999999;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2044;304316.5906;0.0;8046610.42;8046610.42;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2043;304476.3517;0.0;8053779.33;8053779.33;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2042;305138.4214;0.0;8067591.544;8067591.544;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2041;305661.2997;0.0;8096860.642;8096860.642;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2040;297327.8669;0.0;7982702.721;7982702.721;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2039;298063.214;0.0;8009779.1;8009779.1;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2038;298161.1081;0.0;8013172.416999999;8013172.416999999;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2037;298423.52509999997;0.0;8028495.657;8028495.657;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2036;298704.8809;0.0;8041344.709;8041344.709;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2035;298884.85219999996;0.0;8046612.555;8046612.555;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2034;237044.8345;0.0;6394290.025;6394290.025;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2033;238397.0771;0.0;6444421.382;6444421.382;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2032;240419.9339;0.0;6503947.084;6503947.084;0.0;non
