branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.6914795509999998E7;2.5945758800000004E7;2.497973886E7;2.4016730439999998E7;2.305671912E7;2.2099693509999998E7;2.10793349485E7;1.99400490202E7;1.8822634215099998E7;1.77275840849E7;1.6761507385300001E7;1.5805365319899999E7;1.48587745664E7;1.39216390932E7;1.29938230688E7;1.20841182305E7;1.1184313603600001E7;1.02961799237E7;9416614.351899998;8550406.918399999;7699906.988999999;7203701.963900001;7568452.7949;7976959.880000001;8404689.5362;8866231.381199999;9244049.3739;9539731.489300001;9763761.7891;9996881.878099997;1.10429438684E7;1.1975691013500001E7;1.2782439949800001E7;1.346729221E7;1.4025463556599999E7;1.4448970771500003E7;1.4773438859300002E7;1.50094941596E7;1.5182104031299999E7;1.5172972633E7;1.51222384287E7
01;01;01;01;ECS;ECS;1.0;2033374.6695;2560310.2495999997;3087244.8197999997;3614179.3900000006;4141113.9594;4668049.126700001;5194983.994;5654389.7367;6111253.727500001;6566082.8556;7019922.8484000005;7471713.1065;7881061.4640999995;8288343.267100001;8693696.8164;9096870.504700001;9101569.5332;9098936.3147;9091552.315200001;9084662.2753;9072431.4781;9055694.686;8974076.4618;8889185.279;8809431.8298;8730328.532000002;8651438.3233;8613626.4632;8574094.1041;8529398.714;8487336.9483;8341819.7522;8193734.3545;8047649.9107;7904859.8845999995;7748977.003;7590914.1401;7557664.442500001;7525281.6562;7492135.9145;7451530.999;7401045.809400001
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.747;1493201.7587;1439597.5411999999;1386147.7147;1332851.9042;1279709.727;1226720.8040000002;1171778.6359;1108942.1061;1047126.8450999999;986516.0998;933045.2537;879875.247;827176.5205;774943.1527;723165.7239999999;671855.7746;621001.6501999999;570595.9062;520789.62909999996;472431.59849999996;433405.36759999994;394726.8681;366894.145;361020.6436;370952.7633;386140.24820000003;407820.89269999997;434771.9418;475091.8686;517970.7649;631651.0755;750033.8789000001;871425.2927999999;994103.1644000001;1117494.9039;1239544.1548;1366404.8201000001;1498862.5495;1636733.0764;1773598.1046;1911529.2633
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.3544485493499998E7;1.3701036645799998E7;1.3852323928499999E7;1.4010295907200001E7;1.4232215691399999E7;1.45058018682E7;1.46502113181E7;1.47266712654E7;1.4796893323900001E7;1.4844180822500002E7;1.49722670417E7;1.5051014095099999E7;1.5100331000400001E7;1.51389173962E7;1.5117429859199999E7;1.5063954272300003E7;1.49915574316E7;1.4897951694E7;1.47770924816E7;1.4474362938300002E7;1.4109478078100001E7;1.3748536546999998E7;1.3374845889600001E7;1.29946112591E7;1.2606864887199998E7;1.22169983315E7;1.1830883878299998E7;1.1453860626500003E7;1.1075525344E7;1.0693426165800001E7;1.0140281401100004E7;9603592.250200002;9075981.7957;8537770.6253;7955247.475199998;7347495.7707;6741938.6214;6154634.6085;5581208.459700001;5019533.7930000005;4471088.704600001
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.4064;5808407.9797;5596453.3291;5385387.593599999;5175204.0956;4965896.2136;4757457.4081;4505406.2353;4244286.643199999;3990062.5700000003;3742581.5584;3524184.6181;3310304.1616;3099811.2247;2892663.0734;2688816.9096;2488231.1006;2288548.4285;2092438.3255;1899850.1349000002;1710734.0583;1523506.4134000002;1345868.5986999997;1170365.8465;996978.8105;824860.3541999998;655158.3787;487846.83030000003;322900.1905;160292.95179999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371000001;1596046.6243000003;1538676.1354;1481476.8972;1424448.3949000002;1367590.1096;1310901.5265;1251995.4114;1186037.4382;1120164.5071;1055738.688;998950.0186999999;942697.9048;889915.8951;837627.7788000001;785897.5455;734936.4413;690617.9105;647408.1553;611021.0636;582058.4506;561618.5103;547131.7599000001;544685.2384999999;582984.5162000001;631386.4628;688796.5782;754035.8918;829136.2391;918042.2274000001;1024683.5693000001;1143671.987;1271217.7922;1405204.6804000002;1544612.4326999998;1686564.0369;1828134.2356000002;1962984.0018;2092381.8891999999;2214574.3197;2323295.5737;2417278.7516
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841;968739.9272;933861.8670000001;899092.4729999999;864431.3469000001;829878.0898999998;795432.306;758708.168;717703.2798999998;677485.6423000001;638072.7461000001;603301.826;568904.056;534850.2108;501136.80129999993;467758.82449999993;435052.97439999995;402705.1631;370783.3171;339169.01920000004;308044.29720000003;277496.86299999995;260344.9122;275743.0352;292787.5;310520.57840000006;329520.3553;345344.005;358050.27780000004;368026.8417;378853.5015000001;418625.09520000004;454106.463;484814.12570000003;510900.0467;532178.4310999999;548356.4181;560703.7551000001;569649.5038;576197.2169;575871.2185000001;573962.8875
01;01;01;02;Chauffage;Chauffage;2.58;1.3977260778E8;1.42492779405E8;1.45953648438E8;1.4949242328E8;1.5288042322E8;1.5501619538E8;1.5614449543E8;1.5619050243010002E8;1.555029903779E8;1.54871515103E8;1.542937987757E8;1.548880945395E8;1.558166279815E8;1.5686155801770002E8;1.580593351807E8;1.6039922691649997E8;1.632635282567E8;1.6615369224370003E8;1.693643325989E8;1.726367746792E8;1.78862549781E8;1.85632583551E8;1.922130793943E8;1.9772962118549997E8;2.010381670152E8;2.0408926942039996E8;2.0671908199840003E8;2.0883188577120003E8;2.10582089939E8;2.1188668392280003E8;2.127347940816E8;2.104199074222E8;2.0749939425489998E8;2.0418766503109998E8;2.0075589038779998E8;1.980175618725E8;1.955802294541E8;1.930692785636E8;1.899617099572E8;1.8644825082939997E8;1.8263570574409997E8;1.7867442096350002E8
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.437296083572E8;1.431066373871E8;1.42489897904E8;1.41879528608E8;1.411944378798E8;1.4043327467949998E8;1.395950556578E8;1.3867882495160002E8;1.376835749977E8;1.357870628647E8;1.338006470403E8;1.3172308109349999E8;1.295531279357E8;1.289195961042E8;1.283490386249E8;1.2784195395030001E8;1.2740398912539999E8;1.270303011128E8;1.267214646143E8;1.263729974315E8;1.260088701128E8;1.256288524825E8;1.2523270692169999E8;1.248201975896E8;1.250637270156E8;1.25298710588E8;1.255250144128E8;1.257425015366E8;1.259582762761E8;1.2558243381779999E8;1.2519529202180001E8;1.247999611878E8;1.243931919835E8;1.23974825155E8;1.24180823953E8;1.24388275253E8;1.2459719428E8;1.2480759475499998E8;1.2501949224499999E8
01;01;01;02;ECS;ECS;2.58;2.5571580519999996E7;2.6159964393E7;2.6748346257E7;2.7336737031999998E7;2.7925118006E7;2.8513505982E7;2.9101891536E7;2.9217071573999997E7;2.934435878E7;2.9483350082999997E7;2.9627681483000003E7;2.9784322283999998E7;2.959935027E7;2.9259553743E7;2.8908223052E7;2.8516596058E7;2.7799536843E7;2.70553854947E7;2.63191277614E7;2.5957677097899996E7;2.56096848222E7;2.52645432301E7;2.40191504083E7;2.2776793916099995E7;2.18928750606E7;2.0756430920199998E7;1.96211126356E7;1.85083757683E7;1.75649589138E7;1.66324683368E7;1.5695072239800002E7;1.4709894209099999E7;1.37278065679E7;1.2750058905E7;1.2694748094E7;1.2616419504400002E7;1.25422881881E7;1.2437655911600001E7;1.2348474616E7;1.22647404725E7;1.21893368255E7;1.2116515913400002E7
