COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Auxiliaires;02;161935612.10239998;161935612.10239998
01;2009;01;Chauffage;01;136259096.47999993;90565331.04
01;2009;01;Chauffage;02;1001604666.7789999;1273283642.9499996
01;2009;01;Chauffage;03;814589684.8200003;450145664.81
01;2009;01;Chauffage;04;2342096018.99;1707036292.26
01;2009;01;Chauffage;06;498869709.25000006;338280639.37000006
01;2009;01;Climatisation;02;671834689.46;2045961804.57
01;2009;01;ECS;01;9071833.728000002;4989509.0518
01;2009;01;ECS;02;148475611.74089998;133628066.55869998
01;2009;01;ECS;03;60263103.427999996;30131552.095999997
01;2009;01;ECS;04;142757484.91099995;99930247.28899999
01;2009;01;ECS;06;31425478.074100006;17284012.684199996
01;2009;01;Eclairage;02;1114264075.4569998;1114264075.4569998
01;2009;01;Ventilation;02;213304275.7954;213304275.7954
01;2009;02;Auxiliaires;02;86783798.78770004;86783798.78770003
01;2009;02;Chauffage;01;71553032.59799998;47577082.479
01;2009;02;Chauffage;02;514193253.37999994;716991445.2419999
01;2009;02;Chauffage;03;417804386.95900005;231002354.58899996
01;2009;02;Chauffage;04;1264052839.7649999;922410009.6849998
01;2009;02;Chauffage;06;245149899.17900002;166324909.52999994
01;2009;02;Climatisation;02;740826374.7;2255683856.12
01;2009;02;ECS;01;6696829.3281000005;3683255.9359999993
01;2009;02;ECS;02;114822062.591;103339849.92300001
01;2009;02;ECS;03;43714089.90800001;21857044.575000007
01;2009;02;ECS;04;107410555.69210002;75187394.1255
01;2009;02;ECS;06;20503633.5188;11276998.443300001
01;2009;02;Eclairage;02;791142334.851;791142334.851
01;2009;02;Ventilation;02;167966210.20239994;167966210.20239994
01;2009;03;Auxiliaires;02;737402554.7035997;737402554.7035998
01;2009;03;Chauffage;01;567355163.37;376748225.3
01;2009;03;Chauffage;02;5181809539.400001;6356962359.930001
01;2009;03;Chauffage;03;4083642753.6;2256376395.88
01;2009;03;Chauffage;04;10259848207.18;7475452168.390001
01;2009;03;Chauffage;06;2339191374.39;1585238968.7800002
01;2009;03;Climatisation;02;996865176.86;3033464541.4700003
01;2009;03;ECS;01;16700255.756599998;9185140.688900001
01;2009;03;ECS;02;332130925.653;298917836.325
01;2009;03;ECS;03;134159608.55;67079804.426
01;2009;03;ECS;04;289353732.294;202547620.27700004
01;2009;03;ECS;06;68579367.96200001;37718652.62759999
01;2009;03;Eclairage;02;2294285725.01;2294285725.01
01;2009;03;Ventilation;02;429346443.15849996;429346443.15849996
01;2010;01;Auxiliaires;02;158846146.35809997;158846146.35809994
01;2010;01;Chauffage;01;131500922.67999999;87402810.50319998
01;2010;01;Chauffage;02;1056536485.2204001;1312017286.475
01;2010;01;Chauffage;03;785943908.4699999;434315494.90339977
01;2010;01;Chauffage;04;2322157143.04;1692710427.1416004
01;2010;01;Chauffage;06;481522489.28999996;326517589.41990006
01;2010;01;Climatisation;02;670694776.707;2055788521.1500003
01;2010;01;ECS;01;12166332.3858;6723666.328599998
01;2010;01;ECS;02;151984281.65099996;137762581.0359
01;2010;01;ECS;03;56639757.22159999;28323660.9135
01;2010;01;ECS;04;136873829.9829;95869459.7684
01;2010;01;ECS;06;31392854.755099997;17284013.558499996
01;2010;01;Eclairage;02;1108945348.2289;1108945348.2289
01;2010;01;Ventilation;02;213035938.28170002;213035938.28170004
01;2010;02;Auxiliaires;02;85808224.22210012;85808224.2221001
01;2010;02;Chauffage;01;69043036.25999999;45908171.35610001
01;2010;02;Chauffage;02;531938243.59880024;724995669.2466006
01;2010;02;Chauffage;03;403090819.8409998;222867131.2632999
01;2010;02;Chauffage;04;1269460162.1870005;926478433.4075001
01;2010;02;Chauffage;06;236610295.41799998;160531114.74499997
01;2010;02;Climatisation;02;738842166.0040001;2264070487.2981997
01;2010;02;ECS;01;9005834.467699999;4977181.748800001
01;2010;02;ECS;02;117422815.0156;106428947.64790002
01;2010;02;ECS;03;41085754.430700004;20545622.325600006
01;2010;02;ECS;04;102960982.57579999;72115792.76870002
01;2010;02;ECS;06;20482346.143799998;11276997.3813
01;2010;02;Eclairage;02;787365930.5856999;787365930.5856999
01;2010;02;Ventilation;02;167762532.74200007;167762532.74200007
01;2010;03;Auxiliaires;02;741365127.7186996;741365127.7186996
01;2010;03;Chauffage;01;547437726.3187999;363522245.2916
01;2010;03;Chauffage;02;5079752581.234899;6209729101.0339985
01;2010;03;Chauffage;03;3939564756.9646997;2176765285.9646
01;2010;03;Chauffage;04;10602800137.863705;7739179248.119503
01;2010;03;Chauffage;06;2257323498.2119994;1529758273.7779005
01;2010;03;Climatisation;02;994244201.2408998;3044907371.7077003
01;2010;03;ECS;01;23117982.290700004;12780460.011399997
01;2010;03;ECS;02;339251089.7683;307469201.3333
01;2010;03;ECS;03;126093187.12200002;63055018.14610001
01;2010;03;ECS;04;277603593.41020006;194443040.17789996
01;2010;03;ECS;06;68509749.9458;37719715.1425
01;2010;03;Eclairage;02;2283309660.4104996;2283309660.4104996
01;2010;03;Ventilation;02;428830902.86959934;428830902.86959934
01;2010;04;Auxiliaires;02;4865504.065299999;4865504.065299999
01;2010;04;Chauffage;01;11856331.574;8171121.613599999
01;2010;04;Chauffage;02;39566902.57559998;41176550.38370002
01;2010;04;Chauffage;04;88023800.8917;70701948.27529998
01;2010;04;Chauffage;06;7938600.675599999;5677564.3895000005
01;2010;04;Climatisation;02;27592231.711700004;92416993.37030004
01;2010;04;ECS;01;416962.7344000001;281449.85970000003
01;2010;04;ECS;02;7989045.6779;10785211.257900001
01;2010;04;ECS;04;7439972.202699997;5951978.1433
01;2010;04;ECS;06;1547513.5610999998;1044571.5936999999
01;2010;04;Eclairage;02;45510286.7761;45510286.7761
01;2010;04;Ventilation;02;14025684.689200003;14025684.689200003
01;2011;01;Auxiliaires;02;155660991.01510012;155660991.01510012
01;2011;01;Chauffage;01;126758272.92999999;84250592.15409999
01;2011;01;Chauffage;02;1113294201.9703;1352487159.4405997
01;2011;01;Chauffage;03;757407111.7900001;418545570.8623001
01;2011;01;Chauffage;04;2299729312.606;1676561432.2786992
01;2011;01;Chauffage;06;464226098.60999995;314788987.8859999
01;2011;01;Climatisation;02;669090191.862;2064046637.8816
01;2011;01;ECS;01;15260829.125400003;8457823.359900001
01;2011;01;ECS;02;155492955.34310004;141897098.61510006
01;2011;01;ECS;03;53016399.734999985;26515769.4329
01;2011;01;ECS;04;130990181.28690003;91808674.41960001
01;2011;01;ECS;06;31360233.417800006;17284014.4096
01;2011;01;Eclairage;02;1103640022.6340997;1103640022.6340997
01;2011;01;Ventilation;02;212768179.7963;212768179.7963
01;2011;02;Auxiliaires;02;84789589.51750003;84789589.51750003
01;2011;02;Chauffage;01;66542106.59500001;44245286.111200005
01;2011;02;Chauffage;02;550505349.3080999;733788569.1564994
01;2011;02;Chauffage;03;388434864.089;214763777.10349998
01;2011;02;Chauffage;04;1273728907.1160007;929713377.3410996
01;2011;02;Chauffage;06;228096869.90299988;154755083.87769997
01;2011;02;Climatisation;02;736912239.7400998;2272638142.4786005
01;2011;02;ECS;01;11314840.842700003;6271107.579600001
01;2011;02;ECS;02;120023581.58129999;109518046.26390003
01;2011;02;ECS;03;38457421.11179999;19234200.570400003
01;2011;02;ECS;04;98511390.36679997;69044192.5002
01;2011;02;ECS;06;20461059.514200002;11276996.297600003
01;2011;02;Eclairage;02;783599095.4154;783599095.4154
01;2011;02;Ventilation;02;167559004.1363;167559004.1363
01;2011;03;Auxiliaires;02;745271170.1634996;745271170.1634996
01;2011;03;Chauffage;01;527530339.05159986;350303059.02860004
01;2011;03;Chauffage;02;4977680954.498001;6062737728.264698
01;2011;03;Chauffage;03;3795917808.3779;2097392602.7652001
01;2011;03;Chauffage;04;10938933767.940004;8001329243.9421
01;2011;03;Chauffage;06;2175744185.1351;1474473387.5036004
01;2011;03;Climatisation;02;991708197.4531993;3056633562.5928006
01;2011;03;ECS;01;29535912.097200006;16375916.423100006
01;2011;03;ECS;02;346375179.90169996;316025834.4168
01;2011;03;ECS;03;118026765.17220001;59030231.55949999
01;2011;03;ECS;04;265857074.30280006;186341367.60009998
01;2011;03;ECS;06;68440886.14489998;37721287.457499996
01;2011;03;Eclairage;02;2272350146.2341003;2272350146.2341003
01;2011;03;Ventilation;02;428318608.91250014;428318608.91250014
01;2011;04;Auxiliaires;02;9515676.591699997;9515676.591699997
01;2011;04;Chauffage;01;27834453.94499999;19204895.688300002
01;2011;04;Chauffage;02;83633599.83480005;88965430.90249999
01;2011;04;Chauffage;04;168051453.09839988;135629685.79550004
01;2011;04;Chauffage;06;13300320.071;9539062.780599998
01;2011;04;Climatisation;02;56012228.286199994;187606493.96300003
01;2011;04;ECS;01;834814.2191999999;565714.2276999998
01;2011;04;ECS;02;15686779.364800002;21678273.89229999
01;2011;04;ECS;04;14870749.0771;11963476.724799998
01;2011;04;ECS;06;3098325.1570999995;2099588.8748
01;2011;04;Eclairage;02;91702778.56590003;91702778.56590003
01;2011;04;Ventilation;02;28261620.04919997;28261620.04919997
01;2012;01;Auxiliaires;02;152325992.7645;152325992.7645
01;2012;01;Chauffage;01;122031038.99999999;81108631.46370003
01;2012;01;Chauffage;02;1172916499.7003002;1395647706.8230004
01;2012;01;Chauffage;03;728978532.53;402835517.7992001
01;2012;01;Chauffage;04;2273510440.106;1657635764.7624
01;2012;01;Chauffage;06;446980333.2399998;303094733.5683999
01;2012;01;Climatisation;02;667544482.7838;2072500921.2575002
01;2012;01;ECS;01;18355325.5919;10191980.487000003
01;2012;01;ECS;02;159001615.45789996;146031618.3272
01;2012;01;ECS;03;49393050.09499999;24707877.371599995
01;2012;01;ECS;04;125106544.20400001;87747890.15500002
01;2012;01;ECS;06;31327612.116600003;17284015.243799996
01;2012;01;Eclairage;02;1098348122.7108002;1098348122.7108002
01;2012;01;Ventilation;02;212501053.83540004;212501053.83540004
01;2012;02;Auxiliaires;02;83693340.73899995;83693340.73899995
01;2012;02;Chauffage;01;64050189.33099999;42588391.2914
01;2012;02;Chauffage;02;570556720.0375999;743978909.2905
01;2012;02;Chauffage;03;373836141.24299985;206692074.78989992
01;2012;02;Chauffage;04;1275745473.844;931506384.9210997
