branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.672917473E7;2.5575103029999997E7;2.442463369E7;2.3277753939999998E7;2.21344493E7;2.0994709000000004E7;1.9796165130300004E7;1.84897155992E7;1.72090469837E7;1.59545461906E7;1.4820360523E7;1.3691958262699997E7;1.2574668720700001E7;1.14727637618E7;1.03819198504E7;9307434.092000002;8244540.4806;7191999.021500002;6150900.9593;5127242.6733;4461797.931;4311548.9352;4393707.4879;4503000.763599999;4610853.3559;6120845.0455;7599050.174800001;9020399.869900001;1.0343118636899997E7;1.15469274736E7;1.2617300189800004E7;1.35855758519E7;1.4458079164900003E7;1.52179166674E7;1.58473178785E7;1.6310391719799997E7;1.6693702261300001E7;1.6986454408800002E7;1.7189444051999997E7;1.7162518713800002E7;1.70901900118E7
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;2560310.2496;3087244.8198;3614179.39;4141113.9594;4668049.1267;5194983.994;5654389.736700001;6111253.7275;6566082.8556;7019922.8484000005;7471713.106500001;7881061.4640999995;8288343.267100001;8693696.8164;9096870.5047;9101569.5332;9098932.9561;9091541.6912;9084621.4591;9072357.369500002;9054776.592200002;8973129.8447;8888200.516;8808403.7652;8729250.660099998;8650118.6105;8612061.193100002;8572270.1546;8527298.6127;8484931.945500001;8339298.105800001;8191088.3498;8044776.9041;7901626.637;7757437.632099999;7611321.342800001;7589001.260500001;7567140.4093;7543907.0155;7511997.4431;7479257.968800001
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.7470000002;1482903.8104000003;1419031.8544;1355344.4321;1291841.0725999998;1228521.3325999998;1165384.7577000002;1100452.9144;1028291.6399000001;957370.5902999999;887859.6817999999;825001.3976999999;762550.7295000001;700651.5695999999;639313.0967999999;578524.0331;518280.0772;458574.47010000004;400031.05210000015;349155.6941999999;304872.08800000005;263117.9852;233097.89919999999;220196.49029999998;217873.1748;221860.8252;310042.2287999999;412949.51279999997;528483.9608;657121.4162999999;794215.2373;938874.1484;1095462.8424;1266663.9234000002;1450223.3088;1644830.2101999996;1844220.419;2056313.9820000005;2281941.5284;2518619.5138;2756060.0043000006;2995697.7572000003
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.3246327215700004E7;1.3112074448E7;1.29463992673E7;1.2838970261699999E7;1.28037883191E7;1.29011303344E7;1.3060445406500002E7;1.3140205677800002E7;1.3204810197400002E7;1.3210631974300003E7;1.3237230156399997E7;1.32061827286E7;1.31559904649E7;1.3084939487100001E7;1.2990556114500001E7;1.2870040660500001E7;1.26966241097E7;1.24163724524E7;1.20953120253E7;1.17454236255E7;1.1361916879099999E7;1.09957341261E7;1.06213349957E7;1.0246236354699997E7;9874634.964699998;9598832.5861;9341041.6316;9111555.857999995;8827766.534400001;8477563.434199998;8016272.9683;7386705.849999999;6777142.8625;6176699.4037;5603613.968300001;5076378.2499;4585293.355800001;4107098.1609000005;3648127.1215;3211449.3270000005;2798873.8787000002
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5768349.973699999;5516503.964299998;5265712.3142;5015967.0394;4767260.3537;4519584.526200001;4231164.1165000005;3935611.2295999997;3648057.2009;3368323.3971;3116121.1206000005;2868930.2661;2625722.4532999997;2386447.0404000003;2151053.5330999997;1919492.5781999999;1690005.0345999997;1464706.8624;1243538.3596;1026440.4761000001;812536.7819000001;605640.8853000001;401268.3236;199395.7692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1585039.4006;1516695.0396000003;1448555.1886;1380619.2112000003;1312886.5019;1245356.4470000002;1175799.0594000001;1099823.6145999997;1024231.8197;950294.4636000003;883474.1596;817275.5912000001;754385.8052999999;692065.0487;630136.9042;568768.8699999999;508211.1043;448304.65349999996;390294.79270000005;335114.25480000005;284876.09119999997;238606.86339999997;198016.92579999997;161845.659;135788.8562;178557.6948;230517.4096;292784.2293;364952.26410000003;448158.5086;541583.7809;642568.2080999999;758531.5863000001;890448.7487;1034306.0947;1189352.5836999998;1346646.6916;1500681.1002000002;1651423.4318999995;1798497.4139000005;1937403.6508
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;962058.959;920520.9778;879112.6397000002;837833.4565;796682.9631;755660.6889000001;712523.0634;665501.4143;619407.6121;574255.4557;533433.6964;492820.6788;452607.3627;412957.42299999995;373705.6823;335055.0404;296823.4819;258963.6371;221517.41949999996;184710.7613;161431.10170000003;157603.6088;162536.97260000004;168483.97570000004;174375.6226;231444.263;287313.319;341038.1709;391039.2507;436549.17559999996;477018.93820000003;513633.7963999999;546630.83;575379.4029999999;599188.4445;616717.9126999999;631229.3370000002;642317.2081999999;650008.7054999999;649008.8964000001;646292.4386999999
01;01;01;02;Chauffage;Chauffage;2.58;1.3977260778E8;1.4963229397000003E8;1.6008681961000004E8;1.7111480383E8;1.8099897665E8;1.894713689E8;1.9537766403999996E8;1.9671472357269993E8;1.973338871649E8;1.9801298544369996E8;1.993971838083E8;2.0312647399839994E8;2.0737459220689997E8;2.1159828040080008E8;2.1615447541910005E8;2.211653196477E8;2.2659850227479997E8;2.3295218961170006E8;2.4119812738860005E8;2.4984960759239998E8;2.587670695136E8;2.6778037719340003E8;2.7594306493590003E8;2.835442062723E8;2.907542497999E8;2.9767373746320015E8;2.9375435686930007E8;2.891494203257E8;2.835618128516001E8;2.784433208238E8;2.740839076352999E8;2.7138911809099996E8;2.710964573053E8;2.6975044201980007E8;2.6771812250300005E8;2.6457478933939993E8;2.601558193204E8;2.5482569978300005E8;2.489444040127E8;2.4234167219119993E8;2.3508996811819997E8;2.2703040490289995E8
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.437296083572E8;1.4318325776610002E8;1.4264543728E8;1.42116339129E8;1.414334362718E8;1.406745002205E8;1.3983854828579998E8;1.3892462539560002E8;1.379317247107E8;1.360374194817E8;1.340532494243E8;1.3197796892249998E8;1.2981034160269998E8;1.2917917669319999E8;1.2861102717289999E8;1.281063922873E8;1.276658637834E8;1.272900421548E8;1.269795359743E8;1.266309773205E8;1.262667541528E8;1.2588663523550001E8;1.2549038345869999E8;1.2507776235759999E8;1.2532135887959999E8;1.25556408185E8;1.257827760648E8;1.2600032575059998E8;1.2621616086809999E8;1.2584021295079999E8;1.254529614658E8;1.250542405318E8;1.246438827465E8;1.2422172155499999E8;1.24427773353E8;1.24635279253E8;1.2484425368E8;1.2505471045499998E8;1.25266665345E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.6159964393E7;2.6748346257E7;2.7336737031999998E7;2.7925118006E7;2.8513505982E7;2.9101891535999995E7;2.9217071574E7;2.934435878E7;2.9483350082999997E7;2.9627681483E7;2.9784322283999998E7;2.959935027E7;2.9259553743000004E7;2.8908223051999997E7;2.8516596058E7;2.7799536843E7;2.7055328295E7;2.6318946824999996E7;2.5956981954E7;2.5608422667999998E7;2.5261293911E7;2.40155342668E7;2.2772687199799996E7;2.18882114648E7;2.07511267763E7;1.96127014238E7;1.84968097432E7;1.7550069484899998E7;1.6614046265199998E7;1.5672769662600003E7;1.46862605885E7;1.3702909935000002E7;1.2723488884200001E7;1.2664922040499998E7;1.2605511423100002E7;1.25472263516E7;1.2457056425900001E7;1.23794565027E7;1.23017734656E7;1.2224962079E7;1.21591169811E7
