branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.672917473E7;2.5575103029999997E7;2.442463369E7;2.3277753939999998E7;2.21344493E7;2.0994709000000004E7;1.9796165030300003E7;1.8489715598E7;1.72090469785E7;1.59545461887E7;1.48203605074E7;1.3691958236499999E7;1.25746686967E7;1.14683894558E7;1.0373016096500002E7;9288449.74;8214543.5246;7151262.413700001;6098513.896299999;5059789.8696;4032702.7337000007;3014323.0138999997;2009398.0665000002;1056085.5422;321641.7179;450142.1909;583565.7740000001;789574.1542000001;1025654.3208;1463945.6235000002;1879038.6942;2408992.5206999998;2941483.0984;3402289.3938000007;3836259.021700001;4221086.49;4556264.572500001;4756748.8675;4823925.6067;4874570.296200001;4908683.638899999
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;2560310.2496;3087244.8198;3614179.39;4141113.9594;4668049.1287;5194983.996;5654389.738700001;6111253.7295;6565929.9206;7019762.6499;7471552.908000001;7880901.2656;8288183.068600001;8693536.6179;9096710.3062;9101409.3347;9098772.7576;9091381.4927;9084268.705599999;9071177.054000001;9054401.312399998;8972355.8563;8887193.8722;8806863.7928;8727697.373;8648648.639500001;8610622.3867;8570972.5824;8525672.162;8483223.814199999;8337541.529700001;8189295.4011;8042954.3376;7899386.835700001;7755281.260899999;7608026.306899999;7586024.668200001;7563721.0335;7539959.3666;7519407.310099999;7497738.9049
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.7470000002;1482903.8104000003;1419031.8548;1355344.4324999999;1291841.0729999999;1228521.3332;1165384.7584000002;1100452.9146999998;1028291.6402;957370.5909999998;887859.6795999999;825001.3986000001;762550.7304000001;700651.5728999999;639313.0999;578524.0384;518280.08210000006;458574.47170000005;399406.51000000007;340765.8385;282654.9701000001;225249.7547;168524.2875;119379.44060000002;73389.87770000001;36764.05509999999;59155.170900000005;104802.3848;159246.76559999998;224943.20080000002;302476.95219999994;393019.06169999996;501608.88889999996;637370.3054000001;805167.3843;1008601.9491000001;1244512.6908000002;1523092.9303;1843445.6578000004;2204570.5481;2587217.9232999994;2992363.2583
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.2816947533000004E7;1.22772669617E7;1.17244198278E7;1.13431571351E7;1.10238715482E7;1.07931727477E7;1.0586595291000003E7;1.0355815846699998E7;1.0151203734800002E7;9928652.584800001;9757942.034200002;9565655.680499999;9362967.9782;9143797.2054;8907317.260300001;8652120.722800002;8376515.7644;8019274.042300001;7651844.728999999;7269041.699100002;6868965.1786;6490007.0553;6117331.913600001;5750839.251599998;5389182.6655;5498684.129600001;5613655.702199999;5750293.368600001;5750477.400099999;5704386.4285;5592761.082099999;5365447.3302;5126911.6037;4865922.005700001;4597904.4679000005;4324827.7671;4052522.522;3777925.8764999993;3507573.7267;3245194.5270000002;2990703.9241000004
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5768349.973699999;5516503.965499999;5265712.315;5015967.0403;4767260.3541;4519584.526600001;4231164.116900001;3935611.2292;3648057.2009;3368323.4041;3116121.1307000006;2868930.2710000006;2625722.4471;2386447.0455000005;2151053.5385;1919492.5798999998;1690005.0298;1464706.861;1243538.3587999998;1026440.4692000002;812536.7830999999;605640.8811000001;401268.31859999994;199395.7667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1585039.4006;1516695.0396000003;1448555.1886;1380619.2112000003;1312886.5019;1245356.4470000002;1175799.0595;1099823.6145999997;1024231.8195000001;950294.4636000001;883474.1597999999;817275.5917999999;754385.8056000001;692065.0525;630136.9055;568768.8729000001;508124.6312;448032.12100000004;389707.7503000001;331829.2157;274389.3781;217219.3694;160628.10989999998;105634.5514;58161.586599999995;63290.70260000001;73582.8141;86823.0524;104572.59559999999;127113.6256;155701.1071;190281.01330000002;235764.79369999998;295793.0652;370443.9469000001;461244.67980000004;559761.5846;660907.5126999998;766037.569;876346.3148999999;987531.2004999998
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;962058.959;920520.9778;879112.6397000002;837833.4565;796682.9631;755660.6889000001;712523.0631;665501.4136999999;619407.6117;574255.4538;533433.693;492820.6766999999;452607.36140000005;412790.00859999994;373364.9128;334328.46849999996;295675.42840000003;257404.51739999998;219512.44350000002;182133.4146;145175.4223;108532.4552;72377.65269999999;38153.917799999996;12196.090100000001;17060.1822;22109.3422;29885.5298;38799.7183;55360.8937;71045.85699999999;91076.86610000001;111206.45529999999;128641.04360000002;145060.79469999997;159621.9628;172305.08190000002;179894.2098;182441.58410000007;184362.67;185657.50889999996
01;01;01;02;Chauffage;Chauffage;2.58;1.3977260778E8;1.5785751556E8;1.7607885414000002E8;1.9452410446E8;2.0965478876999998E8;2.23570160986E8;2.35760628732E8;2.4445140935119995E8;2.5126357780190003E8;2.569892944289E8;2.6275306587980002E8;2.7034079001680005E8;2.7786904740290004E8;2.85226449622E8;2.9285214523169994E8;3.008420994012E8;3.091295398789999E8;3.177521439745E8;3.278340869011E8;3.3792484480730003E8;3.4826550777159995E8;3.588848749599999E8;3.6906946612619996E8;3.7896827746830004E8;3.885917871329E8;3.9780320342689997E8;3.905305601943E8;3.827814434056001E8;3.7440480536679995E8;3.6827640438079995E8;3.6251497003510004E8;3.5752388590929997E8;3.536472549811E8;3.491328056596E8;3.4445629482979983E8;3.386744328567001E8;3.3173949429839987E8;3.2377385299320006E8;3.1510830409700006E8;3.055716369635E8;2.952958051793999E8;2.844537685175E8
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.437296083572E8;1.4318325776610002E8;1.4264543728E8;1.42116339129E8;1.414334362718E8;1.406745002205E8;1.3983854828579998E8;1.3892462539560002E8;1.379317247107E8;1.360374194817E8;1.340532494243E8;1.3197796892249998E8;1.2981034160269998E8;1.2917917669319999E8;1.2861102717289999E8;1.281063922873E8;1.276658637834E8;1.272900421548E8;1.269795359743E8;1.266309773205E8;1.262667541528E8;1.2588663523550001E8;1.2549038345869999E8;1.2507776235759999E8;1.2532135887959999E8;1.25556408185E8;1.257827760648E8;1.2600032575059998E8;1.2621616086809999E8;1.2584021295079999E8;1.254529614658E8;1.250542405318E8;1.246438827465E8;1.2422172155499999E8;1.24427773353E8;1.24635279253E8;1.2484425368E8;1.2505471045499998E8;1.25266665345E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.6159964393E7;2.6748346257E7;2.7336737031999998E7;2.7925118006E7;2.8513505982E7;2.9101891535999995E7;2.9217071574E7;2.934435878E7;2.9484063253E7;2.9628403930999998E7;2.9785044731999997E7;2.9600072718E7;2.9260276191000003E7;2.89089455E7;2.8517318506E7;2.7800259291E7;2.7056050743E7;2.6319669273E7;2.5953317142E7;2.5602089946E7;2.5258647601999998E7;2.40128116508E7;2.2770024179799996E7;2.18854439558E7;2.07472975638E7;1.96087182538E7;1.8492695943800002E7;1.75457136248E7;1.66085862098E7;1.56677736005E7;1.4684147339199997E7;1.3702939033400001E7;1.27208163553E7;1.2662644416700002E7;1.26024317044E7;1.2542288965400001E7;1.24510235782E7;1.23709706703E7;1.22909091906E7;1.2232822035400001E7;1.2178363941799998E7
