COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT
01;2009;01;Autre;01;49954723.10010001
01;2009;01;Autre;02;1239428506.7399998
01;2009;01;Autre;04;3011014.4662999986
01;2009;01;Bureautique;02;1910785867.0900002
01;2009;01;Cuisson;01;16654294.739799997
01;2009;01;Cuisson;02;127219557.78799997
01;2009;01;Cuisson;03;4543555.603300001
01;2009;01;Cuisson;04;73147748.96510004
01;2009;01;Froid_alimentaire;02;34084285.127100006
01;2009;01;Process;02;27370711.957599994
01;2009;02;Autre;01;37627572.612100005
01;2009;02;Autre;02;933350786.46
01;2009;02;Autre;04;2258238.3343000007
01;2009;02;Bureautique;02;1438915984.6200001
01;2009;02;Cuisson;01;12765104.138700003
01;2009;02;Cuisson;02;95802605.843
01;2009;02;Cuisson;03;3421521.8265
01;2009;02;Cuisson;04;54860269.82629999
01;2009;02;Froid_alimentaire;02;25667148.3698
01;2009;02;Process;02;20611497.8189
01;2009;03;Autre;01;107830692.903
01;2009;03;Autre;02;2667492320.8200006
01;2009;03;Autre;04;6161899.202199999
01;2009;03;Bureautique;02;4112383914.7599998
01;2009;03;Cuisson;01;43578113.7477
01;2009;03;Cuisson;02;273801345.092
01;2009;03;Cuisson;03;9778619.7422
01;2009;03;Cuisson;04;149693416.22500002
01;2009;03;Froid_alimentaire;02;73356041.45900002
01;2009;03;Process;02;58907117.87269999
01;2010;01;Autre;01;48217633.65450001
01;2010;01;Autre;02;1239409363.73
01;2010;01;Autre;04;2906311.4513000003
01;2010;01;Bureautique;02;1927142064.7399998
01;2010;01;Cuisson;01;15520027.2919
01;2010;01;Cuisson;02;131383765.87699997
01;2010;01;Cuisson;04;70183914.40129998
01;2010;01;Froid_alimentaire;02;33807975.5291
01;2010;01;Process;02;27331298.942500006
01;2010;02;Autre;01;36319137.409799986
01;2010;02;Autre;02;933336269.8099998
01;2010;02;Autre;04;2179711.9172000005
01;2010;02;Bureautique;02;1451233146.74
01;2010;02;Cuisson;01;11895716.137100002
01;2010;02;Cuisson;02;98944065.633
01;2010;02;Cuisson;04;52637987.7892
01;2010;02;Froid_alimentaire;02;25459073.831
01;2010;02;Process;02;20581816.815400004
01;2010;03;Autre;01;104081050.07800004
01;2010;03;Autre;02;2667450815.17
01;2010;03;Autre;04;5947629.6400000015
01;2010;03;Bureautique;02;4147585874.88
01;2010;03;Cuisson;01;40610155.5586
01;2010;03;Cuisson;02;282956926.54800004
01;2010;03;Cuisson;04;143648083.757
01;2010;03;Froid_alimentaire;02;72761369.98249999
01;2010;03;Process;02;58822295.17899999
01;2010;04;Autre;01;2917611.9703999995
01;2010;04;Autre;02;72267635.85069996
01;2010;04;Autre;04;170672.7886
01;2010;04;Bureautique;02;123791807.17340003
01;2010;04;Cuisson;01;618169.6817999997
01;2010;04;Cuisson;02;4207289.653900001
01;2010;04;Cuisson;04;2351681.8378000003
01;2010;04;Froid_alimentaire;02;1545724.7272
01;2010;04;Process;02;1595910.5949999997
01;2011;01;Autre;01;46540946.33059999
01;2011;01;Autre;02;1239328537.97
01;2011;01;Autre;04;2805249.3273999994
01;2011;01;Bureautique;02;1943638466.32
01;2011;01;Cuisson;01;14463009.0206
01;2011;01;Cuisson;02;135153559.731
01;2011;01;Cuisson;04;67158518.0925
01;2011;01;Froid_alimentaire;02;33533904.9543
01;2011;01;Process;02;27291940.4259
01;2011;02;Autre;01;35056200.885900006
01;2011;02;Autre;02;933275621.48
01;2011;02;Autre;04;2103915.9583
01;2011;02;Bureautique;02;1463655757.9
01;2011;02;Cuisson;01;11085539.391900001
01;2011;02;Cuisson;02;101787886.17700002
01;2011;02;Cuisson;04;50368939.04130001
01;2011;02;Froid_alimentaire;02;25252686.333600003
01;2011;02;Process;02;20552178.6929
01;2011;03;Autre;01;100461803.59200001
01;2011;03;Autre;02;2667277379.58
01;2011;03;Autre;04;5740811.077
01;2011;03;Bureautique;02;4183088960.7999997
01;2011;03;Cuisson;01;37844334.3099
01;2011;03;Cuisson;02;291242133.096
01;2011;03;Cuisson;04;137455880.31399998
01;2011;03;Froid_alimentaire;02;72171516.66339998
01;2011;03;Process;02;58737587.5032
01;2011;04;Autre;01;5781705.9153
01;2011;04;Autre;02;145721553.62499997
01;2011;04;Autre;04;338214.9515999999
01;2011;04;Bureautique;02;250677228.27900007
01;2011;04;Cuisson;01;1204394.8727000002
01;2011;04;Cuisson;02;8616843.854499996
01;2011;04;Cuisson;04;4640630.148600003
01;2011;04;Froid_alimentaire;02;3104315.5882999995
01;2011;04;Process;02;3215744.3832
01;2012;01;Autre;01;44922563.9981
01;2012;01;Autre;02;1239188684.77
01;2012;01;Autre;04;2707701.616200001
01;2012;01;Bureautique;02;1960276181.1599998
01;2012;01;Cuisson;01;13477982.3666
01;2012;01;Cuisson;02;138721404.328
01;2012;01;Cuisson;04;64263537.64970001
01;2012;01;Froid_alimentaire;02;33262055.940700002
01;2012;01;Process;02;27252639.3697
01;2012;02;Autre;01;33837179.7041
01;2012;02;Autre;02;933170375.43
01;2012;02;Autre;04;2030755.8058999998
01;2012;02;Bureautique;02;1476184738.7400002
01;2012;02;Cuisson;01;10330540.603500001
01;2012;02;Cuisson;02;104479045.15400003
01;2012;02;Cuisson;04;48197699.64900002
01;2012;02;Froid_alimentaire;02;25047971.185000002
01;2012;02;Process;02;20522583.870500002
01;2012;03;Autre;01;96968409.956
01;2012;03;Autre;02;2666976543.7
01;2012;03;Autre;04;5541184.479999998
01;2012;03;Bureautique;02;4218896027.6299996
01;2012;03;Cuisson;01;35266882.04100001
01;2012;03;Cuisson;02;299073006.5280001
01;2012;03;Cuisson;04;131530615.04899997
01;2012;03;Froid_alimentaire;02;71586446.45859998
01;2012;03;Process;02;58653009.77539999
01;2012;04;Autre;01;8545066.692399997
01;2012;04;Autre;02;220430424.30700004
01;2012;04;Autre;04;499864.5087
01;2012;04;Bureautique;02;381350843.80500007
01;2012;04;Cuisson;01;1739887.5820000002
01;2012;04;Cuisson;02;13296137.625000004
01;2012;04;Cuisson;04;6819942.25
01;2012;04;Froid_alimentaire;02;4670802.458899999
01;2012;04;Process;02;4859897.331499999
01;2013;01;Autre;01;43360457.468600005
01;2013;01;Autre;02;1238992006.5800002
01;2013;01;Autre;04;2613545.7769000004
01;2013;01;Bureautique;02;1977056082.1799998
01;2013;01;Cuisson;01;12560041.965100002
01;2013;01;Cuisson;02;142097825.203
01;2013;01;Cuisson;04;61493346.426199995
01;2013;01;Froid_alimentaire;02;32992410.950899996
01;2013;01;Process;02;27213394.556
01;2013;02;Autre;01;32660548.838
01;2013;02;Autre;02;933022321.24
01;2013;02;Autre;04;1960139.4563000007
01;2013;02;Bureautique;02;1488820844.28
01;2013;02;Cuisson;01;9626963.06
01;2013;02;Cuisson;02;107025537.51900002
01;2013;02;Cuisson;04;46120055.6276
01;2013;02;Froid_alimentaire;02;24844915.5709
01;2013;02;Process;02;20493031.7964
01;2013;03;Autre;01;93596501.79900002
01;2013;03;Autre;02;2666552971.6600003
01;2013;03;Autre;04;5348498.982600001
01;2013;03;Bureautique;02;4255009764.9199996
01;2013;03;Cuisson;01;32864973.2256
01;2013;03;Cuisson;02;306473907.182
01;2013;03;Cuisson;04;125860760.13299999
01;2013;03;Froid_alimentaire;02;71006118.53330001
01;2013;03;Process;02;58568543.78269999
01;2013;04;Autre;01;11194584.308799999
01;2013;04;Autre;02;296427133.69799995
01;2013;04;Autre;04;654854.4946
01;2013;04;Bureautique;02;516119283.48599994
01;2013;04;Cuisson;01;2221367.8199
01;2013;04;Cuisson;02;18262151.4984
01;2013;04;Cuisson;04;8877728.676399997
01;2013;04;Froid_alimentaire;02;6243604.428800001
01;2013;04;Process;02;6528773.4325
01;2014;01;Autre;01;41852669.84470001
01;2014;01;Autre;02;1238740263.1100001
01;2014;01;Autre;04;2522664.1084
01;2014;01;Bureautique;02;1993979792.1399999
01;2014;01;Cuisson;01;11704619.9522
01;2014;01;Cuisson;02;145292763.678
01;2014;01;Cuisson;04;58842571.5552
01;2014;01;Froid_alimentaire;02;32724952.89449999
01;2014;01;Process;02;27174206.470799997
01;2014;02;Autre;01;31524832.9035
01;2014;02;Autre;02;932832714.43
01;2014;02;Autre;04;1891978.8358999998
01;2014;02;Bureautique;02;1501565013.7400002
01;2014;02;Cuisson;01;8971302.568900004
01;2014;02;Cuisson;02;109434880.70199999
01;2014;02;Cuisson;04;44131976.6029
01;2014;02;Froid_alimentaire;02;24643505.827999998
01;2014;02;Process;02;20463523.680299997
01;2014;03;Autre;01;90341841.678
01;2014;03;Autre;02;2666011187.4299994
01;2014;03;Autre;04;5162513.777900002
01;2014;03;Bureautique;02;4291432802.2099996
01;2014;03;Cuisson;01;30626649.3764
01;2014;03;Cuisson;02;313467777.239
01;2014;03;Cuisson;04;120435320.85499999
01;2014;03;Froid_alimentaire;02;70430496.4229
01;2014;03;Process;02;58484204.52909999
