COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.001199987
01;2009;01;02;30278728.644100003
01;2009;02;01;17101159.395999998
01;2009;02;02;22166337.714800004
01;2009;03;01;42865112.44799999
01;2009;03;02;69373982.77640004
01;2010;01;01;22023525.4347
01;2010;01;02;30025422.640399992
01;2010;02;01;17236486.128900006
01;2010;02;02;21974465.785299994
01;2010;03;01;43217455.01929997
01;2010;03;02;68860015.90800002
01;2010;04;01;1541398.5110000009
01;2010;04;02;1804326.0071999996
01;2011;01;01;22201517.343
01;2011;01;02;29772480.24680002
01;2011;02;01;17371774.805400006
01;2011;02;02;21782713.338400017
01;2011;03;01;43570430.19710001
01;2011;03;02;68345649.17179997
01;2011;04;01;3123946.397599998
01;2011;04;02;3617656.2440999974
01;2012;01;01;22379264.360799994
01;2012;01;02;29519890.67449999
01;2012;02;01;17507020.830199998
01;2012;02;02;21591084.85
01;2012;03;01;43924009.70349999
01;2012;03;02;67830910.51139992
01;2012;04;01;4748116.5169
01;2012;04;02;5440348.7842999995
01;2013;01;01;22556679.55620002
01;2013;01;02;29267740.69579999
01;2013;02;01;17642141.83809999
01;2013;02;02;21399662.570900004
01;2013;03;01;44278172.79160002
01;2013;03;02;67315820.33810002
01;2013;04;01;6414391.675700001
01;2013;04;02;7272765.5834
01;2014;01;01;22733879.308200005
01;2014;01;02;29015913.781499997
01;2014;02;01;17777212.1965
01;2014;02;02;21208372.012600005
01;2014;03;01;44632690.28640002
01;2014;03;02;66800607.494799994
01;2014;04;01;8123264.6022000015
01;2014;04;02;9115272.3361
01;2015;01;01;22910864.516799998
01;2015;01;02;28764408.871899996
01;2015;02;01;17912227.493900005
01;2015;02;02;21017217.476800002
01;2015;03;01;44987682.419900015
01;2015;03;02;66285151.41410005
01;2015;04;01;9875238.123899996
01;2015;04;02;10968238.627299994
01;2016;01;01;23070990.51860001
01;2016;01;02;28492664.2794
01;2016;02;01;18034170.661900006
01;2016;02;02;20811186.7083
01;2016;03;01;45310506.759999976
01;2016;03;02;65721977.75380003
01;2016;04;01;9984920.5107
01;2016;04;02;10858556.242399998
01;2016;05;01;1137433.5392
01;2016;05;02;1063512.5427999995
01;2017;01;01;23230620.703099985
01;2017;01;02;28221654.643199988
01;2017;02;01;18155814.58780001
01;2017;02;02;20605636.81110001
01;2017;03;01;45633334.36079999
01;2017;03;02;65159304.62939994
01;2017;04;01;10093506.0756
01;2017;04;02;10749970.678799998
01;2017;05;01;2294515.3796000006
01;2017;05;02;2124817.3771000006
01;2018;01;01;23389698.815000013
01;2018;01;02;27951435.85490002
01;2018;02;01;18277204.368699994
01;2018;02;02;20400522.296000004
01;2018;03;01;45956144.975800015
01;2018;03;02;64597166.56029996
01;2018;04;01;10201005.781799994
01;2018;04;02;10642470.974600006
01;2018;05;01;3471317.4523000005
01;2018;05;02;3184024.4770000027
01;2019;01;01;23548304.624899995
01;2019;01;02;27681930.566800002
01;2019;02;01;18398334.625799995
01;2019;02;02;20195848.1538
01;2019;03;01;46278920.0716
01;2019;03;02;64035580.01420003
01;2019;04;01;10307430.493500007
01;2019;04;02;10536046.265099999
01;2019;05;01;4667913.395700003
01;2019;05;02;4241243.288200001
01;2020;01;01;23706389.967899997
01;2020;01;02;27413182.589300003
01;2020;02;01;18519200.387399986
01;2020;02;02;19991618.957999986
01;2020;03;01;46601081.24660003
01;2020;03;02;63475128.73939992
01;2020;04;01;10412790.957100011
01;2020;04;02;10430685.803399995
01;2020;05;01;5884379.058099994
01;2020;05;02;5296583.198999995
01;2021;01;01;23759576.83929999
01;2021;01;02;27249569.49280001
01;2021;02;01;18559497.905799996
01;2021;02;02;19868138.071700014
01;2021;03;01;46711391.73899999
01;2021;03;02;63127032.26110002
01;2021;04;01;10464944.386799995
01;2021;04;02;10378532.374500005
01;2021;05;01;5910861.974499996
01;2021;05;02;5270100.2838
01;2021;06;01;1151304.7231
01;2021;06;02;908799.3589999996
01;2022;01;01;23813029.680699985
01;2022;01;02;27085929.301499993
01;2022;02;01;18600102.400000006
01;2022;02;02;19744529.8826
01;2022;03;01;46822500.41880002
01;2022;03;02;62778640.10589999
01;2022;04;01;10516837.04949999
01;2022;04;02;10326639.712700006
01;2022;05;01;5937212.4761000015
01;2022;05;02;5243749.7831999995
01;2022;06;01;2315245.348800002
01;2022;06;02;1819442.1848000009
01;2023;01;01;23866678.926500004
01;2023;01;02;26922325.981299996
01;2023;02;01;18641005.37740001
01;2023;02;02;19620802.503300007
01;2023;03;01;46934330.51059999
01;2023;03;02;62430039.47430002
01;2023;04;01;10568470.249399995
01;2023;04;02;10275006.513600001
01;2023;05;01;5963431.2252
01;2023;05;02;5217531.034700002
01;2023;06;01;3491907.5674000015
01;2023;06;02;2731979.6290999996
01;2024;01;01;23920542.20090001
01;2024;01;02;26758756.143999994
01;2024;02;01;18682204.793499995
01;2024;02;02;19496957.582199987
01;2024;03;01;47046883.43559997
01;2024;03;02;62081226.82739998
01;2024;04;01;10619845.280699998
01;2024;04;02;10223631.482900001
01;2024;05;01;5989518.8802
01;2024;05;02;5191443.380899999
01;2024;06;01;4681378.1052
01;2024;06;02;3646463.1962999976
01;2025;01;01;23974636.169500005
01;2025;01;02;26595188.206500005
01;2025;02;01;18723695.443199992
01;2025;02;02;19372999.952499997
01;2025;03;01;47159724.15849996
01;2025;03;02;61732641.903099984
01;2025;04;01;10670963.440200005
01;2025;04;02;10172513.323899996
01;2025;05;01;6015476.098799994
01;2025;05;02;5165486.1633
01;2025;06;01;5883744.5772
01;2025;06;02;4562944.6326
01;2026;01;01;24028955.25529999
01;2026;01;02;26431631.805899993
01;2026;02;01;18765472.15970001
01;2026;02;02;19248934.374400005
01;2026;03;01;47272886.10499999
01;2026;03;02;61384240.86630003
01;2026;04;01;10721826.007499997
01;2026;04;02;10121650.7576
01;2026;05;01;6041303.529400002
01;2026;05;02;5139658.733299998
01;2026;06;01;7099095.677500006
01;2026;06;02;5481476.081099996
01;2027;01;01;24083461.81369999
01;2027;01;02;26268112.806699988
01;2027;02;01;18807532.04729999
01;2027;02;02;19124763.37970001
01;2027;03;01;47386366.16550008
01;2027;03;02;61036030.499500014
01;2027;04;01;10772434.261899997
01;2027;04;02;10071042.503799995
01;2027;05;01;6067001.824200002
01;2027;05;02;5113960.439099998
01;2027;06;01;8327520.812399996
01;2027;06;02;6402109.766900001
01;2028;01;01;24138132.547500014
01;2028;01;02;26104657.64930001
01;2028;02;01;18849869.66710001
01;2028;02;02;19000492.003799997
01;2028;03;01;47500130.05960001
01;2028;03;02;60688013.987199984
01;2028;04;01;10822789.473799996
01;2028;04;02;10020687.293400005
01;2028;05;01;6092571.628700003
01;2028;05;02;5088390.635400004
01;2028;06;01;9569110.593100004
01;2028;06;02;7324898.418000004
01;2029;01;01;24192966.335400004
01;2029;01;02;25941280.7116
01;2029;02;01;18892479.65069998
