branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;1.0;8412635.699;8120099.917;7837736.703999999;7565192.93;7302125.806000001;7048205.936;6803116.015000001;6561651.097000001;6328756.539999999;6104127.848999999;5887471.539;5678506.293;5458024.868;5246107.604;5042417.275;4846635.097;4658454.596999999;4477579.643999999;4303725.039000001;4136617.036;3976000.3589999997;3821620.4439999997;3673224.7499999995;3530593.385;3393491.591;3261841.3489999995;3135247.2449999996;3013563.693;2896603.616;2784182.068;2676152.64;2572327.622;2472533.7260000003;2376618.727;2284406.3499999996;2195774.758;2110575.536;2028638.145;1949880.0579999997;1874174.8090000001;1801404.7769999998;1731455.3919999998
01;01;01;01;Cuisson;Cuisson;1.0;3500591.331;3262177.715;3040001.452;2832957.556;2640014.023;2460211.6170000006;2292654.6040000003;2134858.8680000002;1987923.75;1851101.442;1723696.2049999998;1605059.837;1492715.764;1388235.58;1291067.73;1200701.14;1116659.448;1038500.184;965811.171;898209.0010000002;835339.012;776869.644;722102.259;671195.8790000001;623876.6113999999;579925.5448;539057.9361999999;501069.69140000007;465758.61069999996;432935.9354000001;402432.50310000003;374080.9792;347727.5704;323232.12309999997;300458.6777;279290.3382;259612.44869999998;241313.139;224303.3958;208491.7909;193794.30569999997;180131.98660000003
01;01;01;02;Autre;Autre;2.58;2.08005643E8;2.080024648E8;2.079888655E8;2.0796534920000002E8;2.079323676E8;2.078901156E8;2.078390041E8;2.076297369E8;2.0741239939999998E8;2.0718727920000002E8;2.069546823E8;2.067150135E8;2.050702661E8;2.034332411E8;2.0180383920000002E8;2.001823698E8;1.985689684E8;1.969638268E8;1.953669812E8;1.937785911E8;1.92199045E8;1.906283458E8;1.8906615229999998E8;1.875130909E8;1.859688316E8;1.844408669E8;1.8291920289999998E8;1.814068099E8;1.799038509E8;1.7841049410000002E8;1.769285378E8;1.7545698E8;1.739953219E8;1.725438325E8;1.711007801E8;1.696677467E8;1.682440841E8;1.668267377E8;1.6541910039999998E8;1.640209293E8;1.626324863E8;1.612534455E8
01;01;01;02;Bureautique;Electricité Spécifique;2.58;3.206753307E8;3.2342025529999995E8;3.261886975E8;3.289809187E8;3.3179699129999995E8;3.3463719620000005E8;3.375016856E8;3.401476776E8;3.428144832E8;3.455021157E8;3.4821087259999996E8;3.509408812E8;3.431637587E8;3.355592768E8;3.281232209E8;3.208519064E8;3.137416433E8;3.067890281E8;2.999901905E8;2.933418349E8;2.868409299E8;2.804840744E8;2.742674836E8;2.681887236E8;2.622440617E8;2.564410552E8;2.50762403E8;2.452093198E8;2.3977923229999998E8;2.344693387E8;2.292794815E8;2.242055718E8;2.2148629120000002E8;2.1880070070000002E8;2.161459521E8;2.135236123E8;2.109325885E8;2.0836866760000002E8;2.0583557570000002E8;2.033327998E8;2.00860115E8;1.984167963E8
01;01;01;02;Cuisson;Cuisson;2.58;2.135047235E7;2.206696849E7;2.2715307700000003E7;2.332796175E7;2.3906839759999998E7;2.445377003E7;2.497044611E7;2.544051119E7;2.5882781549999997E7;2.629873935E7;2.6689804919999998E7;2.705730556E7;2.721640287E7;2.7354383640000004E7;2.747248553E7;2.757190486E7;2.7653747349999998E7;2.771907345E7;2.776886677E7;2.780405866E7;2.78255722E7;2.783421943E7;2.775406982E7;2.766354686E7;2.756328817E7;2.745509423E7;2.733811305E7;2.7213366099999998E7;2.7081436290000003E7;2.69428625E7;2.679843168E7;2.664844645E7;2.649327557E7;2.633336646E7;2.6168838630000003E7;2.6000301150000002E7;2.582799384E7;2.565179323E7;2.547250724E7;2.529040761E7;2.510578545E7;2.491886325E7
01;01;01;02;Froid_alimentaire;Electricité Spécifique;2.58;5720154.539;5673783.2659;5627787.4636;5582164.84;5536911.7528;5492025.729;5447503.8441;5399420.3475;5351761.563599999;5304523.011600001;5257701.6927;5211293.201300001;5165291.5105;5119698.796;5074507.318099999;5029714.6877;4985316.5631;4941310.579899999;4897689.413699999;4854449.4364;4811594.1668;4769117.5661;4727003.0554;4685263.185;4643880.292;4603037.382;4562481.2968999995;4522279.3157;4482431.6976;4442934.450899999;4403830.7397;4365092.074599999;4326700.338400001;4288658.784;4250918.8448;4213516.242799999;4176431.5333;4139586.4229;4103062.0726;4066849.3599000005;4030949.5100999996;3995353.7283000005
01;01;01;02;Process;Electricité Spécifique;2.58;4593456.563;4586841.209000001;4580236.139;4573640.153999999;4567054.252;4560477.635;4553910.101;4544073.526999999;4534258.147;4524463.56;4514690.237;4504938.5030000005;4465171.413999999;4425758.653;4386692.724;4347971.619;4309591.27;4271549.734;4233841.414;4196461.993;4159415.2449999996;4122695.6190000004;4086290.271;4050208.0270000002;4014434.0799999996;3979127.212;3944068.6569999997;3909315.747;3874868.8249999997;3840725.634;3806922.5779999997;3773435.229;3740248.0710000005;3707363.147;3674738.672;3642405.0480000004;3610346.3389999997;3578495.497;3546922.3289999994;3515618.4750000006;3484584.6220000004;3453812.9109999994
01;01;01;03;Cuisson;Cuisson;1.0;762516.7215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;Autre;Autre;1.0;476274.74689999997;459713.05490000005;443727.27129999996;428297.4338;413404.05639999994;399028.64999999997;385153.0787;371482.69759999996;358297.5286000001;345580.3476;333314.499;321483.98600000003;309001.66229999997;297004.09739999997;285472.3888;274388.36850000004;263734.69600000005;253494.55459999997;243651.88710000002;234191.1986;225098.0395;216357.93149999998;207956.59889999998;199881.65720000002;192119.7658;184665.6996;177498.2836;170608.95239999998;163987.03319999998;157622.1317;151505.63999999998;145627.1835;139976.91340000002;134546.2627;129325.44500000002;124307.3418;119483.63010000001;114844.9433;110386.25270000001;106100.413;101980.7922;98020.86370000002
01;01;01;04;Cuisson;Cuisson;1.0;1.157032846E7;1.1103341049999999E7;1.0624710229E7;1.0166714974E7;9728461.308;9309102.746;8907820.316;8517419.168;8144131.326;7787200.404;7445912.819000001;7119582.886999999;6786786.122;6469548.117;6167137.824;5878863.271000001;5604062.432999999;5342107.089;5092393.507;4854347.235;4627433.046999999;4411125.458;4199403.517;3997846.0690000006;3805953.6119999997;3623398.077;3449548.9710000004;3284040.035;3126472.14;2976463.011;2833677.896;2697754.6720000003;2568354.4760000003;2445168.1210000003;2327873.835;2216208.479;2109893.736;2008641.9370000002;1912247.2659999998;1820474.041;1733101.8660000002;1649918.9799999997
