branche;occupant;typeRenovationBatiment;typeRenovationSysteme;cible;annee;surface;aides;investissement;prets;pretsBonifies;reglementation
08;05;Etat initial;Chgt systeme_08;0;2050;738584.9375000001;0.0;2.752069837E7;2.752069837E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2049;738505.2270000002;0.0;2.7458892479999997E7;2.7458892479999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2048;740445.8328;0.0;2.7450032419999998E7;2.7450032419999998E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2047;740086.9164000001;0.0;2.7303785E7;2.7303785E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2046;740668.3046;0.0;2.721226293E7;2.721226293E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2045;837012.0406000001;0.0;3.043843139E7;3.043843139E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2044;838922.1839000001;0.0;3.030845824E7;3.030845824E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2043;838646.5680000001;0.0;3.00203196E7;3.00203196E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2042;839983.697;0.0;2.920580474E7;2.920580474E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2041;841023.39;0.0;2.902996736E7;2.902996736E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2040;819606.252;0.0;2.839102711E7;2.839102711E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2039;821972.7879999998;0.0;2.819216792E7;2.819216792E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2038;822793.144;0.0;2.806579271E7;2.806579271E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2037;832732.2269999998;0.0;2.7998430080000002E7;2.7998430080000002E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2036;844219.7490000002;0.0;2.800278328E7;2.800278328E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2035;849716.8679999999;0.0;2.7751143380000003E7;2.7751143380000003E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2034;668276.4366;0.0;2.114892076E7;2.114892076E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2033;670458.1434000001;0.0;2.1029533400000002E7;2.1029533400000002E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2032;677746.9421999999;0.0;2.09782035E7;2.09782035E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2031;682545.7127;0.0;2.08282991E7;2.08282991E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2030;677487.8978999999;0.0;2.0346086819999997E7;2.0346086819999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2029;676118.8047999999;0.0;2.0194631259999998E7;2.0194631259999998E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2028;675102.2537000001;0.0;2.001962795E7;2.001962795E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2027;673984.9987;0.0;1.97109307E7;1.97109307E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2026;672987.2718;0.0;1.8976734279999997E7;1.8976734279999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2025;671895.7427000001;0.0;1.886233088E7;1.886233088E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2024;666540.9981000001;0.0;1.860355946E7;1.860355946E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2023;664902.7059;0.0;1.821955253E7;1.821955253E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2022;663002.3955;0.0;1.7817183150000002E7;1.7817183150000002E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2021;661455.1823000001;0.0;1.777592727E7;1.777592727E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2020;684240.2959;0.0;1.838864562E7;1.838864562E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2019;684370.9653000002;0.0;1.83923743E7;1.83923743E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2018;684405.5953;0.0;1.8393425610000003E7;1.8393425610000003E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2017;683862.4809999999;0.0;1.70966455E7;1.70966455E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2016;683775.892;0.0;1.70944497E7;1.70944497E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2015;717813.8546000001;0.0;1.7945357610000003E7;1.7945357610000003E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2014;719061.2592;0.0;1.797654773E7;1.797654773E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2013;720310.0884;0.0;1.800776869E7;1.800776869E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2012;721561.6545999999;0.0;1.8039050889999997E7;1.8039050889999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2011;722815.5761;0.0;1.807037313E7;1.807037313E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2010;724070.7386999999;0.0;1.810176167E7;1.810176167E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2050;263188.1123;0.0;9857444.468;9857444.468;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2049;263127.8154;0.0;9840896.33;9840896.33;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2048;263080.8461;0.0;9816260.626;9816260.626;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2047;263319.4936;0.0;9795741.287;9795741.287;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2046;263648.837;0.0;9776864.175999999;9776864.175999999;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2045;296910.5035;0.0;1.0923348908E7;1.0923348908E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2044;296488.1997;0.0;1.0851361212E7;1.0851361212E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2043;296476.6164;0.0;1.074819535E7;1.074819535E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2042;296913.0271;0.0;1.0650607336E7;1.0650607336E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2041;297839.9677;0.0;1.0337451533E7;1.0337451533E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2040;287357.9449;0.0;1.0159022671E7;1.0159022671E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2039;290203.2393;0.0;1.0125893421E7;1.0125893421E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2038;290609.1405;0.0;1.0023977599E7;1.0023977599E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2037;290577.2017;0.0;9916297.591;9916297.591;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2036;293418.2648;0.0;9833261.804;9833261.804;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2035;292162.8703;0.0;9620946.686999999;9620946.686999999;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2034;232878.7186;0.0;7432703.768;7432703.768;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2033;234008.154;0.0;7410625.418;7410625.418;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2032;236090.6922;0.0;7372092.566;7372092.566;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2031;239498.2258;0.0;7365290.882999999;7365290.882999999;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2030;239132.3232;0.0;7242486.376;7242486.376;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2029;238684.3486;0.0;7170818.6219999995;7170818.6219999995;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2028;238210.6657;0.0;7093826.812;7093826.812;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2027;236755.0298;0.0;6962735.112;6962735.112;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2026;236120.6031;0.0;6697565.22;6697565.22;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2025;235326.0681;0.0;6640055.348;6640055.348;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2024;234644.4159;0.0;6585849.298;6585849.298;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2023;234009.6848;0.0;6428633.559;6428633.559;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2022;233219.9005;0.0;6267696.895;6267696.895;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2021;232573.1545;0.0;6250392.637;6250392.637;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2020;241284.0196;0.0;6484485.027;6484485.027;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2019;241285.745;0.0;6484566.15;6484566.15;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2018;241239.7249;0.0;6483328.311;6483328.311;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2017;240486.7787;0.0;6012156.539;6012156.539;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2016;240357.33120000002;0.0;6008923.822;6008923.822;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2015;253984.514;0.0;6349615.688;6349615.688;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2014;254426.9798;0.0;6360663.297;6360663.297;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2013;254868.8696;0.0;6371728.15;6371728.15;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2012;255311.73010000002;0.0;6382797.956;6382797.956;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2011;255754.97699999998;0.0;6393888.466;6393888.466;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2010;256199.39737199998;0.0;6404988.894;6404988.894;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2050;7508.5425399999995;0.0;282839.4803;282839.4803;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2049;7488.789205;0.0;281823.1055;281823.1055;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2048;7485.41152;0.0;280933.5799;280933.5799;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2047;7487.01454;0.0;280621.56759999995;280621.56759999995;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2046;7484.49988;0.0;279166.5049;279166.5049;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2045;8525.47797;0.0;316119.45149999997;316119.45149999997;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2044;8509.222605;0.0;314354.0;314354.0;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2043;8500.41792;0.0;312158.1991;312158.1991;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2042;8510.797009999998;0.0;310170.43120000005;310170.43120000005;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2041;8552.897955;0.0;301002.22729999997;301002.22729999997;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2040;8407.27723;0.0;298795.9243;298795.9243;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2039;8417.724255000001;0.0;296364.18610000005;296364.18610000005;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2038;8420.03371;0.0;289370.3801;289370.3801;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2037;8453.106695;0.0;271687.3627;271687.3627;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2036;8458.7899;0.0;267468.8621;267468.8621;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2035;8567.821199999998;0.0;265111.42949999997;265111.42949999997;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2034;6434.0212;0.0;189818.31100000002;189818.31100000002;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2033;6462.886049999999;0.0;190332.97886;190332.97886;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2032;6371.516266;0.0;188391.74151;188391.74151;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2031;6276.737425;0.0;185307.81705;185307.81705;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2030;6116.654579999999;0.0;178666.635;178666.635;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2029;5966.249417999999;0.0;173333.1194;173333.1194;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2028;5812.754641;0.0;166399.92859999998;166399.92859999998;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2027;5424.199874;0.0;152333.5378;152333.5378;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2026;5178.350154;0.0;142349.3484;142349.3484;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2025;4974.60746;0.0;136536.6598;136536.6598;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2024;4776.611809;0.0;130979.0723;130979.0723;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2023;4516.411217;0.0;123897.78640000001;123897.78640000001;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2022;4309.517645999999;0.0;115817.8012;115817.8012;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2021;4095.152121;0.0;110057.31700000001;110057.31700000001;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2020;4577.364646;0.0;123016.9342;123016.9342;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2019;4410.887213;0.0;118542.5526;118542.5526;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2018;4236.196806;0.0;113848.0716;113848.0716;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2017;4059.120445;0.0;101477.81109999999;101477.81109999999;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2016;3882.579126436432;0.0;97064.56319999999;97064.56319999999;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2015;7226.06585;0.0;180651.89620000002;180651.89620000002;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2014;7238.863347921965;0.0;180971.6587;180971.6587;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2013;7251.709868788705;0.0;181292.9217;181292.9217;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2012;7264.554404226238;0.0;181613.4851;181613.4851;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2011;7277.417962987198;0.0;181935.3491;181935.3491;0.0;non
08;03;Etat initial;Chgt systeme_08;0;2010;7290.051536;0.0;182251.31339999998;182251.31339999998;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2050;326.18781;0.0;12306.884;12306.884;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2049;328.93069;0.0;12411.773000000001;12411.773000000001;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2048;330.11348999999996;0.0;12460.715;12460.715;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2047;330.92402000000004;0.0;12492.563;12492.563;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2046;332.53891;0.0;12555.134;12555.134;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2045;376.21191;0.0;14200.923999999999;14200.923999999999;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2044;376.93438;0.0;14198.786;14198.786;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2043;377.65729;0.0;14204.651999999998;14204.651999999998;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2042;378.08106;0.0;13573.046;13573.046;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2041;379.42889;0.0;13094.409;13094.409;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2040;370.03269;0.0;13423.186;13423.186;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2039;371.1341;0.0;12620.834;12620.834;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2038;371.80150000000003;0.0;11703.478000000001;11703.478000000001;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2037;373.12710000000004;0.0;11344.723;11344.723;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2036;374.4312;0.0;11281.572;11281.572;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2035;376.8318;0.0;10538.130000000001;10538.130000000001;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2034;270.45268;0.0;7480.8137;7480.8137;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2033;280.93945999999994;0.0;8150.120000000001;8150.120000000001;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2032;286.22216000000003;0.0;8403.707;8403.707;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2031;286.61168;0.0;8333.184000000001;8333.184000000001;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2030;288.71198000000004;0.0;8067.903;8067.903;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2029;292.47153000000003;0.0;8068.1320000000005;8068.1320000000005;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2028;293.16635;0.0;8070.79;8070.79;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2027;294.46118;0.0;8092.155;8092.155;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2026;294.53772;0.0;8078.775;8078.775;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2025;295.12897;0.0;8080.874;8080.874;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2024;296.12838;0.0;8097.4169999999995;8097.4169999999995;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2023;296.02797;0.0;7955.75;7955.75;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2022;296.19003;0.0;7960.103;7960.103;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2021;296.52123;0.0;7969.006000000001;7969.006000000001;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2020;304.76302;0.0;8190.502;8190.502;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2019;305.30774;0.0;8205.144;8205.144;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2018;305.86316999999997;0.0;8220.071;8220.071;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2017;306.30706999999995;0.0;7657.676000000001;7657.676000000001;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2016;306.6702;0.0;7666.758;7666.758;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2015;317.71038;0.0;7942.76;7942.76;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2014;318.47202;0.0;7961.798;7961.798;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2013;319.19662000000005;0.0;7979.912;7979.912;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2012;319.94078;0.0;7998.519000000001;7998.519000000001;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2011;320.62984;0.0;8015.746;8015.746;0.0;non
08;02;Etat initial;Chgt systeme_08;0;2010;321.18656;0.0;8029.664000000001;8029.664000000001;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2050;6906.17038;0.0;260856.963;260856.963;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2049;6913.71155;0.0;261148.532;261148.532;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2048;6881.96763;0.0;259741.15500000003;259741.15500000003;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2047;6878.71622;0.0;259288.908;259288.908;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2046;6883.4216400000005;0.0;259214.82200000001;259214.82200000001;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2045;7767.94823;0.0;289735.399;289735.399;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2044;7753.46708;0.0;288681.101;288681.101;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2043;7753.784750000001;0.0;288114.065;288114.065;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2042;7772.76732;0.0;281104.907;281104.907;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2041;7815.6715;0.0;270967.996;270967.996;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2040;7638.038500000001;0.0;277006.614;277006.614;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2039;7644.930200000001;0.0;271371.827;271371.827;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2038;7658.0124000000005;0.0;259186.89800000002;259186.89800000002;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2037;7725.294400000001;0.0;251452.824;251452.824;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2036;7749.839;0.0;243068.17500000002;243068.17500000002;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2035;7858.0725999999995;0.0;243499.46899999998;243499.46899999998;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2034;6023.329180000001;0.0;185544.94900000002;185544.94900000002;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2033;6154.38548;0.0;188079.526;188079.526;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2032;6202.9809;0.0;187711.316;187711.316;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2031;6271.721449999999;0.0;187816.038;187816.038;0.0;non
08;01;Etat initial;Chgt systeme_08;0;2030;6271.035076;0.0;185125.675;185125.675;0.0;non
