COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Auxiliaires;02;161935612.1024;161935612.1024
01;2009;01;Chauffage;01;136259096.48000002;90565331.03999999
01;2009;01;Chauffage;02;1001604666.779;1273283642.9500003
01;2009;01;Chauffage;03;814589684.8199999;450145664.80999994
01;2009;01;Chauffage;04;2342096018.9900002;1707036292.26
01;2009;01;Chauffage;06;498869709.25000006;338280639.37
01;2009;01;Climatisation;02;671834689.46;2045961804.5700002
01;2009;01;ECS;01;9071833.728;4989509.0518
01;2009;01;ECS;02;148475611.74089998;133628066.5587
01;2009;01;ECS;03;60263103.428;30131552.096
01;2009;01;ECS;04;142757484.911;99930247.289
01;2009;01;ECS;06;31425478.0741;17284012.6842
01;2009;01;Eclairage;02;1114264075.457;1114264075.457
01;2009;01;Ventilation;02;213304275.79540002;213304275.79540002
01;2009;02;Auxiliaires;02;86783798.7877;86783798.7877
01;2009;02;Chauffage;01;71553032.598;47577082.479
01;2009;02;Chauffage;02;514193253.38;716991445.242
01;2009;02;Chauffage;03;417804386.95899993;231002354.589
01;2009;02;Chauffage;04;1264052839.765;922410009.685
01;2009;02;Chauffage;06;245149899.179;166324909.53
01;2009;02;Climatisation;02;740826374.6999999;2255683856.12
01;2009;02;ECS;01;6696829.3281;3683255.9359999998
01;2009;02;ECS;02;114822062.59099999;103339849.92300001
01;2009;02;ECS;03;43714089.90800001;21857044.575000003
01;2009;02;ECS;04;107410555.69209997;75187394.12550001
01;2009;02;ECS;06;20503633.5188;11276998.443299998
01;2009;02;Eclairage;02;791142334.851;791142334.851
01;2009;02;Ventilation;02;167966210.2024;167966210.20240003
01;2009;03;Auxiliaires;02;737402554.7036002;737402554.7036002
01;2009;03;Chauffage;01;567355163.37;376748225.3
01;2009;03;Chauffage;02;5181809539.4;6356962359.929999
01;2009;03;Chauffage;03;4083642753.6;2256376395.88
01;2009;03;Chauffage;04;10259848207.180002;7475452168.389999
01;2009;03;Chauffage;06;2339191374.3900003;1585238968.78
01;2009;03;Climatisation;02;996865176.8600001;3033464541.47
01;2009;03;ECS;01;16700255.7566;9185140.688900001
01;2009;03;ECS;02;332130925.653;298917836.325
01;2009;03;ECS;03;134159608.55000001;67079804.426
01;2009;03;ECS;04;289353732.294;202547620.27699998
01;2009;03;ECS;06;68579367.962;37718652.62759999
01;2009;03;Eclairage;02;2294285725.01;2294285725.01
01;2009;03;Ventilation;02;429346443.15849996;429346443.1584999
01;2010;01;Auxiliaires;02;157986062.0196;157986062.0196
01;2010;01;Chauffage;01;130594021.07;86800032.2
01;2010;01;Chauffage;02;1073554251.966;1325393021.9151
01;2010;01;Chauffage;03;780523624.63;431320214.1411
01;2010;01;Chauffage;04;2311807316.59;1685184597.3287
01;2010;01;Chauffage;06;478201663.78;324265742.8579001
01;2010;01;Climatisation;02;670694776.7069999;2055788521.15
01;2010;01;ECS;01;12166332.3858;6723666.328600001
01;2010;01;ECS;02;151984281.65100002;137762581.0359
01;2010;01;ECS;03;56639757.2216;28323660.9135
01;2010;01;ECS;04;136873829.9829;95869459.7684
01;2010;01;ECS;06;31392854.755099997;17284013.5585
01;2010;01;Eclairage;02;1108945348.2289;1108945348.2289
01;2010;01;Ventilation;02;213035938.28260002;213035938.28260002
01;2010;02;Auxiliaires;02;85523620.181;85523620.18100001
01;2010;02;Chauffage;01;68566878.11500001;45591563.1211
01;2010;02;Chauffage;02;537958719.447;728933229.2293
01;2010;02;Chauffage;03;400310855.703;221330115.80110002
01;2010;02;Chauffage;04;1268097557.427;925501608.8090001
01;2010;02;Chauffage;06;234978495.973;159424003.05889997
01;2010;02;Climatisation;02;738842166.004;2264070487.2981997
01;2010;02;ECS;01;9005834.4677;4977181.7488
01;2010;02;ECS;02;117422815.0156;106428947.6479
01;2010;02;ECS;03;41085754.430700004;20545622.3256
01;2010;02;ECS;04;102960982.5758;72115792.7687
01;2010;02;ECS;06;20482346.143799998;11276997.3813
01;2010;02;Eclairage;02;787365930.5857;787365930.5857
01;2010;02;Ventilation;02;167762532.74319997;167762532.74319997
01;2010;03;Auxiliaires;02;742417124.3402001;742417124.3402002
01;2010;03;Chauffage;01;543638377.4011;360999349.24880004
01;2010;03;Chauffage;02;5061038871.7911;6182224663.438399
01;2010;03;Chauffage;03;3912206046.2446;2161648377.8999
01;2010;03;Chauffage;04;10673784031.609499;7794635271.876598
01;2010;03;Chauffage;06;2241679332.6232;1519156528.2687001
01;2010;03;Climatisation;02;994244201.2409002;3044907371.7077003
01;2010;03;ECS;01;23118069.520400003;12780518.891400002
01;2010;03;ECS;02;339252761.0904;307471457.61829996
01;2010;03;ECS;03;126093187.12200001;63055018.14610001
01;2010;03;ECS;04;277605149.86560005;194444285.34219998
01;2010;03;ECS;06;68510073.6886;37719933.6689
01;2010;03;Eclairage;02;2283304612.8553004;2283304612.8553
01;2010;03;Ventilation;02;428831371.9723999;428831371.9723999
01;2010;04;Auxiliaires;02;4763344.5765;4763344.5765
01;2010;04;Chauffage;01;11412872.812400004;7853102.401500001
01;2010;04;Chauffage;02;42030055.1016;42632752.46439999
01;2010;04;Chauffage;04;87331821.89420003;70022604.7213
01;2010;04;Chauffage;06;7300766.069;5218729.322600001
01;2010;04;Climatisation;02;27592232.608299993;92416994.84789999
01;2010;04;ECS;01;416962.74480000004;281449.8692
01;2010;04;ECS;02;7989046.659200001;10785211.608099999
01;2010;04;ECS;04;7439973.215200001;5951978.3367
01;2010;04;ECS;06;1547513.5744000003;1044571.6275000001
01;2010;04;Eclairage;02;45510288.6705;45510288.67050001
01;2010;04;Ventilation;02;14025684.957700001;14025684.957700001
01;2011;01;Auxiliaires;02;153844191.30530003;153844191.3053
01;2011;01;Chauffage;01;124947427.67;83047011.8434
01;2011;01;Chauffage;02;1149175190.098;1380948096.9958
01;2011;01;Chauffage;03;746586978.44;412566346.1351
01;2011;01;Chauffage;04;2276668962.211;1659780941.9512002
01;2011;01;Chauffage;06;457594262.15;310292000.6253
01;2011;01;Climatisation;02;669090191.862;2064046637.8816
01;2011;01;ECS;01;15260829.125400003;8457823.3599
01;2011;01;ECS;02;155492955.34310004;141897098.6151
01;2011;01;ECS;03;53016399.735;26515769.432899997
01;2011;01;ECS;04;130990181.28689998;91808674.4196
01;2011;01;ECS;06;31360233.417799998;17284014.4096
01;2011;01;Eclairage;02;1103640022.634;1103640022.634
01;2011;01;Ventilation;02;212768329.697;212768329.697
01;2011;02;Auxiliaires;02;84140450.04050002;84140450.0405
01;2011;02;Chauffage;01;65591504.32699999;43613210.348
01;2011;02;Chauffage;02;564074154.2929;743075859.8774999
01;2011;02;Chauffage;03;382885771.097;211695721.94109997
01;2011;02;Chauffage;04;1269049139.471;926337084.6823
01;2011;02;Chauffage;06;224838350.45700002;152544296.17119998
01;2011;02;Climatisation;02;736912383.9271002;2272638629.1796
01;2011;02;ECS;01;11314840.8427;6271107.5796
01;2011;02;ECS;02;120023581.58130002;109518046.26389998
01;2011;02;ECS;03;38457421.1118;19234200.5704
01;2011;02;ECS;04;98511390.3668;69044192.5002
01;2011;02;ECS;06;20461059.514200002;11276996.2976
01;2011;02;Eclairage;02;783599095.4133;783599095.4133
01;2011;02;Ventilation;02;167559087.8181;167559087.8181
01;2011;03;Auxiliaires;02;747349163.1949002;747349163.1949
01;2011;03;Chauffage;01;519955946.6004;345273387.0224999
01;2011;03;Chauffage;02;4940425779.026899;6008198853.8543
01;2011;03;Chauffage;03;3741255332.9011;2067188808.7814
01;2011;03;Chauffage;04;11081238819.6715;8111601193.747701
01;2011;03;Chauffage;06;2144474920.2997;1453282825.7141998
01;2011;03;Climatisation;02;991708197.4532;3056633562.5928
01;2011;03;ECS;01;29536119.783;16376056.610999998
01;2011;03;ECS;02;346379159.17240006;316031206.4339
01;2011;03;ECS;03;118026765.1722;59030231.559499994
01;2011;03;ECS;04;265860780.0882;186344332.2278
01;2011;03;ECS;06;68441656.9477;37721807.7496
01;2011;03;Eclairage;02;2272338240.3829;2272338240.3829
01;2011;03;Ventilation;02;428320673.0031;428320673.0031
01;2011;04;Auxiliaires;02;9336425.243800001;9336425.243800001
01;2011;04;Chauffage;01;26575286.7551;18310567.4445
01;2011;04;Chauffage;02;88499253.68490002;91168117.75930001
01;2011;04;Chauffage;04;167512885.4499;134974053.6382
01;2011;04;Chauffage;06;12402277.1457;8886336.949500002
01;2011;04;Climatisation;02;56012228.882300004;187606490.18
01;2011;04;ECS;01;834814.249;565714.2483
01;2011;04;ECS;02;15686780.3672;21678275.0487
01;2011;04;ECS;04;14870749.9821;11963476.8172
01;2011;04;ECS;06;3098325.1947999997;2099588.9003999997
01;2011;04;Eclairage;02;91702780.85910001;91702780.85910001
01;2011;04;Ventilation;02;28261619.926499996;28261619.926499996
01;2012;01;Auxiliaires;02;149243483.47079998;149243483.47079998
01;2012;01;Chauffage;01;119319230.21000001;79306217.4538
01;2012;01;Chauffage;02;1233572926.167;1444644640.2481997
01;2012;01;Chauffage;03;712778945.4499999;393883617.33640003
01;2012;01;Chauffage;04;2230251344.207;1626129910.4408
01;2012;01;Chauffage;06;437047431.61;296359295.03129995
01;2012;01;Climatisation;02;667544482.7838;2072500921.2575002
01;2012;01;ECS;01;18355325.5919;10191980.486999998
01;2012;01;ECS;02;159001615.45790002;146031618.3272
01;2012;01;ECS;03;49393050.095;24707877.371600002
01;2012;01;ECS;04;125106544.20400001;87747890.155
01;2012;01;ECS;06;31327612.116600003;17284015.2438
01;2012;01;Eclairage;02;1098348122.7108002;1098348122.7108002
01;2012;01;Ventilation;02;212501532.7664;212501532.7664
