branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;1.0;8412635.699;8120099.917;7837736.703999999;7565192.93;7302125.806000001;7048205.936;6803116.015000001;6561651.097000001;6328756.409999999;6104127.719;5887471.409;5678506.108;5458024.681000001;5246106.29;5042415.1280000005;4846632.613;4658452.561;4477577.522;4303722.687000001;4136612.919;3975994.922;3821611.006;3673215.0529999994;3530582.8709999993;3393484.1419999995;3261760.289;3135172.834;3013495.823;2896539.58;2784119.498;2676051.7770000002;2572171.737;2472319.3020000006;2376343.9650000003;2284094.452;2195426.073;2110194.707;2028267.3120000002;1949523.863;1873834.674;1801080.0029999998;1731152.2699999998
01;01;01;01;Cuisson;Cuisson;1.0;3500591.331;3262177.715;3040001.452;2832957.556;2640014.023;2460211.6170000006;2292654.6040000003;2134858.8680000002;1987923.718;1851101.409;1723696.1719999998;1605059.856;1492715.6349999998;1388235.266;1291067.052;1200700.496;1116658.9170000001;1038499.6980000001;965810.4799999999;898207.9099999999;835337.303;776867.092;722099.733;671193.217;623875.0626;579905.0678000001;539039.7753;501053.8202000001;465744.1421;432922.26200000005;402410.80529999995;374048.24950000003;347683.866;323177.886;300399.134;279225.8891;259544.2151;241248.89979999998;224243.7678;208436.7386;193743.3943;180086.081
01;01;01;02;Autre;Autre;2.58;2.08005643E8;2.080024648E8;2.079888655E8;2.0796534920000002E8;2.079323676E8;2.078901156E8;2.078390041E8;2.076297369E8;2.0741239539999998E8;2.0718727520000002E8;2.069546793E8;2.067150094E8;2.0507024189999998E8;2.034331914E8;2.018037585E8;2.0018227670000002E8;1.985688813E8;1.96963733E8;1.95366857E8;1.9377838870000002E8;1.921987706E8;1.906278688E8;1.8906564779999998E8;1.8751252379999998E8;1.859684141E8;1.8443642579999998E8;1.8291499620000002E8;1.814028536E8;1.798999791E8;1.784066018E8;1.76922086E8;1.754467097E8;1.7398077110000002E8;1.7252459420000002E8;1.7107827429999998E8;1.696418043E8;1.6821484429999998E8;1.667973633E8;1.6539000239999998E8;1.639922717E8;1.626042562E8;1.612262749E8
01;01;01;02;Bureautique;Electricité Spécifique;2.58;3.206753307E8;3.2342025529999995E8;3.261886975E8;3.289809187E8;3.3179699129999995E8;3.3463719620000005E8;3.375016856E8;3.401476776E8;3.428144762E8;3.455021087E8;3.4821086559999996E8;3.509408712E8;3.431637175E8;3.355591963E8;3.281230759E8;3.208517458E8;3.13741511E8;3.067888822E8;2.999900257E8;2.933415507E8;2.868405408E8;2.8048338179999995E8;2.742667646E8;2.681879312E8;2.622434961E8;2.564348254E8;2.50756589E8;2.452039146E8;2.39774043E8;2.344641685E8;2.292710301E8;2.241922764E8;2.214675619E8;2.187760884E8;2.1611728870000002E8;2.1349069E8;2.1089567220000002E8;2.0833172429999998E8;2.057991404E8;2.0329704770000002E8;2.008250059E8;1.9838313629999998E8
01;01;01;02;Cuisson;Cuisson;2.58;2.135047235E7;2.206696849E7;2.2715307700000003E7;2.332796175E7;2.3906839759999998E7;2.445377003E7;2.497044611E7;2.544051119E7;2.5882781049999997E7;2.629873875E7;2.668980432E7;2.705730472E7;2.721639902E7;2.7354376060000002E7;2.7472473080000002E7;2.75718914E7;2.765373514E7;2.771905975E7;2.77688507E7;2.780402932E7;2.782553268E7;2.7834150020000003E7;2.775399639E7;2.766346359E7;2.7563226770000003E7;2.745443138E7;2.733748245E7;2.721276994E7;2.708085317E7;2.694227254E7;2.679745046E7;2.664687869E7;2.649104576E7;2.633041389E7;2.6165376310000002E7;2.5996303180000003E7;2.582348229E7;2.564725473E7;2.546800498E7;2.52859677E7;2.5101406180000003E7;2.4914642689999998E7
01;01;01;02;Froid_alimentaire;Electricité Spécifique;2.58;5720154.539;5673783.2659;5627787.4636;5582164.84;5536911.7528;5492025.729;5447503.8442;5399420.3479;5351761.453299999;5304522.9007;5257701.5792;5211293.040499999;5165290.9082;5119697.6168;5074505.1696;5029712.1757000005;4985314.4761;4941308.2444;4897686.7111;4854444.6354;4811587.622900001;4769105.915;4726990.716899999;4685249.3767;4643870.1333;4602926.8753;4562376.6184;4522180.7929;4482335.6563;4442837.4974;4403670.194;4364836.3184;4326337.8528;4288180.267600001;4250359.2613;4212871.208400001;4175705.3064000006;4138857.1165;4102340.0380999995;4066138.3397000004;4030249.1767;3994679.7388
01;01;01;02;Process;Electricité Spécifique;2.58;4593456.563;4586841.209000001;4580236.139;4573640.153999999;4567054.252;4560477.635;4553910.101;4544073.526999999;4534258.047;4524463.449999999;4514690.117;4504938.336999999;4465170.942;4425757.766;4386690.97;4347969.578;4309589.592;4271547.843;4233839.234;4196458.049;4159409.7499999995;4122685.598;4086279.5669999993;4050196.088999999;4014425.268;3979031.6259999997;3943978.217;3909230.5820000004;3874785.9269999997;3840641.882;3806783.882;3773214.181;3739934.68;3706949.5330000003;3674254.795;3641847.688;3609718.7359999996;3577865.232;3546298.241;3515003.9359999998;3483979.06;3453230.078
01;01;01;03;Cuisson;Cuisson;1.0;762516.7215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;Autre;Autre;1.0;476274.74689999997;459713.05490000005;443727.27129999996;428297.4338;413404.05639999994;399028.64999999997;385153.0787;371482.69759999996;358297.52060000005;345580.33959999995;333314.49100000004;321483.97190000006;309001.6243;297004.0273;285472.2533;274388.20860000007;263734.55150000006;253494.40439999997;243651.72300000003;234190.9455;225097.74149999997;216357.39560000002;207956.0363;199881.03889999999;192119.29910000003;184661.6066;177494.50819999998;170605.5029;163983.76450000002;157618.919;151500.5582;145619.3828;139966.24240000002;134532.6351;129310.00410000002;124290.1167;119464.8538;114826.65830000001;110368.70350000002;106083.6569;101964.7965;98005.93750000001
01;01;01;04;Cuisson;Cuisson;1.0;1.157032846E7;1.1103341049999999E7;1.0624710229E7;1.0166714974E7;9728461.308;9309102.746;8907820.316;8517419.168;8144131.136000001;7787200.224;7445912.639;7119582.562999999;6786784.721;6469546.478999999;6167135.409;5878860.313;5604060.024999999;5342104.405;5092390.699999999;4854342.278000001;4627427.066;4411114.865;4199392.704;3997834.369;3805944.899;3623317.734;3449475.7800000003;3283973.6490000007;3126409.873;2976402.485;2833582.684;2697609.816;2568157.827;2444919.1110000005;2327594.297;2215899.364;2109559.9239999996;2008319.7719999999;1911940.8800000001;1820184.245;1732827.7719999999;1649665.6189999997
