branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;263072.6947;251748.2911;240455.95760000002;229195.62240000002;217967.21920000002;206770.67919999998;195464.8932;184206.80519999997;172996.45070000002;161861.71289999998;150776.43249999997;139739.79099999997;128778.4404;117867.0979;107006.31290000002;96191.95689999999;85422.32300000002;74730.90480000002;64986.72060000001;64621.0271;72660.3313;81180.4849;89867.7285;98409.0536;107014.12729999998;132171.9854;156602.63419999994;178304.16950000002;198149.29520000005;215651.19659999994;230720.6568;244070.5337;255727.26880000002;265362.8321;273312.26570000005;279329.43929999997;284448.6838;288587.94940000004;291924.2762;292457.90410000004;292781.9411000001
01;01;01;02;3091525.332199999;3112179.2686000005;3153991.546000001;3222860.9014999997;3261480.1078000003;3246928.4178;3212558.7188;3169026.2956000003;3128494.1404999997;3093945.879399999;3060798.5690000006;3032998.1352999997;3010793.6037000003;3013402.7340999995;3025891.815;3047021.1262000003;3078595.9507999998;3115158.8895000005;3160429.8800000004;3225185.190999999;3345829.3863;3467927.8177999994;3589778.8142;3711681.7896000007;3833483.3367999997;3954253.0433000005;4026399.8402;4081976.292499999;4116409.7251999993;4182327.2499999995;4301616.8604;4444050.475600001;4595970.598700002;4747491.0817;4895664.5726;5045010.333699999;5190988.332299998;5327543.5095;5435930.460800001;5530516.245600001;5619930.1581;5698676.4233
01;01;01;03;1317058.3889999997;1262555.3521000003;1208206.5485999999;1154011.6571;1099970.3351;1046082.2621;992347.1083;938087.6568;884057.9730000002;830257.3242000001;776684.9702999999;723340.1729;670222.2052999999;617330.3267;564663.8187999999;512221.95050000004;460003.9939;408009.23419999995;356236.94230000005;304686.418;253356.90260000003;202247.72140000004;151358.14890000003;100687.4811;50234.9991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;3620653.1410000003;3670474.5311;3698920.699100001;3700093.3729;3731300.2731;3815462.6111000003;3919227.9748;4026749.3872000007;4130960.828300001;4228879.692799999;4325061.8862000005;4415588.1172;4500211.5496000005;4559687.9785;4608975.2793;4649316.8673;4678893.5565;4700357.091200001;4711524.829499999;4701011.013200002;4623730.3915;4530912.9541;4432761.377599999;4330781.3001999995;4226048.817400001;4119246.7541000005;3967699.5412;3830593.136700001;3715136.6442999993;3567519.158;3367167.4202000005;3144516.2185000004;2911331.4784000004;2677360.2386999996;2445955.001299999;2212626.4796999996;1983533.0402000004;1759653.6470999995;1559369.2047;1368223.4182;1184227.0635000004;1011019.6322000001
01;01;01;06;414923.1906;397752.67319999996;380630.7453;363557.3051;346532.24519999995;329555.46470000007;312626.8596000001;295533.0805;278511.6872;261562.44879999995;244685.13189999998;227879.50410000002;211139.84149999995;194476.5892;177884.35920000006;161363.196;144930.04559999998;131392.60360000003;119176.28229999999;108016.84060000003;98181.24269999999;93836.4411;94397.8738;98391.5242;105194.55500000001;114983.36430000002;151448.65019999997;190804.28600000002;232413.45479999998;276586.36420000007;322471.32639999996;369959.7237;420239.6402;473438.77719999995;529477.9361;587991.4452;647590.8392999999;712315.1561999999;782641.6660000001;858457.7983;935122.3881999999;1011918.9480999999
01;01;02;01;164852.8561;158030.8494;151228.1475;144444.7106;137680.4957;130935.4622;124209.56959999999;117418.05170000001;110655.29340000001;103921.2026;97229.1085;90566.449;83932.7677;77328.0236;70763.94789999998;64229.67669999999;57725.321800000005;51250.7415;44811.526600000005;39188.704900000004;39447.8581;41655.149;44924.364499999996;48328.91270000001;52005.42840000001;56674.793999999994;72163.97039999998;86945.0769;100603.34599999999;113344.27310000002;123808.64179999998;132729.6387;140859.87029999998;148076.9145;154384.4337;159739.30060000005;164173.5624;167998.39340000003;171158.42049999998;173725.31180000002;174138.92119999998;174375.8422
01;01;02;02;2704966.9641;2706180.7475;2721998.1840999997;2756364.0087;2770527.5698000006;2764225.8271000003;2751811.4461999997;2736578.6579000005;2721398.8358000005;2706271.8238;2691714.9038;2680385.302;2672292.283399999;2672185.3039;2680535.9110999997;2693362.7564999997;2710872.6712;2734260.2853;2766475.6198999994;2814396.0150000006;2912604.2153999996;3015863.5716999997;3118803.8375;3222817.3374;3326110.5684000007;3428480.9734000005;3508227.6949000005;3575360.9364;3626835.2836000007;3698092.614400001;3790048.1245000004;3888726.2817999995;3986916.7687999993;4082387.0953999995;4175915.5578;4266998.4485;4353150.6277;4430353.8766;4494197.097599999;4545104.8821;4594410.797000001;4639453.349700001
01;01;02;03;998485.8363;957166.0961000001;915963.2831000001;874877.1535999998;833907.4478000001;793053.9229;752316.3289999999;711181.2552;670220.3725;629433.1257;588818.9532999999;548377.2955;508107.60109999997;468009.30929999996;428081.8768;388324.7451;348737.36730000004;309319.19909999997;270069.6861;230988.29910000003;192074.46279999998;153327.66490000003;114747.35720000001;76333.0051;38084.06210000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;02;04;2774366.8339999993;2822635.2572000003;2856146.1614;2870955.1409000005;2905813.2010999997;2960983.7105999994;3022114.3429000005;3081712.9716999996;3141040.0378;3200096.4282;3258352.1771;3313162.8291000007;3364520.609800001;3407675.1393;3442145.2582;3471922.8172999998;3496802.3169000004;3515590.4453;3525329.6183;3518365.6728999997;3455048.4898;3382191.1115;3304839.270800001;3224577.1929999995;3141751.9388999995;3055884.0664999997;2926537.9151000003;2807821.6897000005;2703583.0722;2578010.2599;2431315.6262;2276535.1079;2118172.918;1957060.5971000001;1793658.6591999999;1629220.0133999998;1467346.6836;1308530.9038999998;1157381.1149;1014200.2048;874533.0119;739967.7348999999
01;01;02;06;273040.8814;261741.79439999996;250474.68180000002;239239.47680000003;228036.10849999997;216864.51069999996;205724.61479999998;194476.02560000002;183275.0699;172121.59590000001;161015.44989999998;149956.47879999998;138944.53240000003;127978.51590000001;117059.288;106185.9199;95360.11869999999;84580.53830000001;73848.11339999999;63159.87200000001;52515.155999999995;44278.51780000001;39656.7454;36595.386300000006;36414.6614;39082.9936;58980.174300000006;81599.67569999999;106553.9452;134007.33459999997;164191.4343;197312.5739;235324.19670000006;279749.5979000001;329346.2355999999;383407.98610000004;440785.8456;504694.5643000001;574992.0991;650879.2387999999;727037.6579999999;802563.9993
