branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;263072.6947;251748.2911;240455.95760000002;229195.6224;217967.2191;206770.67919999998;195464.8933;184206.98349999997;172996.621;161862.30789999999;150777.65670000002;139741.7417;128781.31390000001;117871.0472;107011.4811;96198.1931;85429.2789;74710.2555;64033.7948;54497.7344;47710.81419999999;41183.6728;35780.771700000005;34142.3379;32884.2647;45029.4919;57067.008799999996;68848.56360000001;80114.3622;90609.03;100321.53779999999;110431.7175;120143.6769;128759.2126;136213.9855;142163.7642;147391.68440000003;151750.41;155343.8765;156167.4406;156774.58580000003
01;01;01;02;3091525.3322;3112179.2686000005;3153991.546;3222860.9014999997;3261480.1078000003;3243637.8568;3199566.8570000003;3140053.5052;3073544.1846000003;3017264.2785;2961096.9159000004;2904476.4165;2847441.6649;2795757.4184999997;2744825.6303;2695968.5516999997;2646793.2918000002;2605834.8428999996;2572291.8486;2543103.1848999998;2515436.5393000003;2485595.5544999996;2463162.7964999997;2445783.4948;2435676.5326;2430876.4988999995;2408596.6476999996;2372662.7938;2319663.9117;2302910.1658999994;2347996.4192000004;2427377.9626;2538076.1047000005;2674147.0452000005;2817480.3292;2971440.0006999997;3136648.0206999998;3302923.3576999996;3463274.7993;3619731.9403999997;3776778.5825000005;3933941.8463
01;01;01;03;1317058.389;1262555.3521;1208206.5485999999;1154011.6571;1099970.3351;1046082.2621;992347.1084;938087.6569000001;884057.973;830257.3244;776684.9705999999;723340.1733;670222.2052;617330.3289000001;564663.8227;512221.95420000004;460004.0002;408009.23919999995;356236.94680000003;304686.4226;253356.90350000001;202247.7218;151358.1504;100687.48210000001;50235.0005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1086.8225;2178.943;4074.7884;4065.9868;4057.2041;4048.4403;4039.6955;4030.9695;4022.2622
01;01;01;04;3620653.141;3670474.5311;3698920.6991000003;3700093.3729;3731300.2731;3818753.1722999997;3932219.8365;4055722.1767;4185910.7839;4305561.3039;4424763.1291000005;4544109.2447999995;4663562.561000001;4777330.744200001;4890040.0406;5000367.084799999;5110692.642900001;5212484.1768;5306551.5764999995;5393744.1994;5477851.8649;5557496.171599999;5628554.378800001;5692117.179300001;5740295.9797;5780841.4824;5752921.1017;5736662.3944;5735832.2603;5696861.148;5594573.1845;5454678.2705;5276575.021699999;5066787.6523;4846088.6618;4610744.993600001;4364438.5326000005;4111922.0342;3859484.2953999997;3605410.2613999997;3351772.6926;3096684.6218000003
01;01;01;06;414923.19060000003;397752.6732;380630.7453;363557.3050999999;346532.2452;329555.46460000006;312626.85939999996;295533.0805;278511.68690000003;261562.4486;244685.1317;227879.5037;211140.5518;194477.15639999998;177884.79340000002;161363.26619999998;144930.6812;128587.5645;112311.46059999999;98324.15420000002;84586.0453;74551.9112;65235.36350000001;57059.2852;53031.856799999994;51087.44009999999;71358.8688;93763.70860000001;118097.58619999999;144870.0003;174024.13909999997;207343.503;247188.9926;292719.6264;342971.8328;397619.4381;455273.74179999996;518829.99069999997;589128.7997;665746.7761;744128.4049999999;824080.2156
01;01;02;01;164852.8561;158030.8494;151228.1475;144444.71060000002;137680.49569999997;130935.46240000002;124209.56979999997;117418.0518;110655.2933;103921.20250000001;97229.3107;90566.9483;83933.6587;77329.3431;70765.762;64232.0508;57728.3231;51254.4502;44816.0283;38407.2676;32028.6648;25700.4363;19402.3369;13132.2248;9995.3312;7569.4124;13436.1959;19508.4451;25686.3367;31791.708499999997;37693.686200000004;43357.8211;49327.365399999995;55274.91249999999;60879.569;65938.527;70319.37789999999;74209.5956;77530.27690000001;80277.292;80896.9784;81339.3052
01;01;02;02;2704966.9641000004;2706180.7475000005;2721998.1841;2756364.0087;2770527.5698;2763687.6012999997;2750398.9077000003;2735169.1705;2719992.3931000005;2704868.419;2689762.4362000003;2674707.8741;2659704.9136;2644752.7766000004;2629839.093;2614975.2635999997;2602449.6913;2590109.711700001;2579512.0089999996;2572961.7906;2569770.3872;2567333.7101000003;2569001.7162999995;2571098.7851;2575975.6837000004;2582143.5804000003;2594112.5266000004;2594904.3122;2582681.6349;2593503.6621;2627643.1045;2672508.8954999996;2728700.5783000006;2794824.5762;2868458.1055;2948172.0618;3031439.6228;3112389.4921000004;3190754.1061000004;3264749.835;3341409.6339;3417067.3162000002
01;01;02;03;998485.8363;957166.0961000001;915963.2831000001;874877.1536;833907.4478;793053.9227;752316.3289;711181.2552;670220.3725;629433.1257;588818.9532999999;548377.2955;508107.6011000001;468009.31110000005;428081.8785;388324.74729999993;348737.3674;309319.1992;270069.6862;230988.30079999997;192074.46409999998;153327.6666;114747.3571;76333.0071;38084.064099999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;774.5795;772.9064;771.2369;769.571;767.9087;766.25;764.5949;762.9434
01;01;02;04;2774366.834;2822635.2572;2856146.1613999996;2870955.1409000005;2905813.2011;2961521.936399999;3023526.8813000005;3083122.4589000004;3142446.4806000004;3201499.8333;3260303.4536;3318837.8767;3377105.3357;3435104.7068000007;3492837.8160999995;3550306.6326;3605220.638500001;3659735.2737000003;3712288.2820999995;3760581.260799999;3805302.3209999995;3849036.5868;3888442.3417;3927162.3899999997;3955833.5348000005;3980536.4299;3939403.2454999997;3907424.5438999995;3886291.9332999997;3839492.1887999997;3766949.0248999996;3679153.6418999997;3572983.484399999;3448814.1354;3310046.8836;3160474.1078000003;3003538.6083;2842014.5978;2676371.2111;2509779.3679;2342041.6134;2175691.8248999994
01;01;02;06;273040.8814;261741.79439999996;250474.68180000002;239239.47680000003;228036.10850000003;216864.51069999998;205724.6148;194476.0256;183275.06990000003;172121.59590000001;161015.4499;149956.47899999996;138943.5404;127978.54320000001;117059.33439999999;106186.00910000001;95360.2238;84580.6569;73847.2357;63158.02100000001;52515.410500000005;41919.0571;31379.7307;20927.523400000002;14480.6433;9875.9958;18960.3896;29892.6904;42918.3459;58669.53349999999;77080.6153;100285.85440000001;130264.92090000001;168363.1711;213148.33980000002;264010.7339;319390.4696;382197.076;452307.813;528339.4706;605010.1549;681502.1225
