branche;occupant;typeRenovationBatiment;typeRenovationSysteme;cible;annee;surface;aides;investissement;prets;pretsBonifies;reglementation
01;01;Etat Initial;Climatisation;99;2010;2.6299689251659665E7;0.0;1.308374384274E8;1.308374384274E8;0.0;non
01;01;Etat Initial;Climatisation;99;2011;2.6282553413032155E7;0.0;1.3112242141929999E8;1.3112242141929999E8;0.0;non
01;01;Etat Initial;Climatisation;99;2012;2.6304585627493475E7;0.0;1.313994815404E8;1.313994815404E8;0.0;non
01;01;Etat Initial;Climatisation;99;2013;2.6379527576032806E7;0.0;1.3166839732990001E8;1.3166839732990001E8;0.0;non
01;01;Etat Initial;Climatisation;99;2014;2.659850485339564E7;0.0;1.3192891487950002E8;1.3192891487950002E8;0.0;non
01;01;Etat Initial;Climatisation;99;2015;2.6713224350829326E7;0.0;1.3218138544869998E8;1.3218138544869998E8;0.0;non
01;01;Etat Initial;Climatisation;99;2016;3.0396299395102497E7;0.0;1.3242591920490001E8;1.3242591920490001E8;0.0;non
01;01;Etat Initial;Climatisation;99;2017;3.0439440475380983E7;0.0;1.3259727479200003E8;1.3259727479200003E8;0.0;non
01;01;Etat Initial;Climatisation;99;2018;3.1474401538723804E7;0.0;1.327603186415E8;1.327603186415E8;0.0;non
01;01;Etat Initial;Climatisation;99;2019;3.1599816742334444E7;0.0;1.329154758708E8;1.329154758708E8;0.0;non
01;01;Etat Initial;Climatisation;99;2020;3.162863895121928E7;0.0;1.3306365100170001E8;1.3306365100170001E8;0.0;non
01;01;Etat Initial;Climatisation;99;2021;3.270424890612318E7;0.0;1.3320265987080003E8;1.3320265987080003E8;0.0;non
01;01;Etat Initial;Climatisation;99;2022;3.3108683611278743E7;0.0;1.3310978637869999E8;1.3310978637869999E8;0.0;non
01;01;Etat Initial;Climatisation;99;2023;3.3266469633767605E7;0.0;1.3301671636280002E8;1.3301671636280002E8;0.0;non
01;01;Etat Initial;Climatisation;99;2024;3.3516464771845113E7;0.0;1.3292275208510001E8;1.3292275208510001E8;0.0;non
01;01;Etat Initial;Climatisation;99;2025;5.054790750461158E7;0.0;1.6520589574440002E8;1.6520589574440002E8;0.0;non
01;01;Etat Initial;Climatisation;99;2026;5.181292508861287E7;0.0;1.6618319582279995E8;1.6618319582279995E8;0.0;non
01;01;Etat Initial;Climatisation;99;2027;5.2223266122258656E7;0.0;1.6705255949149996E8;1.6705255949149996E8;0.0;non
01;01;Etat Initial;Climatisation;99;2028;5.337420763591785E7;0.0;1.6789631160639998E8;1.6789631160639998E8;0.0;non
01;01;Etat Initial;Climatisation;99;2029;5.511199940703002E7;0.0;1.6931627771550003E8;1.6931627771550003E8;0.0;non
01;01;Etat Initial;Climatisation;99;2030;5.6564910107223995E7;0.0;1.7059379136200002E8;1.7059379136200002E8;0.0;non
01;01;Etat Initial;Climatisation;99;2031;7.154280334643449E7;0.0;1.6039704468140006E8;1.6039704468140006E8;0.0;non
01;01;Etat Initial;Climatisation;99;2032;8.15253053891219E7;0.0;1.608716560874E8;1.608716560874E8;0.0;non
01;01;Etat Initial;Climatisation;99;2033;8.444186541704516E7;0.0;1.6114643827370003E8;1.6114643827370003E8;0.0;non
01;01;Etat Initial;Climatisation;99;2034;8.867579807929946E7;0.0;1.6133647877299994E8;1.6133647877299994E8;0.0;non
01;01;Etat Initial;Climatisation;99;2035;1.0175691273653363E8;0.0;1.6196017060509995E8;1.6196017060509995E8;0.0;non
01;01;Etat Initial;Climatisation;99;2036;9.639000703906453E7;0.0;1.5689832041030002E8;1.5689832041030002E8;0.0;non
01;01;Etat Initial;Climatisation;99;2037;7.126348031748033E7;0.0;1.5510302716339996E8;1.5510302716339996E8;0.0;non
01;01;Etat Initial;Climatisation;99;2038;7.026464221317346E7;0.0;1.553369382802E8;1.553369382802E8;0.0;non
01;01;Etat Initial;Climatisation;99;2039;6.99482892487501E7;0.0;1.5540258968310001E8;1.5540258968310001E8;0.0;non
01;01;Etat Initial;Climatisation;99;2040;9.349801594920287E7;0.0;1.8957494292080006E8;1.8957494292080006E8;0.0;non
01;01;Etat Initial;Climatisation;99;2041;8.088440954580887E7;0.0;1.9092985223770005E8;1.9092985223770005E8;0.0;non
01;01;Etat Initial;Climatisation;99;2042;8.449437782271193E7;0.0;1.9133380688710004E8;1.9133380688710004E8;0.0;non
01;01;Etat Initial;Climatisation;99;2043;8.33824606394816E7;0.0;1.9286146200140008E8;1.9286146200140008E8;0.0;non
01;01;Etat Initial;Climatisation;99;2044;8.339327438521744E7;0.0;1.9420729170489997E8;1.9420729170489997E8;0.0;non
01;01;Etat Initial;Climatisation;99;2045;8.481476112890573E7;0.0;1.9643758331160003E8;1.9643758331160003E8;0.0;non
01;01;Etat Initial;Climatisation;99;2046;1.1553279532964148E8;0.0;1.7505232163129994E8;1.7505232163129994E8;0.0;non
01;01;Etat Initial;Climatisation;99;2047;1.1818336995138736E8;0.0;1.7572342827929997E8;1.7572342827929997E8;0.0;non
01;01;Etat Initial;Climatisation;99;2048;1.2423486651479271E8;0.0;1.7594802589619997E8;1.7594802589619997E8;0.0;non
01;01;Etat Initial;Climatisation;99;2049;1.337046753604143E8;0.0;1.7652478208380002E8;1.7652478208380002E8;0.0;non
01;01;Etat Initial;Climatisation;99;2050;1.4570742107271153E8;0.0;1.7689772213530004E8;1.7689772213530004E8;0.0;non
01;01;Etat Initial;ECS;99;2010;1.388039154948707E8;0.0;1.9548621445599996E7;1.9548621445599996E7;0.0;non
01;01;Etat Initial;ECS;99;2011;1.3871347634655872E8;0.0;1.9524245688399993E7;1.9524245688399993E7;0.0;non
01;01;Etat Initial;ECS;99;2012;1.3882975747843802E8;0.0;1.9505001716299996E7;1.9505001716299996E7;0.0;non
01;01;Etat Initial;ECS;99;2013;1.39225284429062E8;0.0;1.9521641151999995E7;1.9521641151999995E7;0.0;non
01;01;Etat Initial;ECS;99;2014;1.4038099783736566E8;0.0;1.9618640614699997E7;1.9618640614699997E7;0.0;non
01;01;Etat Initial;ECS;99;2015;1.4098646185159948E8;0.0;1.9608743844500005E7;1.9608743844500005E7;0.0;non
01;01;Etat Initial;ECS;99;2016;1.7224569657224748E8;0.0;2.4854065213699993E7;2.4854065213699993E7;0.0;non
01;01;Etat Initial;ECS;99;2017;1.724901626938255E8;0.0;2.4723710800600007E7;2.4723710800600007E7;0.0;non
01;01;Etat Initial;ECS;99;2018;1.783549420527683E8;0.0;2.497322480950001E7;2.497322480950001E7;0.0;non
01;01;Etat Initial;ECS;99;2019;1.7906562820656165E8;0.0;2.4152479325799987E7;2.4152479325799987E7;0.0;non
01;01;Etat Initial;ECS;99;2020;1.7922895405690905E8;0.0;2.3882693309000004E7;2.3882693309000004E7;0.0;non
01;01;Etat Initial;ECS;99;2021;1.853240771346978E8;0.0;2.73244981977E7;2.73244981977E7;0.0;non
01;01;Etat Initial;ECS;99;2022;2.0417021560288566E8;0.0;3.587437477179998E7;3.587437477179998E7;0.0;non
01;01;Etat Initial;ECS;99;2023;2.0514322940823403E8;0.0;3.557466403569999E7;3.557466403569999E7;0.0;non
01;01;Etat Initial;ECS;99;2024;2.0668486609304464E8;0.0;3.546936093300001E7;3.546936093300001E7;0.0;non
01;01;Etat Initial;ECS;99;2025;2.583559716902379E8;0.0;3.324235101719998E7;3.324235101719998E7;0.0;non
01;01;Etat Initial;ECS;99;2026;2.6482161711957735E8;0.0;3.3342856882399995E7;3.3342856882399995E7;0.0;non
01;01;Etat Initial;ECS;99;2027;2.669189157359897E8;0.0;3.3484064133099996E7;3.3484064133099996E7;0.0;non
01;01;Etat Initial;ECS;99;2028;2.905929082399974E8;0.0;3.3250129812100016E7;3.3250129812100016E7;0.0;non
01;01;Etat Initial;ECS;99;2029;3.000542189938297E8;0.0;3.383540653709999E7;3.383540653709999E7;0.0;non
01;01;Etat Initial;ECS;99;2030;3.0796451058377516E8;0.0;3.471807059970002E7;3.471807059970002E7;0.0;non
01;01;Etat Initial;ECS;99;2031;2.7424741282799894E8;0.0;4.169200828900002E7;4.169200828900002E7;0.0;non
01;01;Etat Initial;ECS;99;2032;3.125136706583012E8;0.0;4.41786419603E7;4.41786419603E7;0.0;non
01;01;Etat Initial;ECS;99;2033;3.4480428378626645E8;0.0;4.406043610229996E7;4.406043610229996E7;0.0;non
01;01;Etat Initial;ECS;99;2034;3.842617916769638E8;0.0;5.453326269810004E7;5.453326269810004E7;0.0;non
01;01;Etat Initial;ECS;99;2035;4.40946621858311E8;0.0;5.206197872720001E7;5.206197872720001E7;0.0;non
01;01;Etat Initial;ECS;99;2036;3.935925287428477E8;0.0;5.114938039100002E7;5.114938039100002E7;0.0;non
01;01;Etat Initial;ECS;99;2037;3.8799005950628257E8;0.0;4.7874215528599985E7;4.7874215528599985E7;0.0;non
01;01;Etat Initial;ECS;99;2038;3.825519409383895E8;0.0;4.7207468950700015E7;4.7207468950700015E7;0.0;non
01;01;Etat Initial;ECS;99;2039;3.8082957479875124E8;0.0;4.695760935409998E7;4.695760935409998E7;0.0;non
01;01;Etat Initial;ECS;99;2040;4.7528158107511514E8;0.0;4.600884925090004E7;4.600884925090004E7;0.0;non
01;01;Etat Initial;ECS;99;2041;4.1116241519119495E8;0.0;4.5209572439399995E7;4.5209572439399995E7;0.0;non
01;01;Etat Initial;ECS;99;2042;4.295130872654515E8;0.0;4.736771008660002E7;4.736771008660002E7;0.0;non
01;01;Etat Initial;ECS;99;2043;4.5165499513052326E8;0.0;4.423738445220002E7;4.423738445220002E7;0.0;non
01;01;Etat Initial;ECS;99;2044;4.44764130054494E8;0.0;4.642479888550001E7;4.642479888550001E7;0.0;non
01;01;Etat Initial;ECS;99;2045;4.5234539268749917E8;0.0;4.72019285265E7;4.72019285265E7;0.0;non
01;01;Etat Initial;ECS;99;2046;4.929399267398046E8;0.0;5.8714418783300035E7;5.8714418783300035E7;0.0;non
01;01;Etat Initial;ECS;99;2047;5.042490451259194E8;0.0;5.810679707540001E7;5.810679707540001E7;0.0;non
01;01;Etat Initial;ECS;99;2048;5.300687637964467E8;0.0;5.831535142399997E7;5.831535142399997E7;0.0;non
01;01;Etat Initial;ECS;99;2049;5.704732815377661E8;0.0;5.649919044490002E7;5.649919044490002E7;0.0;non
01;01;Etat Initial;ECS;99;2050;6.313988246484181E8;0.0;5.5026101124200046E7;5.5026101124200046E7;0.0;non
01;01;Etat Initial;Eclairage;99;2010;3.068297079360294E7;0.0;6116503.3138000015;6116503.3138000015;0.0;non
01;01;Etat Initial;Eclairage;99;2011;3.0662978981870845E7;0.0;6138153.7358;6138153.7358;0.0;non
01;01;Etat Initial;Eclairage;99;2012;3.0688683232075717E7;0.0;6173022.8144;6173022.8144;0.0;non
01;01;Etat Initial;Eclairage;99;2013;3.0776115505371604E7;0.0;6298677.1576000005;6298677.1576000005;0.0;non
01;01;Etat Initial;Eclairage;99;2014;3.103158899562825E7;0.0;6630110.955000001;6630110.955000001;0.0;non
01;01;Etat Initial;Eclairage;99;2015;3.116542840930088E7;0.0;6706396.649400001;6706396.649400001;0.0;non
01;01;Etat Initial;Eclairage;99;2016;3.546234929428624E7;0.0;2.9705361773399998E7;2.9705361773399998E7;0.0;non
01;01;Etat Initial;Eclairage;99;2017;3.5512680554611154E7;0.0;2.99384110831E7;2.99384110831E7;0.0;non
01;01;Etat Initial;Eclairage;99;2018;3.67201351285111E7;0.0;3.1132499911300004E7;3.1132499911300004E7;0.0;non
01;01;Etat Initial;Eclairage;99;2019;3.6866452866056845E7;0.0;2.9699298409800004E7;2.9699298409800004E7;0.0;non
01;01;Etat Initial;Eclairage;99;2020;3.6900078776422486E7;0.0;2.96326247905E7;2.96326247905E7;0.0;non
01;01;Etat Initial;Eclairage;99;2021;3.81549570571437E7;0.0;6.864754981669997E7;6.864754981669997E7;0.0;non
01;01;Etat Initial;Eclairage;99;2022;3.862679754649187E7;0.0;7.065037600739999E7;7.065037600739999E7;0.0;non
01;01;Etat Initial;Eclairage;99;2023;3.881088123939554E7;0.0;7.22289031002E7;7.22289031002E7;0.0;non
01;01;Etat Initial;Eclairage;99;2024;3.9102542233819306E7;0.0;7.41725933609E7;7.41725933609E7;0.0;non
01;01;Etat Initial;Eclairage;99;2025;5.6164341671790645E7;0.0;8.923635338149999E7;8.923635338149999E7;0.0;non
01;01;Etat Initial;Eclairage;99;2026;5.7569916765125416E7;0.0;9.338008179209998E7;9.338008179209998E7;0.0;non
01;01;Etat Initial;Eclairage;99;2027;5.802585124695406E7;0.0;9.833000382039998E7;9.833000382039998E7;0.0;non
01;01;Etat Initial;Eclairage;99;2028;5.930467515101983E7;0.0;1.0516035632409997E8;1.0516035632409997E8;0.0;non
01;01;Etat Initial;Eclairage;99;2029;6.1235554896700025E7;0.0;1.1296420324079995E8;1.1296420324079995E8;0.0;non
01;01;Etat Initial;Eclairage;99;2030;6.284990011913778E7;0.0;1.220513774612E8;1.220513774612E8;0.0;non
01;01;Etat Initial;Eclairage;99;2031;5.961900278869541E7;0.0;7.686764187130001E7;7.686764187130001E7;0.0;non
01;01;Etat Initial;Eclairage;99;2032;6.793775449093492E7;0.0;8.65450392457E7;8.65450392457E7;0.0;non
01;01;Etat Initial;Eclairage;99;2033;7.036822118087097E7;0.0;9.016197595329998E7;9.016197595329998E7;0.0;non
01;01;Etat Initial;Eclairage;99;2034;7.389649839941625E7;0.0;9.1461266477E7;9.1461266477E7;0.0;non
01;01;Etat Initial;Eclairage;99;2035;8.479742728044467E7;0.0;8.99443877017E7;8.99443877017E7;0.0;non
