branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.672917473E7;2.5575103029999997E7;2.442463369E7;2.3277753939999998E7;2.21344493E7;2.0994709000000004E7;1.9796154675900005E7;1.84896955673E7;1.72090080814E7;1.59605024304E7;1.4832701325900001E7;1.3710803496799998E7;1.26060072782E7;1.15130529539E7;1.0431926736E7;9361720.714800002;8301795.2715;7257325.875100001;6322382.4311999995;6247376.0554;6812285.690300002;7409367.304099999;8015313.3883;8604717.3062;9189785.128000002;1.12346723547E7;1.3224943918799998E7;1.5005676706999997E7;1.66094850473E7;1.7996564810399998E7;1.9176505178600006E7;2.02051357127E7;2.1084306311100002E7;2.17816649406E7;2.23227083214E7;2.26865721079E7;2.2954616972399995E7;2.31099759217E7;2.31679873498E7;2.29831664532E7;2.2782767405099995E7
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;2560310.2496;3087244.8198;3614179.39;4141113.9594;4668049.1267;5194983.994;5654389.736700001;6111253.7275;6566082.8556;7019922.8484000005;7471713.106500001;7881061.4640999995;8288343.267100001;8693696.8164;9096870.5047;9101569.5332;9098937.0123;9091554.7353;9084647.558300002;9072400.574400002;9055647.8169;8974418.5175;8889515.3475;8809752.2669;8730638.5022;8651551.6265;8613541.7355;8573809.234000001;8528908.349;8486639.160500001;8341113.176400001;8193026.287599999;8046912.006200001;7903990.1306;7760083.359800001;7601465.0251;7570188.955600001;7537440.5604;7503750.9668;7462297.3818;7409934.0720999995
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.7470000002;1482903.8104000003;1419031.8548;1355344.4327999998;1291841.0732999998;1228521.3328999998;1165384.7580000001;1100452.9148;1028291.6396000001;957370.5907;887859.6815;824997.0063000001;762542.1484000001;700637.6742;639294.3409000001;578500.0518;518392.2332;468550.1505;423288.1648000001;381810.521;345416.86249999993;328208.9956;325187.10750000004;332325.528;348834.2985;373962.9343;488608.7307000001;612125.2740999999;742213.4943999999;877647.7236;1015137.5342000002;1155190.5427999997;1300898.1457;1451933.3487;1606804.5610999996;1764369.7534;1919716.3592;2082635.6491000005;2251798.2707999996;2424769.152999999;2595519.5406000004;2766905.0081
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.3485262524000002E7;1.35497465193E7;1.3516536119800001E7;1.3590076272E7;1.38490402522E7;1.41714621638E7;1.4376622373300003E7;1.45173237295E7;1.46422055801E7;1.4743161725200001E7;1.4919366129300002E7;1.5058756938600002E7;1.5114140281799996E7;1.5135927795999998E7;1.51295950553E7;1.5089692705699997E7;1.50263799605E7;1.4932816928700002E7;1.4776548207100002E7;1.44062588786E7;1.3993372611000001E7;1.3600423466E7;1.31994595394E7;1.2794077338100001E7;1.2387735362500004E7;1.18721698266E7;1.1403072204400003E7;1.10153950412E7;1.0531048595E7;9897011.4358;9208186.958900003;8483419.512799999;7771819.647499999;7075720.6972;6380390.433499998;5701857.550000001;5049092.7264;4463710.159699999;3908814.9679999994;3374544.7984000007;2869393.7215000005
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5768349.973699999;5516503.965899999;5265712.3157;5015967.0398;4767260.354;4519584.526500002;4231164.116500001;3935611.2288;3648057.2011;3368323.4033;3116121.1258000005;2868930.2715000003;2625722.4512000005;2386447.0387999997;2151053.5253;1919492.5691999998;1690005.0127999997;1464706.8399999999;1243538.3398000002;1026440.4487;812536.7643999999;605640.8698000001;401268.3097;199395.7599;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1585039.4006;1516695.0396000003;1448555.1886;1380619.2112000003;1312886.5017999997;1245356.4469000003;1175799.0594000001;1099823.6149;1024231.8192000001;950294.4486000001;883474.1288;817275.5457;754385.7443;692404.7263;630965.0652000001;574229.3269000001;521237.70320000005;470366.2637999999;425162.7362;385248.36379999993;351334.6614;323294.7695;301475.0427;289852.0145;332329.844;405109.0670999999;490684.7587;590102.5625000001;699912.8108999999;817785.1011000002;946567.5249;1084312.1498999998;1232656.2874999999;1391228.5219999999;1556182.7050000003;1724275.7627999997;1887826.6425;2042499.848;2187077.0227;2319673.5631999997;2434725.5614
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;962058.959;920520.9778;879112.6397000002;837833.4565;796682.9628000001;755660.6885;712522.6836999999;665500.6823999999;619406.1916;574483.5155;533906.1315999998;493542.3065;453807.41069999995;414500.35589999997;375620.76499999996;337134.1963;299016.4921;261464.03010000003;228037.26519999997;227097.0736;250313.22890000002;274729.46140000003;299469.26529999997;323573.74830000004;347835.8261;425714.6558;501693.9505;569439.5750999999;630481.3683999999;683248.0385000001;728068.0782000002;767138.4147000001;800542.792;826934.3250999999;847404.2758000001;861185.3766000001;871346.4161999997;877237.3744000001;879451.0673999999;872483.7880000001;864927.4629999999
01;01;01;02;Chauffage;Chauffage;2.58;1.3977260778E8;1.4505568765000004E8;1.5170395030999997E8;1.6019530093E8;1.6660904307E8;1.6943762022000003E8;1.7099469779E8;1.7123343321679994E8;1.705474402736E8;1.7005783172709998E8;1.695951493807E8;1.7047082245599997E8;1.714398678528E8;1.7355364898850003E8;1.7620961460750005E8;1.7939060289449996E8;1.829276465054E8;1.8651381011480004E8;1.9044204497810003E8;1.949778895325E8;2.0247635691790003E8;2.0972686766520002E8;2.1645265547169998E8;2.228568546747E8;2.2871793123810002E8;2.322554281469E8;2.305980375578E8;2.276701071909E8;2.228356829593E8;2.1943087353170002E8;2.18698459076E8;2.1865658445329997E8;2.1835551218519995E8;2.1738423202969992E8;2.158257888654E8;2.1390159769479993E8;2.1137521414570007E8;2.0813587763149998E8;2.0351166149490005E8;1.981396629048E8;1.9223739977580002E8;1.860160986883001E8
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.437296083572E8;1.4318325776610002E8;1.4264543728E8;1.42116339129E8;1.414334362718E8;1.406745002205E8;1.3983854828579998E8;1.3892462539560002E8;1.379317247107E8;1.360374194817E8;1.340532494243E8;1.3197796892249998E8;1.2981034160269998E8;1.2917917669319999E8;1.2861102717289999E8;1.281063922873E8;1.276658637834E8;1.272900421548E8;1.269795359743E8;1.266309773205E8;1.262667541528E8;1.2588663523550001E8;1.2549038345869999E8;1.2507776235759999E8;1.2532135887959999E8;1.25556408185E8;1.257827760648E8;1.2600032575059998E8;1.2621616086809999E8;1.2584021295079999E8;1.254529614658E8;1.250542405318E8;1.246438827465E8;1.2422172155499999E8;1.24427773353E8;1.24635279253E8;1.2484425368E8;1.2505471045499998E8;1.25266665345E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.6159964393E7;2.6748346257E7;2.7336737031999998E7;2.7925118006E7;2.8513505982E7;2.9101891535999995E7;2.9217071574E7;2.934435878E7;2.9483350082999997E7;2.9627681483E7;2.9784322283999998E7;2.959935027E7;2.9259553743000004E7;2.8908223051999997E7;2.8516596058E7;2.7799536843E7;2.7055397375200003E7;2.6319168977899995E7;2.59574264522E7;2.56091584964E7;2.52637447191E7;2.4015501208100002E7;2.27729893926E7;2.18889478178E7;2.0752369067700002E7;1.96145240894E7;1.8499243008100003E7;1.75532548081E7;1.6618117559600003E7;1.5678044255400002E7;1.4692849160900002E7;1.3710801843800003E7;1.27326833968E7;1.2672868086099999E7;1.26162933857E7;1.25399277814E7;1.24334229098E7;1.2341807781599998E7;1.22532213715E7;1.21702131687E7;1.20859464545E7
