branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;1.0;8412635.699;8120099.917;7837736.703999999;7565192.93;7302125.806;7048205.936000001;6803116.015000001;6561651.097000001;6328756.540999999;6104127.971;5887471.800000001;5678506.9399999995;5458028.933;5246111.801999999;5042422.12;4846638.865;4658460.494;4477586.756;4303735.279999999;4136634.092;3976020.715;3821642.989;3673255.6270000003;3530625.9949999996;3393540.235;3261777.1610000003;3135123.105;3013386.504;2896380.031;2783916.198;2675809.658;2571936.947;2472110.872;2376159.154;2283931.521;2195280.474;2110067.997;2028154.6130000001;1949420.204;1873743.505;1801008.174;1731099.112
01;01;01;01;Cuisson;Cuisson;1.0;3500591.3310000002;3262177.715;3040001.4519999996;2832957.556;2640014.023;2460211.6169999996;2292654.6040000003;2134858.868;1987923.7489999998;1851101.471;1723696.263;1605060.037;1492716.7280000001;1388236.584;1291068.972;1200702.2889999999;1116661.013;1038501.945;965813.585;898212.711;835343.308;776874.4210000001;722108.9010000001;671203.2390000001;623887.2394000001;579906.6757;539025.4630999999;501026.28799999994;465705.9828;432875.4046;402358.04099999997;373998.747;347641.4834;323141.57739999995;300368.22940000007;279199.21939999994;259521.79129999998;241229.6419;224226.5979;208422.1157;193732.29470000003;180078.1313
01;01;01;02;Autre;Autre;2.58;2.08005643E8;2.080024648E8;2.079888655E8;2.079653492E8;2.079323676E8;2.078901156E8;2.078390041E8;2.0762973689999998E8;2.0741239939999998E8;2.071872832E8;2.069546923E8;2.067150384E8;2.050704169E8;2.0343340139999998E8;2.018040305E8;2.001825237E8;1.985692113E8;1.96964122E8;1.953674129E8;1.937793496E8;1.9219997639999998E8;1.906294117E8;1.890676786E8;1.875147386E8;1.859713778E8;1.844373565E8;1.82912208E8;1.813965284E8;1.798904639E8;1.783940777E8;1.769067079E8;1.754313105E8;1.739666438E8;1.725116788E8;1.710665318E8;1.696309588E8;1.682051008E8;1.667884178E8;1.653815009E8;1.639845572E8;1.6259796960000002E8;1.612214484E8
01;01;01;02;Bureautique;Electricité Spécifique;2.58;3.206753307E8;3.234202553E8;3.261886975E8;3.2898091870000005E8;3.317969915E8;3.346371963E8;3.375016857E8;3.401476777E8;3.428144833E8;3.455021228E8;3.482108877E8;3.5094092029999995E8;3.431640106E8;3.355595404E8;3.2812352809999996E8;3.2085215320000005E8;3.1374202740000004E8;3.067894716E8;2.9999085709999996E8;2.9334298309999996E8;2.868423272E8;2.804856442E8;2.74269698E8;2.681910977E8;2.622477115E8;2.564361209E8;2.5075269160000002E8;2.45195213E8;2.397611225E8;2.34447425E8;2.292507516E8;2.241722707E8;2.2144928520000002E8;2.187594147E8;2.16102159E8;2.134767843E8;2.108831875E8;2.083202836E8;2.0578828960000002E8;2.032872147E8;2.00817004E8;1.983769534E8
01;01;01;02;Cuisson;Cuisson;2.58;2.135047235E7;2.2066968489999995E7;2.2715307700000003E7;2.332796175E7;2.390683976E7;2.445377003E7;2.497044611E7;2.5440511189999998E7;2.588278156E7;2.629873986E7;2.6689806119999997E7;2.7057308619999997E7;2.721642232E7;2.735440467E7;2.747251119E7;2.7571926299999997E7;2.7653780740000002E7;2.771911434E7;2.776892869E7;2.7804166599999998E7;2.782570736E7;2.783437489E7;2.775429246E7;2.766379097E7;2.756366764E7;2.745457086E7;2.7337065939999998E7;2.721181795E7;2.707941318E7;2.694037225E7;2.679510926E7;2.664453057E7;2.6488891250000004E7;2.632843997E7;2.6163577080000002E7;2.599463935E7;2.582198466E7;2.56458767E7;2.5466695049999997E7;2.5284777950000003E7;2.510043653E7;2.491390055E7
01;01;01;02;Froid_alimentaire;Electricité Spécifique;2.58;5720154.539;5673783.2659;5627787.463800001;5582164.8382;5536911.7511;5492025.7271;5447503.8428;5399420.3462000005;5351761.562700001;5304523.1186;5257701.9293;5211293.794199999;5165295.2706;5119702.797499999;5074512.1026;5029718.5309999995;4985322.7201000005;4941318.064900001;4897700.634500001;4854468.7471;4811617.962;4769144.6606;4727041.4046;4685304.8539;4643944.6804;4602950.366900001;4562307.4141;4522023.2924;4482098.3815;4442525.5824;4403286.9541;4364453.2121;4325987.3166000005;4287859.727899999;4250067.8554;4212602.67;4175464.1313;4138635.9759;4102130.1535999994;4065948.0357999997;4030094.5865;3994561.6678
01;01;01;02;Process;Electricité Spécifique;2.58;4593456.563;4586841.209;4580236.139;4573640.153999999;4567054.252;4560477.635;4553910.101;4544073.527;4534258.147;4524463.65;4514690.436;4504939.017;4465174.671;4425762.115;4386696.809;4347974.907;4309596.5309999995;4271556.242;4233851.064;4196478.608999999;4159435.8789999997;4122719.216;4086323.606;4050244.249;4014489.828;3979052.0769999996;3943918.5160000003;3909094.522;3874580.807;3840372.222;3806452.421;3772882.729;3739631.488;3706672.242;3674002.714;3641615.267;3609509.9850000003;3577673.761;3546116.38;3514839.0749999997;3483845.17;3453127.7190000005
01;01;01;03;Cuisson;Cuisson;1.0;762516.7215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;Autre;Autre;1.0;476274.74689999997;459713.0549;443727.27129999996;428297.4338;413404.0564;399028.64999999997;385153.0788000001;371482.6977;358297.5287;345580.35469999997;333314.51509999996;321484.0229;309001.9052;297004.34530000004;285472.66339999996;274388.5636;263735.0085;253494.93339999998;243652.442;234192.16640000002;225099.1943;216359.1975;207958.3153;199883.4039;192122.397;184662.7694;177492.315;170600.3106;163976.08419999998;157609.0937;151488.7079;145607.8982;139956.0556;134523.6122;129302.053;124283.01250000001;119458.66960000001;114821.1591;110363.6556;106079.23880000002;101961.3209;98003.37960000001
01;01;01;04;Cuisson;Cuisson;1.0;1.157032846E7;1.1103341049999999E7;1.0624710229E7;1.0166714974E7;9728461.308;9309102.746000001;8907820.306;8517419.168;8144131.324999999;7787200.584000001;7445913.199000001;7119583.722999999;6786791.52;6469553.578000001;6167144.368;5878867.961;5604069.333000001;5342115.173;5092405.5370000005;4854367.566000001;4627456.953;4411151.352;4199438.541999999;3997881.648;3806006.597;3623340.443;3449432.5089999996;3283872.409;3126261.472;2976214.524;2833358.182;2697394.304;2567968.236;2444752.421;2327448.657;2215770.184;2109448.345;2008221.6039999998;1911851.5410000002;1820106.585;1732767.112;1649621.1899999997
