branche;occupant;typeRenovationBatiment;typeRenovationSysteme;cible;annee;surface;aides;investissement;prets;pretsBonifies;reglementation
01;01;Etat Initial;Climatisation;99;2010;2.1199489258567907E7;0.0;1.308374384274E8;1.308374384274E8;0.0;non
01;01;Etat Initial;Climatisation;99;2011;2.118607547244206E7;0.0;1.311224214193E8;1.311224214193E8;0.0;non
01;01;Etat Initial;Climatisation;99;2012;2.1184030779138338E7;0.0;1.313974847054E8;1.313974847054E8;0.0;non
01;01;Etat Initial;Climatisation;99;2013;2.116923506851021E7;0.0;1.316934902474E8;1.316934902474E8;0.0;non
01;01;Etat Initial;Climatisation;99;2014;2.115267324410791E7;0.0;1.3197971250419997E8;1.3197971250419997E8;0.0;non
01;01;Etat Initial;Climatisation;99;2015;2.127832026684056E7;0.0;1.322563233428E8;1.322563233428E8;0.0;non
01;01;Etat Initial;Climatisation;99;2016;2.381365036196699E7;0.0;1.3252289134490001E8;1.3252289134490001E8;0.0;non
01;01;Etat Initial;Climatisation;99;2017;2.36959700486917E7;0.0;1.326838453062E8;1.326838453062E8;0.0;non
01;01;Etat Initial;Climatisation;99;2018;2.4847882951352373E7;0.0;1.3283546521150003E8;1.3283546521150003E8;0.0;non
01;01;Etat Initial;Climatisation;99;2019;2.5823192503891964E7;0.0;1.3297801314960001E8;1.3297801314960001E8;0.0;non
01;01;Etat Initial;Climatisation;99;2020;2.568672569009018E7;0.0;1.331126271213E8;1.331126271213E8;0.0;non
01;01;Etat Initial;Climatisation;99;2021;2.688468328636679E7;0.0;1.3324810419660003E8;1.3324810419660003E8;0.0;non
01;01;Etat Initial;Climatisation;99;2022;2.66142231446192E7;0.0;1.331462984018E8;1.331462984018E8;0.0;non
01;01;Etat Initial;Climatisation;99;2023;2.6801289533183787E7;0.0;1.330434821487E8;1.330434821487E8;0.0;non
01;01;Etat Initial;Climatisation;99;2024;2.69083323991973E7;0.0;1.3293921978169999E8;1.3293921978169999E8;0.0;non
01;01;Etat Initial;Climatisation;99;2025;4.014341944716843E7;0.0;1.652139528866E8;1.652139528866E8;0.0;non
01;01;Etat Initial;Climatisation;99;2026;4.007400115236273E7;0.0;1.6617585400199997E8;1.6617585400199997E8;0.0;non
01;01;Etat Initial;Climatisation;99;2027;4.037247916880876E7;0.0;1.6653328152560002E8;1.6653328152560002E8;0.0;non
01;01;Etat Initial;Climatisation;99;2028;4.1215897730201915E7;0.0;1.6734747367249998E8;1.6734747367249998E8;0.0;non
01;01;Etat Initial;Climatisation;99;2029;4.1824482783193015E7;0.0;1.6873666405570003E8;1.6873666405570003E8;0.0;non
01;01;Etat Initial;Climatisation;99;2030;4.2333220406091124E7;0.0;1.6998189158260003E8;1.6998189158260003E8;0.0;non
01;01;Etat Initial;Climatisation;99;2031;5.737172254202099E7;0.0;1.6026391922920004E8;1.6026391922920004E8;0.0;non
01;01;Etat Initial;Climatisation;99;2032;5.974447213161987E7;0.0;1.6072879407370004E8;1.6072879407370004E8;0.0;non
01;01;Etat Initial;Climatisation;99;2033;6.151874564492287E7;0.0;1.609932339523E8;1.609932339523E8;0.0;non
01;01;Etat Initial;Climatisation;99;2034;6.2994333614242055E7;0.0;1.611729698741E8;1.611729698741E8;0.0;non
01;01;Etat Initial;Climatisation;99;2035;6.402043973169858E7;0.0;1.6153570608800003E8;1.6153570608800003E8;0.0;non
01;01;Etat Initial;Climatisation;99;2036;6.465372168033729E7;0.0;1.5673757484250003E8;1.5673757484250003E8;0.0;non
01;01;Etat Initial;Climatisation;99;2037;4.906707411419658E7;0.0;1.549344106104001E8;1.549344106104001E8;0.0;non
01;01;Etat Initial;Climatisation;99;2038;4.93598332965846E7;0.0;1.551620167903E8;1.551620167903E8;0.0;non
01;01;Etat Initial;Climatisation;99;2039;4.8737477623773016E7;0.0;1.5530707107119992E8;1.5530707107119992E8;0.0;non
01;01;Etat Initial;Climatisation;99;2040;6.6294675732522346E7;0.0;1.8948016731659997E8;1.8948016731659997E8;0.0;non
01;01;Etat Initial;Climatisation;99;2041;7.980809461658351E7;0.0;1.908369421284E8;1.908369421284E8;0.0;non
01;01;Etat Initial;Climatisation;99;2042;7.833374439769167E7;0.0;1.9076647605980006E8;1.9076647605980006E8;0.0;non
01;01;Etat Initial;Climatisation;99;2043;7.800861791208464E7;0.0;1.9229881922469997E8;1.9229881922469997E8;0.0;non
01;01;Etat Initial;Climatisation;99;2044;7.749166373702718E7;0.0;1.9364848406549993E8;1.9364848406549993E8;0.0;non
01;01;Etat Initial;Climatisation;99;2045;7.824692695954457E7;0.0;1.958821843381E8;1.958821843381E8;0.0;non
01;01;Etat Initial;Climatisation;99;2046;1.068539359370379E8;0.0;1.750765771249E8;1.750765771249E8;0.0;non
01;01;Etat Initial;Climatisation;99;2047;9.651831371523342E7;0.0;1.7576860191559994E8;1.7576860191559994E8;0.0;non
01;01;Etat Initial;Climatisation;99;2048;1.0121533593254173E8;0.0;1.7600731450290006E8;1.7600731450290006E8;0.0;non
01;01;Etat Initial;Climatisation;99;2049;1.0624360481416197E8;0.0;1.7654875883469996E8;1.7654875883469996E8;0.0;non
01;01;Etat Initial;Climatisation;99;2050;1.1264812902003156E8;0.0;1.7670042726500002E8;1.7670042726500002E8;0.0;non
01;01;Etat Initial;ECS;99;2010;1.1188619330910859E8;0.0;1.9544958313199997E7;1.9544958313199997E7;0.0;non
01;01;Etat Initial;ECS;99;2011;1.1181539832677741E8;0.0;1.95195165602E7;1.95195165602E7;0.0;non
01;01;Etat Initial;ECS;99;2012;1.1180460688989651E8;0.0;1.9495614058599994E7;1.9495614058599994E7;0.0;non
01;01;Etat Initial;ECS;99;2013;1.117265184171372E8;0.0;1.9468776200600006E7;1.9468776200600006E7;0.0;non
01;01;Etat Initial;ECS;99;2014;1.1163910878834705E8;0.0;1.943972640949999E7;1.943972640949999E7;0.0;non
01;01;Etat Initial;ECS;99;2015;1.1230224585276955E8;0.0;1.9487414051400013E7;1.9487414051400013E7;0.0;non
01;01;Etat Initial;ECS;99;2016;1.3097507699081847E8;0.0;2.3925338776399992E7;2.3925338776399992E7;0.0;non
01;01;Etat Initial;ECS;99;2017;1.3032783526780443E8;0.0;2.3755708951300003E7;2.3755708951300003E7;0.0;non
01;01;Etat Initial;ECS;99;2018;1.3666335623243794E8;0.0;2.4138212289E7;2.4138212289E7;0.0;non
01;01;Etat Initial;ECS;99;2019;1.463314241887214E8;0.0;2.4266169520799994E7;2.4266169520799994E7;0.0;non
01;01;Etat Initial;ECS;99;2020;1.455581122438446E8;0.0;2.40755617002E7;2.40755617002E7;0.0;non
01;01;Etat Initial;ECS;99;2021;1.5234653862274522E8;0.0;2.75167258833E7;2.75167258833E7;0.0;non
01;01;Etat Initial;ECS;99;2022;1.6412104272515175E8;0.0;3.584182650980002E7;3.584182650980002E7;0.0;non
01;01;Etat Initial;ECS;99;2023;1.652746187879667E8;0.0;3.571104810869999E7;3.571104810869999E7;0.0;non
01;01;Etat Initial;ECS;99;2024;1.6593471646171653E8;0.0;3.55747660074E7;3.55747660074E7;0.0;non
01;01;Etat Initial;ECS;99;2025;2.051774771744171E8;0.0;3.31673255259E7;3.31673255259E7;0.0;non
01;01;Etat Initial;ECS;99;2026;2.048226725565206E8;0.0;3.298847041729999E7;3.298847041729999E7;0.0;non
01;01;Etat Initial;ECS;99;2027;2.0634822686279973E8;0.0;3.3104934575800024E7;3.3104934575800024E7;0.0;non
01;01;Etat Initial;ECS;99;2028;2.243976654199876E8;0.0;3.1980374036299985E7;3.1980374036299985E7;0.0;non
01;01;Etat Initial;ECS;99;2029;2.2771107293071702E8;0.0;3.206260037629999E7;3.206260037629999E7;0.0;non
01;01;Etat Initial;ECS;99;2030;2.3048086665538433E8;0.0;3.24272901967E7;3.24272901967E7;0.0;non
01;01;Etat Initial;ECS;99;2031;2.1992493641108027E8;0.0;4.161671131210003E7;4.161671131210003E7;0.0;non
01;01;Etat Initial;ECS;99;2032;2.29020476504543E8;0.0;4.201663832369999E7;4.201663832369999E7;0.0;non
01;01;Etat Initial;ECS;99;2033;2.5120154471676764E8;0.0;4.231584884330001E7;4.231584884330001E7;0.0;non
01;01;Etat Initial;ECS;99;2034;2.729754456617164E8;0.0;5.367092131899998E7;5.367092131899998E7;0.0;non
01;01;Etat Initial;ECS;99;2035;2.77421905504027E8;0.0;5.348106295599996E7;5.348106295599996E7;0.0;non
01;01;Etat Initial;ECS;99;2036;2.640026968613766E8;0.0;5.33830933126E7;5.33830933126E7;0.0;non
01;01;Etat Initial;ECS;99;2037;2.6714295906618088E8;0.0;5.056422451190003E7;5.056422451190003E7;0.0;non
01;01;Etat Initial;ECS;99;2038;2.6873687017029464E8;0.0;5.0047352455E7;5.0047352455E7;0.0;non
01;01;Etat Initial;ECS;99;2039;2.6534848928498664E8;0.0;4.9204867374400035E7;4.9204867374400035E7;0.0;non
01;01;Etat Initial;ECS;99;2040;3.3699793497365445E8;0.0;4.662803723080002E7;4.662803723080002E7;0.0;non
01;01;Etat Initial;ECS;99;2041;4.056911476342996E8;0.0;4.49252191273E7;4.49252191273E7;0.0;non
01;01;Etat Initial;ECS;99;2042;3.981965340215986E8;0.0;4.524911241679999E7;4.524911241679999E7;0.0;non
01;01;Etat Initial;ECS;99;2043;4.160459621977845E8;0.0;4.347508877049996E7;4.347508877049996E7;0.0;non
01;01;Etat Initial;ECS;99;2044;4.1328887326414496E8;0.0;4.335350316179999E7;4.335350316179999E7;0.0;non
01;01;Etat Initial;ECS;99;2045;4.1731694378423655E8;0.0;4.3862346171500005E7;4.3862346171500005E7;0.0;non
01;01;Etat Initial;ECS;99;2046;4.5591012666469556E8;0.0;5.570567660019998E7;5.570567660019998E7;0.0;non
01;01;Etat Initial;ECS;99;2047;4.118114718516627E8;0.0;5.6310658169500016E7;5.6310658169500016E7;0.0;non
01;01;Etat Initial;ECS;99;2048;4.318520999788432E8;0.0;5.793517455529997E7;5.793517455529997E7;0.0;non
01;01;Etat Initial;ECS;99;2049;4.533060472070929E8;0.0;5.7378620428700015E7;5.7378620428700015E7;0.0;non
01;01;Etat Initial;ECS;99;2050;4.806320171521341E8;0.0;5.752990820729994E7;5.752990820729994E7;0.0;non
01;01;Etat Initial;Eclairage;99;2010;2.473273746832922E7;0.0;6107325.401800002;6107325.401800002;0.0;non
01;01;Etat Initial;Eclairage;99;2011;2.47170880511824E7;0.0;6125941.7979;6125941.7979;0.0;non
01;01;Etat Initial;Eclairage;99;2012;2.4714702575661395E7;0.0;6148652.7206;6148652.7206;0.0;non
01;01;Etat Initial;Eclairage;99;2013;2.469744091326191E7;0.0;6164409.1719;6164409.1719;0.0;non
01;01;Etat Initial;Eclairage;99;2014;2.467811878479256E7;0.0;6174728.7173000015;6174728.7173000015;0.0;non
01;01;Etat Initial;Eclairage;99;2015;2.482470697798065E7;0.0;6377202.582800001;6377202.582800001;0.0;non
01;01;Etat Initial;Eclairage;99;2016;2.778259208896149E7;0.0;2.7350045886099994E7;2.7350045886099994E7;0.0;non
01;01;Etat Initial;Eclairage;99;2017;2.764529839014032E7;0.0;2.74033470165E7;2.74033470165E7;0.0;non
01;01;Etat Initial;Eclairage;99;2018;2.8989196776577767E7;0.0;2.8844137573000003E7;2.8844137573000003E7;0.0;non
01;01;Etat Initial;Eclairage;99;2019;3.012705792120729E7;0.0;2.97080317238E7;2.97080317238E7;0.0;non
01;01;Etat Initial;Eclairage;99;2020;2.996784663843854E7;0.0;2.9775341122499995E7;2.9775341122499995E7;0.0;non
01;01;Etat Initial;Eclairage;99;2021;3.1365463834094588E7;0.0;6.90641064906E7;6.90641064906E7;0.0;non
01;01;Etat Initial;Eclairage;99;2022;3.1049927002055734E7;0.0;7.053856000630003E7;7.053856000630003E7;0.0;non
01;01;Etat Initial;Eclairage;99;2023;3.1268171122047752E7;0.0;7.25659052839E7;7.25659052839E7;0.0;non
01;01;Etat Initial;Eclairage;99;2024;3.1393054465730183E7;0.0;7.44928298112E7;7.44928298112E7;0.0;non
01;01;Etat Initial;Eclairage;99;2025;4.46037993857427E7;0.0;8.916521563919999E7;8.916521563919999E7;0.0;non
01;01;Etat Initial;Eclairage;99;2026;4.45266679470697E7;0.0;9.280934652370001E7;9.280934652370001E7;0.0;non
01;01;Etat Initial;Eclairage;99;2027;4.485831018756529E7;0.0;9.768477847460002E7;9.768477847460002E7;0.0;non
01;01;Etat Initial;Eclairage;99;2028;4.579544192244658E7;0.0;1.0338808537959996E8;1.0338808537959996E8;0.0;non
01;01;Etat Initial;Eclairage;99;2029;4.6471647536881134E7;0.0;1.0994781083680001E8;1.0994781083680001E8;0.0;non
01;01;Etat Initial;Eclairage;99;2030;4.703691156232347E7;0.0;1.178783461917E8;1.178783461917E8;0.0;non
01;01;Etat Initial;Eclairage;99;2031;4.7809768785017505E7;0.0;7.555582446360001E7;7.555582446360001E7;0.0;non
01;01;Etat Initial;Eclairage;99;2032;4.9787060109683216E7;0.0;7.963518475459997E7;7.963518475459997E7;0.0;non
01;01;Etat Initial;Eclairage;99;2033;5.126562137076905E7;0.0;8.437941626900001E7;8.437941626900001E7;0.0;non
01;01;Etat Initial;Eclairage;99;2034;5.249527801186838E7;0.0;8.861496205420002E7;8.861496205420002E7;0.0;non
01;01;Etat Initial;Eclairage;99;2035;5.335036644308216E7;0.0;9.2444573094E7;9.2444573094E7;0.0;non
01;01;Etat Initial;Eclairage;99;2036;5.3878101400281064E7;0.0;6.556828430839999E7;6.556828430839999E7;0.0;non
01;01;Etat Initial;Eclairage;99;2037;5.45189712379962E7;0.0;6.653642835700001E7;6.653642835700001E7;0.0;non
01;01;Etat Initial;Eclairage;99;2038;5.484425921842733E7;0.0;6.73190490155E7;6.73190490155E7;0.0;non
01;01;Etat Initial;Eclairage;99;2039;5.415275291530336E7;0.0;6.666149872779999E7;6.666149872779999E7;0.0;non
01;01;Etat Initial;Eclairage;99;2040;7.181923204356588E7;0.0;7.694338553490001E7;7.694338553490001E7;0.0;non
01;01;Etat Initial;Eclairage;99;2041;8.645876916796547E7;0.0;4.06121982215E7;4.06121982215E7;0.0;non
01;01;Etat Initial;Eclairage;99;2042;8.486155643083262E7;0.0;4.086827404399999E7;4.086827404399999E7;0.0;non
01;01;Etat Initial;Eclairage;99;2043;8.450933607142502E7;0.0;4.04441130735E7;4.04441130735E7;0.0;non
01;01;Etat Initial;Eclairage;99;2044;8.394930238177945E7;0.0;4.04813430906E7;4.04813430906E7;0.0;non
01;01;Etat Initial;Eclairage;99;2045;8.47675042061733E7;0.0;4.167025576330001E7;4.167025576330001E7;0.0;non
