COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT
01;2009;01;Autre;01;49954723.10010001
01;2009;01;Autre;02;1239428506.7399998
01;2009;01;Autre;04;3011014.4662999986
01;2009;01;Bureautique;02;1910785867.0900004
01;2009;01;Cuisson;01;16654294.739799997
01;2009;01;Cuisson;02;127219557.78799997
01;2009;01;Cuisson;03;4543555.603300001
01;2009;01;Cuisson;04;73147748.96510004
01;2009;01;Froid_alimentaire;02;34084285.127100006
01;2009;01;Process;02;27370711.957599994
01;2009;02;Autre;01;37627572.61210001
01;2009;02;Autre;02;933350786.46
01;2009;02;Autre;04;2258238.3343000007
01;2009;02;Bureautique;02;1438915984.6200001
01;2009;02;Cuisson;01;12765104.138700003
01;2009;02;Cuisson;02;95802605.843
01;2009;02;Cuisson;03;3421521.8265
01;2009;02;Cuisson;04;54860269.82629999
01;2009;02;Froid_alimentaire;02;25667148.3698
01;2009;02;Process;02;20611497.8189
01;2009;03;Autre;01;107830692.903
01;2009;03;Autre;02;2667492320.8200006
01;2009;03;Autre;04;6161899.202199999
01;2009;03;Bureautique;02;4112383914.7599998
01;2009;03;Cuisson;01;43578113.7477
01;2009;03;Cuisson;02;273801345.09199995
01;2009;03;Cuisson;03;9778619.7422
01;2009;03;Cuisson;04;149693416.22500002
01;2009;03;Froid_alimentaire;02;73356041.45900002
01;2009;03;Process;02;58907117.87269999
01;2010;01;Autre;01;48217633.65450001
01;2010;01;Autre;02;1239409363.73
01;2010;01;Autre;04;2906311.4513000003
01;2010;01;Bureautique;02;1927142064.7399998
01;2010;01;Cuisson;01;15520027.2919
01;2010;01;Cuisson;02;131383765.87699997
01;2010;01;Cuisson;04;70183914.4013
01;2010;01;Froid_alimentaire;02;33807975.5291
01;2010;01;Process;02;27331298.942500006
01;2010;02;Autre;01;36319137.40979999
01;2010;02;Autre;02;933336269.8099998
01;2010;02;Autre;04;2179711.917200001
01;2010;02;Bureautique;02;1451233146.74
01;2010;02;Cuisson;01;11895716.137100002
01;2010;02;Cuisson;02;98944065.633
01;2010;02;Cuisson;04;52637987.7892
01;2010;02;Froid_alimentaire;02;25459073.831
01;2010;02;Process;02;20581816.815400008
01;2010;03;Autre;01;104081050.07800004
01;2010;03;Autre;02;2667450815.17
01;2010;03;Autre;04;5947629.6400000015
01;2010;03;Bureautique;02;4147585874.88
01;2010;03;Cuisson;01;40610155.55859999
01;2010;03;Cuisson;02;282956926.54800004
01;2010;03;Cuisson;04;143648083.757
01;2010;03;Froid_alimentaire;02;72761369.98249999
01;2010;03;Process;02;58822295.17899999
01;2010;04;Autre;01;2917612.0045000003
01;2010;04;Autre;02;72267636.69289999
01;2010;04;Autre;04;170672.79030000002
01;2010;04;Bureautique;02;123791808.61640003
01;2010;04;Cuisson;01;618169.6885999998
01;2010;04;Cuisson;02;4207289.702999999
01;2010;04;Cuisson;04;2351681.8656
01;2010;04;Froid_alimentaire;02;1545724.7455000004
01;2010;04;Process;02;1595910.614
01;2011;01;Autre;01;46540946.33049999
01;2011;01;Autre;02;1239328537.96
01;2011;01;Autre;04;2805249.3273999994
01;2011;01;Bureautique;02;1943638466.3099997
01;2011;01;Cuisson;01;14463009.0206
01;2011;01;Cuisson;02;135153559.71999997
01;2011;01;Cuisson;04;67158518.0923
01;2011;01;Froid_alimentaire;02;33533904.955300003
01;2011;01;Process;02;27291940.4258
01;2011;02;Autre;01;35056200.885900006
01;2011;02;Autre;02;933275622.47
01;2011;02;Autre;04;2103915.9583
01;2011;02;Bureautique;02;1463655757.8900003
01;2011;02;Cuisson;01;11085539.391900001
01;2011;02;Cuisson;02;101787886.17600001
01;2011;02;Cuisson;04;50368939.041300006
01;2011;02;Froid_alimentaire;02;25252686.333299994
01;2011;02;Process;02;20552178.6919
01;2011;03;Autre;01;100461795.45200002
01;2011;03;Autre;02;2667277170.2799997
01;2011;03;Autre;04;5740810.586
01;2011;03;Bureautique;02;4183088634.69
01;2011;03;Cuisson;01;37844331.6067
01;2011;03;Cuisson;02;291242110.98600006
01;2011;03;Cuisson;04;137455868.61300004
01;2011;03;Froid_alimentaire;02;72171510.95249999
01;2011;03;Process;02;58737582.8731
01;2011;04;Autre;01;5781705.9124
01;2011;04;Autre;02;145721552.45499995
01;2011;04;Autre;04;338214.94899999996
01;2011;04;Bureautique;02;250677220.16100007
01;2011;04;Cuisson;01;1204394.8302999996
01;2011;04;Cuisson;02;8616843.550799998
01;2011;04;Cuisson;04;4640630.366400001
01;2011;04;Froid_alimentaire;02;3104315.579
01;2011;04;Process;02;3215744.462199999
01;2012;01;Autre;01;44922563.9981
01;2012;01;Autre;02;1239188684.77
01;2012;01;Autre;04;2707701.6163000013
01;2012;01;Bureautique;02;1960276183.8499997
01;2012;01;Cuisson;01;13477982.3666
01;2012;01;Cuisson;02;138721404.32699996
01;2012;01;Cuisson;04;64263537.659700006
01;2012;01;Froid_alimentaire;02;33262055.939099997
01;2012;01;Process;02;27252639.3686
01;2012;02;Autre;01;33837179.7054
01;2012;02;Autre;02;933170376.3399999
01;2012;02;Autre;04;2030755.8058999993
01;2012;02;Bureautique;02;1476184738.7600002
01;2012;02;Cuisson;01;10330540.603500001
01;2012;02;Cuisson;02;104479045.05600002
01;2012;02;Cuisson;04;48197699.659300014
01;2012;02;Froid_alimentaire;02;25047971.185799997
01;2012;02;Process;02;20522583.870600004
01;2012;03;Autre;01;96968391.24599998
01;2012;03;Autre;02;2666976048.99
01;2012;03;Autre;04;5541183.357999998
01;2012;03;Bureautique;02;4218895248.41
01;2012;03;Cuisson;01;35266876.1778
01;2012;03;Cuisson;02;299072952.398
01;2012;03;Cuisson;04;131530587.92099999
01;2012;03;Froid_alimentaire;02;71586433.00089999
01;2012;03;Process;02;58652998.73549998
01;2012;04;Autre;01;8545066.649
01;2012;04;Autre;02;220430420.12100002
01;2012;04;Autre;04;499864.47
01;2012;04;Bureautique;02;381350838.04100007
01;2012;04;Cuisson;01;1739887.5290000003
01;2012;04;Cuisson;02;13296136.703200001
01;2012;04;Cuisson;04;6819942.496300002
01;2012;04;Froid_alimentaire;02;4670802.289200002
01;2012;04;Process;02;4859897.477899999
01;2013;01;Autre;01;43360457.4565
01;2013;01;Autre;02;1238992006.5800002
01;2013;01;Autre;04;2613545.7769000004
01;2013;01;Bureautique;02;1977056086.0699997
01;2013;01;Cuisson;01;12560041.965100002
01;2013;01;Cuisson;02;142097825.20200002
01;2013;01;Cuisson;04;61493346.436000004
01;2013;01;Froid_alimentaire;02;32992410.949199993
01;2013;01;Process;02;27213394.5538
01;2013;02;Autre;01;32660548.859100007
01;2013;02;Autre;02;933022322.1500001
01;2013;02;Autre;04;1960139.4573000006
01;2013;02;Bureautique;02;1488820844.3899999
01;2013;02;Cuisson;01;9626963.06
01;2013;02;Cuisson;02;107025536.51900002
01;2013;02;Cuisson;04;46120055.6367
01;2013;02;Froid_alimentaire;02;24844915.571799997
01;2013;02;Process;02;20493031.797300003
01;2013;03;Autre;01;93596470.149
01;2013;03;Autre;02;2666552102.8599997
01;2013;03;Autre;04;5348497.079900001
01;2013;03;Bureautique;02;4255008386.21
01;2013;03;Cuisson;01;32864963.599400003
01;2013;03;Cuisson;02;306473809.38199997
01;2013;03;Cuisson;04;125860714.64799999
01;2013;03;Froid_alimentaire;02;71006095.0856
01;2013;03;Process;02;58568524.4628
01;2013;04;Autre;01;11194584.309199998
01;2013;04;Autre;02;296427132.105
01;2013;04;Autre;04;654854.4462
01;2013;04;Bureautique;02;516119264.2899999
01;2013;04;Cuisson;01;2221367.689099999
01;2013;04;Cuisson;02;18262150.804299995
01;2013;04;Cuisson;04;8877728.583800001
01;2013;04;Froid_alimentaire;02;6243604.0271000005
01;2013;04;Process;02;6528773.401499999
01;2014;01;Autre;01;41852669.8224
01;2014;01;Autre;02;1238740263.0000002
01;2014;01;Autre;04;2522664.1084
01;2014;01;Bureautique;02;1993979796.7099996
01;2014;01;Cuisson;01;11704619.9512
01;2014;01;Cuisson;02;145292763.657
01;2014;01;Cuisson;04;58842571.55369999
01;2014;01;Froid_alimentaire;02;32724952.889100004
01;2014;01;Process;02;27174206.468499996
01;2014;02;Autre;01;31524832.924599998
01;2014;02;Autre;02;932832714.2399999
01;2014;02;Autre;04;1891978.838
01;2014;02;Bureautique;02;1501565015.0700002
01;2014;02;Cuisson;01;8971302.568900004
01;2014;02;Cuisson;02;109434879.713
01;2014;02;Cuisson;04;44131976.61179999
01;2014;02;Froid_alimentaire;02;24643505.829600003
01;2014;02;Process;02;20463523.683099996
01;2014;03;Autre;01;90341798.03100002
01;2014;03;Autre;02;2666009942.23
01;2014;03;Autre;04;5162511.133200001
01;2014;03;Bureautique;02;4291430815.2199993
01;2014;03;Cuisson;01;30626636.708699994
01;2014;03;Cuisson;02;313467633.71999997
01;2014;03;Cuisson;04;120435258.441
01;2014;03;Froid_alimentaire;02;70430463.1296
