branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;265194.25000000006;255985.29200000002;246802.30479999998;237645.23299999998;228514.02250000002;219408.6174;210177.30689999997;200984.85130000004;191831.12720000002;182716.00890000002;173639.373;164600.9592;155600.7797;146665.2681;137768.33980000002;128910.14709999999;120090.266;111343.87219999998;102637.46810000004;93966.4109;85333.91569999998;76729.3954;68168.7448;61523.42960000001;58708.7793;60628.6943;63631.17539999999;67033.9526;69601.49149999999;71045.56899999999;71817.56760000001;82802.77669999999;92546.7911;100984.41329999999;108069.01629999999;113871.31179999998;118528.09969999999;122400.3929;125563.24930000001;126312.59820000001;126886.39620000002
01;01;01;02;3091525.332199999;3080980.0258999993;3083670.8571;3088113.2314999993;3090333.1591999996;3079532.7071;3050808.0672999998;3019674.8539;2989826.9509;2964690.6445999998;2947313.9184999997;2934625.4381;2922260.8750999994;2917729.4311000006;2933684.0848999997;2966275.3881;2995043.8229;3030509.9188999995;3073360.8685999997;3165166.4613000005;3266202.5613000006;3388169.3299;3514795.3072;3645267.732399999;3775256.6403;3898329.9184;4011649.7552;4120035.8095;4227292.7886000015;4334139.7332999995;4439860.691399999;4546003.0589;4640176.1452;4723675.363000001;4807049.397699999;4894159.805000001;4994581.070599999;5109671.4443;5220520.8209999995;5326773.374799998;5430563.166799999;5526081.186199999
01;01;01;03;1317058.3889999997;1272737.2559;1228541.0348;1184469.4535;1140522.2474;1096699.1553000002;1052999.9104999998;1008696.4136;964579.3916;920648.2530999999;876902.3918999999;833341.2194999999;789964.1421999999;746770.5654000001;703759.8962999999;660931.5531;618284.9454;575819.4844000001;533534.5907;491429.68360000005;449504.18090000004;407757.50240000006;366189.07350000006;324798.31990000006;283584.6609000001;242547.5417;201686.35819999996;161000.57290000003;120489.60850000003;80152.90520000001;39989.888300000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;3620653.1410000003;3686162.630000001;3738263.7695000004;3788441.5412000003;3840670.3129;3905748.3892999995;3988579.9595999992;4068535.2290000007;4146961.4397000005;4220433.118199999;4285903.118599999;4346443.5845;4406419.6599;4458322.958900001;4489474.760300001;4503751.2195;4521611.904800001;4532537.931100001;4535805.6402;4489881.2996000005;4434478.609300001;4357660.175600001;4273481.930199999;4185035.1032000002;4094615.3913000003;4002417.3356000003;3906684.6357;3811528.1262000008;3714990.9266999997;3618159.9890000005;3520019.2283000005;3420005.0916000004;3255540.5462999996;3100049.2276000003;2943706.2252;2783008.6821000003;2608927.3206999996;2416435.7603;2223667.8958;2032110.4343;1844723.0376999998;1663643.3872999998
01;01;01;06;414923.1906;400960.35789999994;387036.87700000004;373152.6624;359307.63070000015;345501.6997999999;331734.7856;317777.50920000003;303878.97910000006;290039.0094;276257.40869999997;262533.9920999999;248868.5729;235260.96329999997;221709.97629999998;208213.67139999996;194778.6845;181399.34250000003;168077.8429;154813.06669999994;141620.10299999997;128732.38690000003;118370.60909999999;108238.6557;98524.23649999998;93536.7171;96946.36079999998;103494.8806;112022.90609999998;121953.6579;135280.7476;150706.0584;192433.8791;237139.5191;284165.33009999996;333187.92850000004;383596.1984000001;438895.7927000001;499529.37;564299.8305;629832.1178000002;697550.1040999999
01;01;02;01;164852.8561;159305.29219999997;153773.36339999997;148257.03540000002;142756.2752;137271.05000000005;131801.3262;126255.96979999999;120733.95420000002;115235.20519999998;109759.6468;104307.2053;98877.8066;93471.3759;88100.4903;82752.69970000001;77427.9809;72126.19789999998;66847.3287;61591.217899999996;56390.73130000001;51212.71339999999;46057.17919999999;41291.3657;39119.777200000004;40118.7451;41686.11099999999;42987.3229;44437.5666;45400.4112;45888.1074;45850.5085;52507.2597;58510.4166;63793.782400000004;68326.52859999999;72140.3385;75446.39899999999;78231.95179999998;80510.9227;81114.65350000001;81436.9138
01;01;02;02;2704966.9641;2699832.4133;2695574.4994999995;2697903.8608;2693392.3692;2682916.3792;2671545.7345999996;2658284.166999999;2645067.424;2631895.3762000003;2618744.570800001;2605638.2470000004;2596352.6234;2587646.2337;2590174.6344000003;2600813.2711;2617033.337799999;2638106.6403;2664582.8697000006;2732977.0933;2808529.8796;2900415.4708000002;2997064.5867000003;3096522.3609999996;3194853.8222000003;3289748.9165000003;3381581.8272999995;3471819.1753999996;3559533.074499999;3646055.9868999994;3731392.2863;3815564.7829999994;3887409.2732999995;3956793.2482000003;4017377.029799999;4081502.9516000007;4149759.215399999;4213724.5545;4271935.529500002;4325321.838400001;4380334.892899999;4436520.3199
01;01;02;03;998485.8363;964885.1821999999;931379.2258000001;897967.761;864650.5876;831427.507;798298.3174;764711.0333000001;731265.1192;697960.1271;664795.5965999999;631771.0825;598886.1357;566140.3004000001;533533.1328;501064.1892;468733.0226;436539.18710000004;404482.2443000001;372561.75029999996;340777.2682999999;309128.3541;277614.57369999995;246235.4931;214990.67199999996;183879.68899999998;152902.08260000002;122057.4515;91345.35449999999;60765.36899999999;30317.0567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;02;04;2774366.8339999993;2817879.2402999997;2860393.1215000004;2896198.1159;2938722.619000001;2987090.5407;3036232.3075999995;3083001.783;3129555.0536;3175892.8241;3222039.139499999;3267971.3332999996;3309913.764999999;3351108.4856000002;3380887.8592999997;3402389.3877;3418142.4014000003;3428875.6692;3434040.0062;3397120.3542000004;3352843.7002999997;3292070.2378000007;3226369.6176;3157328.9398;3086678.5537;3013515.7758999993;2938632.7942;2863222.3183999998;2788165.9303999995;2712195.3004;2635625.643299999;2557731.4495999995;2436616.3030999997;2314158.2085;2195809.7512000003;2069898.7949;1936625.9542000003;1802371.2998000002;1668133.2703000002;1533980.0208;1399783.3587;1264932.0762999998
01;01;02;06;273040.8814;263852.61659999995;254690.2475;245553.7174;236442.97179999997;227357.9564;218298.616;209114.00750000004;199968.05710000003;190860.64229999998;181791.63760000002;172760.9209;163768.36940000003;154813.8595;145897.26870000002;137018.47590000005;128176.4368;119371.99069999998;110605.02919999999;101875.4447;93183.13399999999;84527.99;75909.9179;67328.23649999998;58781.26270000001;52911.2683;51151.481100000005;51680.63539999999;54124.92309999999;59054.53139999999;66150.69270000001;76166.79380000001;104750.82700000002;137822.2223;176334.1953;219647.32510000002;266941.04809999996;320045.29290000006;379437.77249999996;444106.6285;508897.2379999999;573481.3537
01;01;03;01;472847.2787000001;456935.2072;441067.9813;425245.50360000005;409467.67860000004;393734.413;378045.6102;362139.86929999996;346301.07739999995;330529.0208;316784.1582;303007.26840000006;289199.5826;275549.5884;261857.6194;249728.16630000004;241280.51520000002;232405.6342;223253.11419999998;215924.507;210821.76989999998;202649.5045;193466.93280000004;182099.7094;173650.07709999997;163854.0063;157409.0708;153233.55430000002;146284.75129999997;136175.7376;122492.6599;106491.2114;117613.01179999998;129657.67069999999;139993.93499999997;148877.33610000001;156404.22650000002;162983.14549999998;168010.00900000002;171948.3344;175027.00919999997;176761.2461
01;01;03;02;8913909.589599999;8615344.606499998;8317683.0239;8023537.5627999995;7729677.735599999;7436080.831800001;7143037.869799999;6907407.4048000015;6700428.385399998;6487432.525800001;6355301.751699999;6256531.827899999;6234859.1996;6270117.276599999;6344877.141400002;6448476.666900002;6626699.0431;6826776.2864000015;7109604.7523;7410810.5934;7730079.233399998;8069570.1384;8405834.977899998;8749539.735499999;9091936.8998;9438427.316800002;9777363.329400001;1.00889246852E7;1.03956684918E7;1.0704680448400002E7;1.1026895094499998E7;1.1352279822099999E7;1.1848148885800002E7;1.2318129417899996E7;1.27716792442E7;1.32072108956E7;1.3620617225599997E7;1.4001816292799998E7;1.42934940913E7;1.4527816674199998E7;1.4737026624700004E7;1.48497124472E7
01;01;03;03;3679917.909;3556082.7526;3432596.6056000004;3309458.7074999996;3186668.3198;3064224.7112000003;2942127.1374000004;2818341.2565;2695075.9348000004;2572330.2065000003;2450102.1647;2328390.4166;2207193.0384;2086508.0639;1966333.8094;1846669.0831;1727509.8483000002;1608859.86;1490713.7934;1373069.3571;1255926.3733;1139284.1533;1023136.1912000001;907486.3459000002;792334.4274999999;677675.0197000001;563507.5869000001;449829.81320000003;336640.8973;223941.5882;111726.379;0.0;50.558800000000005;91.9605;172.2257;201.7466;272.4524;348.7033;391.0811;390.23629999999997;389.3932;388.5521
