COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21015934.53519999
01;2009;01;02;29849206.4141
01;2009;02;01;16348540.846
01;2009;02;02;21976499.803800005
01;2009;03;01;40758772.757999994
01;2009;03;02;68630431.55440004
01;2010;01;01;21191087.18610001
01;2010;01;02;29600807.959500022
01;2010;02;01;16483055.7041
01;2010;02;02;21786796.886299998
01;2010;03;01;41106723.65349999
01;2010;03;02;68124960.20480002
01;2010;04;01;1503162.9575000007
01;2010;04;02;1759568.3365000011
01;2011;01;01;21365621.717400003
01;2011;01;02;29353133.10040001
01;2011;02;01;16617171.262100013
01;2011;02;02;21597572.740399987
01;2011;03;01;41454246.08009997
01;2011;03;02;67620135.39199999
01;2011;04;01;3046454.5051
01;2011;04;02;3527917.4987000003
01;2012;01;01;21539540.346200015
01;2012;01;02;29106179.4654
01;2012;02;01;16750888.140899999
01;2012;02;02;21408826.630500004
01;2012;03;01;41801280.30109998
01;2012;03;02;67116022.033
01;2012;04;01;4630335.679200001
01;2012;04;02;5305396.570399997
01;2013;01;01;21712845.2755
01;2013;01;02;28859944.699200004
01;2013;02;01;16884206.962800004
01;2013;02;02;21220557.82099999
01;2013;03;01;42147539.25460001
01;2013;03;02;66612906.462
01;2013;04;01;6255277.373700002
01;2013;04;02;7092358.5932
01;2014;01;01;21885538.69680001
01;2014;01;02;28614426.459700007
01;2014;02;01;17017118.592699993
01;2014;02;02;21032775.3302
01;2014;03;01;42493337.72869999
01;2014;03;02;66110477.234500036
01;2014;04;01;7921760.108199993
01;2014;04;02;8889160.220899997
01;2015;01;01;22057620.3816
01;2015;01;02;28369624.82670001
01;2015;02;01;17149526.366199993
01;2015;02;02;20845575.708900005
01;2015;03;01;42838679.70009999
01;2015;03;02;65608718.77000002
01;2015;04;01;9630274.269899996
01;2015;04;02;10696161.913300002
01;2016;01;01;22212954.39010001
01;2016;01;02;28105367.969599996
01;2016;02;01;17269078.8089
01;2016;02;02;20643953.846600004
01;2016;03;01;43151484.91189995
01;2016;03;02;65061635.92450001
01;2016;04;01;9737235.890000008
01;2016;04;02;10589200.295000007
01;2016;05;01;1109218.1881
01;2016;05;02;1037130.8887999991
01;2017;01;01;22367439.59519999
01;2017;01;02;27842193.079100013
01;2017;02;01;17388056.434699997
01;2017;02;02;20443084.070399996
01;2017;03;01;43463316.178199984
01;2017;03;02;64516022.51559998
01;2017;04;01;9843127.892800001
01;2017;04;02;10483308.294000005
01;2017;05;01;2237597.212999999
01;2017;05;02;2072108.7712000008
01;2018;01;01;22521084.298499994
01;2018;01;02;27580093.54879999
01;2018;02;01;17506460.9032
01;2018;02;02;20242964.34109999
01;2018;03;01;43773450.88240004
01;2018;03;02;63972605.2009
01;2018;04;01;9947960.978899993
01;2018;04;02;10378475.209699998
01;2018;05;01;3385207.0602000016
01;2018;05;02;3105040.7452000026
01;2019;01;01;22673890.206299998
01;2019;01;02;27319064.18469999
01;2019;02;01;17624293.8778
01;2019;02;02;20043592.609699998
01;2019;03;01;44082539.846499994
01;2019;03;02;63430665.49990001
01;2019;04;01;10051745.732399998
01;2019;04;02;10274690.458599996
01;2019;05;01;4552119.662700003
01;2019;05;02;4136033.6623999993
01;2020;01;01;22825641.684100002
01;2020;01;02;27059325.145799994
01;2020;02;01;17741557.013500005
01;2020;02;02;19844966.841200005
01;2020;03;01;44389874.493900016
01;2020;03;02;62891015.70479998
01;2020;04;01;10154492.6384
01;2020;04;02;10171943.55380001
01;2020;05;01;5738408.645899997
01;2020;05;02;5165193.875399997
01;2021;01;01;22876318.677000005
01;2021;01;02;26900893.851499997
01;2021;02;01;17780743.61119999
01;2021;02;02;19724593.35339999
01;2021;03;01;44494667.696599975
01;2021;03;02;62554362.95169999
01;2021;04;01;10205352.355700003
01;2021;04;02;10121083.837199997
01;2021;05;01;5764234.615999998
01;2021;05;02;5139367.906600003
01;2021;06;01;1122743.9703000002
01;2021;06;02;886254.5072000003
01;2022;01;01;22927022.289599992
01;2022;01;02;26742668.389199995
01;2022;02;01;17820075.03770001
01;2022;02;02;19604250.397499993
01;2022;03;01;44599688.339699976
01;2022;03;02;62217964.08890004
01;2022;04;01;10255957.775099995
01;2022;04;02;10070478.418399997
01;2022;05;01;5789931.456100004
01;2022;05;02;5113671.067599995
01;2022;06;01;2257809.8661999996
01;2022;06;02;1774306.3464999977
01;2023;01;01;22977723.479399994
01;2023;01;02;26584677.226600002
01;2023;02;01;17859547.6521
01;2023;02;02;19483941.243600007
01;2023;03;01;44704905.08699996
01;2023;03;02;61881828.86539999
01;2023;04;01;10306310.168999998
01;2023;04;02;10020126.025099998
01;2023;05;01;5815499.812800001
01;2023;05;02;5088102.711799999
01;2023;06;01;3405281.1461999984
01;2023;06;02;2664205.318000001
01;2024;01;01;23028460.053899992
01;2024;01;02;26426875.205599993
01;2024;02;01;17899157.82210001
01;2024;02;02;19363669.136
01;2024;03;01;44810088.60120001
01;2024;03;02;61546226.77810001
01;2024;04;01;10356410.798000004
01;2024;04;02;9970025.397799995
01;2024;05;01;5840940.327799996
01;2024;05;02;5062662.1982
01;2024;06;01;4565242.268800002
01;2024;06;02;3556001.5570000024
01;2025;01;01;23079235.142099995
01;2025;01;02;26269266.086000003
01;2025;02;01;17938901.0387
01;2025;02;02;19243437.272399988
01;2025;03;01;44915142.26660005
01;2025;03;02;61211208.25600001
01;2025;04;01;10406260.924800001
01;2025;04;02;9920175.27199999
01;2025;05;01;5866253.639100004
01;2025;05;02;5037348.887599998
01;2025;06;01;5737778.497199999
01;2025;06;02;4449745.4007
01;2026;01;01;23130005.6227
01;2026;01;02;26111893.984700006
01;2026;02;01;17978764.60699999
01;2026;02;02;19123258.877599988
01;2026;03;01;45020067.65780001
01;2026;03;02;60876824.418099985
01;2026;04;01;10455861.80179999
01;2026;04;02;9870574.395800008
01;2026;05;01;5891440.383000001
01;2026;05;02;5012162.144399994
01;2026;06;01;6922976.234699995
01;2026;06;02;5345487.623499998
01;2027;01;01;23180766.536199998
01;2027;01;02;25954758.193600006
01;2027;02;01;18018753.3463
01;2027;02;02;19003128.14899999
01;2027;03;01;45125017.921
01;2027;03;02;60542901.47369999
01;2027;04;01;10505214.674100004
01;2027;04;02;9821221.524100006
01;2027;05;01;5916501.194600001
01;2027;05;02;4987101.333699997
01;2027;06;01;8120922.658499998
01;2027;06;02;6243279.1643
01;2028;01;01;23231501.898899987
01;2028;01;02;25797877.94180001
01;2028;02;01;18058866.235000003
01;2028;02;02;18883046.334000003
01;2028;03;01;45229866.768599994
01;2028;03;02;60209581.5442
01;2028;04;01;10554320.783399997
01;2028;04;02;9772115.4153
01;2028;05;01;5941436.700300001
01;2028;05;02;4962165.8291
01;2028;06;01;9331705.974099997
01;2028;06;02;7143171.3061
01;2029;01;01;23282203.955900006
01;2029;01;02;25641255.605899986
01;2029;02;01;18099094.587300003
01;2029;02;02;18763021.125199996
01;2029;03;01;45334723.49449999
01;2029;03;02;59876722.80480003
01;2029;04;01;10603181.360899998
01;2029;04;02;9723254.8387
01;2029;05;01;5966247.529599998
01;2029;05;02;4937355.001000002
01;2029;06;01;10555415.380699996
01;2029;06;02;8045215.674799996
01;2030;01;01;23332848.9561
01;2030;01;02;25484921.630099993
01;2030;02;01;18139439.0167
01;2030;02;02;18643051.698800005
01;2030;03;01;45439563.8835
01;2030;03;02;59544377.071400024
01;2030;04;01;10651797.636299994
01;2030;04;02;9674638.564200006
01;2030;05;01;5990934.304499996
01;2030;05;02;4912668.2266000025
01;2030;06;01;11792140.892900001
01;2030;06;02;8949464.067199998
01;2031;01;01;23322831.6577
01;2031;01;02;25389456.6993
01;2031;02;01;18132109.7912
01;2031;02;02;18570926.045499995
01;2031;03;01;45422523.937699996
01;2031;03;02;59334211.78899996
01;2031;04;01;10671146.913299989
01;2031;04;02;9655289.287999997
01;2031;05;01;6000759.642100001
01;2031;05;02;4902842.889600002
01;2031;06;01;11810039.825099995
01;2031;06;02;8931565.13589999
01;2031;07;01;876487.165499999
01;2031;07;02;632378.7302000001
01;2032;01;01;23312963.889699996
01;2032;01;02;25294061.846399993
01;2032;02;01;18124971.3544
01;2032;02;02;18498780.15740001
01;2032;03;01;45405813.3217
01;2032;03;02;59124344.23730004
01;2032;04;01;10690457.491700003
01;2032;04;02;9635978.709799998
01;2032;05;01;6010565.3289
01;2032;05;02;4893037.203699998
01;2032;06;01;11827902.958200002
01;2032;06;02;8913702.003799997
01;2032;07;01;1758202.202700002
01;2032;07;02;1266352.0606999989
01;2033;01;01;23303260.513600014
01;2033;01;02;25198735.639900006
01;2033;02;01;18118019.923299994
01;2033;02;02;18426615.032200005
01;2033;03;01;45389664.936400004
01;2033;03;02;58914700.451000005
01;2033;04;01;10709729.4479
01;2033;04;02;9616706.75369999
01;2033;05;01;6020351.4048999995
01;2033;05;02;4883251.128199996
01;2033;06;01;11845730.360300003
01;2033;06;02;8895874.6032
01;2033;07;01;2645176.5280999998
01;2033;07;02;1901937.1655999988
01;2034;01;01;23293713.073
01;2034;01;02;25103466.4241
01;2034;02;01;18111252.956000008
01;2034;02;02;18354434.604399994
01;2034;03;01;45373586.39069997
01;2034;03;02;58705137.055300005
01;2034;04;01;10728962.860600008
01;2034;04;02;9597473.3413
01;2034;05;01;6030117.907499999
01;2034;05;02;4873484.625899998
01;2034;06;01;11863522.109600011
01;2034;06;02;8878082.854999993
01;2034;07;01;3537442.5681
01;2034;07;02;2539151.8880999996
01;2035;01;01;23284324.506200004
01;2035;01;02;25008265.0892
01;2035;02;01;18104670.565100003
01;2035;02;02;18282239.853199996
01;2035;03;01;45357814.828800015
01;2035;03;02;58495910.558100015
01;2035;04;01;10748157.80630001
01;2035;04;02;9578278.3962
01;2035;05;01;6039864.876599998
01;2035;05;02;4863737.656799999
01;2035;06;01;11881278.2738
01;2035;06;02;8860326.6916
01;2035;07;01;4435030.405200002
01;2035;07;02;3178012.3305
01;2036;01;01;23275038.933099985
01;2036;01;02;24913146.1843
01;2036;02;01;18098267.642599992
01;2036;02;02;18210034.48280002
01;2036;03;01;45347683.90790001
01;2036;03;02;58289231.1712
01;2036;04;01;10767314.364199996
01;2036;04;02;9559121.838899985
01;2036;05;01;6049592.352800001
01;2036;05;02;4854010.180699999
01;2036;06;01;11898998.931599993
01;2036;06;02;8842606.034599993
01;2036;07;01;5337972.378499999
01;2036;07;02;3818536.147400001
01;2037;01;01;23265913.108099997
01;2037;01;02;24818088.842499994
01;2037;02;01;18092044.0537
01;2037;02;02;18137816.907899994
01;2037;03;01;45333911.9157
01;2037;03;02;58080085.965099975
01;2037;04;01;10786432.607200008
01;2037;04;02;9540003.596500002
01;2037;05;01;6059300.372500003
01;2037;05;02;4844302.161200004
01;2037;06;01;11916684.143000014
01;2037;06;02;8824920.823899997
01;2037;07;01;6246328.095800003
01;2037;07;02;4460760.629500001
01;2038;01;01;23256846.681699995
01;2038;01;02;24723095.281099997
01;2038;02;01;18085988.757099997
01;2038;02;02;18065579.291099995
01;2038;03;01;45330938.69749995
01;2038;03;02;57874000.4839
01;2038;04;01;10805512.615099996
01;2038;04;02;9520923.588800006
01;2038;05;01;6068988.9774
01;2038;05;02;4834613.556699997
01;2038;06;01;11934333.9841
01;2038;06;02;8807270.983799994
01;2038;07;01;7160105.832200004
01;2038;07;02;5104685.887500001
01;2039;01;01;23247903.268599994
01;2039;01;02;24628166.910200007
