COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_SYSTEME_CHAUD;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Chauffage;01;01;136259096.47999996;90565331.04000002
01;2009;01;Chauffage;01;06;498869709.25000006;338280639.37
01;2009;01;Chauffage;03;03;814589684.8200002;450145664.81
01;2009;01;Chauffage;04;04;2342096018.99;1707036292.26
01;2009;01;Chauffage;05;02;39356867.283;97790017.72999999
01;2009;01;Chauffage;06;02;762767741.5;701746297.73
01;2009;01;Chauffage;09;02;159082382.29800004;473747327.48999995
01;2009;02;Chauffage;01;01;71553032.59799998;47577082.478999995
01;2009;02;Chauffage;01;06;245149899.17900005;166324909.53
01;2009;02;Chauffage;03;03;417804386.959;231002354.589
01;2009;02;Chauffage;04;04;1264052839.7649999;922410009.685
01;2009;02;Chauffage;05;02;19466536.158000004;48368502.41499999
01;2009;02;Chauffage;06;02;351073185.89000005;322987329.85
01;2009;02;Chauffage;09;02;116062995.342;345635612.977
01;2009;03;Chauffage;01;01;567355163.3700001;376748225.3000001
01;2009;03;Chauffage;01;06;2339191374.39;1585238968.78
01;2009;03;Chauffage;03;03;4083642753.6;2256376395.88
01;2009;03;Chauffage;04;04;10259848207.18;7475452168.39
01;2009;03;Chauffage;05;02;250214205.51000002;621707241.57
01;2009;03;Chauffage;06;02;4079614545.6000004;3753245456
01;2009;03;Chauffage;09;02;665550669.98;1982009662.36
01;2010;01;Chauffage;01;01;131911548.93649998;87675726.3389
01;2010;01;Chauffage;01;06;483015300.43160003;327529845.55619997
01;2010;01;Chauffage;03;03;788407654.38;435676984.1171
01;2010;01;Chauffage;04;04;2340741179.9254003;1706151673.3832002
01;2010;01;Chauffage;05;02;38099398.7023;94665573.80590001
01;2010;01;Chauffage;06;02;740867172.6073;681597723.1759
01;2010;01;Chauffage;09;02;154030044.361;458701478.7914
01;2010;01;Chauffage;24;04;49976584.1538;47853402.190699995
01;2010;01;Chauffage;26;02;13052604.763;13052605.0797
01;2010;02;Chauffage;01;01;69258268.845;46051282.859699994
01;2010;02;Chauffage;01;06;237346408.91680002;161030534.8381
01;2010;02;Chauffage;03;03;404346353.48120004;223561289.79140002
01;2010;02;Chauffage;04;04;1257742309.3365002;917871878.5493999
01;2010;02;Chauffage;05;02;18843471.150399998;46820372.841199994
01;2010;02;Chauffage;06;02;351626969.689;323496812.6255
01;2010;02;Chauffage;09;02;112380286.41600002;334668496.39010006
01;2010;02;Chauffage;24;04;22608127.49699999;21688606.222999997
01;2010;02;Chauffage;26;02;5567000.819;5567001.388699999
