COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.00119999
01;2009;01;02;30278728.644100003
01;2009;02;01;17101159.395999998
01;2009;02;02;22166337.714800004
01;2009;03;01;42865112.448
01;2009;03;02;69373982.77640004
01;2010;01;01;22023525.434699986
01;2010;01;02;30025422.640399974
01;2010;02;01;17236486.128899995
01;2010;02;02;21974465.785299994
01;2010;03;01;43217455.0193
01;2010;03;02;68860015.90799993
01;2010;04;01;1541398.5343999998
01;2010;04;02;1804326.0339000006
01;2011;01;01;22200979.495800015
01;2011;01;02;29773009.666700013
01;2011;02;01;17371273.465399995
01;2011;02;02;21783203.578399982
01;2011;03;01;43568886.872599974
01;2011;03;02;68347153.59490006
01;2011;04;01;3123946.4001
01;2011;04;02;3617656.2456000014
01;2012;01;01;22377642.83949999
01;2012;01;02;29521492.211699992
01;2012;02;01;17505527.614700004
01;2012;02;02;21592552.239099998
01;2012;03;01;43919277.01480004
01;2012;03;02;67835566.78600004
01;2012;04;01;4748116.0852000015
01;2012;04;02;5440348.280800004
01;2013;01;01;22553516.869399995
01;2013;01;02;29270868.405199997
01;2013;02;01;17639258.932799987
01;2013;02;02;21402502.924200002
01;2013;03;01;44268369.605899975
01;2013;03;02;67325507.45550002
01;2013;04;01;6414390.257900001
01;2013;04;02;7272763.931499993
01;2014;01;01;22728611.616000004
01;2014;01;02;29021129.274000004
01;2014;02;01;17772472.74100001
01;2014;02;02;21213052.51259999
01;2014;03;01;44616154.76720002
01;2014;03;02;66816985.00010001
01;2014;04;01;8123261.638499999
01;2014;04;02;9115268.9115
01;2015;01;01;22902931.369699996
01;2015;01;02;28772276.46449999
01;2015;02;01;17905046.1953
01;2015;02;02;21024321.366300005
01;2015;03;01;44963007.36840002
01;2015;03;02;66309627.93229999
01;2015;04;01;9875233.149199998
01;2015;04;02;10968232.926800001
01;2016;01;01;23059832.891899977
01;2016;01;02;28503723.85299998
01;2016;02;01;18024102.452100005
01;2016;02;02;20821160.376400005
01;2016;03;01;45275201.96990002
01;2016;03;02;65756957.87530003
01;2016;04;01;9984915.477999993
01;2016;04;02;10858550.599299986
01;2016;05;01;1137431.7249999994
01;2016;05;02;1063510.8479000002
01;2017;01;01;23215726.894900013
01;2017;01;02;28236414.432200003
01;2017;02;01;18142370.204700015
01;2017;02;02;20618965.767000012
01;2017;03;01;45585981.03799998
01;2017;03;02;65206237.58120002
01;2017;04;01;10093500.984
01;2017;04;02;10749965.094899995
01;2017;05;01;2294510.8720000004
01;2017;05;02;2124813.1991000026
01;2018;01;01;23370624.783100005
01;2018;01;02;27970347.5662
01;2018;02;01;18259711.724400014
01;2018;02;02;20417873.890700005
01;2018;03;01;45895329.37140002
01;2018;03;02;64657462.2646
01;2018;04;01;10201000.637499996
01;2018;04;02;10642465.443400001
01;2018;05;01;3471309.3608000004
01;2018;05;02;3184017.0287
01;2019;01;01;23524520.218300004
01;2019;01;02;27705516.71490002
01;2019;02;01;18376378.307099994
01;2019;02;02;20217635.439200003
01;2019;03;01;46203298.948899984
01;2019;03;02;64110556.43200003
01;2019;04;01;10307425.2931
01;2019;04;02;10536040.790400004
01;2019;05;01;4667900.933400001
01;2019;05;02;4241231.8968
01;2020;01;01;23677425.392300002
01;2020;01;02;27441907.110599995
01;2020;02;01;18492281.624599993
01;2020;02;02;20018343.391199995
01;2020;03;01;46509945.93450005
01;2020;03;02;63565464.36959997
01;2020;04;01;10412785.702099998
01;2020;04;02;10430680.384300007
01;2020;05;01;5884361.1868
01;2020;05;02;5296566.973000001
01;2021;01;01;23727775.019499984
01;2021;01;02;27281071.321500015
01;2021;02;01;18529895.8738
01;2021;02;02;19897513.051899996
01;2021;03;01;46612283.47570002
01;2021;03;02;63225166.96490001
01;2021;04;01;10464939.10420001
01;2021;04;02;10378526.982899997
01;2021;05;01;5910844.021499996
01;2021;05;02;5270084.139799997
01;2021;06;01;1279220.4051000003
01;2021;06;02;1009771.4885999993
01;2022;01;01;23778190.06610001
01;2022;01;02;27120395.191500004
01;2022;02;01;18567517.134999987
01;2022;02;02;19776850.39660001
01;2022;03;01;46714933.46680002
01;2022;03;02;62885023.335300006
01;2022;04;01;10516831.741300005
01;2022;04;02;10326634.347400008
01;2022;05;01;5937194.4421999995
01;2022;05;02;5243733.719599999
01;2022;06;01;2573742.7266000006
01;2022;06;02;2022587.522899999
01;2023;01;01;23828666.59599999
01;2023;01;02;26959876.39610001
01;2023;02;01;18605227.011800013
01;2023;02;02;19656275.41550002
01;2023;03;01;46817932.34630001
01;2023;03;02;62545027.3965
01;2023;04;01;10568464.915700002
01;2023;04;02;10275001.174499998
01;2023;05;01;5963413.1123
01;2023;05;02;5217515.050000001
01;2023;06;01;3883688.2524000006
01;2023;06;02;3038516.604000001
01;2024;01;01;23879194.291899983
01;2024;01;02;26799515.625000004
01;2024;02;01;18643023.446400013
01;2024;02;02;19535797.750600006
01;2024;03;01;46921200.55070001
01;2024;03;02;62205230.85060001
01;2024;04;01;10619839.922999995
01;2024;04;02;10223626.168799995
01;2024;05;01;5989500.685599997
01;2024;05;02;5191427.477400006
01;2024;06;01;5209179.751599999
01;2024;06;02;4057627.790300004
01;2025;01;01;23929768.27940001
01;2025;01;02;26639322.389399998
01;2025;02;01;18680895.696300004
01;2025;02;02;19415417.491999995
01;2025;03;01;47024632.9222
01;2025;03;02;61865738.30189996
01;2025;04;01;10670958.053000009
01;2025;04;02;10172508.039699994
01;2025;05;01;6015457.824600002
01;2025;05;02;5165470.339400001
01;2025;06;01;6550341.298499997
01;2025;06;02;5079990.550700002
01;2026;01;01;23980399.553699996
01;2026;01;02;26479294.69170001
01;2026;02;01;18718851.82919999
01;2026;02;02;19295128.596599996
01;2026;03;01;47128426.36880003
01;2026;03;02;61526367.27929997
01;2026;04;01;10721820.596499998
01;2026;04;02;10121645.497500004
01;2026;05;01;6041285.176500003
01;2026;05;02;5139642.988199997
01;2026;06;01;7907298.347700001
01;2026;06;02;6105674.828400001
01;2027;01;01;24031070.90690001
01;2027;01;02;26319436.400799993
01;2027;02;01;18756876.347199995
01;2027;02;02;19174948.013800006
01;2027;03;01;47232608.237799995
01;2027;03;02;61187090.15679997
01;2027;04;01;10772428.825799998
01;2027;04;02;10071037.269199995
01;2027;05;01;6066983.391799994
01;2027;05;02;5113944.773599998
01;2027;06;01;9280177.923800003
01;2027;06;02;7134751.170100001
01;2028;01;01;24081765.268299986
01;2028;01;02;26159754.78559999
01;2028;02;01;18794976.5875
01;2028;02;02;19054861.131099988
01;2028;03;01;47337122.665900014
01;2028;03;02;60847949.28900001
01;2028;04;01;10822784.012799993
01;2028;04;02;10020682.0831
01;2028;05;01;6092553.1165000005
01;2028;05;02;5088375.049400001
01;2028;06;01;10669108.232500011
01;2028;06;02;8167290.430200003
01;2029;01;01;24132496.487299994
01;2029;01;02;26000258.32019998
01;2029;02;01;18833155.404899992
01;2029;02;02;18934876.606000002
01;2029;03;01;47442020.738800004
01;2029;03;02;60508889.76219999
01;2029;04;01;10872887.423699994
01;2029;04;02;9970578.673300005
01;2029;05;01;6117994.991800005
01;2029;05;02;5062933.175099998
01;2029;06;01;12074219.05990001
01;2029;06;02;9203364.069399992
01;2030;01;01;24183261.168299988
01;2030;01;02;25840948.863500006
01;2030;02;01;18871405.898700003
01;2030;02;02;18814987.907899998
01;2030;03;01;47547266.25870002
01;2030;03;02;60169953.61590001
01;2030;04;01;10922740.319100002
01;2030;04;02;9920725.7786
01;2030;05;01;6143309.657899998
01;2030;05;02;5037618.509699993
01;2030;06;01;13495641.641800009
01;2030;06;02;10243044.0604
01;2031;01;01;24172146.066899996
01;2031;01;02;25743719.707699995
01;2031;02;01;18862262.771199998
01;2031;02;02;18742662.470300008
01;2031;03;01;47527702.99330003
01;2031;03;02;59956269.14480002
01;2031;04;01;10942581.771700004
01;2031;04;02;9900884.326299997
01;2031;05;01;6153384.895399999
01;2031;05;02;5027543.273100004
01;2031;06;01;13516127.730399998
01;2031;06;02;10222557.972499998
01;2031;07;01;1008544.8876999991
01;2031;07;02;727657.3603999993
01;2032;01;01;24161215.130799986
01;2032;01;02;25646525.070499994
01;2032;02;01;18853291.799300015
01;2032;02;02;18670340.813899994
01;2032;03;01;47508631.20030001
01;2032;03;02;59742570.427600004
01;2032;04;01;10962383.5405
01;2032;04;02;9881082.558499992
01;2032;05;01;6163439.981300007
01;2032;05;02;5017488.1878
01;2032;06;01;13536572.846799994
01;2032;06;02;10202112.856600007
01;2032;07;01;2023817.3794999982
01;2032;07;02;1457663.3237000003
01;2033;01;01;24150492.5608
01;2033;01;02;25549339.848399986
01;2033;02;01;18844492.940400008
01;2033;02;02;18598013.008100007
01;2033;03;01;47490046.54040001
01;2033;03;02;59528804.32580003
01;2033;04;01;10982145.707999993
01;2033;04;02;9861320.391399983
01;2033;05;01;6173474.956199998
01;2033;05;02;5007453.213399997
01;2033;06;01;13556977.072400004
01;2033;06;02;10181708.6314
01;2033;07;01;3045862.2039000005
01;2033;07;02;2190042.070499998
01;2034;01;01;24139945.747100003
01;2034;01;02;25452188.6665
01;2034;02;01;18835856.444300003
01;2034;02;02;18525680.369400002
01;2034;03;01;47471948.824599996
01;2034;03;02;59314988.3967
01;2034;04;01;11001868.348400002
01;2034;04;02;9841597.7513
01;2034;05;01;6183489.863300005
01;2034;05;02;4997438.306700002
01;2034;06;01;13577340.490899999
01;2034;06;02;10161345.213500006
01;2034;07;01;4074724.0822000015
01;2034;07;02;2924817.702600002
01;2035;01;01;24129593.1408
01;2035;01;02;25355052.43749999
01;2035;02;01;18827389.619699996
01;2035;02;02;18453345.7209
01;2035;03;01;47454392.124200016
01;2035;03;02;59101106.31469997
01;2035;04;01;11021551.545199996
01;2035;04;02;9821914.555100001
01;2035;05;01;6193484.739799998
01;2035;05;02;4987443.430799998
