COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_SYSTEME_CHAUD;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Chauffage;01;01;136259096.47999996;90565331.04
01;2009;01;Chauffage;01;06;498869709.25000006;338280639.37000006
01;2009;01;Chauffage;03;03;814589684.8200003;450145664.81
01;2009;01;Chauffage;04;04;2342096018.99;1707036292.26
01;2009;01;Chauffage;05;02;39356867.283;97790017.73
01;2009;01;Chauffage;06;02;762767741.5;701746297.73
01;2009;01;Chauffage;09;02;159082382.29800004;473747327.4900001
01;2009;02;Chauffage;01;01;71553032.59799998;47577082.479
01;2009;02;Chauffage;01;06;245149899.17900005;166324909.52999994
01;2009;02;Chauffage;03;03;417804386.95900005;231002354.58899996
01;2009;02;Chauffage;04;04;1264052839.7649999;922410009.6849998
01;2009;02;Chauffage;05;02;19466536.158000007;48368502.41499999
01;2009;02;Chauffage;06;02;351073185.89000005;322987329.8500001
01;2009;02;Chauffage;09;02;116062995.342;345635612.977
01;2009;03;Chauffage;01;01;567355163.37;376748225.3
01;2009;03;Chauffage;01;06;2339191374.39;1585238968.7800002
01;2009;03;Chauffage;03;03;4083642753.6;2256376395.88
01;2009;03;Chauffage;04;04;10259848207.18;7475452168.390001
01;2009;03;Chauffage;05;02;250214205.51000002;621707241.57
01;2009;03;Chauffage;06;02;4079614545.6000004;3753245456
01;2009;03;Chauffage;09;02;665550669.98;1982009662.36
01;2010;01;Chauffage;01;01;131911546.29089999;87675724.58500002
01;2010;01;Chauffage;01;06;483013644.99570006;327528726.00680006
01;2010;01;Chauffage;03;03;788407654.38;435676984.11710006
01;2010;01;Chauffage;04;04;2340734861.8480005;1706147125.4581997
01;2010;01;Chauffage;05;02;38099398.70210001;94665573.8051
01;2010;01;Chauffage;06;02;744102403.8594;684574135.4976
01;2010;01;Chauffage;09;02;154030044.361;458701478.7914
01;2010;01;Chauffage;24;04;49976582.033800006;47853401.62630001
01;2010;01;Chauffage;26;02;10076192.963;10076192.757
01;2010;02;Chauffage;01;01;69258268.7449;46051282.776400015
01;2010;02;Chauffage;01;06;237346335.71510002;161030496.66149998
01;2010;02;Chauffage;03;03;404346353.4822;223561289.7917
01;2010;02;Chauffage;04;04;1257739993.1595001;917870225.1944001
01;2010;02;Chauffage;05;02;18843471.150399994;46820372.8412
01;2010;02;Chauffage;06;02;352789423.35800004;324566269.99790007
01;2010;02;Chauffage;09;02;112380286.41600002;334668496.39009994
01;2010;02;Chauffage;24;04;22608126.406;21688606.08669999
01;2010;02;Chauffage;26;02;4497543.820800001;4497543.932499999
01;2010;03;Chauffage;01;01;546168838.9249002;362683058.2347
01;2010;03;Chauffage;01;06;2253117641.509501;1526918903.6699996
01;2010;03;Chauffage;03;03;3938781955.1409006;2176312201.7865996
01;2010;03;Chauffage;04;04;9920993380.880304;7228483263.161599
01;2010;03;Chauffage;05;02;242181582.73849997;601748599.9428998
01;2010;03;Chauffage;06;02;3944754321.9168;3629173869.2127004
01;2010;03;Chauffage;09;02;643950819.5230998;1917685406.1071
01;2010;03;Chauffage;24;04;492610850.605;471111269.0811999
01;2010;03;Chauffage;26;02;46142711.11;46142709.0467
01;2010;04;Chauffage;01;01;6882652.139800001;4592990.031099999
01;2010;04;Chauffage;01;06;4944458.7179999985;3349770.4653999996
01;2010;04;Chauffage;03;03;1702179.7476;941482.0812000001
01;2010;04;Chauffage;04;04;43728813.88010002;31909749.681099996
01;2010;04;Chauffage;05;02;4178.764999999999;10382.976999999999
01;2010;04;Chauffage;06;02;7985944.664699998;7347069.490899998
01;2010;04;Chauffage;09;02;718872.5045000002;2140802.3000999996
01;2010;04;Chauffage;21;01;6433821.898;4955329.1944
01;2010;04;Chauffage;21;06;5502370.660700002;4302544.101000001
01;2010;04;Chauffage;23;03;3869803.5648000007;2790843.2229
01;2010;04;Chauffage;24;04;55336875.85649999;53006586.26820002
01;2010;04;Chauffage;26;02;9441136.201399999;9441135.9835
01;2010;04;Chauffage;29;02;272409.23289999994;938504.2929000002
01;2011;01;Chauffage;01;01;127576270.55720001;84794287.32300001
01;2011;01;Chauffage;01;06;467200023.43880004;316805602.9025
01;2011;01;Chauffage;03;03;762325326.0299999;421263398.50629985
01;2011;01;Chauffage;04;04;2333430561.3962994;1700916490.1948998
01;2011;01;Chauffage;05;02;36846122.38979998;91551559.3857
01;2011;01;Chauffage;06;02;726074919.3122001;667988936.6409
01;2011;01;Chauffage;09;02;148992611.315;443700023.2738999
01;2011;01;Chauffage;24;04;104334962.65959997;99897021.08200002
01;2011;01;Chauffage;26;02;19580347.795799997;19580347.784799997
01;2011;02;Chauffage;01;01;66971665.5996;44530910.27419999
01;2011;02;Chauffage;01;06;229564801.93099996;155751032.22360003
01;2011;02;Chauffage;03;03;390936359.5181001;216146826.95860004
01;2011;02;Chauffage;04;04;1249229817.8518999;911723943.8042002
01;2011;02;Chauffage;05;02;18222562.267799992;45277597.559099995
01;2011;02;Chauffage;06;02;355242233.1404001;326822860.18379986
01;2011;02;Chauffage;09;02;108708201.27199997;323733024.1744
01;2011;02;Chauffage;24;04;46235840.525000006;44355325.49159999
01;2011;02;Chauffage;26;02;8866953.7263;8866954.2185
01;2011;03;Chauffage;01;01;523964718.55240005;347943535.3993
01;2011;03;Chauffage;01;06;2166286705.4538994;1468086973.3825998
01;2011;03;Chauffage;03;03;3796019506.877699;2097410021.2978997
01;2011;03;Chauffage;04;04;9555287320.1565;6961915730.723401
01;2011;03;Chauffage;05;02;234164783.72829998;581829234.4912
01;2011;03;Chauffage;06;02;3802804170.0957003;3498579857.1701
01;2011;03;Chauffage;09;02;622344874.8381002;1853343114.035
01;2011;03;Chauffage;24;04;987739831.6931005;944600838.6955998
01;2011;03;Chauffage;26;02;92296544.9056;92296542.7751
01;2011;04;Chauffage;01;01;15576629.854999997;10394511.845900001
01;2011;04;Chauffage;01;06;8408713.9202;5696317.747699998
01;2011;04;Chauffage;03;03;2120674.0719999988;1173411.6935
01;2011;04;Chauffage;04;04;84468586.07549997;61639102.87359999
01;2011;04;Chauffage;05;02;35915.636399999996;89239.5828
01;2011;04;Chauffage;06;02;17281208.0397;15898710.9765
01;2011;04;Chauffage;09;02;1928949.8817000012;5744412.515799998
01;2011;04;Chauffage;21;01;14521924.5104;11184183.7376
01;2011;04;Chauffage;21;06;9514224.540800003;7439136.855200002
01;2011;04;Chauffage;23;03;5388073.690999999;3887132.662900001
01;2011;04;Chauffage;24;04;111938558.40390003;107222981.25540005
01;2011;04;Chauffage;26;02;20439905.901100002;20439905.9028
01;2011;04;Chauffage;29;02;734362.3817;2530025.2284999997
