COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_SYSTEME_CHAUD;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Chauffage;01;01;136259096.47999996;90565331.04
01;2009;01;Chauffage;01;06;498869709.25000006;338280639.37000006
01;2009;01;Chauffage;03;03;814589684.8200002;450145664.81
01;2009;01;Chauffage;04;04;2342096018.99;1707036292.26
01;2009;01;Chauffage;05;02;39356867.283;97790017.73000002
01;2009;01;Chauffage;06;02;762767741.5;701746297.73
01;2009;01;Chauffage;09;02;159082382.29800004;473747327.48999995
01;2009;02;Chauffage;01;01;71553032.59799998;47577082.478999995
01;2009;02;Chauffage;01;06;245149899.17900005;166324909.53
01;2009;02;Chauffage;03;03;417804386.959;231002354.589
01;2009;02;Chauffage;04;04;1264052839.7649999;922410009.685
01;2009;02;Chauffage;05;02;19466536.158;48368502.415
01;2009;02;Chauffage;06;02;351073185.89000005;322987329.85
01;2009;02;Chauffage;09;02;116062995.342;345635612.977
01;2009;03;Chauffage;01;01;567355163.37;376748225.3
01;2009;03;Chauffage;01;06;2339191374.39;1585238968.78
01;2009;03;Chauffage;03;03;4083642753.6;2256376395.88
01;2009;03;Chauffage;04;04;10259848207.18;7475452168.39
01;2009;03;Chauffage;05;02;250214205.51000002;621707241.57
01;2009;03;Chauffage;06;02;4079614545.6000004;3753245456
01;2009;03;Chauffage;09;02;665550669.98;1982009662.36
01;2010;01;Chauffage;01;01;131911548.93639998;87675726.3388
01;2010;01;Chauffage;01;06;483015300.4313;327529845.556
01;2010;01;Chauffage;03;03;788407654.38;435676984.1171
01;2010;01;Chauffage;04;04;2340741178.9424005;1706151673.1597998
01;2010;01;Chauffage;05;02;38099398.70220001;94665573.8055
01;2010;01;Chauffage;06;02;740867172.6073;681597723.1759
01;2010;01;Chauffage;09;02;154030044.361;458701478.79139996
01;2010;01;Chauffage;24;04;49976584.246800005;47853402.4138
01;2010;01;Chauffage;26;02;13052604.763;13052605.0797
01;2010;02;Chauffage;01;01;69258268.845;46051282.859699994
01;2010;02;Chauffage;01;06;237346408.91680002;161030534.8381
01;2010;02;Chauffage;03;03;404346353.48120004;223561289.79140002
01;2010;02;Chauffage;04;04;1257742309.3365002;917871878.5494
01;2010;02;Chauffage;05;02;18843471.150399994;46820372.841199994
01;2010;02;Chauffage;06;02;351626969.689;323496812.6255
01;2010;02;Chauffage;09;02;112380286.41600002;334668496.3901
01;2010;02;Chauffage;24;04;22608127.49699999;21688606.222999997
01;2010;02;Chauffage;26;02;5567000.819;5567001.388699999
01;2010;03;Chauffage;01;01;546168661.2791001;362682945.56
01;2010;03;Chauffage;01;06;2252014173.6585;1526171840.8037
01;2010;03;Chauffage;03;03;3938780787.991901;2176311557.1403
01;2010;03;Chauffage;04;04;9921019200.267801;7228501459.501598
01;2010;03;Chauffage;05;02;242181582.73780003;601748599.9332999
01;2010;03;Chauffage;06;02;3921811282.6900997;3608066272.0247
01;2010;03;Chauffage;09;02;643950819.5302999;1917685406.1418002
01;2010;03;Chauffage;24;04;492610850.615;471111269.0883
01;2010;03;Chauffage;26;02;67248381.11;67248382.05669999
01;2010;04;Chauffage;01;01;6359387.208099999;4243722.8451000005
01;2010;04;Chauffage;01;06;6543233.6282;4433034.9158
01;2010;04;Chauffage;03;03;1688280.2328000003;933793.9520999998
01;2010;04;Chauffage;04;04;43279186.95839998;31585118.396500003
01;2010;04;Chauffage;05;02;4126.1296;10252.196100000001
01;2010;04;Chauffage;06;02;7611377.181900001;7002467.3275000015
01;2010;04;Chauffage;09;02;716138.7254999998;2132661.0878
01;2010;04;Chauffage;21;01;5921061.971000002;4560402.1606
01;2010;04;Chauffage;21;06;7071486.520400003;5529638.331799998
01;2010;04;Chauffage;23;03;3770615.7699;2719482.8233999996
01;2010;04;Chauffage;24;04;55030727.9141;52715166.1485
01;2010;04;Chauffage;26;02;8925956.749699999;8925956.2163
01;2010;04;Chauffage;29;02;271535.74290000007;935494.9776000001
01;2011;01;Chauffage;01;01;127576273.0588;84794289.0237
01;2011;01;Chauffage;01;06;467201834.3821;316806849.20500004
01;2011;01;Chauffage;03;03;762325326.03;421263398.4951
01;2011;01;Chauffage;04;04;2333438003.8487005;1700921854.9323
01;2011;01;Chauffage;05;02;36846122.389599994;91551559.39359999
01;2011;01;Chauffage;06;02;722844488.8609;665016967.1107
01;2011;01;Chauffage;09;02;148992611.315;443700023.28180003
01;2011;01;Chauffage;24;04;104335000.65049998;99897057.9605
01;2011;01;Chauffage;26;02;22552499.867799997;22552497.0733
01;2011;02;Chauffage;01;01;66971665.7219;44530910.352400005
01;2011;02;Chauffage;01;06;229565005.87300003;155751168.6608
01;2011;02;Chauffage;03;03;390936359.51710004;216146826.9624
01;2011;02;Chauffage;04;04;1249232412.7138004;911725836.2362001
01;2011;02;Chauffage;05;02;18222562.267799992;45277597.5591
01;2011;02;Chauffage;06;02;354081734.74160004;325755199.99950004
01;2011;02;Chauffage;09;02;108708201.27199997;323733024.1744
01;2011;02;Chauffage;24;04;46235840.42600001;44355325.7703
01;2011;02;Chauffage;26;02;9934737.0925;9934737.7171
01;2011;03;Chauffage;01;01;523964556.5654002;347943429.11179996
01;2011;03;Chauffage;01;06;2164130305.6408;1466627576.1685
01;2011;03;Chauffage;03;03;3796018383.8787007;2097409399.6528
01;2011;03;Chauffage;04;04;9555347683.4488;6961959037.8636
01;2011;03;Chauffage;05;02;234164783.7205;581829234.4192001
01;2011;03;Chauffage;06;02;3765809001.4901;3464544222.1804996
01;2011;03;Chauffage;09;02;622344874.9185002;1853343114.1488
01;2011;03;Chauffage;24;04;987710040.4218005;944572336.0659
01;2011;03;Chauffage;26;02;126331212.79699999;126331205.50180002
01;2011;04;Chauffage;01;01;14658833.9073;9781908.4215
01;2011;04;Chauffage;01;06;11080311.5886;7506390.596000001
01;2011;04;Chauffage;03;03;2104304.9075;1164354.8396
01;2011;04;Chauffage;04;04;83731617.91239999;61106718.157800004
01;2011;04;Chauffage;05;02;35554.260299999994;88341.6668
01;2011;04;Chauffage;06;02;16639168.988100002;15308034.700000007
01;2011;04;Chauffage;09;02;1923139.915200001;5727110.4276
01;2011;04;Chauffage;21;01;13616662.7211;10486957.544
01;2011;04;Chauffage;21;06;12216538.0814;9552346.977999998
01;2011;04;Chauffage;23;03;5278395.6342;3808197.2239000006
01;2011;04;Chauffage;24;04;111416998.76280004;106726443.09650002
01;2011;04;Chauffage;26;02;19558671.2096;19558671.2615
01;2011;04;Chauffage;29;02;732496.0696;2523595.3984
01;2012;01;Chauffage;01;01;123254309.4452;81921682.0214
