branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.6999061966800004E7;2.61137054719E7;2.52310679031E7;2.4350928245800003E7;2.3473480740399998E7;2.2599064159399997E7;2.1681233302E7;2.0638201183400005E7;1.9613578536199998E7;1.8607473843000002E7;1.77322713815E7;1.68395438363E7;1.59559315828E7;1.5079655708600001E7;1.42133364024E7;1.33557669003E7;1.25060767024E7;1.1664986686900001E7;1.08308940858E7;1.0014383907600002E7;9204578.6156;8413316.012999998;7632312.047200001;6861709.780199999;6095373.875999998;5338786.170700001;4597292.913600001;3865642.2715999996;3143549.0231999997;2424699.1429999997;1717946.1932;1023242.6214000001;367921.28620000003;378646.8134;389237.1518;399324.0879;408903.54949999996;415995.692;424444.89170000004;431682.6003;438264.6498
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;2560310.2496;3087244.8198;3614179.39;4141113.9594;4668049.1267;5194983.994;5654389.736700001;6111253.7275;6567279.9646;7021253.7166;7473445.606399999;7883239.8765;8291316.2066;8697768.9298;9102466.177299999;9107970.216599999;9106174.356;9099876.4919;9091654.469800001;9082719.1221;9066306.340000002;8986166.7871;8902376.792;8823194.689299999;8745131.306999998;8668191.903499998;8632238.401800001;8594657.736200001;8551824.1045;8511412.4182;8367119.7870000005;8220163.9842;8074625.9507;7933866.231199999;7790907.773599999;7649466.3902;7629749.0311;7596513.746000001;7562347.6794;7520766.4788999995;7469442.2423
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.747;1497870.8837000001;1448919.7825;1400109.2555999998;1351428.743;1302898.8730000001;1254525.4310999997;1204201.8512000002;1146821.8180999996;1090442.9241999998;1035014.5728;986839.9914;937976.8126000001;889500.4498000001;841422.2791000002;793687.7322000001;746349.1677;699417.0293;652855.5421999998;606707.7909;560944.3502;515548.3916;470152.7260999999;425221.0574000001;380735.65579999995;336634.93729999993;292973.8085;250020.1864;207395.07899999997;165218.3787;123531.46989999998;82190.3318;41309.175400000015;961.4116;1453.2511000000002;1985.524;2546.7053;3139.1531;3649.6866;4309.752;4966.720000000001;5661.984100000001
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.3348033928299999E7;1.38816877959E7;1.4413554491399996E7;1.49435524568E7;1.5471791940700002E7;1.5998318142800003E7;1.6523135167100003E7;1.6884384364E7;1.71978352846E7;1.7499158006600007E7;1.782464174219999E7;1.8252196994799998E7;1.86480349573E7;1.9039730214599997E7;1.9426818880999997E7;1.98099605036E7;2.0200301217800003E7;2.05864705847E7;2.0968707536000002E7;2.13282012861E7;2.1662259087100003E7;2.20152732553E7;2.23701382734E7;2.2721933915799994E7;2.3069563266999993E7;2.34108342585E7;2.3747089563299995E7;2.40724044145E7;2.4392569155700002E7;2.47079497816E7;2.4973394821400005E7;2.52733082165E7;2.5583867078799993E7;2.5918710480800007E7;2.5736005607599996E7;2.553173578489999E7;2.53274496217E7;2.5102852624300003E7;2.4845317533599995E7;2.4546619442199986E7;2.4206361681E7;2.3832668561799996E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5826616.137;5632793.924500001;5439785.489100002;5247584.647000001;5056185.308699999;4865482.0753999995;4634783.7459;4393676.2614;4162715.3347000005;3940946.6149999998;3747954.2727999995;3554322.8318999996;3363175.5845;3174443.8583999993;2987714.793600001;2803327.4792999993;2621179.6006;2441309.7499999995;2263696.363;2088397.7151999997;1915329.7601000003;1746731.914;1579834.8316;1414622.7922999999;1251084.5427000003;1089280.5742999997;939339.9263999999;790054.1142000001;641185.0599999998;504727.64170000004;365343.4102;220487.9839;58306.75839999999;1636.0247000000002;1628.7241000000001;1621.462;1658.1456;1770.8711999999998;1904.0172000000002;2018.9958;2098.4085999999998
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1601038.1934;1548644.5015999998;1496407.4409;1444326.2169;1392400.5910999998;1340630.2399;1282532.6761999999;1221001.2422999998;1160513.5677;1104231.1044;1055697.6502000003;1006117.4116000002;957033.7974;908412.2049;860273.9995;809508.327;759214.3787000001;709411.5396;666065.6047;623363.5876999999;581286.6748;539440.0852999999;498337.7619;459198.13369999995;421825.4855;385719.58579999994;352206.0665;320175.3408;290236.44629999995;268673.79050000006;247854.7077;231162.49519999998;224183.2363;226769.4564;228990.6613;230601.21319999997;231338.9557;231001.08479999998;228922.9227;224348.96680000002;217299.8
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;971772.7492;939906.9214;908138.5693000002;876460.2123999998;844878.7858000002;813406.3536000001;780372.8141;742832.5926;705954.8093999999;669743.4489;638243.5377;606113.6732;574311.6603;542773.6551000001;511593.56139999995;480728.15270000004;450146.16430000006;419873.46299999993;389852.60360000003;360497.7774;331384.15319999994;303038.5075;275064.5082;247438.48649999997;219946.01200000002;192808.70440000002;166242.5074;140036.932;114179.72189999999;88414.71699999999;63092.456000000006;38215.5652;14959.888299999997;15391.314;15815.7793;16220.1018;16604.1136;16888.3317;17227.0787;17517.219100000002;17781.0521
01;01;01;02;Chauffage;Chauffage;2.58;1.319596548E8;1.278168715454E8;1.236863808998E8;1.1956493360960002E8;1.154546080275E8;1.113564633903E8;1.0726923624009998E8;1.0269317997200002E8;9.783852389439999E7;9.30668909455E7;8.844105749190001E7;8.44382165439E7;8.03764210832E7;7.634353349769998E7;7.2351132345E7;6.838491779229999E7;6.4386346941100016E7;6.042621351919999E7;5.6492636901E7;5.3051755412599996E7;4.961553699779999E7;4.61991113096E7;4.2744734972200006E7;3.931776219849999E7;3.59243358241E7;3.2583137449999996E7;2.9262038587099995E7;2.5977764671200003E7;2.2740908439299997E7;1.95517540836E7;1.6496454707400002E7;1.3359907801E7;1.0119087269700002E7;6560937.555700001;5399499.0501;5538801.231799999;5550237.5995000005;5565934.1826;5537917.199700001;5468359.535599999;5342146.135499998;5160484.1897
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.436544903482E8;1.4303076819610003E8;1.4241327002E8;1.41802134444E8;1.4043997735070002E8;1.390839808552E8;1.377343127391E8;1.363911520094E8;1.349890123649E8;1.331641320882E8;1.312527954099E8;1.2925379565980001E8;1.27165926911E8;1.262044046059E8;1.2530314712689999E8;1.244707308522E8;1.236993117656E8;1.22989429241E8;1.223416301305E8;1.217492158818E8;1.2120519179830001E8;1.207099313714E8;1.2026380795709999E8;1.198703187716E8;1.201044460993E8;1.203303568086E8;1.205479225397E8;1.207570138455E8;1.2096446133659999E8;1.20603141898E8;1.2023396249809998E8;1.1985394151480001E8;1.1946292554450002E8;1.19060760392E8;1.1925882074900001E8;1.19458278677E8;1.19659146388E8;1.19861437417E8;1.2006356598200001E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.6159964393E7;2.6748346257E7;2.7336737031999998E7;2.7925118006E7;2.8513505981E7;2.9101891535E7;2.9217071573E7;2.9344358779E7;2.9476389551E7;2.9620865446000002E7;2.97824749639E7;2.9601165318500005E7;2.9266106372999996E7;2.8919903256799996E7;2.85339740964E7;2.7821816732099995E7;2.7082777366400003E7;2.63517448168E7;2.59876154839E7;2.56448771292E7;2.52885237152E7;2.4041264867300004E7;2.2797768626500003E7;2.1913417537000004E7;2.07761233184E7;1.96404390535E7;1.85268635202E7;1.7583054754300002E7;1.66497434425E7;1.5709898238899998E7;1.47325454105E7;1.37416250043E7;1.2774389648599999E7;1.27128441678E7;1.26535545445E7;1.2595947872E7;1.25057744524E7;1.24075272088E7;1.23142236372E7;1.2232577535600001E7;1.2158812507199999E7
