branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.23520000005;265729.99489999993;257054.73559999999;248403.86190000002;239777.33500000002;231174.79599999994;222596.46240000002;213888.485;205217.46309999996;196582.6943;187984.4348;179421.96099999998;170895.65619999997;162405.7324;153951.38610000003;145533.1847;137151.11889999997;128804.586;120491.50180000001;112215.82299999999;104014.31539999996;95848.0048;87782.5967;79748.24850000002;71747.83230000001;63758.458;55806.337900000006;47902.14639999999;40032.93950000001;32182.7011;24370.077200000003;16577.8853;8854.879200000001;1257.9407;1313.8316;1376.0313999999998;1435.9016000000001;1493.3980999999999;1537.5124999999998;1589.546;1635.3617;1677.9780999999998
01;01;01;02;3091525.332199999;2993815.8245;2896389.4332;2799237.4351000004;2702351.3638;2605738.5850000004;2509388.7018999993;2411570.8172;2314162.1134999995;2217163.0489000003;2127186.844;2037602.7546000006;1948410.9369;1859608.5486000003;1771194.7902999998;1683168.9599000004;1588859.0714999998;1494949.5594000001;1401438.1692999997;1312920.1831999999;1224762.2489000002;1136990.1116999998;1049529.3266000003;962453.0882999998;875823.7915999999;790594.0752000001;706141.7377;624269.7919999999;543498.8027000001;464280.0139999999;395725.5012;325930.4354;254197.5757;183809.14010000002;189348.538;194747.9842;198254.99259999997;201695.26440000001;204578.55310000002;206942.42810000002;208598.01;209914.50949999996
01;01;01;03;1317058.389;1275308.4366;1233675.9926999998;1192160.8114;1150762.6339000005;1109481.2053999999;1068316.2781;1026527.8717;984915.7359000001;943512.5430000001;902268.2682999999;861215.6060000001;820345.2050000002;779687.681;739234.7054999999;698843.4280000002;658612.6209;618552.9363000001;578663.2368;538941.0081999999;499387.8894;460002.3219;420785.90400000004;381736.7226999999;342855.4234;304141.3726;265633.6835;227250.30620000005;189031.485;150976.71889999995;113085.4674;75357.20580000001;37860.506199999996;556.0536000000002;554.8527999999999;553.6545;552.4589000000001;570.7014;621.4005999999999;683.4573999999999;738.1694000000001;777.5300999999998
01;01;01;04;3620653.1410000003;3769409.8865;3917722.2404;4065599.4093;4213050.393300001;4360068.180099999;4506663.5447;4649470.858599999;4791640.3851;4933139.985800002;5067404.4558999995;5201036.378799999;5334031.776099997;5466371.592800001;5598072.189199999;5729266.3658;5866524.796;6003159.069;6139176.1582;6269981.727600001;6400166.919700001;6529745.461300001;6658723.044399997;6787101.1421;6914808.635499999;7040918.9413;7165991.9443000015;7288277.593499999;7409258.242400001;7528455.809699998;7636764.4713;7746057.066400002;7856904.363300001;7966750.687099999;7943800.827299999;7921006.163699999;7900144.701599999;7879313.872600001;7859035.693900001;7839250.629700001;7820183.3184;7801455.445800002
01;01;01;06;414923.1906;401770.3772;388654.5830000001;375575.7313;362533.74000000005;349528.5292;336560.02069999994;323394.78920000006;310284.86129999993;297230.05989999993;284230.207;271285.128;258394.6438;245558.58159999998;232776.76710000003;220047.0594;207371.35609999998;194750.50369999997;182181.3321;169666.6871;157207.3359;144800.02330000003;132445.6682;120144.11529999996;107890.4314;95683.9851;83533.44429999997;71435.4982;59390.1591;47408.59399999999;35494.348099999996;23639.122600000006;11839.9468;184.0411;243.94180000000003;314.129;388.45969999999994;467.27630000000005;534.9719;623.5094;712.0625;806.4302000000001
01;01;02;01;164852.8561;159627.12050000002;154416.093;149219.74320000003;144038.03839999996;138870.947;133718.4374;128487.7676;123279.0708;118091.27769999999;112925.37940000002;107781.26719999999;102657.9255;97556.3242;92477.34969999999;87419.9043;82382.9532;77369.41690000001;72373.25850000001;67397.62499999999;62446.39480000001;57514.46149999999;52634.0925;47772.87930000001;42930.893099999994;38113.1951;33315.69530000001;28539.587099999997;23785.739500000003;19051.410799999998;14339.4939;9659.553899999999;4973.014999999999;310.7781;310.1068;309.4371;308.7686;308.1016;307.4361;306.772;306.1093;305.4482
01;01;02;02;2704966.9641;2651914.7327999994;2606330.9447000003;2564167.4672999997;2516941.8622;2464263.4734;2393620.0357000004;2307500.6651000003;2221746.1543;2136354.5669;2051319.9497999998;1966644.7121999993;1886941.6577000006;1809052.1942000003;1735556.9254999997;1664836.0185;1596090.3797999998;1527528.6912000002;1459194.3041000005;1391042.4933999998;1323087.3268999998;1255882.5662;1188316.1627;1120399.7445;1052184.9030000002;983431.8518999999;914295.0191;844811.2192;775023.2361999999;704753.0016;634285.5551999998;563391.386;492054.5958;420318.877;393641.28070000006;359687.24129999994;322192.9266;289144.1123999999;260964.47109999994;249311.6685;249743.7853;249871.28860000003
01;01;02;03;998485.8363;966834.4409000002;935271.4897;903797.1432;872412.489;841116.3442999999;810743.4273999999;804531.1763000002;796843.0380000002;786935.6483;775359.7313999999;762978.9474999999;749902.1786999999;732473.9633000001;711792.1584000001;690486.8339000001;668625.6249;646062.7961;623132.2197;598696.2408;571910.8834;544873.3738;518681.25820000004;494394.81580000004;470196.4678;446139.71550000005;422186.87059999997;398339.4357;375247.55970000004;353026.49840000004;330857.43730000005;308391.1133;286024.52089999994;263798.2642;270452.22819999995;276598.53449999995;283079.17170000006;290406.91990000004;296493.1561;300655.125;281571.3972;264289.3076
01;01;02;04;2774366.8339999993;2862992.7992000002;2944036.5078;3021545.983300001;3104003.289199999;3191800.1965;3296611.5732;3388027.0375000006;3480525.5645999997;3574854.5118;3670467.7142999996;3766499.6431999994;3858230.7489;3952471.515399999;4045544.8570999997;4136445.4692000006;4225900.707599999;4315847.3607;4405911.839799999;4497274.262399999;4590762.724600001;4683729.3456;4776158.360500001;4867006.9954;4958038.315;5049441.270400001;5141099.071500001;5232971.810999998;5324366.7623;5415347.8436;5506444.254500003;5598212.8069;5690279.746300002;5782490.660699999;5788546.423300001;5802382.6532000005;5819434.991000001;5831221.829399999;5839418.193600001;5833028.6738;5837678.758799999;5840779.9635
01;01;02;06;273040.8814;264385.65119999996;255754.7817;247148.2221;238565.9188;230007.8184;221473.8704;212810.46820000003;204183.459;195592.7265;187038.1521;178519.6217;170037.0176;161590.22610000006;153179.1318;144803.61940000003;136463.57370000004;128158.88260000003;119889.43080000002;111655.10429999999;103455.79179999999;95290.38820000002;87160.84830000001;79065.9828;71005.6811;62976.9577;54984.8715;47026.30449999999;39103.93809999999;31211.2072;23357.059300000008;15533.444999999998;7739.8117;153.99669999999998;153.66410000000002;187.1467;240.5662;296.91150000000005;346.0487;408.41670000000005;621.803;916.8228
