branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.7886868709999997E7;2.69990619668E7;2.61137054719E7;2.52310679031E7;2.4350928245800003E7;2.3473480536999997E7;2.2599046428999998E7;2.16811875576E7;2.0638123520999998E7;1.96132290403E7;1.86072608136E7;1.7732500068099998E7;1.68397261034E7;1.5955743260899998E7;1.50792354432E7;1.4211640179100001E7;1.3354065436300002E7;1.25046838397E7;1.16634016591E7;1.08366358383E7;1.0019212296600001E7;9208231.2911;8415748.4291;7628675.504300002;6851251.283600001;6084003.9213;5325958.4481;4578143.0964;3845013.5577;3404073.4216999994;3088989.3903;2822414.4916000008;2917528.7086;3722826.0604999997;4466496.105499999;5111578.312899998;5663330.476199999;6145719.4965;6551183.076800001;6791030.7421;6869714.713799999;6926967.982899999
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;2560310.2496;3087244.8198;3614179.39;4141113.9594;4668049.1267;5194983.994;5654389.736700001;6111253.7275;6567145.3657;7021254.6112;7473194.795899998;7882627.2382;8290349.502700001;8696330.6434;9100436.036;9105883.300199999;9103891.175800001;9097271.1869;9088589.021699999;9079075.364300001;9061961.4054;8981297.920500001;8896998.0643;8817367.7457;8739565.3321;8662068.461199999;8625575.363599999;8587484.4165;8530717.3776;8476665.1268;8320128.8491;8161506.816400001;8005026.3547;7854148.2145;7701745.914500001;7551595.0481;7522977.7761;7492265.6927;7451890.2056;7402794.940400001;7335499.409500001
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.747;1497870.8837000001;1448919.7825000002;1400109.2555999998;1351428.743;1302898.8424;1254516.4957999997;1204192.9468999999;1146812.757;1090434.1277999994;1034996.3322;986812.3557;937941.9197000001;889461.0380000001;841355.0347;793645.5193999999;746330.5868000002;699403.8846000002;652832.5129000001;606676.4562000001;560896.9107999998;515466.00350000005;470049.5653999999;425053.4489;380439.3674;336263.99029999995;292547.1146;249557.87819999998;207034.6198;174626.06539999996;153947.1467;136744.2635;142112.77870000002;165140.7016;223322.9332;282685.0874000001;343120.44299999997;404696.7937;467017.835;530480.3093000001;595276.5613999998;661250.2120999999
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.3348033928299999E7;1.38816877959E7;1.4413554491399994E7;1.49435524568E7;1.5471791940700002E7;1.5998318142800003E7;1.6523134217E7;1.6884380219600003E7;1.7180564593800005E7;1.7482040387000002E7;1.77481330897E7;1.8102608783800006E7;1.8442626565300006E7;1.87771105103E7;1.9086875853E7;1.93918822686E7;1.9657399792300005E7;1.9892669188699998E7;2.0086820395700004E7;2.02547280016E7;2.0368182588900004E7;2.0388795895200003E7;2.0448288419400007E7;2.0507017414499998E7;2.0541569397000004E7;2.0543893271800004E7;2.0508506040699996E7;2.0443776980899997E7;2.0338617567900006E7;2.01821075108E7;1.9997430134E7;1.9786712854600005E7;1.9393322132100005E7;1.8976091703199994E7;1.81826816004E7;1.7374167050600003E7;1.6555352330000002E7;1.57489264188E7;1.4944853784599999E7;1.4145740966099998E7;1.3354551791800003E7;1.25724742716E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5826616.137;5632793.924500001;5439785.489100002;5247584.647000001;5056185.308699999;4865578.9999;4634879.9919;4389356.305000001;4154364.5785000008;3925210.9009;3721703.4368;3522245.5480999993;3325928.9223000007;3132712.8817;2942557.6460999995;2752653.927;2566119.0114;2382883.757999999;2200685.5751;2022050.7406000004;1847011.4451;1691115.5786;1536888.7714000002;1384252.7544999998;1233113.2692000002;1095328.6325999997;957733.3029;819930.8792;681328.9092000001;540964.6888;397067.78119999997;245630.12269999998;72513.6427;37.8348;37.5681;37.3033;37.0411;36.7805;23.5301;20.6621;19.448500000000003
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1601038.1934;1548644.5015999998;1496407.4409;1444326.2169;1392400.5910999998;1340630.2462;1282532.6696;1221001.1683;1160513.4134;1104230.8313000002;1055697.2493;1006116.8825000002;957033.1426999999;908411.4251000001;860273.1022999999;812684.4643000001;765629.0533;719730.3138;685942.5824000001;654305.7925;636940.9991000001;624313.7349000002;613421.7885999999;608447.1644;614124.6124000001;625418.0756999998;642869.4104;666012.8986999999;693246.4729;728154.9371999999;772062.207;857851.5970999999;957052.863;1027396.3467999999;1102454.4963;1180743.1663000002;1259402.8726000004;1338725.4515;1414624.3099000002;1484645.9097999998;1545913.2327
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;971772.7492;939906.9214000001;908138.5693000002;876460.2124000001;844878.7568000002;813405.6813;780371.16;742829.7827999999;705942.2740999999;669735.7728000002;638251.6836999999;606120.2228;574304.7690999999;542758.6201000001;511532.86460000003;480667.23410000006;450096.2891;419816.65040000004;390090.20959999994;360699.0485;331539.4553999999;303145.82130000007;274896.4284;246997.0803;219467.57110000003;192273.5004;165452.94350000005;139186.5491;124352.6863;114570.50700000001;106712.0547;113061.63010000001;147845.41250000003;177194.8586;202624.2202;224408.9933;243456.66789999997;259469.1843;268812.46709999995;271915.48470000003;274180.43880000006
01;01;01;02;Chauffage;Chauffage;2.58;1.319596548E8;1.278168715454E8;1.236863808998E8;1.1956493360960002E8;1.1545460802749999E8;1.113564559606E8;1.0726918618069997E8;1.0269298391080001E8;9.78381569361E7;9.306632214440002E7;8.84395700188E7;8.44325661482E7;8.03699071324E7;7.63415181415E7;7.23477396187E7;6.838079456620002E7;6.504216823419999E7;6.218235493890001E7;5.95927544621E7;5.725279889779999E7;5.571927211869998E7;5.475120572409999E7;5.384105411539999E7;5.2870128767E7;5.208033402859998E7;5.150995532779998E7;5.119710105749999E7;5.1012869818100005E7;5.12152765174E7;5.1724205775299996E7;5.21425788542E7;5.2630632647E7;5.356154704389999E7;5.418994875420001E7;5.67710903927E7;6.057524100369999E7;6.425418328020001E7;6.772372875220004E7;7.09958358102E7;7.39583220938E7;7.65557959E7;7.87427490499E7
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.436544903482E8;1.4303076819610003E8;1.4241327002E8;1.41802134444E8;1.4043997735070002E8;1.390839808552E8;1.377343127391E8;1.363911520094E8;1.349890123649E8;1.331641320882E8;1.312527954099E8;1.2925379565980001E8;1.27165926911E8;1.262044046059E8;1.2530314712689999E8;1.2446967812830001E8;1.236982484377E8;1.229883551247E8;1.223405450385E8;1.2174813078979999E8;1.212041067063E8;1.207088462794E8;1.202627228651E8;1.1986923367959999E8;1.2010336100729999E8;1.203292717166E8;1.205468374477E8;1.207559287535E8;1.209633762446E8;1.2060205680600001E8;1.2023292459699999E8;1.1985290409370002E8;1.1946188862480001E8;1.19059723987E8;1.1925778434400001E8;1.19457242272E8;1.19658109983E8;1.19860401012E8;1.20062529577E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.6159964393E7;2.6748346257E7;2.7336737031999998E7;2.7925118006E7;2.8513505981E7;2.9101891535E7;2.9217071573E7;2.9344358779E7;2.9476241744999997E7;2.9625404502600003E7;2.97869684064E7;2.96053979209E7;2.92701754775E7;2.8923721293199997E7;2.85373734451E7;2.78253976893E7;2.70863492345E7;2.63552732526E7;2.5990905183700003E7;2.5647892549900007E7;2.52913939204E7;2.4043948894400004E7;2.2802691545500003E7;2.1920834408500005E7;2.07846393344E7;1.9649623626900002E7;1.8537113217499997E7;1.75945045876E7;1.6631538785799999E7;1.56668186308E7;1.4670448374499999E7;1.3664209714399999E7;1.2687422890999999E7;1.26109683994E7;1.2538376537800001E7;1.24687210735E7;1.2373481094099998E7;1.2290952833600001E7;1.21981590201E7;1.2113173068100002E7;1.20202884249E7
