branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.6999061966800004E7;2.61137054719E7;2.52310679031E7;2.4350928245800003E7;2.3473480536799997E7;2.2599046428999998E7;2.16815178716E7;2.0638644428499997E7;1.96137823881E7;1.86076684074E7;1.77324565794E7;1.68398682239E7;1.5956263438199999E7;1.50800725405E7;1.4212661713399999E7;1.3355075181400001E7;1.2505418696E7;1.1664048180699999E7;1.08296646851E7;1.00046827586E7;9210145.2142;8416034.130900001;7632223.311299999;6849382.077299999;6076559.114100001;5311863.4564000005;4556796.3195;3818846.8792999997;3380914.4225999997;3026325.8856;2669944.6714000003;2837478.0738000004;3490411.8702999996;4406386.8904;5255710.920499999;6045635.1883;6749898.703599999;7361569.118400001;7896428.230599999;8345265.8805;8714258.8836
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;2560310.2496;3087244.8198;3614179.39;4141113.9594;4668049.1267;5194983.994;5654389.736700001;6111253.7275;6567145.7332;7020992.785300001;7472792.0209;7882148.0682;8289445.6461000005;8694816.9528;9098015.205500001;9102742.1114;9100036.433300002;9092710.5713;9083322.8742;9073349.703900002;9055773.537200002;8974601.9803;8889770.7994;8809620.783;8730403.9573;8651425.2155;8613545.0448;8574004.4769;8529314.523999998;8487293.1677;8342081.4348;8181518.4629;8022878.875300001;7870001.339400001;7716476.8849;7565650.8849;7535851.2321;7503792.421699999;7461879.4912;7410605.4182;7352594.2214
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.7470000002;1497870.8837000001;1448919.7825;1400109.2555999998;1351428.743;1302887.8329;1254500.9379999998;1205387.7662;1147959.4866;1091509.5002000004;1035941.3652;987540.8182999999;938306.6746000001;889489.8300000002;841085.5926000001;793117.0483000001;745580.3824;698455.7723000001;651728.1664000001;605459.4722000001;559593.6545000001;514115.0152999999;468885.4828;424153.5661999999;380400.0292;339051.6758;321585.4781;318190.69180000003;322931.1588;329944.6684;369710.98730000004;422627.6685999999;485196.60659999994;595777.5271000001;737140.5351000001;887314.3164000001;1049420.1088999996;1220011.6959000002;1400074.9523000005;1588669.9989;1786186.3112999997;1990807.4362000003
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.3348033928299999E7;1.38816877959E7;1.4413554491399996E7;1.49435524568E7;1.5471791940700002E7;1.5998318235700002E7;1.6523133987899998E7;1.68843736823E7;1.7181577866400003E7;1.74841720278E7;1.77393509516E7;1.81009304108E7;1.8411128039E7;1.87153273019E7;1.90132404254E7;1.92769317951E7;1.94917624108E7;1.9691730555200003E7;1.9857745282099996E7;1.9966784982999995E7;2.00158419558E7;2.0030676385000005E7;2.0075961197600003E7;2.00909046775E7;2.0062426532300003E7;2.000518261140001E7;1.9923880337799996E7;1.9806137451E7;1.96657055528E7;1.9505246507300004E7;1.93240641879E7;1.9000762965800002E7;1.86319309888E7;1.8265002686800003E7;1.75294297528E7;1.67830144143E7;1.60347558867E7;1.53041342072E7;1.4577771422599997E7;1.3858739921400003E7;1.31441108796E7;1.2437809883099996E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5826616.137;5632793.924500001;5439785.489100002;5247584.647000001;5056185.308699999;4865579.0001;4634887.2224;4393783.500899999;4158522.6414;3929055.1913;3729070.2846999993;3529183.7387;3332443.728799999;3138826.7965999995;2948276.4876;2760759.2399;2573632.0874;2389857.1422999995;2209343.8033999996;2032046.1138;1856054.4748;1690880.4536999997;1527677.1827;1366424.767;1205895.5013;1047597.6368;891507.3879999999;737600.9639999998;585855.0973;436329.22930000006;298611.70570000005;160410.42839999995;18176.102899999998;17.1281;17.006999999999998;16.8872;16.768700000000003;16.6518;16.5202;13.680000000000001;12.504800000000001
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1601038.1934000005;1548644.5015999998;1496407.4409;1444326.2169;1392400.5910999998;1340630.2459999998;1286396.6950000003;1224675.0953;1164006.1062;1107553.8948000001;1058872.8728999998;1009142.7799;959910.6228;911141.8270999999;862956.7100000001;815648.2597;769570.7559999999;729749.5466;698933.2121;680206.267;668385.7960000001;659127.5593;656944.0118000001;665305.4341000002;683283.1181999999;700934.5123;724373.1677;747252.9008000001;772866.6227000001;798270.0769;859702.8262999998;927264.8935000001;1000851.9485;1056872.7203000002;1113547.8171999997;1169457.5016;1222830.6767;1272903.1965;1315691.299;1349233.3575;1373628.3825000003
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;971772.7491999997;939906.9214;908138.5693000002;876460.2123999998;844878.7568000002;813405.6813;780382.9849;742848.4221999998;705962.0738000001;669750.3668000001;638250.132;606125.2496999999;574323.4146;542788.5545;511569.4136000001;480703.3963;450122.5650000001;419839.7519999999;389808.4738;360115.0648;331647.1317;303188.4496;275102.74609999993;247002.59190000006;219248.6677;191788.2776;164674.99480000001;138194.747;123409.44089999999;112035.8659;100599.91780000002;109767.5822;138351.2609;174485.3354;207984.36839999998;239144.95939999996;266909.0516;291051.50380000006;312158.1464;329877.4309;344449.39699999994
01;01;01;02;Chauffage;Chauffage;2.58;1.319596548E8;1.278168715454E8;1.236863808998E8;1.1956493360960002E8;1.1545460802749999E8;1.113557899853E8;1.0726852121689999E8;1.030020211088E8;9.8131979635E7;9.334197400150001E7;8.86986389714E7;8.468008950669998E7;8.060551280899999E7;7.656565312560001E7;7.2563139426E7;6.909504763749999E7;6.64205387929E7;6.390741408009999E7;6.164296569970001E7;6.0323936048999995E7;5.9340168439399995E7;5.859554555820001E7;5.78849896484E7;5.736118540629999E7;5.70708440215E7;5.7007304518199995E7;5.685622990899997E7;5.666875307870001E7;5.706313218720001E7;5.733168226230001E7;5.73584578681E7;5.7871430039900005E7;5.801170804870003E7;5.74374013411E7;5.883195719779998E7;6.133981783289998E7;6.3566555928100005E7;6.551127558820001E7;6.717198146529998E7;6.84722512938E7;6.931854883320002E7;6.973571064629997E7
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.436544903482E8;1.4303076819610003E8;1.4241327002E8;1.41802134444E8;1.4043997735070002E8;1.390839808552E8;1.377343127391E8;1.363911520094E8;1.349890123649E8;1.331641320882E8;1.312527954099E8;1.2925379565980001E8;1.27165926911E8;1.262044046059E8;1.2530211237889999E8;1.2446864338029999E8;1.236972031907E8;1.229872991962E8;1.2233947824300002E8;1.217470639943E8;1.2120303991080001E8;1.207077794839E8;1.2026165606959999E8;1.1986816688409999E8;1.201022942118E8;1.2032820492109999E8;1.205457706522E8;1.20754861958E8;1.209623094491E8;1.2060103541450001E8;1.2023190320549999E8;1.1985188318820001E8;1.1946086822280002E8;1.19058704104E8;1.1925676446100001E8;1.19456222389E8;1.196570901E8;1.19859381129E8;1.20061509694E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.6159964393E7;2.6748346257E7;2.7336737031999998E7;2.7925118006E7;2.8513505981E7;2.9101891535E7;2.9217071573E7;2.9344358779E7;2.9476248337899998E7;2.96207064092E7;2.97775082964E7;2.95926672557E7;2.9253139662600003E7;2.8902111549E7;2.85109033356E7;2.77943193812E7;2.7050688577800002E7;2.6315008061299995E7;2.59460926506E7;2.5602572889400005E7;2.52455844527E7;2.39980315227E7;2.27563817393E7;2.1873287865599997E7;2.07350266439E7;1.95981328363E7;1.84840495643E7;1.7539698802999996E7;1.6606236843700003E7;1.5666858840699999E7;1.46914922144E7;1.36777274041E7;1.2690844086E7;1.26113031582E7;1.25363252882E7;1.2464454665800001E7;1.23652185209E7;1.22778363442E7;1.2180455748400003E7;1.20929018498E7;1.20188838679E7
