COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT
01;2009;01;Autre;01;49954723.10010001
01;2009;01;Autre;02;1239428506.7399998
01;2009;01;Autre;04;3011014.466299998
01;2009;01;Bureautique;02;1910785867.0900004
01;2009;01;Cuisson;01;16654294.739799997
01;2009;01;Cuisson;02;127219557.78799999
01;2009;01;Cuisson;03;4543555.603300001
01;2009;01;Cuisson;04;73147748.96510004
01;2009;01;Froid_alimentaire;02;34084285.127100006
01;2009;01;Process;02;27370711.957599994
01;2009;02;Autre;01;37627572.612100005
01;2009;02;Autre;02;933350786.46
01;2009;02;Autre;04;2258238.3343000007
01;2009;02;Bureautique;02;1438915984.6200001
01;2009;02;Cuisson;01;12765104.138700003
01;2009;02;Cuisson;02;95802605.843
01;2009;02;Cuisson;03;3421521.8265
01;2009;02;Cuisson;04;54860269.82629999
01;2009;02;Froid_alimentaire;02;25667148.3698
01;2009;02;Process;02;20611497.8189
01;2009;03;Autre;01;107830692.90299998
01;2009;03;Autre;02;2667492320.8200006
01;2009;03;Autre;04;6161899.2022
01;2009;03;Bureautique;02;4112383914.7599998
01;2009;03;Cuisson;01;43578113.7477
01;2009;03;Cuisson;02;273801345.09199995
01;2009;03;Cuisson;03;9778619.7422
01;2009;03;Cuisson;04;149693416.22500005
01;2009;03;Froid_alimentaire;02;73356041.45900002
01;2009;03;Process;02;58907117.87269999
01;2010;01;Autre;01;48217633.65450001
01;2010;01;Autre;02;1239409363.73
01;2010;01;Autre;04;2906311.4513000003
01;2010;01;Bureautique;02;1927142064.7399998
01;2010;01;Cuisson;01;15520027.2919
01;2010;01;Cuisson;02;131383765.87699997
01;2010;01;Cuisson;04;70183914.40130001
01;2010;01;Froid_alimentaire;02;33807975.5291
01;2010;01;Process;02;27331298.942500006
01;2010;02;Autre;01;36319137.40979999
01;2010;02;Autre;02;933336269.8099998
01;2010;02;Autre;04;2179711.9172000005
01;2010;02;Bureautique;02;1451233146.7399998
01;2010;02;Cuisson;01;11895716.137100002
01;2010;02;Cuisson;02;98944065.633
01;2010;02;Cuisson;04;52637987.7892
01;2010;02;Froid_alimentaire;02;25459073.831
01;2010;02;Process;02;20581816.815400008
01;2010;03;Autre;01;104081050.07800004
01;2010;03;Autre;02;2667450815.17
01;2010;03;Autre;04;5947629.640000001
01;2010;03;Bureautique;02;4147585874.88
01;2010;03;Cuisson;01;40610155.55859999
01;2010;03;Cuisson;02;282956926.54800004
01;2010;03;Cuisson;04;143648083.757
01;2010;03;Froid_alimentaire;02;72761369.98249999
01;2010;03;Process;02;58822295.17899999
01;2010;04;Autre;01;2917612.0141999996
01;2010;04;Autre;02;72267636.93270001
01;2010;04;Autre;04;170672.7911
01;2010;04;Bureautique;02;123791809.02710001
01;2010;04;Cuisson;01;618169.6902999998
01;2010;04;Cuisson;02;4207289.7166
01;2010;04;Cuisson;04;2351681.8733
01;2010;04;Froid_alimentaire;02;1545724.7508
01;2010;04;Process;02;1595910.6187
01;2011;01;Autre;01;46540938.4615
01;2011;01;Autre;02;1239328337.6699998
01;2011;01;Autre;04;2805248.8778999997
01;2011;01;Bureautique;02;1943638153.7199998
01;2011;01;Cuisson;01;14463005.977600003
01;2011;01;Cuisson;02;135153538.41
01;2011;01;Cuisson;04;67158507.2763
01;2011;01;Froid_alimentaire;02;33533899.4645
01;2011;01;Process;02;27291935.988900002
01;2011;02;Autre;01;35056191.05600001
01;2011;02;Autre;02;933275358.5799998
01;2011;02;Autre;04;2103915.3433000003
01;2011;02;Bureautique;02;1463655343.1000001
01;2011;02;Cuisson;01;11085535.738899998
01;2011;02;Cuisson;02;101787858.29700002
01;2011;02;Cuisson;04;50368924.14140001
01;2011;02;Froid_alimentaire;02;25252679.094299998
01;2011;02;Process;02;20552172.823
01;2011;03;Autre;01;100461770.23500003
01;2011;03;Autre;02;2667276528.16
01;2011;03;Autre;04;5740809.287699999
01;2011;03;Bureautique;02;4183087638.3900003
01;2011;03;Cuisson;01;37844319.052899994
01;2011;03;Cuisson;02;291242042.89900005
01;2011;03;Cuisson;04;137455836.96600002
01;2011;03;Froid_alimentaire;02;72171493.45359999
01;2011;03;Process;02;58737568.70419999
01;2011;04;Autre;01;5781706.013100001
01;2011;04;Autre;02;145721551.26700002
01;2011;04;Autre;04;338214.9606
01;2011;04;Bureautique;02;250677219.93300003
01;2011;04;Cuisson;01;1204394.8194
01;2011;04;Cuisson;02;8616843.6612
01;2011;04;Cuisson;04;4640630.354600001
01;2011;04;Froid_alimentaire;02;3104315.5900999997
01;2011;04;Process;02;3215744.381499999
01;2012;01;Autre;01;44922546.093
01;2012;01;Autre;02;1239188201.6800003
01;2012;01;Autre;04;2707700.572500001
01;2012;01;Bureautique;02;1960275441.96
01;2012;01;Cuisson;01;13477975.6167
01;2012;01;Cuisson;02;138721352.01699996
01;2012;01;Cuisson;04;64263512.45870001
01;2012;01;Froid_alimentaire;02;33262043.006899998
01;2012;01;Process;02;27252629.012699995
01;2012;02;Autre;01;33837157.05049999
01;2012;02;Autre;02;933169744.8499999
01;2012;02;Autre;04;2030754.4154
01;2012;02;Bureautique;02;1476183763.3600001
01;2012;02;Cuisson;01;10330532.7925
01;2012;02;Cuisson;02;104478977.72600003
01;2012;02;Cuisson;04;48197667.259500004
01;2012;02;Froid_alimentaire;02;25047954.462400008
01;2012;02;Process;02;20522570.2587
01;2012;03;Autre;01;96968344.41
01;2012;03;Autre;02;2666974813.08
01;2012;03;Autre;04;5541180.976099999
01;2012;03;Bureautique;02;4218893301.7900004
01;2012;03;Cuisson;01;35266852.484900005
01;2012;03;Cuisson;02;299072817.58900005
01;2012;03;Cuisson;04;131530531.13900003
01;2012;03;Froid_alimentaire;02;71586399.568
01;2012;03;Process;02;58652971.50959999
01;2012;04;Autre;01;8545065.819200002
01;2012;04;Autre;02;220430413.144
01;2012;04;Autre;04;499864.47239999985
01;2012;04;Bureautique;02;381350822.562
01;2012;04;Cuisson;01;1739887.4977000004
01;2012;04;Cuisson;02;13296135.8618
01;2012;04;Cuisson;04;6819942.3735
01;2012;04;Froid_alimentaire;02;4670802.0508
01;2012;04;Process;02;4859897.0049
01;2013;01;Autre;01;43360426.9917
01;2013;01;Autre;02;1238991166.1900003
01;2013;01;Autre;04;2613544.0165000013
01;2013;01;Bureautique;02;1977054770.0899997
01;2013;01;Cuisson;01;12560031.012400001
01;2013;01;Cuisson;02;142097732.01299998
01;2013;01;Cuisson;04;61493305.105399996
01;2013;01;Froid_alimentaire;02;32992388.490899988
01;2013;01;Process;02;27213376.182
01;2013;02;Autre;01;32660512.420099992
01;2013;02;Autre;02;933021274.33
01;2013;02;Autre;04;1960137.2766000007
01;2013;02;Bureautique;02;1488819236.5899997
01;2013;02;Cuisson;01;9626951.145
01;2013;02;Cuisson;02;107025422.92199999
01;2013;02;Cuisson;04;46120004.08469999
01;2013;02;Froid_alimentaire;02;24844888.1909
01;2013;02;Process;02;20493009.269399997
01;2013;03;Autre;01;93596406.49399999
01;2013;03;Autre;02;2666550388.8
01;2013;03;Autre;04;5348493.952100001
01;2013;03;Bureautique;02;4255005670.5900006
01;2013;03;Cuisson;01;32864930.108599998
01;2013;03;Cuisson;02;306473616.42800003
01;2013;03;Cuisson;04;125860640.502
01;2013;03;Froid_alimentaire;02;71006048.56049998
01;2013;03;Process;02;58568485.79199997
01;2013;04;Autre;01;11194581.867600001
01;2013;04;Autre;02;296427070.875
01;2013;04;Autre;04;654854.3735000001
01;2013;04;Bureautique;02;516119151.39100003
01;2013;04;Cuisson;01;2221367.3063
01;2013;04;Cuisson;02;18262148.270700004
01;2013;04;Cuisson;04;8877727.439499997
01;2013;04;Froid_alimentaire;02;6243603.075700002
01;2013;04;Process;02;6528772.405
01;2014;01;Autre;01;41852625.8506
01;2014;01;Autre;02;1238739005.6099997
01;2014;01;Autre;04;2522661.5784000005
01;2014;01;Bureautique;02;1993977804.4299998
01;2014;01;Cuisson;01;11704604.7212
01;2014;01;Cuisson;02;145292619.898
01;2014;01;Cuisson;04;58842512.27600001
01;2014;01;Froid_alimentaire;02;32724919.614400003
01;2014;01;Process;02;27174178.890699994
01;2014;02;Autre;01;31524783.807699993
01;2014;02;Autre;02;932831271.2199999
01;2014;02;Autre;04;1891975.9250000003
01;2014;02;Bureautique;02;1501562751.3700001
01;2014;02;Cuisson;01;8971287.207000004
01;2014;02;Cuisson;02;109434717.27700001
01;2014;02;Cuisson;04;44131908.02299999
01;2014;02;Froid_alimentaire;02;24643468.1514
01;2014;02;Process;02;20463492.3453
01;2014;03;Autre;01;90341718.94699998
01;2014;03;Autre;02;2666007738.33
01;2014;03;Autre;04;5162507.3319999995
01;2014;03;Bureautique;02;4291427285.06
01;2014;03;Cuisson;01;30626595.3942
01;2014;03;Cuisson;02;313467379.09400004
01;2014;03;Cuisson;04;120435169.01099998
01;2014;03;Froid_alimentaire;02;70430403.91839999
