branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.70347614172E7;2.61850906149E7;2.5365053118900005E7;2.4515965989399996E7;2.366948524969999E7;2.2849920980100002E7;2.19866640859E7;2.0995180830000002E7;2.0022323104199998E7;1.90564095706E7;1.8222705223299995E7;1.7372872300899997E7;1.6531725402200002E7;1.5698411004900001E7;1.4873407263999999E7;1.4057198820799999E7;1.3248890120600002E7;1.2448574248100001E7;1.1650692108299999E7;1.0903725452600002E7;1.20196326169E7;1.32235341454E7;1.4420582202599999E7;1.5543816769600002E7;1.66391845444E7;1.8347851276499998E7;2.0674000536300004E7;2.3108557054700006E7;2.56146803394E7;2.7387785271999992E7;2.9033225090499993E7;3.0670379674899995E7;3.2889570939300004E7;3.575536628150001E7;3.8577928721999995E7;4.1337698754300006E7;4.407376189050001E7;4.674879762790001E7;4.93697374263E7;5.1950500809899986E7;5.448125779740002E7
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;2560310.2496;3087244.8198;3614179.39;4141113.9594;4668049.1267;5194983.994;5669303.2517;6143135.5953;6616829.4735;7090523.666700001;7564222.615300001;7995731.313000001;8426916.3429;8857779.321600001;9288193.9125;9341700.7939;9395063.2516;9448283.3769;9501359.4151;9554526.4833;9607547.7197;9580438.450299999;9553617.2489;9526823.5079;9500031.752;9473231.1668;9488383.293699998;9503555.1668;9518773.129999999;9534196.511000002;9438997.0889;9329475.272200001;9234389.792499999;9139252.6341;9045058.4279;8951002.9591;8988917.5339;9027018.4079;9065108.916500002;9103193.7619;9141279.5353
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.7470000002;1497872.6525;1448924.6583;1400120.7059999995;1351457.2011000002;1302929.632;1254543.0883999998;1205427.8132;1147995.5002000001;1091367.7858;1035694.8702;987315.7949;938432.2009000002;889931.5838000003;841822.7994000003;794103.7507;746777.4775999999;699836.2599000002;653273.4482999999;607316.8130999999;561862.3761999999;516946.8525999999;472627.0285000001;440758.44849999994;419401.9395;397144.6976;379600.7360000001;387252.61600000004;394252.5102999999;412970.13139999995;487899.6631;562571.7669;637130.5088999999;744954.4833000001;876961.9276;1012191.9675999999;1151160.0037999998;1293166.4318999997;1439636.8656;1588736.0614999996;1738633.9571000002;1894225.6782
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.3348033928299999E7;1.3881713467999998E7;1.4413630053600002E7;1.4943675687900003E7;1.5471943407799996E7;1.5998497421599997E7;1.65233150905E7;1.68844694308E7;1.71815271892E7;1.7484339363500003E7;1.7739253530300003E7;1.8100422820100006E7;1.8408165420999996E7;1.8706898955799997E7;1.89934987858E7;1.9270529604900002E7;1.9421126628800005E7;1.9568488559200004E7;1.9696680481300004E7;1.97710185041E7;1.9777208320100002E7;1.96164831701E7;1.94780892757E7;1.9184919779899996E7;1.8874098280900005E7;1.8554435258800007E7;1.82152035899E7;1.7857702769699994E7;1.75182888235E7;1.7170309784199998E7;1.6813200928200003E7;1.6455688053299999E7;1.60771685249E7;1.5716862029699996E7;1.4962178690800004E7;1.4212640450099997E7;1.3469307288700001E7;1.2746352692899998E7;1.20313330159E7;1.1325311075199999E7;1.0630037688400004E7;9941304.0875
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5826616.137;5632793.9259;5439785.490600001;5247584.648700001;5056185.310399999;4865579.206499999;4634906.5807;4393825.7108;4158629.7749000005;3929195.3269999996;3729210.5782;3529365.867;3332699.5355999996;3139141.6143;2948637.9325;2761152.8574;2574040.7419000003;2390238.6567999995;2209699.4140000003;2032377.3163;1856357.0163999998;1691242.3536;1528091.7421000001;1366886.4913000003;1206398.0825999998;1048134.3890000002;892070.5238000001;738181.1060999999;586440.4250000002;436821.30860000005;299000.7896000001;160683.92039999997;18290.5239;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1601042.4224000003;1548652.7433;1496419.4589;1444342.0372000001;1392420.0703999999;1340652.9873;1286462.5205;1224786.9944000002;1164153.9322999998;1107804.6394999998;1059244.8395;1010240.6348000001;962545.0064999999;916898.3873999999;872781.8441000001;858816.9639999999;844831.0592;834808.5295000003;838679.3467;854679.7603999999;883883.462;917749.2099000001;990119.3008000001;1067486.7672000001;1150673.6696;1231929.3943;1305917.2823000003;1380817.0539;1456234.3441;1529245.0787000002;1606482.1693000002;1685114.6598;1765696.8509000002;1833535.2126000004;1900742.8299000002;1967189.9782000002;2032516.4119999995;2096702.0504;2159651.6702999994;2221108.6236999994;2281302.1905
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;973082.5863999998;942526.0311000001;913082.2398000001;882709.0619;852428.9792000002;823263.7671000002;792524.2034999998;757156.2814;722367.9437999999;687798.5574;658044.5275999999;627669.5292;597605.9061;567823.34;538339.0337;509170.5151;480285.8137;451688.431;423156.81480000005;396535.74439999997;440477.2979;488279.49510000006;536345.4375000001;581435.4307;625365.6621999999;693738.8994;787183.1178000001;885111.8899999998;985915.0855999999;1058750.6733000001;1126538.4941999998;1194023.0599999996;1284797.8791;1398152.5788;1509835.0929000003;1619089.6107;1727223.1832999997;1832963.3744000003;1936537.2564999997;2038486.8739;2138473.5026
01;01;01;02;Chauffage;Chauffage;2.58;1.319596548E8;1.277924931589E8;1.236372302267E8;1.194725968786E8;1.153384216747E8;1.1121587597670001E8;1.0708661003989999E8;1.027795389584E8;9.787201144980001E7;9.304546180099998E7;8.83790137184E7;8.433570583559999E7;8.025039280150001E7;7.621869455150001E7;7.22579452179E7;6.83503383614E7;6.516230824549999E7;6.199896643549999E7;5.89435680659E7;5.653934688499998E7;5.45886210642E7;5.365358472410001E7;5.27090511972E7;5.23803701599E7;5.20705034955E7;5.18310623336E7;5.1530213253699996E7;5.10374095456E7;5.0518647772399984E7;4.994305952669999E7;4.92354631979E7;4.8536056783800006E7;4.7838183983500004E7;4.669686211680001E7;4.777401731039998E7;5.011503137780001E7;5.23798111352E7;5.453493852870001E7;5.659868324260001E7;5.858929520509999E7;6.049670044869998E7;6.230996759659999E7
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.436544903482E8;1.4303076819610003E8;1.4241327002E8;1.41802134444E8;1.4043997735070002E8;1.390839808552E8;1.377343127391E8;1.363911520094E8;1.349890123649E8;1.331641320882E8;1.312527954099E8;1.2925379565980001E8;1.27165926911E8;1.262044046059E8;1.2530314712689999E8;1.244707308522E8;1.236993117656E8;1.22989429241E8;1.223416301305E8;1.217492158818E8;1.2120519179830001E8;1.207099313714E8;1.2026380795709999E8;1.198703187716E8;1.201044460993E8;1.203303568086E8;1.205479225397E8;1.207570138455E8;1.2096446133659999E8;1.20603141898E8;1.2023396249809998E8;1.1985394151480001E8;1.1946292554450002E8;1.19060760392E8;1.1925882074900001E8;1.19458278677E8;1.19659146388E8;1.19861437417E8;1.2006356598200001E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.6159964393E7;2.6748346257E7;2.7336737031999998E7;2.7925118006E7;2.8513505981E7;2.9101891535E7;2.9318225773E7;2.9533934485999998E7;2.9749490880000003E7;2.9965054117300004E7;3.01807088704E7;3.0024523344499998E7;2.98060300895E7;2.9587161440999996E7;2.9367831831199996E7;2.88035226655E7;2.8239097607699998E7;2.76745919773E7;2.7482023107400004E7;2.72934418741E7;2.71047419937E7;2.59005573793E7;2.46969745906E7;2.3865121725E7;2.27857169128E7;2.1706526509899996E7;2.0627562198E7;1.97109872595E7;1.8794481126199998E7;1.78781585759E7;1.6897213448E7;1.58899115538E7;1.49099236513E7;1.4940144119700002E7;1.49710348305E7;1.5002010232399998E7;1.5033748601699999E7;1.5065330285799999E7;1.5096645240600001E7;1.51278291883E7;1.5158892646899998E7
