COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.001199994
01;2009;01;02;30278728.644100007
01;2009;02;01;17101159.396
01;2009;02;02;22166337.714800004
01;2009;03;01;42865112.44799999
01;2009;03;02;69373982.77640006
01;2010;01;01;22023525.434699975
01;2010;01;02;30025422.64039998
01;2010;02;01;17236486.128899995
01;2010;02;02;21974465.785299994
01;2010;03;01;43217455.01929999
01;2010;03;02;68860015.90799993
01;2010;04;01;1541398.5343999995
01;2010;04;02;1804326.0339000006
01;2011;01;01;22200979.495800007
01;2011;01;02;29773009.666700013
01;2011;02;01;17371273.4654
01;2011;02;02;21783203.578399982
01;2011;03;01;43568886.87259999
01;2011;03;02;68347153.59490004
01;2011;04;01;3123946.4001000007
01;2011;04;02;3617656.2456000014
01;2012;01;01;22377642.839499995
01;2012;01;02;29521492.211699992
01;2012;02;01;17505527.614700004
01;2012;02;02;21592552.239099998
01;2012;03;01;43919277.01480004
01;2012;03;02;67835566.78600003
01;2012;04;01;4748116.085200002
01;2012;04;02;5440348.2808000045
01;2013;01;01;22553516.869399995
01;2013;01;02;29270868.405200005
01;2013;02;01;17639258.932799987
01;2013;02;02;21402502.924200002
01;2013;03;01;44268369.605899975
01;2013;03;02;67325507.45550002
01;2013;04;01;6414390.257900001
01;2013;04;02;7272763.931499995
01;2014;01;01;22728611.616000004
01;2014;01;02;29021129.274000004
01;2014;02;01;17772472.741000015
01;2014;02;02;21213052.51259999
01;2014;03;01;44616154.76720002
01;2014;03;02;66816985.000100024
01;2014;04;01;8123261.638499999
01;2014;04;02;9115268.9115
01;2015;01;01;22902931.369699996
01;2015;01;02;28772276.46449999
01;2015;02;01;17905046.1953
01;2015;02;02;21024321.366300005
01;2015;03;01;44963007.36840001
01;2015;03;02;66309627.93229999
01;2015;04;01;9875233.130400002
01;2015;04;02;10968232.903700002
01;2016;01;01;23059841.574
01;2016;01;02;28503733.072299983
