COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_SYSTEME_CHAUD;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Chauffage;01;01;136259096.48;90565331.04
01;2009;01;Chauffage;01;06;498869709.25;338280639.37
01;2009;01;Chauffage;03;03;814589684.8199999;450145664.81
01;2009;01;Chauffage;04;04;2342096018.99;1707036292.2599998
01;2009;01;Chauffage;05;02;39356867.283;97790017.73
01;2009;01;Chauffage;06;02;762767741.5;701746297.73
01;2009;01;Chauffage;09;02;159082382.298;473747327.48999995
01;2009;02;Chauffage;01;01;71553032.59799999;47577082.479
01;2009;02;Chauffage;01;06;245149899.17899996;166324909.53
01;2009;02;Chauffage;03;03;417804386.959;231002354.58899996
01;2009;02;Chauffage;04;04;1264052839.7649999;922410009.685
01;2009;02;Chauffage;05;02;19466536.158;48368502.415
01;2009;02;Chauffage;06;02;351073185.89;322987329.85
01;2009;02;Chauffage;09;02;116062995.342;345635612.977
01;2009;03;Chauffage;01;01;567355163.37;376748225.3000001
01;2009;03;Chauffage;01;06;2339191374.39;1585238968.78
01;2009;03;Chauffage;03;03;4083642753.6;2256376395.88
01;2009;03;Chauffage;04;04;10259848207.18;7475452168.390001
01;2009;03;Chauffage;05;02;250214205.51;621707241.5699999
01;2009;03;Chauffage;06;02;4079614545.6000004;3753245456
01;2009;03;Chauffage;09;02;665550669.98;1982009662.36
01;2010;01;Chauffage;01;01;131911546.29089999;87675724.58500001
01;2010;01;Chauffage;01;06;483013644.99570006;327528726.0068
01;2010;01;Chauffage;03;03;788407654.3800001;435676984.1171
01;2010;01;Chauffage;04;04;2340734861.8350997;1706147125.4325001
01;2010;01;Chauffage;05;02;38099398.7025;94665573.80630001
01;2010;01;Chauffage;06;02;744102403.8594;684574135.4976
01;2010;01;Chauffage;09;02;154030044.361;458701478.79139996
01;2010;01;Chauffage;24;04;49976582.0468;47853401.6523
01;2010;01;Chauffage;26;02;10076192.963;10076192.757
01;2010;02;Chauffage;01;01;69258268.74489999;46051282.7764
01;2010;02;Chauffage;01;06;237346335.71509996;161030496.6615
01;2010;02;Chauffage;03;03;404346353.4822;223561289.79170004
01;2010;02;Chauffage;04;04;1257739993.1595;917870225.1944001
01;2010;02;Chauffage;05;02;18843471.150399998;46820372.841199994
01;2010;02;Chauffage;06;02;352789423.35800004;324566269.9979
01;2010;02;Chauffage;09;02;112380286.41600001;334668496.3901
01;2010;02;Chauffage;24;04;22608126.405999996;21688606.0867
01;2010;02;Chauffage;26;02;4497543.8208;4497543.9325
01;2010;03;Chauffage;01;01;546385211.075;362824887.42449987
01;2010;03;Chauffage;01;06;2253514184.0076003;1527184677.7128994
01;2010;03;Chauffage;03;03;3939751990.7241;2176849553.741
01;2010;03;Chauffage;04;04;9920978983.8832;7228472740.8176
01;2010;03;Chauffage;05;02;242181564.7299;601748555.3831999
01;2010;03;Chauffage;06;02;3946938065.8103004;3631182878.1922
01;2010;03;Chauffage;09;02;643950683.3095;1917685000.3713999
01;2010;03;Chauffage;24;04;492610850.6050001;471111269.08030003
01;2010;03;Chauffage;26;02;46142711.11;46142709.0467
01;2010;04;Chauffage;01;01;6882652.1398;4592990.031099999
01;2010;04;Chauffage;01;06;4944458.718;3349770.4653999996
01;2010;04;Chauffage;03;03;1702179.7476;941482.0812000001
01;2010;04;Chauffage;04;04;43728813.8801;31909749.681099996
01;2010;04;Chauffage;05;02;4178.765;10382.976999999999
01;2010;04;Chauffage;06;02;7985944.6647;7347069.490899998
01;2010;04;Chauffage;09;02;718872.5045;2140802.3000999996
01;2010;04;Chauffage;21;01;6433821.898;4955329.1944
01;2010;04;Chauffage;21;06;5502370.660699999;4302544.101000001
01;2010;04;Chauffage;23;03;3869803.5648;2790843.2229
01;2010;04;Chauffage;24;04;55336875.8565;53006586.26820001
01;2010;04;Chauffage;26;02;9441136.2014;9441135.9835
01;2010;04;Chauffage;29;02;272409.2329;938504.2929
