branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.6999061966800004E7;2.6113705471399996E7;2.5231067902200002E7;2.43509282456E7;2.34734805361E7;2.25988644063E7;2.17112055184E7;2.0827518528E7;1.9947792811E7;1.9072003295E7;1.82001586137E7;1.7314605292999998E7;1.64347918957E7;1.5560556779799998E7;1.46919620718E7;1.38353206498E7;1.2988132250399997E7;1.2155543042000001E7;1.13282329605E7;1.05066031446E7;9690125.135300001;8872309.569099998;8061282.0912;7256683.3434999995;6458560.3652;5673574.5367;5065880.7415;4698606.501499999;5459899.301399999;6709374.1464;7950401.1265;9142784.1165;1.0305348333299998E7;1.26863867398E7;1.5043429136499997E7;1.73717145647E7;1.96690526703E7;2.19134894856E7;2.41283607079E7;2.62879201168E7;2.83985077206E7
01;01;01;01;ECS;ECS;1.0;2033374.6695;1951195.9709;1869016.2602000001;1786836.5473999998;1704656.8317;1622477.8158;1540298.496;1453879.6065;1367460.8088999998;1281042.3095;1194623.6141;1108204.7778;1018394.188;928583.4162;838772.6643999999;748961.9333999999;713881.9757;678803.5711000001;643725.9994999999;608650.21;573578.1187000001;538509.9198;507008.85980000003;475512.90249999997;444021.15380000003;412525.4559;381033.8548;352943.68419999996;324861.2938;296788.60569999996;268718.4057;257523.1587;246083.5896;234651.4029;223218.0081;211774.26859999998;200328.2882;189565.01670000004;178804.97919999997;168037.3615;157293.59670000002;146648.6704
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.7470000002;1497870.8837000001;1448920.0864000001;1400109.5454;1351429.0225999998;1302899.1198;1254513.2808999997;1205395.8313000002;1156477.2673000002;1107767.8111999999;1059266.2599;1010971.5592;961861.3431;913061.308;864569.4392000001;816388.9719000001;768510.4376000001;720922.7202999998;673636.1989999999;626655.8165000001;579966.7030000001;533566.9642;487069.8799999999;440947.43389999995;395180.6531;349795.3116;304780.0981;260132.87359999996;215845.70130000002;171914.1709;138049.0495;116415.12629999999;106472.6489;100834.1744;151006.7918;202921.5727;256117.17349999995;310652.9233999999;366261.28119999997;423301.4071;481545.75680000003;541055.0162
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.38816877961E7;1.4413554491899999E7;1.4943552468300002E7;1.5471791972700002E7;1.5998318182100002E7;1.65231342751E7;1.70338336032E7;1.75418745806E7;1.80473703199E7;1.8550268969699997E7;1.90505947318E7;1.9529921657700002E7;2.00055708687E7;2.0460933427500002E7;2.08924907817E7;2.130543206E7;2.1668941215399995E7;2.1962450267600004E7;2.22268385016E7;2.2456593949699998E7;2.26006444286E7;2.26789669093E7;2.27345655217E7;2.2753252573599998E7;2.2704982200400002E7;2.26060137311E7;2.2477251688100003E7;2.23233369666E7;2.2008256375699997E7;2.1673077668300003E7;2.13220332672E7;2.09587742499E7;2.05881957636E7;1.97375468704E7;1.88823258475E7;1.80237483067E7;1.7159781007999998E7;1.62934264346E7;1.5426525587799998E7;1.45606273595E7;1.3695785765399998E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.4064;5826616.137;5632793.9245;5439785.4891;5247584.6474;5056185.308699999;4865480.913699999;4672195.139699999;4480072.0776;4289002.1105;4098971.6013;3909979.4102999996;3719100.6125999996;3529523.7173;3341241.2473;3154245.8478;2968529.5098;2784069.3909;2600875.4078;2418940.5767;2238257.1186;2058817.723;1879358.7464;1701364.6935;1524826.5705;1349735.0685;1176081.1663000002;1003855.7397000002;833049.7557;663654.2729;495660.3799;329059.2705;163842.05569999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371000001;1601038.1934000002;1548644.5014;1496407.4407;1444326.2167;1392400.5905999998;1340630.2458000001;1288084.9953;1235769.0724;1183681.6335;1131821.8054;1080188.7624;1027710.8422999999;975565.1390000002;923750.0323999999;872437.3821;821494.0091;775479.3932;740746.8371;708870.8299;683251.1238000001;670542.9077999999;665880.4384;664893.2915999999;667385.3809999999;677780.4646000001;691227.9506999999;706415.8913;725741.7534;776070.9812;825602.7381;877474.1397;930856.7439000001;985714.1092999999;1067467.0288;1151344.74;1236993.5454;1324210.0536999998;1413043.3212000001;1503261.1034;1594408.4709;1686389.1104
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841;971772.7491999998;939906.9213;908138.5693;876460.2123999998;844878.7568000001;813399.1866000001;781450.1293000001;749644.0134;717980.4334000001;686458.524;655078.5490000001;623205.0144999999;591538.0843;560071.9833;528808.8151000001;498011.37429999997;467549.52739999996;437642.58939999994;407925.7093;378413.47589999996;349086.9632;319712.14060000004;290581.6188;261682.2415;233016.17100000003;204823.2684;183023.2721;170567.0256;200472.50039999996;250291.45059999998;299795.9656;347445.5119;393950.8716000001;485463.21619999997;576075.9846;665617.5700000001;754004.9501;840386.0064000001;925661.6077999999;1008840.4896;1090152.6835
01;01;01;02;Chauffage;Chauffage;2.58;1.3195965480000001E8;1.278168715454E8;1.236863808998E8;1.195649336101E8;1.154546080273E8;1.1135645596329999E8;1.072691861843E8;1.0311886641139999E8;9.89861620811E7;9.486846744299999E7;9.0768672184E7;8.668621814799999E7;8.253343679100001E7;7.8409510343E7;7.46071460361E7;7.11838080909E7;6.805816569219999E7;6.55710696131E7;6.3749541208900005E7;6.22882979739E7;6.11032506334E7;6.078849425100001E7;6.082802998799999E7;6.10711839603E7;6.177117325140001E7;6.3241926706499994E7;6.544050717999999E7;6.79639101456E7;7.05062664014E7;7.3602718544E7;7.64971972635E7;7.93306021549E7;8.209467518180001E7;8.483530853490001E7;9.10649222987E7;9.726829966780001E7;1.034442361404E8;1.095788066856E8;1.1568033302810001E8;1.2172791038890001E8;1.2772095706599998E8;1.3365192626600002E8
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.436544903482E8;1.430307681961E8;1.4241327002E8;1.41802134444E8;1.404399773507E8;1.3908398085520002E8;1.377343127391E8;1.363911520094E8;1.3505467341189998E8;1.3323040383520001E8;1.313196887109E8;1.2932132146280001E8;1.27234096364E8;1.262732290299E8;1.2537263795089999E8;1.245408996092E8;1.2377017024859999E8;1.23060989484E8;1.2241390429450001E8;1.218214900458E8;1.212774659623E8;1.207822055354E8;1.203360821211E8;1.199394759886E8;1.2017362301630001E8;1.203995526716E8;1.2061713630070001E8;1.2082624445650001E8;1.210337081766E8;1.2067236023799999E8;1.2030315110509999E8;1.199230982958E8;1.1953204996550001E8;1.1912985099200001E8;1.19327911349E8;1.19527369277E8;1.19728236988E8;1.19930528017E8;1.20134258082E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.5658690344E7;2.5745799258E7;2.5832918083E7;2.5920027007999998E7;2.6007142033E7;2.6094255728E7;2.5947998402E7;2.5801740854000002E7;2.5655483424000002E7;2.5509226291E7;2.5362969358000003E7;2.4983178751000002E7;2.4669222877E7;2.4355267003E7;2.4041312129E7;2.360748223E7;2.31736741796E7;2.27398778207E7;2.25394780578E7;2.2339130293800004E7;2.21388372443E7;2.18196761153E7;2.1500590744599998E7;2.14151017318E7;2.13193591498E7;2.12236771537E7;2.11281346718E7;2.10406989859E7;2.09534164137E7;2.08661755444E7;2.0755179874399997E7;2.05251538388E7;2.02952602561E7;2.0184317616499998E7;2.0073280045E7;1.99622631071E7;1.98411729595E7;1.97201981563E7;1.95991958422E7;1.9486534358899996E7;1.93754248739E7
