branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.23520000005;265729.9949;257054.73559999999;248403.86190000002;239777.33500000002;231174.79599999994;222596.46149999998;213888.2056;205216.4986;196581.03580000004;187981.94530000002;179419.12819999998;170892.4703;162401.8628;153947.22339999996;145529.0489;137174.63999999998;128871.00150000001;120648.78550000001;112462.05039999998;104310.11579999999;96195.7771;88113.96519999999;80063.92570000002;72049.4125;64064.04049999999;56168.0574;49707.66349999999;45448.0081;53809.03430000001;68421.3494;83089.89489999998;97312.2078;111297.45889999998;138359.95200000002;165274.74259999997;191981.6401;218454.95109999998;244461.5457;270224.04829999997;295463.31700000004;320267.90140000003
01;01;01;02;3091525.332199999;2993815.8244999996;2896389.4332;2799237.435;2702351.3636;2605738.5849;2509388.7016999996;2411570.8172;2314163.8019999997;2217166.3381;2120586.7538999994;2024414.1323000004;1928647.1093000001;1833315.9582000005;1742235.8403;1656057.0096;1573628.8073000002;1502410.8058000004;1448450.9613000003;1401124.6989;1362353.3838000002;1346226.8053000001;1343358.3752000001;1346333.3606000002;1360082.4793;1393484.4809000005;1441290.1674000006;1495955.0862000005;1555257.7830999997;1649735.3183;1741288.8631999998;1834394.7755;1927895.2444999996;2022659.2386999996;2191514.6753000002;2362465.6898000007;2535359.7517999993;2710056.5293;2886555.9926999994;3064566.3297000006;3243997.6613000003;3424156.6187
01;01;01;03;1317058.3889999997;1275308.4366;1233675.9926999998;1192160.8115;1150762.6339000005;1109481.2053999996;1068316.2782;1026525.9632000001;984912.1783;943471.3880999999;902206.1323;861114.8543;820197.0127000001;779452.0523999999;738879.4217999999;698478.5758;658249.0354000002;618190.0983;578301.3818;538582.0987999999;499031.7077;459649.6596;420435.41650000005;381388.4331;342508.1709000001;303794.09569999995;265245.6638;226862.3553;188643.6012;150588.9034;112697.722;74969.5337;37403.7985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;3620653.1410000003;3769409.8864999996;3917722.2405000003;4065599.4094;4213050.3936;4360068.180400002;4506663.5452000005;4649472.7712;4791643.3544;4933177.893300001;5074068.3682;5214326.867699999;5353956.564600001;5492926.5181;5627421.272399999;5756793.7711;5882165.4744;5996089.5925;6092485.1366;6182025.269299998;6262793.126699999;6320699.175099998;6365125.995999999;6403492.4976;6430867.3774999995;6438373.583500001;6431204.215800001;6415561.248;6392892.722099998;6322238.5251;6245624.3315;6164060.9939;6078881.828499998;5991197.1635;5763234.0498;5532794.8954;5300235.874800001;5065696.1919;4829460.873000002;4591524.309699999;4352293.1151;4112345.9616
01;01;01;06;414923.1906;401770.3772;388654.5829000001;375575.7312;362533.73990000004;349528.529;336560.02019999997;323394.7886;310284.861;297230.05989999993;284230.2072;271285.1282;258394.6437;245558.58139999997;232776.76650000003;220049.02289999995;207374.61299999998;194753.40179999996;182183.72820000004;169668.4712;157205.04669999998;144792.97710000002;132436.0948;120126.70809999999;107875.0926;95673.2853;83522.8733;71423.7485;59375.8881;47382.46549999999;37908.0869;31644.6489;28891.9797;27583.172100000003;42018.4601;57019.946200000006;72444.1009;88317.6562;104588.66970000001;121331.84879999999;138509.54859999998;156147.7982
01;01;02;01;164852.8561;159627.12050000002;154416.093;149219.74320000003;144038.03839999996;138870.947;133718.4375;128487.7677;123279.07109999997;118092.27679999999;112926.3399;107783.18369999998;102659.7555;97558.05190000002;92478.0089;87421.5058;82386.4147;77371.67240000001;72377.31820000001;67400.42599999999;62461.42280000001;57551.37939999999;52660.712199999994;47787.565;42936.0645;38104.4607;33296.7067;28510.064799999996;23746.6935;25408.9824;30909.514400000004;37336.21309999999;44232.70649999999;51345.95770000001;66677.5476;81838.4475;96804.59499999999;111772.07330000002;126700.43469999998;142492.59939999998;158036.05;173140.88310000004
01;01;02;02;2704966.9641;2651914.7327999994;2606330.9447000003;2564167.4672999997;2516941.8622;2464263.4732999997;2393623.6011000006;2321528.2038000003;2255589.0573999994;2201471.2413;2148685.5319999997;2100457.1683;2055970.1973;2019663.8834000002;1984330.2737000007;1962219.6128999998;1940767.3139;1920089.3887;1900256.8635;1881346.2295000001;1864998.0779;1857682.9839000003;1860002.9296999997;1864784.0161000004;1879463.3294000004;1905213.3012000003;1939387.2156000005;1979984.4599999995;2057794.9296;2133286.1623000004;2209956.3236;2288359.4516;2364325.9085000004;2441097.1603;2554535.815200001;2663872.3659;2772053.4080000003;2885548.9306;3004827.3982999995;3139271.2772999993;3274446.3120000004;3406048.9022999983
01;01;02;03;998485.8363;966834.4409000002;935271.4896999999;903797.1432;872412.489;841116.3442999999;810740.6056999998;779477.0837000001;747953.2919;716539.3115000001;685252.6870999999;654097.8328;623075.2842;592182.7165000001;561421.7335999999;530789.8755000001;500288.7774000001;469916.97049999994;439674.03649999993;409558.5948000001;379572.23189999996;349712.57529999997;319981.1399;290376.5121;260896.38800000004;231543.3968;202316.18540000002;173215.18029999995;144238.93309999997;115387.0641;86659.1645;58053.87860000001;29567.991299999994;1215.2573;1212.6325000000002;1210.0134;1207.3998;1204.7924;1202.1903;422.1064;30.222699999999996;4.5027
01;01;02;04;2774366.8339999993;2862992.7992000002;2944036.5078;3021545.983300001;3104003.289199999;3191800.1965;3296610.8224999993;3399053.5622999994;3495572.5218000007;3580134.9132000008;3663209.3088;3741567.4996000007;3816025.8445;3882148.6358;3947141.3638000013;3998758.3312999997;4049559.3390000006;4099431.5751;4148307.3214000002;4196104.5417;4241173.4438;4277048.8714000005;4303138.199599999;4326613.574099998;4340040.0782;4342243.5398;4335870.5811;4322922.6294;4272611.8032;4218057.2349;4158339.9978;4095052.1313999994;4029678.5971999997;3962413.5182;3811646.2704999996;3665260.8079999997;3520147.1909000007;3369256.141600001;3212085.2438999997;3038551.9263999998;2863850.8002999993;2692735.9471
01;01;02;06;273040.8814;264385.65119999996;255754.7817;247148.2221;238565.9188;230007.8185;221473.8704;212810.46830000004;204183.45910000007;195592.7259;187038.1514;178519.6208;170037.0166;161590.0341;153178.7566;144803.06900000002;136462.81600000002;128157.9324;119888.305;111654.0558;103454.8198;95289.49290000003;87160.02920000002;79065.23930000002;71005.013;62976.35590000001;54984.34679999999;47024.898400000005;39099.5485;31206.465999999997;23347.8993;16300.2503;13189.105599999999;10923.4677;18954.396500000003;26906.503900000003;34967.1181;43519.3896;52637.65669999999;62896.522;73482.3923;84156.67729999998
