branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;1.0;8412635.699;8400521.026;8388422.700999999;8376342.285;8364277.958;8352232.409;8340203.92;8322185.943;8304207.588;8286268.206;8268366.095000001;8250501.296;8232676.6389999995;8214891.579;8197143.155000001;8179432.926;8161761.346;8144126.585999999;8126522.177;8108958.425999999;8091430.1850000005;8073939.739;8056481.112000001;8039048.942;8021653.586999999;8004299.908000001;7986977.278000001;7969680.537;7952419.466;7935192.066;7917992.214;7900815.613;7883629.551;7866601.079;7849609.926;7832655.102;7815736.596999999;7798855.411;7782010.545;7765201.998;7748429.78;7731693.87
01;01;01;01;Cuisson;Cuisson;1.0;3500591.331;3349692.671;3205297.8270000005;3067127.6089999997;2934913.283;2808398.165;2687336.9940000004;2569559.37;2456944.2060000002;2349264.4740000004;2246302.635;2147853.2970000003;2053719.4780000001;1963711.105;1877647.42;1795355.4999999998;1716670.226;1641432.9730000002;1569491.417;1500704.052;1434930.609;1372039.6930000002;1311903.765;1254401.152;1199418.625;1146846.186;1096577.939;1048510.524;1002549.655;958602.913;916581.244;876399.6899999998;837971.2309999999;801245.699;766129.7740000001;732552.8030000001;700447.557;669749.3300000001;640396.5418000001;612330.128;585493.7484;559833.4792
01;01;01;02;Autre;Autre;2.58;2.08005643E8;2.077061604E8;2.074070016E8;2.071082704E8;2.068100018E8;2.0651215770000002E8;2.062147549E8;2.0576925729999998E8;2.053247845E8;2.0488123089999998E8;2.044385596E8;2.039968664E8;2.035561614E8;2.0311645620000002E8;2.026776425E8;2.022397336E8;2.0180275039999998E8;2.013667581E8;2.0093148929999998E8;2.0049719710000002E8;2.000637576E8;1.996313337E8;1.991996511E8;1.987686359E8;1.983384865E8;1.979093515E8;1.974810877E8;1.9705344120000002E8;1.96626686E8;1.962007231E8;1.957754395E8;1.953507164E8;1.949257774E8;1.9450477479999998E8;1.940845804E8;1.936653844E8;1.932470956E8;1.928297051E8;1.924132119E8;1.91997607E8;1.915829204E8;1.911691209E8
01;01;01;02;Bureautique;Electricité Spécifique;2.58;3.206753307E8;3.2342025529999995E8;3.261886668E8;3.289808469E8;3.3179687429999995E8;3.3463701820000005E8;3.375014417E8;3.401473357E8;3.428140518E8;3.455015852E8;3.48210198E8;3.509399897E8;3.536912147E8;3.564639856E8;3.59258445E8;3.620747973E8;3.649133043E8;3.677739555E8;3.7065671590000004E8;3.735622332E8;3.764904147E8;3.794415088E8;3.786210417E8;3.778018792E8;3.769843542E8;3.761688174E8;3.75354712E8;3.74541811E8;3.737306585E8;3.729210864E8;3.721127537E8;3.713055554E8;3.7049789240000004E8;3.696976049E8;3.688990917E8;3.6810224390000004E8;3.673071915E8;3.6651379429999995E8;3.657221725E8;3.64932215E8;3.641439228E8;3.6335740579999995E8
01;01;01;02;Cuisson;Cuisson;2.58;2.135047235E7;2.1979454970000003E7;2.257908961E7;2.3150650779999997E7;2.3695352589999996E7;2.4214347549999997E7;2.4708748089999996E7;2.516182863E7;2.559173533E7;2.599948924E7;2.6386062749999996E7;2.675239291E7;2.7099383990000002E7;2.7427879279999997E7;2.7738701009999998E7;2.8032630009999998E7;2.83104173E7;2.857277391E7;2.8820355720000003E7;2.905385874E7;2.927388137E7;2.948102718E7;2.9675856040000003E7;2.985889339E7;3.003068759E7;3.0191765680000003E7;3.0342567590000004E7;3.0483519930000003E7;3.0615102290000003E7;3.0737730140000004E7;3.085176447E7;3.095758165E7;3.105540852E7;3.114625835E7;3.122998958E7;3.130691802E7;3.1377355339999996E7;3.144159017E7;3.149990282E7;3.1552551759999998E7;3.1599803240000002E7;3.1641898259999998E7
01;01;01;02;Froid_alimentaire;Electricité Spécifique;2.58;5720154.539;5673783.2659;5627786.9157;5582163.5824;5536909.7496;5492022.744200001;5447499.828500001;5399414.8142;5351754.718499999;5304514.7403;5257691.3463;5211279.7491999995;5165279.6666;5119685.1954;5074492.6884;5029698.913300001;4985301.0313;4941294.3291;4897670.8357;4854434.8416;4811578.9829;4769101.331200001;4758788.199899999;4748491.7384;4738216.5844;4727966.360400001;4717734.7866;4707518.1223;4697323.0663;4687147.505500001;4676988.230199999;4666842.315;4656690.534999999;4646632.094899999;4636595.377599999;4626580.3368;4616586.9355;4606615.113700001;4596664.837400001;4586736.048;4576828.7054;4566942.7556
01;01;01;02;Process;Electricité Spécifique;2.58;4593456.563;4586841.209000001;4580235.699;4573639.143999999;4567052.63;4560475.1959999995;4553906.791999999;4544068.922;4534252.401;4524456.5600000005;4514681.418;4504926.954000001;4495195.118;4485483.859;4475793.195;4466123.441;4456474.84;4446845.39;4437232.586999999;4427642.445;4418071.887;4408521.924;4398989.33;4389471.047;4379972.875;4370498.051000001;4361039.823;4351595.736;4342171.959999999;4332765.805000001;4323375.112;4313996.098999999;4304612.078;4295314.208;4286035.919000001;4276778.5;4267540.661;4258322.493;4249124.805;4239946.887;4230788.549;4221649.68
01;01;01;03;Cuisson;Cuisson;1.0;762516.7215;729647.1199999999;698194.4556999999;668097.5281000001;639297.9874999999;611739.8966000001;585369.7377;559714.7540999999;535184.2106;511728.71840000007;489301.0691;467856.3284;447351.543;427745.3964;408998.49559999997;391073.23140000005;373933.6473;357545.09510000004;341874.5575;326890.8374;312563.7949;298864.7267;285765.7566;273240.53280000004;261264.3086;249813.0841;238863.5434;228393.60590000002;218382.53639999998;208810.25220000002;199657.2045;190905.01110000003;182535.3823;174535.45569999996;166886.1026;159571.99719999998;152578.4504;145891.4587;139497.5442;133383.84380000003;127538.0596;121948.4681
01;01;01;04;Autre;Autre;1.0;476274.74689999997;475588.87630000006;474904.0267;474220.03229999996;473537.0929;472855.10029999993;472174.0495;471154.04349999997;470136.2342;469120.59260000003;468107.0746;467095.6132;466086.51330000005;465079.5521;464074.7395;463072.0885;462071.6463;461073.32320000004;460076.6763;459082.30720000004;458090.0463;457099.8529;456111.467;455124.8033;454140.08330000006;453157.86509999994;452177.32340000005;451198.3636;450221.4655;449246.39350000006;448272.9773;447300.85;446328.62850000005;445364.5698;444402.5499;443442.5988;442484.80649999995;441529.0630999999;440575.3684;439623.7325;438674.1454;437726.6070000001
01;01;01;04;Cuisson;Cuisson;1.0;1.157032846E7;1.1071569767E7;1.0594312919E7;1.0137624964999998E7;9700623.548;9282457.116999999;8882321.384;8493036.819000002;8120814.067;7764903.467;7424589.935;7099189.527;6788053.938;6490553.598;6206091.4229999995;5934095.2020000005;5674020.705999999;5425343.660999999;5187560.234999999;4960200.062;4742804.316000001;4534935.836;4336174.329;4146120.2469999995;3964394.738;3790637.076;3624492.1859999998;3465624.524;3313719.721;3168471.981;3029586.5579999997;2896784.345;2769788.846;2648398.497;2532328.275;2421344.969;2315225.553;2213757.0820000004;2116735.005;2023965.96;1935262.046;1850445.6489999997
